Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Fernando Miguel,-,-,-,-,2,-,-,-
Thaciano,1,2,2,-,2,1,1,-
Lucas Evangelista,2,1,3,-,-,2,1,-
Tiago Volpi,-,-,-,-,2,-,-,-
Jorginho,2,1,2,-,-,2,-,-
Yago Pikachu,-,-,-,-,-,-,-,-
Rossi,1,-,1,-,1,1,-,-
Juninho,2,1,-,1,6,1,-,-
Vanderson,3,-,3,-,-,-,-,-
Artur,-,1,-,-,-,-,-,-
Helinho,1,1,1,-,1,1,-,-
Cléber,3,1,2,-,-,1,-,-
Mateus Claus,-,-,-,-,5,-,-,-
Weverton,-,-,-,-,1,-,-,-
Bruno Henrique,-,1,1,-,-,-,-,-
Zé Roberto,3,-,2,-,4,-,-,-
Fabricio Bruno,-,-,-,-,3,-,1,-
Luan Cândido,2,4,2,-,5,1,-,-
Claudinho,1,1,-,-,-,-,-,-
Ramires,3,-,1,-,-,2,-,-
Rick,1,-,2,-,-,3,-,-
Rodrigo,-,2,1,-,1,-,1,-
Clayson,1,-,1,-,1,2,-,-
Danielzinho,2,1,1,-,-,-,-,-
Pedro Henrique,-,2,1,-,4,1,-,-
Ytalo,-,1,-,-,-,1,-,-
Giorgian de Arrascaeta,1,-,-,-,-,-,-,-
Igor,2,3,-,-,5,-,-,-
Matheus Peixoto,1,-,2,-,2,-,-,-
Diego Alves,-,-,-,-,-,-,-,-
Léo Ortiz,1,2,1,-,6,-,-,-
Nino,1,1,-,2,5,-,-,-
Jonathan Cafú,2,-,-,-,-,-,-,-
Miranda,2,-,1,1,6,-,1,-
Wescley,-,-,1,-,1,-,-,-
Edenílson,1,-,3,-,1,1,-,-
Matheus Henrique,-,-,1,-,-,-,-,-
Gabriel Menino,5,7,2,-,1,3,-,-
Pedro,-,-,3,-,1,-,-,-
Carlos Eduardo,-,-,2,-,-,-,-,-
Egídio,1,2,1,-,3,-,-,-
Khelven,1,-,1,-,2,1,-,-
Abel Hernández,2,-,4,-,2,-,-,-
Aderlan,2,1,3,-,1,2,-,-
Léo Chú,-,1,1,-,-,1,-,-
Reinaldo,3,1,1,-,1,-,-,-
Élton,-,-,1,-,-,-,-,-
Hulk,1,-,1,-,-,-,-,-
Matheus Vargas,2,3,3,-,-,2,-,-
Germán Conti,-,2,-,1,7,1,1,-
Caio Paulista,7,-,1,-,-,2,-,-
Uendel,-,2,1,-,1,-,-,-
Willian Maranhão,3,2,2,-,2,-,-,-
Diego,2,2,5,-,-,-,-,-
Capixaba,2,1,-,-,-,4,1,-
Léo,3,-,-,-,2,-,-,-
David,1,-,1,-,-,-,-,-
Nathan Silva,-,1,1,-,9,-,1,-
Ricardo,1,-,1,-,-,-,1,-
Éderson,4,2,2,-,1,-,2,-
Cleiton,-,-,-,-,-,-,-,-
Robson,-,-,1,-,-,-,-,-
Samuel Xavier,2,2,-,-,4,1,1,-
André,1,-,1,-,-,2,-,-
Filipe Luís,1,1,4,-,-,-,-,-
Santos,-,-,-,-,-,-,-,-
Marcos Felipe,-,-,-,-,-,-,-,-
Bruno Alves,1,1,-,-,1,-,1,-
Gerson,3,-,3,-,1,1,1,-
Gilberto,1,1,-,-,2,-,-,-
Marlon,1,6,1,-,2,1,-,-
Dudu Santos,3,-,2,-,3,-,1,-
Míchel Macedo,2,-,1,-,2,-,-,-
Rodrigo Caio,2,2,3,1,-,-,-,-
Abner Vinicius,1,1,3,-,1,-,-,-
Renan Guedes,3,-,2,-,-,-,-,-
Martinelli,1,1,-,-,1,1,-,-
Renzo Saravia,3,-,2,2,-,-,-,-
Matheus Bahia,1,2,3,-,4,-,-,-
Vitinho,1,1,1,-,-,1,-,-
Christian,1,-,1,-,1,-,-,-
João Paulo da Silva,3,1,2,-,-,-,-,-
Luccas Claro,1,1,-,-,5,-,1,-
