Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Philipp Klewin,-,-,-,-,-,-,-,-
Robert Zulj,0.8,0.4,1.6,-,1,0.6,0.1,-
Tim Kleindienst,0.5,0.7,2.9,-,1.6,1,0.1,-
Serdar Dursun,0.4,0.2,1.7,-,1.2,0.4,0.1,-
Philipp Hofmann,0.4,0.1,1.6,0.1,0.8,0.4,0.1,-
Simon Terodde,0.4,0.2,1.1,-,1.2,0.3,-,-
Omar Marmoush,0.9,0.4,1.7,-,0.4,0.4,-,-
Kevin Behrens,0.5,0.3,1.8,-,1.9,0.3,0.2,-
Timo Hübers,2.6,3.3,1.3,0.5,4.4,0.6,0.6,-
Patrick Mainka,1.5,3,0.7,0.5,4.3,0.6,0.8,-
Carl Klaus,-,-,-,-,0.5,-,-,-
Branimir Hrgota,0.8,0.2,1.3,-,0.1,0.7,-,-
Paul Seguin,1.6,0.7,1.5,-,0.8,0.8,0.2,-
Marius Funk,-,-,-,-,1,-,-,-
Marvin Wanitzek,2.2,1.2,1.3,-,1.4,1.1,0.2,1
Rodrigo Zalazar,1.8,0.9,0.8,-,0.6,1.1,0.2,-
Mikkel Kirkeskov,2,1.2,1.8,0.2,2.3,0.5,0.2,-
Julian Green,1.3,0.8,1.2,-,0.5,0.6,0.2,-
Sonny Kittel,0.6,0.8,0.8,-,0.2,0.6,-,-
Marvin Ducksch,0.3,0.3,0.2,-,0.9,0.3,0.1,-
Daniel-Kofi Kyereh,1.1,0.6,1.3,-,0.5,0.6,0.1,-
Tobias Kempe,1.1,0.4,1,-,0.9,0.8,0.1,1
Danilo Soares,2.5,1.7,1.2,0.3,1.7,0.8,0.2,-
Fin Bartels,1.1,0.3,0.8,-,0.4,1,0.1,-
Tim Kister,0.8,2.1,1.8,0.5,5.2,0.1,0.7,-
Marco Meyerhöfer,1.6,1.9,0.7,0.1,1.5,0.8,0.2,-
Pascal Testroet,0.3,0.1,0.8,-,1.5,0.5,0.1,-
Johannes Geis,2.1,1.4,1,-,1.7,1.3,0.2,-
David Raum,1.3,1.2,0.4,0.2,2,0.8,0.2,-
Andreas Albers,0.6,0.2,1.2,-,0.8,0.3,0.2,-
Simon Zoller,0.4,0.2,1.3,-,0.3,0.3,0.1,-
Jae-Sung Lee,1.7,1.3,0.9,-,0.6,1,0.1,-
Dennis Srbeny,1,0.2,1.3,-,0.1,0.5,0.1,-
Havard Nielsen,0.4,0.1,1.6,-,0.6,0.4,-,-
Guido Burgstaller,0.4,0.1,1,-,0.6,0.2,0.1,-
Sebastian Ohlsson,3.6,2.1,1.7,0.3,2.6,1,0.5,-
Genki Haraguchi,1.6,0.5,1.4,-,0.3,1.2,0.1,-
Manuel Schäffler,0.7,0.3,1.8,-,1.2,0.5,-,-
Robert Tesche,1.2,1.9,0.8,-,1.1,1.8,0.2,-
Uwe Hünemeier,0.7,1.7,0.9,0.8,3.7,0.5,1,-
Armel Bella Kotchap,1.5,2.4,1,1,4.2,0.4,0.7,-
Florian Ballas,1.7,1.9,0.7,0.4,5,0.7,0.6,-
Anthony Losilla,1.9,1.5,2,-,1,1,0.2,-
Christian Kühlwetter,1,0.4,1.5,-,0.3,1.2,0.1,-
Oliver Hüsing,1.3,2.3,1.5,0.4,4.5,0.4,0.6,-
Sven Michel,0.6,0.3,1.4,-,0.5,0.5,0.1,-
Marco Thiede,1.6,2.1,1.2,0.1,1.2,0.9,0.2,-
Luca Pfeiffer,0.5,0.5,0.5,-,1.5,-,0.5,-
Cristian Gamboa,2.2,1.6,1.2,0.1,1.7,1,0.3,-
Tim Handwerker,1.9,2.1,0.6,0.2,1.7,0.7,0.5,-
Stephan Ambrosius,2.2,1.4,1.7,0.6,3.5,0.5,0.5,1
Bakery Jatta,1.4,0.4,0.5,-,0.4,0.7,0.1,-
Aaron Hunt,0.7,0.9,0.6,0.1,0.8,0.7,-,-
Benedikt Gimber,2.9,1.6,2.8,0.2,1.7,1.2,0.3,-
Martin Männel,-,-,-,-,0.9,0.1,-,1
Victor Pálsson,1,1.3,1.5,-,2.7,0.6,0.8,-
Janni Serra,0.3,0.1,0.7,-,0.5,0.3,0.1,-
Stefan Thesker,0.6,1.5,0.8,0.4,3.9,0.3,0.6,-
Kenan Karaman,0.3,-,0.6,-,0.4,0.3,-,-
Sebastian Schonlau,1.6,1,1,0.8,3.5,0.5,0.6,-
Jérôme Gondorf,2.4,1.7,2,-,1,1.5,0.3,-
Kevin Danso,0.8,1.3,0.9,1.2,3.8,0.4,0.8,1
Simon Lorenz,2,1.2,0.8,0.5,3,0.2,0.5,-
Chris Führich,0.4,0.2,0.5,-,-,0.6,-,-
Sebastian Ernst,0.9,0.6,1.3,-,0.7,0.9,0.1,-
Rolf Feltscher,1.2,2.5,1.3,0.1,2.7,0.3,0.4,-
Jaka Bijol,1.7,2.5,1.8,0.1,1.8,1.2,0.2,-
Marvin Mehlem,1.8,1.2,1.2,-,0.4,0.9,0.1,-
Sebastian Kerk,0.6,0.1,0.6,-,0.4,0.5,0.1,-
Marvin Pieringer,1.3,0.2,2.4,0.1,0.2,0.4,0.1,-
Moritz Heyer,1.7,1.4,1,0.3,2.2,0.5,0.5,-
Janik Bachmann,1.4,2.3,1,0.2,3.1,0.9,0.6,-
Jamilu Collins,2.2,2.5,0.9,0.4,1.8,0.9,0.5,-
Alexander Mühling,1.1,0.7,1,-,0.8,0.9,0.4,1
Manuel Riemann,0.1,0.1,-,-,0.7,0.1,-,-
Toni Leistner,0.7,1.5,0.5,0.5,4.3,0.2,0.8,-
Enrico Valentini,1.9,1.8,1.3,0.2,2.9,1.2,0.2,-
Anton Stach,1.2,1.9,1.3,0.1,1.2,0.8,0.2,-
Fabian Nürnberger,1.5,1.1,1.1,-,0.7,1.1,0.2,-
Hauke Wahl,1.2,1.9,0.4,0.4,2.6,0.3,0.6,-
Johannes Dörfler,2.3,0.9,0.9,0.4,1.3,0.5,0.3,-
Mats Møller Dæhli,1,0.7,0.2,0.1,0.2,0.6,-,-
Alexander Meyer,-,-,-,-,0.6,0.1,-,-
Niko Kijewski,1.5,1.5,1,-,1.5,1,-,-
Philip Heise,1.2,1.1,1,0.2,1.8,0.5,0.1,-
Matthias Zimmermann,1.1,1.7,1.1,0.5,1.7,0.9,0.3,-
Michael Ratajczak,-,-,-,-,1,-,-,-
Max Besuschkow,1.4,1.6,1.4,-,0.7,1.1,0.1,-
