Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Fabian Bredlow,-,-,-,-,1,-,-,-
Robert Lewandowski,0.5,0.1,1.4,-,0.4,0.4,-,-
Erling Haaland,0.3,0.1,0.7,-,0.6,0.1,0.1,-
Joshua Kimmich,1.5,1.3,0.7,-,0.7,1.6,0.2,-
Jadon Sancho,0.7,0.6,-,-,0.2,0.3,-,-
André Silva,0.3,0.1,0.6,-,0.5,0.2,-,-
Thomas Müller,1.5,0.7,0.7,-,0.5,1.5,0.1,-
Matheus Cunha,1.3,1.1,1.7,-,0.3,1.3,0.1,-
Wout Weghorst,0.4,0.1,0.9,-,0.8,0.5,0.1,-
Maximilian Arnold,1.6,1.6,1.3,-,1.8,1,0.1,-
Elias Bördner,1,2,-,-,2,-,-,-
Filip Kostic,1.8,0.9,0.7,-,0.7,1.1,0.2,-
Christopher Nkunku,0.6,0.3,1.4,-,0.5,0.4,-,-
Mats Hummels,1.8,2.2,0.8,0.4,3.7,0.5,0.7,-
Leon Bailey,0.5,0.3,0.8,-,0.1,0.4,-,-
Raphael Guerreiro,1.1,1,0.4,0.2,0.9,0.6,0.1,-
Andrej Kramaric,0.3,0.3,0.1,-,0.2,0.2,-,-
Ermin Bicakcic,0.5,1.5,1,-,4.5,-,0.5,-
Leon Goretzka,1.5,1.8,1.1,0.1,0.4,1,0.1,-
Serge Gnabry,1.4,1,0.8,-,0.1,0.7,-,-
Willi Orban,1.4,1.4,0.6,0.9,2.4,0.5,0.7,-
Silas Wamangituka,1.9,0.9,1.3,-,0.4,0.9,-,-
Jonas Hofmann,1.1,1.1,0.8,-,0.3,1.8,0.1,-
Kingsley Coman,0.5,0.1,0.4,-,0.1,0.7,-,-
Marco Reus,1,0.4,0.8,-,0.4,0.8,0.1,-
Angeliño,1.2,1.2,0.8,-,1.3,0.4,-,-
Bas Dost,0.3,0.2,1.3,-,0.7,0.3,0.1,-
Vincenzo Grifo,0.6,0.9,0.4,-,0.5,0.6,-,-
Emre Can,1.5,1.7,1.3,0.1,1.8,0.6,0.4,-
Daniel Caligiuri,2.2,1.2,1.1,0.1,0.9,1.9,0.2,-
Alphonso Davies,1.7,1.2,0.6,-,1.2,0.5,-,-
Borna Sosa,0.5,1.2,0.7,-,2.5,0.7,0.2,-
Wataru Endo,2,1.5,1.4,0.1,1.7,1.3,0.4,-
Maxence Lacroix,1.6,2.2,0.8,0.6,4.5,0.7,0.7,-
Christopher Trimmel,1.6,1.6,1,0.1,2.9,0.8,0.2,-
Sasa Kalajdzic,0.5,0.3,0.9,-,0.6,0.5,-,-
Lars Stindl,0.8,0.4,1.4,-,0.5,0.8,0.1,-
Marcel Sabitzer,1.1,1.3,0.8,-,1,0.9,0.1,-
Martin Hinteregger,2.7,1.5,1.1,0.7,3.1,0.9,0.4,1
Nico Elvedi,1.7,2.2,0.4,0.7,4.1,0.4,0.8,-
Kevin Mbabu,2.3,1,2,-,2.5,0.5,0.3,-
Nicolás González,0.3,0.3,0.9,0.1,0.3,0.4,0.2,-
Max Kruse,0.3,0.1,0.2,-,0.1,0.3,-,-
Stefan Bell,1.5,1.7,1.7,0.5,4.6,0.6,0.7,-
Marcus Thuram,0.8,0.5,1.3,-,0.3,0.4,0.1,-
Lucas Hernández,1.8,0.8,0.7,0.7,1.4,0.6,0.3,-
Ridle Baku,1.6,1.3,1,0.1,0.8,1,0.1,-
Xaver Schlager,2.1,1.7,1.4,-,1.1,1.4,0.2,-
Niklas Süle,1.6,1.1,0.5,0.5,1.7,0.4,0.6,-
Pavao Pervan,-,-,-,-,1,-,-,-
Tobias Sippel,-,0.3,-,-,1.5,-,-,-
Edmond Tapsoba,1.7,1.5,1.4,0.6,2.9,0.8,0.9,1
Ihlas Bebou,0.8,0.5,0.8,-,0.5,0.2,0.1,-
Dani Olmo,0.7,0.4,0.6,-,0.7,0.6,-,-
John Brooks,1.5,1.7,0.9,0.5,4,0.8,0.3,1
Florian Neuhaus,1.5,1.5,0.7,0.1,0.6,1.3,0.2,-
Leroy Sané,0.6,0.3,0.4,-,0.2,0.5,-,-
Moussa Diaby,0.3,0.4,0.8,-,0.1,0.4,-,-
Marvin Friedrich,1.4,1.5,0.7,0.3,2.9,0.4,0.5,-
Josip Stanisic,2,2,1,-,2,-,-,-
Felix Uduokhai,1.1,1.9,0.8,1,5.4,0.3,0.9,1
Daichi Kamada,1.5,0.4,1.3,-,0.7,1,-,-
Amos Pieper,1.9,2.2,0.7,0.9,5.3,0.4,1.2,-
Mark Flekken,-,-,-,-,1,-,-,-
Konstantinos Mavropanos,2,2.8,1.1,0.2,3,0.9,0.5,-
Christopher Lenz,2.7,1.3,1,0.2,1.6,1.3,0.2,-
Matthias Ginter,0.8,1.5,0.3,0.6,3.5,0.3,0.9,-
Christoph Baumgartner,1.4,0.8,2.3,-,0.6,1.2,0.3,-
Florian Hübner,1.7,2.2,1.7,0.3,3.5,1.3,0.5,-
Renato Steffen,1.1,1,1.5,-,0.6,0.5,0.1,-
Nicolas Höfler,1.7,2.1,2.3,-,1.1,1.2,0.3,-
Paulo Otávio,2.6,1.8,1.2,0.2,2,1.2,0.3,-
Orel Mangala,1.1,1.1,1.4,-,1,0.5,0.4,-
Blendi Idrizi,2.7,1,1,-,0.3,-,0.7,-
Marc Oliver Kempf,1.5,2.1,1.1,0.3,2.9,0.6,0.8,1
Benjamin Pavard,1.8,2,0.8,0.4,1,0.7,0.2,-
Florian Wirtz,1.2,0.3,0.9,-,0.2,0.9,-,-
Ellyes Skhiri,2.6,2.6,1.3,0.1,1,1,0.4,-
Robert Andrich,1.8,1.8,1.7,-,1.1,1,0.2,1
Ondrej Duda,1.1,0.6,1.7,-,0.6,1,0.1,-
Dayot Upamecano,1.3,1.1,1.2,0.7,2.4,0.2,0.5,-
Ludwig Augustinsson,1.6,0.9,0.7,0.1,2.3,0.5,0.3,1
Ritsu Doan,1.6,0.9,0.9,-,0.2,1,-,-
Amine Harit,0.8,0.6,1,-,0.2,0.5,-,-
Manuel Akanji,1.5,1.8,0.8,0.4,2.5,0.4,0.4,-
Diadie Samassékou,2.3,2.5,1.4,0.2,1.6,1.8,0.4,-
Fabian Klos,0.7,0.1,1.4,-,0.8,0.6,0.2,-
Exequiel Palacios,3.4,1.3,0.8,-,0.8,1.4,-,-
Marcel Halstenberg,1.2,0.7,0.7,0.4,1.4,0.9,0.1,-
Obite Evan Ndicka,1.3,2,1.4,0.7,3.3,0.5,0.3,-
Salif Sané,1.2,1.8,1.1,0.5,4.6,0.7,0.9,-
Josip Brekalo,0.8,0.6,0.3,-,0.1,0.7,-,-
Alassane Plea,0.7,0.2,0.6,-,0.2,0.5,-,-
Ramy Bensebaini,1.7,1.9,1.4,0.2,2.5,0.6,0.3,-
Djibril Sow,2.1,1.8,1.4,0.1,0.5,0.8,0.3,-
Rafal Gikiewicz,-,0.1,-,-,0.6,0.1,-,-
Shkodran Mustafi,1.2,2.5,0.6,1,5.8,0.7,1.2,1
Jonas Hector,1.8,1,0.6,0.1,0.9,1.1,0.3,-
Florian Grillitsch,1.4,2,1.2,0.3,1.7,1.3,0.3,-
Giovanni Reyna,0.8,0.3,0.8,-,0.3,0.5,-,-
Amadou Haidara,1.6,1,0.7,-,0.6,0.8,-,-
Patrik Schick,0.2,0.1,1,-,0.7,0.1,0.1,-
Joakim Nilsson,1.4,1.6,0.5,0.6,4.4,0.4,0.9,1
Julian Baumgartlinger,2.5,0.7,0.6,-,0.6,0.9,-,-
Stefan Ortega Moreno,0.1,-,-,-,0.6,0.1,-,-
Nordi Mukiele,1.6,0.8,1.4,0.2,1.1,0.6,-,-
Sheraldo Becker,0.3,0.3,1.2,-,0.4,0.1,-,-
David Alaba,1.2,1.3,0.6,0.7,1.8,0.5,0.4,-
Chris Richards,1.7,1.9,0.5,1.2,3.5,0.5,0.4,-
André Hahn,1.1,0.5,1.1,-,0.7,1.2,0.1,-
Nico Schlotterbeck,2.1,1.9,1.4,0.4,1.8,0.6,0.4,1
Jhon Córdoba,0.4,0.3,1.8,-,0.2,0.1,0.1,-
