Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Emiliano Buendía,2.4,1.1,1.6,0.1,1.3,1.8,0.1,-
William Forrester,-,1,1,-,3,-,-,-
Kieffer Moore,0.4,0.2,1.9,-,1.2,0.1,0.1,-
Krystian Bielik,2.1,2,1.6,0.1,2.2,0.8,0.3,-
Joe Rodon,1,2.3,0.3,0.3,7.8,0.5,1.3,-
Ivan Toney,0.6,0.2,2.2,-,0.9,0.4,0.1,-
Michal Helik,1.8,2.4,1.3,1.3,5.3,0.1,0.4,-
Alfie Mawson,1.5,1.5,1.2,0.5,4.1,0.1,1.2,-
Connor Taylor,1,5,-,-,2,1,-,-
Arnaut Danjuma Groeneveld,0.3,0.2,0.5,-,0.1,0.2,-,-
Grant Hanley,0.9,1.8,0.9,0.4,5,0.4,0.7,-
Jordy de Wijs,1,1.3,0.8,0.2,5.1,0.1,0.8,-
Robert Dickie,1.3,1.8,1,0.8,4,0.4,0.7,-
Mads Andersen,1.5,2.4,1.7,0.9,5.1,0.5,0.3,-
Sean Morrison,1.3,1.4,1.3,0.2,4,0.4,0.6,1
Shaun Hutchinson,1.5,2.5,1.2,0.3,3.9,0.5,0.6,-
Adam Armstrong,0.4,0.2,1.3,-,-,0.3,-,-
Todd Cantwell,1.3,0.5,0.6,-,0.5,1.2,-,-
Ismaila Sarr,0.9,0.5,1.6,-,0.3,0.6,-,-
Ovie Ejaria,1,1,0.9,-,0.5,1,-,-
Ben Cabango,1.5,1.6,1,0.5,4.9,0.5,0.6,-
Steven Benda,-,-,-,-,2,-,-,-
Lewis Wing,2.7,0.8,1,0.1,1.1,1.6,0.2,-
André Ayew,0.8,0.2,0.9,-,1.5,0.6,0.1,-
Nick Powell,1.7,1,2.3,-,0.6,0.8,0.2,-
Teemu Pukki,0.6,0.2,0.9,-,0.2,0.5,0.1,-
Dominic Solanke,0.4,-,1.2,-,0.7,0.5,0.1,-
Harry Souttar,1.1,1.4,0.6,0.8,5.3,0.3,0.6,-
Aden Flint,0.7,1.2,1,0.1,6.5,0.3,1.1,1
Dael Fry,0.9,1.8,0.7,0.3,3.9,0.2,0.8,-
