Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Sean Klaiber,4,4,0.5,-,2.5,-,-,-
Dusan Tadic,0.9,0.4,0.7,-,0.3,0.4,-,-
Sébastien Haller,1.2,0.4,1.4,-,0.9,0.9,0.1,-
Steven Berghuis,0.8,0.5,0.5,-,0.2,1.1,-,-
Oussama Tannane,0.9,0.2,1.7,-,0.1,1,0.1,-
Adam Maher,2.8,1.8,1.8,-,1.4,1,0.4,-
Gregoire Amiot,3,1,1,-,4,1,2,-
Joey Veerman,1.9,1.1,0.7,-,1.1,1.6,0.2,-
Donyell Malen,0.2,0.3,0.3,-,0.3,0.3,-,-
Teun Koopmeiners,2.7,1.4,1,0.1,1.5,1.1,0.4,-
Ajdin Hrustic,4,-,1,-,-,-,-,-
Ibrahim Sangaré,3.5,2.1,1.4,-,1.6,0.8,0.3,-
Georgios Giakoumakis,0.6,0.3,1.7,-,1.7,0.3,0.5,-
Ryan Gravenberch,1.3,1.4,1.1,-,0.6,0.9,0.1,-
Mario Götze,1.5,1.2,0.4,-,0.2,1.3,-,-
Calvin Stengs,1.6,0.6,0.9,-,0.4,1,0.1,-
Jesper Karlsson,0.5,0.5,0.3,-,0.2,0.8,-,-
Vaclav Cerny,1.3,0.4,0.8,-,0.4,1.6,-,-
Davy Klaassen,1.2,0.6,1.2,-,0.6,1,0.1,-
Cody Gakpo,0.9,0.4,0.9,-,0.4,0.3,-,-
Abdou Harroui,3.1,1,1.1,-,0.6,1.5,0.2,-
Gyrano Kerk,0.7,0.6,1.6,-,0.1,0.6,0.1,-
Vangelis Pavlidis,1.1,0.4,0.8,-,1.1,0.9,0.1,-
Marcos Senesi,2.5,2.4,1.4,0.6,3.7,1.1,0.7,1
Fredrik Midtsjø,2,2,1.1,0.1,0.9,1.5,0.2,-
Silvester van der Water,1.2,1,0.7,-,0.2,0.7,0.1,-
Philipp Max,1.9,0.8,0.6,0.1,1.1,1.3,-,-
Nicolás Tagliafico,2,1.9,1.5,0.2,1.2,1,0.1,-
Jacob Rasmussen,1.8,2.1,0.5,0.5,3.4,0.4,0.6,-
Jens Toornstra,1.1,1.3,0.5,0.1,0.6,1.2,0.3,-
Eran Zahavi,0.8,0.4,0.8,-,0.3,0.5,-,-
Rai Vloet,1.1,0.3,0.9,-,1,0.8,-,-
Olivier Boscagli,1.4,2.8,0.7,0.1,2.6,0.9,0.4,-
Zian Flemming,1,0.6,1.5,-,1.7,0.8,0.2,-
Antony,0.7,0.2,0.4,-,0.1,0.6,-,-
Denzel Dumfries,1.5,1.6,1.5,0.1,1.8,0.8,0.3,-
Maximiliano Romero,-,-,-,-,-,-,-,-
Lennart Thy,0.5,0.2,0.4,-,0.6,0.4,-,-
Henk Veerman,0.5,0.1,0.8,-,1.8,0.5,0.2,-
Gabriel Gudmundsson,2.2,0.7,1.2,0.1,1.6,1.3,-,-
Myron Boadu,0.5,0.1,0.9,-,0.2,0.4,0.1,-
Sergio Peña,1.8,0.7,1,-,0.4,1.6,0.1,-
Lisandro Martínez,1.2,1.1,0.8,0.3,1.9,0.3,0.4,-
Daley Blind,1.2,1.5,0.7,0.7,1.2,0.8,0.4,-
Sander van de Streek,1.7,0.7,0.8,-,0.8,1.2,0.2,-
Owen Wijndal,1.8,1.7,0.5,0.2,1.6,0.6,0.2,-
Noussair Mazraoui,1.8,1.5,0.6,-,1,0.5,0.2,-
Kenneth Paal,1.9,1.8,0.9,0.2,2.3,0.8,0.2,-
Eric Botteghin,1.5,2.1,0.9,0.3,3,0.6,0.6,-
Virgil Misidjan,1.2,0.6,1.1,-,0.1,0.5,-,-
Pawel Bochniewicz,1.9,2,0.9,0.3,5.4,0.7,0.7,-
Edson Álvarez,1.8,1.4,1.3,-,1.2,1.2,0.2,-
Mickael Tirpan,1.3,2.9,0.6,0.8,3.1,0.6,0.4,-
Lutsharel Geertruida,2.7,0.8,0.8,0.1,1.5,0.6,0.2,-
Ahmed El Messaoudi,1.1,1.1,1.7,-,0.5,0.6,0.1,-
Lassina Traoré,0.2,0.1,1,-,0.3,0.3,-,-
Jonathan Mulder,2,1,-,-,5,-,-,-
Riechedly Bazoer,1.1,1.5,0.9,0.1,1.2,0.6,0.6,-
Albert Gudmundsson,0.8,0.6,0.6,-,0.1,1.1,-,1
Jurriën Timber,1.7,1.5,0.5,0.4,1.7,0.5,0.4,-
Kostas Lamprou,0.1,-,-,-,0.6,0.1,-,-
George Cox,1.8,2.4,0.6,0.4,2.3,0.7,0.3,-
André Onana,-,-,-,-,0.4,-,-,-
Klaas Jan Huntelaar,0.3,0.1,0.1,-,0.1,0.3,-,-
Sean Klaiber,1.4,1.3,0.7,0.1,0.5,0.5,0.1,-
Bart Nieuwkoop,2.7,2.4,0.9,-,1.5,0.9,0.1,-
Jan Paul van Hecke,1.8,2,1.2,0.6,3.6,0.5,1.1,-
Tommy St. Jago,1.9,1.3,0.8,0.3,3.2,0.5,1,-
Devyne Rensch,1.9,1.6,0.6,0.1,0.8,0.7,0.1,-
Mike Trésor,1.2,0.7,0.5,-,0.3,0.6,-,-
Ko Itakura,1.4,2,0.7,1,4.2,0.3,0.6,1
Azor Matusiwa,2.2,2.7,0.8,0.3,1,0.7,0.5,-
Maarten Stekelenburg,-,0.2,-,-,0.6,-,-,-
Luis Sinisterra,0.9,0.4,0.7,-,0.6,1,-,-
Dirk Abels,2.1,1.8,0.5,0.1,2.5,1.2,0.4,-
Queensy Menig,1.3,0.5,0.8,-,0.1,1,-,-
Jørgen Strand Larsen,0.3,0.2,1.3,-,1,0.6,-,-
Maximilian Wittek,2.8,1.2,0.9,0.1,1.2,1.8,0.2,-
Ridgeciano Haps,1,1.2,0.5,-,0.8,0.5,-,1
Jonas Svensson,1.5,1.2,0.9,0.2,1.5,0.8,0.1,-
Laros Duarte,1.5,0.7,0.8,-,0.9,1,-,-
Eli Dasa,1.9,1.6,0.6,0.1,1.3,0.9,0.2,-
Miguel Araujo,1.8,1.8,0.4,0.5,4.2,0.5,1.1,-
Mohammed Kudus,1.2,0.4,0.9,-,0.1,1.2,-,-
Django Warmerdam,2.5,1.6,0.5,0.1,1.2,0.7,0.3,-
Robin Pröpper,1.2,1.4,1.2,0.3,3.4,0.7,0.9,-
Noni Madueke,0.3,0.1,0.3,-,0.1,0.3,-,-
Benson Manuel,1.2,0.2,0.4,-,0.2,0.7,0.1,-
Xandro Schenk,1,1.3,0.7,1,4.7,0.7,0.3,-
Milan van Ewijk,3.4,1.8,0.9,0.2,3.2,0.9,0.8,-
Ahmed Touba,1.2,2.1,1,0.7,3.7,0.6,0.8,-
Jordy Clasie,1.1,0.6,0.3,-,1.5,0.5,0.3,-
Bart van Hintum,1.5,1.9,0.7,0.2,2.5,1.1,0.8,-
Willem Janssen,1.1,2,0.9,0.2,2.6,0.1,0.8,-
