Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Guy Mbenza,-,-,1,-,-,1,-,-
Jéremy Doku,1.1,0.4,1.1,-,0.1,0.7,-,-
Paul Onuachu,0.7,0.1,1.5,-,1.2,0.2,0.1,-
Darren Keet,-,-,-,-,1,-,-,-
Ryota Morioka,3.8,2.3,1.7,-,0.8,1.5,0.1,-
Louis Verstraete,4.8,2.4,2,-,1.6,1.6,0.2,-
Krépin Diatta,1.4,0.7,0.8,-,0.1,0.2,-,-
Theo Bongonda,1.2,0.3,0.9,-,0.3,0.3,0.1,-
Noa Lang,0.8,0.3,0.7,-,-,0.3,-,-
Junya Ito,1.2,0.4,0.6,-,-,0.9,0.1,-
Dieumerci Mbokani,0.5,0.3,0.8,-,0.6,0.2,0.1,-
Selim Amallah,2.8,1.1,2,-,0.2,0.8,0.1,-
Raphael Holzhauser,0.8,0.4,0.6,-,0.3,0.6,-,-
Mandela Keita,5,3,-,-,-,-,-,-
Hans Vanaken,1.4,1,0.8,-,0.4,0.6,-,-
Tarik Tissoudali,0.7,0.2,0.7,-,0.3,0.5,-,-
Ruud Vormer,1.2,0.7,1,-,0.4,0.5,0.2,-
Thomas Henry,0.5,0.1,1.5,-,0.7,0.2,0.1,-
Rafael Romo,0.1,-,-,-,1.7,0.1,-,-
Xavier Mercier,0.6,0.2,0.4,-,0.3,0.6,0.1,-
Roman Yaremchuk,0.4,0.1,0.9,-,0.1,0.1,0.1,-
Maxime Busi,2.4,1.1,1.4,0.1,1.7,0.7,0.3,-
Bryan Heynen,2.2,1.3,1.3,-,2.2,1,0.2,-
Joris Kayembe,2.9,1.6,0.7,0.1,1.1,0.6,0.1,-
Joachim van Damme,2.4,2.2,2.7,0.1,1.6,1.1,0.5,-
Joakim Maehle,2,2.1,0.9,0.4,1.8,0.8,0.3,-
Vadis Odjidja-Ofoe,0.9,0.6,0.8,-,0.4,0.6,-,-
Strahinja Pavlovic,2.3,1.6,1.3,0.5,4.3,0.7,0.5,-
Alessio Castro-Montes,2.6,1.1,1.2,-,1.1,0.8,0.2,-
Hugo Siquet,3,1.3,1.3,-,2,0.8,0.3,1
Robin Himmelmann,-,-,-,-,1,-,-,-
Lior Refaelov,0.8,0.2,0.5,-,0.1,0.5,-,-
Zinho Vanheusden,2.6,1.9,0.8,0.1,2.6,0.3,0.8,-
Faiz Selemani,1.2,0.6,0.8,-,0.2,0.8,0.1,-
Michael Frey,1.7,0.5,1.4,-,0.7,0.8,0.1,-
Julien de Sart,2.8,2,1.8,-,1,1,0.2,-
Moussa Sissako,2.7,3,1.8,0.5,4.2,0.8,0.3,-
Albert Sambi Lokonga,1.6,1.8,1.2,-,1.1,0.7,0.3,-
Konstantinos Laifis,1.4,2.1,0.7,0.4,3.3,0.3,0.5,-
Daniel Muñoz,3.2,2.4,1.8,0.2,2.6,0.8,0.5,-
Yuma Suzuki,1.2,0.4,1.2,-,0.7,0.4,0.1,-
Abdoulaye Seck,1.9,1.2,0.9,0.3,3.2,0.4,0.4,1
Ognjen Vranjes,3,2,0.8,-,6,-,1.5,-
Gianni Bruno,0.9,0.4,0.7,-,0.3,0.6,-,-
Lukas Nmecha,0.6,0.2,1.1,-,0.6,0.2,-,-
Nuno da Costa,1.5,0.6,1.5,-,0.6,0.3,0.1,-
Junior Pius,2,3.8,0.5,0.5,6,-,1,-
Laurent Henkinet,-,-,-,-,2,-,-,-
Yevhenii Makarenko,3.2,1.2,1.3,0.1,1.2,0.8,0.3,-
Charles De Ketelaere,1.2,0.8,0.7,-,0.4,0.7,-,-
Sebastien Bruzzese,-,-,-,-,2,-,-,-
Bas Dost,0.4,0.1,0.5,0.1,0.4,0.2,-,-
Andrew Hjulsager,2.9,0.6,1.8,-,0.3,1.8,-,-
Clinton Mata,2.2,1.9,1.4,0.3,0.9,0.5,0.2,1
Maxime D'Arpino,2.8,1.4,1.7,-,1.2,1.6,0.3,-
Rob Schoofs,1.7,1.3,1.2,-,0.6,0.6,0.2,-
Nicolas Gavory,2.3,0.8,0.9,0.2,1.8,0.5,0.2,-
Alexis Gamboa,3.1,1.4,1,0.3,3.1,0.4,0.8,-
Klauss,1,0.3,1.1,0.1,0.3,0.3,0.1,-
Alexandre De Bruyn,0.5,0.5,-,-,-,-,-,-
Percy Tau,1.8,0.7,1.8,-,0.4,0.7,-,-
Merveille Bokadi,1.6,1.6,0.6,0.6,2.9,0.3,0.4,-
Brandon Mechele,1.9,2.2,0.6,1,1.9,0.3,0.6,-
Knowledge Musona,1.4,0.6,1,-,0.2,0.7,0.3,-
Aboubakary Koita,1.2,0.4,0.8,-,0.1,1,-,-
Geoffrey Hairemans,1.6,0.8,1.4,-,0.3,0.8,0.2,-
Jan Van den Bergh,1.8,2.1,1.2,0.5,3.9,0.4,0.6,-
Frédéric Duplus,2,1.8,2,0.2,2.3,0.8,0.8,-
Sven Kums,1.3,1.6,0.9,0.1,0.8,1.1,0.2,-
Jordan Botaka,2.2,1,0.5,-,1.3,0.7,0.1,-
Adrien Trebel,2.2,0.9,1.1,-,0.3,0.6,0.1,-
Maarten Vandevoordt,-,0.1,0.1,-,0.1,0.1,-,-
Kristian Thorstvedt,1.5,1,1.6,-,1.3,0.6,0.1,-
Peter Zulj,2.9,2.6,3,-,0.9,1,-,-
Terem Moffi,-,0.5,-,-,-,-,-,-
Arthur Theate,1.8,1.9,1.2,0.5,4.1,0.9,0.7,-
Junior Pius,1.2,0.3,0.2,0.2,2.8,0.3,0.7,-
Thomas Kaminski,-,-,-,-,-,-,-,-
