Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Lionel Messi,0.5,0.2,0.6,-,-,0.3,-,-
Ángel Jiménez,-,-,-,-,2,-,-,-
Gerard Moreno,0.7,0.5,1.3,-,0.8,0.8,0.1,-
Karim Benzema,0.2,0.2,0.5,-,0.7,0.3,0.1,-
Ansu Fati,1.3,0.4,0.9,-,-,1.1,-,-
Casemiro,2.5,2.1,1.6,0.1,1.6,1.2,0.5,-
Iago Aspas,0.3,0.5,0.7,-,0.6,0.6,0.1,-
Marcos Llorente,1.9,0.8,1.6,-,0.6,1,0.1,-
Mikel Merino,2.3,1.2,3,-,1,1,0.3,-
Toni Kroos,1.5,0.5,1,-,0.3,1.2,0.2,-
Joselu,0.7,0.4,1.2,0.1,1.5,0.5,0.1,-
Kieran Trippier,2.2,1.4,1.1,0.2,1.7,0.9,0.1,-
Lucas Vázquez,2.5,0.8,1.3,0.1,1,1.3,-,-
Geoffrey Kondogbia,3.2,1.6,1.6,-,1.6,2.4,0.2,-
Diego Llorente,1,2,2,-,4,1,1,-
Antoine Griezmann,1,0.3,0.4,-,0.3,0.8,-,-
Javi Galán,2.4,1.1,1.6,0.2,1.4,0.7,0.1,-
Yannick Carrasco,0.9,0.6,1,-,0.3,0.6,-,-
Luis Suárez,0.3,0.2,0.7,-,0.4,0.3,-,-
Luka Modric,1.1,1.4,0.9,-,0.3,0.7,0.1,-
Frenkie de Jong,1.2,1,0.7,-,0.7,0.5,0.1,-
Nabil Fekir,1.4,0.2,2.4,-,-,1.1,0.1,-
José Campaña,1.6,1.4,0.8,0.1,0.4,1,-,-
Daniel Parejo,1.8,1.3,0.9,-,0.5,1.3,0.2,-
Thomas Partey,2.3,0.7,1.7,-,0.3,1,0.3,-
Jony Álamo,2,1,-,-,-,1,-,-
Carlos Soler,1.3,0.7,0.8,-,1.3,1,0.3,-
Mikel Oyarzabal,0.9,0.5,0.7,-,0.4,0.6,0.2,-
Alexander Isak,0.3,0.1,0.8,0.1,0.2,0.1,-,-
Rober Correa,1.1,1.3,0.5,0.6,1.9,0.3,0.1,-
Ousmane Dembélé,0.5,0.3,0.5,-,-,0.4,-,-
Jules Koundé,0.8,1.2,0.6,0.2,2.9,0.4,0.5,-
Fernando,1.7,1.3,1.3,0.1,2,0.6,0.4,-
Jordi Alba,1.3,1.4,0.6,0.1,0.9,0.8,0.1,1
David Silva,0.9,0.6,1.1,-,0.3,0.6,-,-
Emerson,2.7,1.8,1.7,0.5,2.5,1,0.2,1
Bryan Gil,1,0.6,0.9,-,0.2,0.6,-,-
Manu Sánchez,-,-,-,-,-,1,-,-
Sergio Barcia,1,3,2,-,8,-,1,-
Sergio Ramos,1,1.3,1.1,0.4,2.6,0.3,0.3,-
Sergio Canales,0.5,0.4,0.5,-,0.2,0.6,-,-
Guido Rodríguez,2.8,1.9,1.7,-,1.5,1.3,0.4,-
Kike García,0.6,0.2,1.8,-,0.8,0.4,-,-
Ángel Correa,1,0.6,1,-,0.3,0.8,-,-
Daniel Carvajal,2.1,1,1.3,-,1.4,0.7,0.1,-
Lucas Ocampos,1.1,0.6,1,0.1,0.8,0.7,-,-
Stefan Savic,1.2,1.3,0.8,0.2,3.1,0.4,0.6,-
Koke,1.7,1,1.2,-,1,1.9,0.2,-
Maximiliano Gómez,0.4,0.1,1.7,-,1.1,0.4,0.1,-
Suso,0.6,0.2,0.7,-,0.2,0.9,-,-
Jesús Navas,0.8,1.1,0.3,0.1,1.6,0.2,0.1,-
Sergio Busquets,1.8,1.5,1.3,-,0.5,1.4,0.1,-
Renato Tapia,2.9,1.7,2,-,2.1,1.6,0.4,-
Youssef En-Nesyri,0.4,0.2,0.7,-,0.6,0.4,-,-
Jan Oblak,-,-,-,-,0.5,-,-,1
Santi Mina,0.9,0.2,1.9,-,0.5,0.9,0.1,-
Eder Militão,1.4,1.4,1.1,0.2,2.9,0.4,0.4,-
Fidel,1.5,0.5,1,-,0.4,1.3,0.1,-
Mauro Arambarri,1.9,1.2,1.7,-,0.7,1.7,0.1,-
Raphael Varane,0.7,1.2,0.5,0.4,3.5,0.3,0.6,1
Jasper Cillessen,-,-,-,-,0.3,-,-,-
Marcos Acuña,2.1,0.8,1.5,0.1,0.8,0.6,0.1,-
Ferland Mendy,1,1,0.8,-,0.9,0.5,0.2,-
David García,0.7,1.7,1.3,0.8,4.9,0.3,0.5,1
Jawad El Yamiq,1.1,2.4,0.7,0.3,5.2,0.2,0.5,-
Gonçalo Guedes,0.6,0.3,0.9,-,0.1,1.1,-,-
Thomas Lemar,1.1,0.4,0.6,-,0.2,0.5,-,-
Yeray Álvarez,0.8,2.3,0.9,0.8,3.1,0.5,0.2,-
Alex Berenguer,1.3,0.5,1.4,-,0.5,1.2,0.1,-
Nolito,1.9,0.6,1.4,-,0.5,1.7,0.1,-
Adnan Januzaj,0.3,0.1,0.3,0.1,0.1,0.2,0.1,-
Iker Muniain,0.7,0.4,0.6,-,0.1,0.6,-,-
Carlos Domínguez,1.3,1.5,1.8,0.8,6,0.8,0.8,-
Joan Jordán,1.5,0.8,1.5,-,0.7,1.7,0.1,-
Sergio Escudero,1.3,1,0.9,0.2,0.7,0.7,0.2,-
Gabriel Paulista,0.5,1.9,0.6,0.6,4.2,0.4,0.9,-
Florian Lejeune,1.3,1.5,1,1.1,4.3,0.4,0.7,-
Aridane Hernández,0.8,1.4,0.9,0.9,5,0.2,0.8,-
Daniel Wass,1.5,1.3,1,0.2,1.8,0.9,0.4,-
Luis Milla,1.4,1.5,1,-,0.9,1.4,-,-
Mario Hermoso,1.8,1.2,1,0.1,2,0.8,0.3,1
Aritz Elustondo,1.3,0.7,1,0.8,2.7,0.2,0.2,1
Gerard Piqué,0.8,1.4,0.7,0.6,2.4,0.2,0.2,-
Yangel Herrera,1.8,0.8,2.2,0.1,0.9,0.9,0.5,-
Lucas Torró,1.3,1.1,1.1,0.1,1.7,0.5,0.3,-
Ante Budimir,0.7,0.1,1,-,0.5,0.4,0.1,-
Antonio Sivera,-,-,-,-,2,-,-,-
Philippe Coutinho,0.7,0.2,0.8,-,0.1,0.5,-,-
Nacho,1.1,1.7,1.6,0.2,2.3,1,0.4,-
Federico Valverde,1,0.9,0.5,-,0.1,0.7,0.1,-
Rubén García,1.4,0.8,1.1,-,0.4,0.8,0.1,-
José Giménez,1,1,0.9,0.1,2.9,0.2,0.5,-
Pablo Maffeo,1,1.4,0.5,0.1,0.8,0.6,0.2,-
Thibaut Courtois,-,-,-,-,0.6,-,-,-
Mario Gaspar,2.2,1.2,0.8,0.5,1.7,0.8,0.2,-
Óscar Mingueza,1.9,0.7,0.7,0.4,1.6,0.9,0.2,-
Sandro Ramírez,0.7,0.5,0.9,-,0.1,0.4,0.1,-
Iza,2.1,1.5,0.5,0.3,1.9,0.8,0.4,-
Unai Núñez,0.9,1.2,0.9,0.8,4.2,0.2,0.6,-
Hugo Mallo,1.9,1.2,1.8,0.2,2,0.9,0.4,-
Pau Torres,0.5,0.7,0.4,0.5,3.3,0.2,0.8,1
Dimitrios Siovas,1.3,1.7,1.1,0.4,3.3,0.3,0.5,-
Papu Gómez,0.5,0.4,0.8,-,0.2,0.6,0.1,-
Claudio Bravo,-,-,-,-,0.9,0.1,-,-
Saúl Ñíguez,1.7,0.6,1.3,-,0.9,0.9,0.1,-
Álex Moreno,1.8,1.5,0.9,0.4,2,1,0.2,-
Pedri,1.2,0.9,0.5,-,0.1,1.5,-,-
Brais Méndez,1.7,0.9,2.3,-,0.8,1.4,0.1,-
Álvaro Negredo,0.3,0.1,0.6,0.1,0.5,0.2,0.1,-
Sergio Herrera,-,0.1,-,-,1.4,0.1,-,-
David Ferreiro,0.7,0.7,1.4,0.1,0.2,1.1,-,-
Ronald Araujo,0.9,0.8,0.5,0.3,1.8,-,0.6,-
Paulo Oliveira,1.4,1.9,0.9,0.6,3.5,0.5,0.5,-
Alberto Perea,1,0.8,0.2,-,0.2,1,-,-
Denis Suárez,1.8,0.6,1.3,-,0.4,2.1,0.1,-
João Félix,0.3,0.2,0.5,-,0.1,0.4,-,-
Sergi Roberto,0.6,0.7,0.5,0.1,1.1,0.4,0.4,-
Darwin Machís,0.9,0.7,1,-,0.3,0.4,0.1,-
Yuri Berchiche,1,0.5,0.7,0.3,1.1,0.6,-,-
Rafa Mir,0.4,0.4,1.6,0.1,0.6,0.4,0.1,-
Rubén Sobrino,1.8,0.9,1.1,-,0.7,0.6,-,-
Felipe,0.9,1.2,0.9,0.3,4.1,0.2,0.5,1
Antonio Blanco,1.8,0.8,1.5,-,1.3,1,0.5,-
Juan Iglesias,2.7,1.7,1.5,0.1,1.4,0.8,0.1,-
Mathías Olivera,2,1,0.9,0.2,1.6,0.8,0.1,-
Edu Expósito,1.6,0.7,0.9,-,0.4,1.5,0.1,-
José Gayà,1.8,1.2,0.9,0.3,1.5,1.1,0.1,-
Juan Foyth,2.5,1.2,1.3,0.4,1.2,1.1,0.4,-
Lucas Olaza,1.4,1.3,1,0.1,1.6,0.4,0.1,1
Jaume Doménech,-,-,-,-,1.1,-,-,-
Rubén Duarte,1.8,2.1,1.3,0.4,1.9,0.9,0.2,-
Yassine Bounou,-,-,-,-,0.8,0.1,-,1
Renan Lodi,1.3,0.7,0.8,0.1,0.7,0.4,-,-
Alfonso Espino,2.9,1.3,1,0.4,1.8,1.3,0.2,-
Marcelo,1.6,0.6,0.6,-,0.6,0.8,0.1,-
Andoni Gorosabel,2.4,0.7,1.1,0.2,1.1,1.2,0.1,-
Thierry Correia,1.6,1.4,1.2,0.1,1.9,0.8,0.2,-
Vicente Iborra,1.4,1.1,1.2,-,1.8,1.2,0.5,-
Marc Cucurella,1.7,1.1,1.9,-,0.5,1.1,0.1,-
Javier Ontiveros,1.1,0.5,1.4,0.1,0.3,0.9,-,-
Miguel Gutiérrez,0.7,0.8,1,0.3,0.7,1,-,-
Diego Carlos,0.7,0.9,1.5,0.2,3.2,0.2,0.8,1
Jorge de Frutos,1.3,0.4,1,-,0.3,0.8,0.1,-
José Luis Morales,0.5,0.3,0.4,-,0.2,0.7,-,-
Robin Le Normand,1,1.1,1.2,0.8,2.5,0.3,0.7,-
Asier Illarramendi,0.8,0.8,1,-,1.2,0.7,-,-
Aarón Escandell,0.2,-,-,-,1.6,-,-,-
Uros Racic,1.2,0.8,1.4,-,1.7,1.2,0.4,-
Etienne Capoue,1.3,1.3,1.6,0.1,1.3,0.6,0.1,-
Marco Asensio,0.3,0.3,0.2,-,0.2,0.6,-,-
Aïssa Mandi,1.1,1.4,0.7,0.8,3.1,0.2,0.5,-
José Mari,1.5,1.2,1.2,-,1.5,0.8,0.3,-
Djené Dakonam,1.8,1.2,1,0.7,2.8,0.2,0.3,-
Lucas Boyé,1.4,0.6,2.8,-,0.6,1.1,0.1,-
Nacho Monreal,1.2,1.2,1,0.2,1.3,0.5,0.1,-
Eden Hazard,0.2,0.2,0.1,-,-,0.2,-,-
Manu Trigueros,1.5,0.5,1.7,-,0.5,1.6,0.1,-
Miguel Ángel Rubio,-,1.5,1,1,5,-,1,-
Raúl García,1.3,1.1,0.6,0.1,1.3,1.8,0.1,-
Rubén Peña,1.3,0.7,1.2,0.1,0.7,0.7,0.1,-
Guido Carrillo,0.4,0.2,1.3,-,0.7,0.3,-,-
Iñaki Williams,0.3,0.1,0.4,-,0.6,0.3,-,-
Gonzalo Melero,0.8,0.6,0.9,-,0.8,1,0.2,-
Anaitz Arbilla,1.3,2,1.1,0.9,2,0.8,0.3,-
Edgar Badia,-,-,-,-,0.9,0.1,-,-
Kenedy,0.8,0.9,1.1,-,0.4,0.7,0.1,-
Joaquín,0.3,0.6,0.4,-,0.3,0.3,-,-
Alfonso Pedraza,1.2,1.2,1.4,0.2,1.1,0.7,0.2,1
Sergi Gómez,0.4,0.7,0.1,-,3.6,-,0.4,-
Álvaro Fernández,-,0.1,-,-,0.7,0.1,-,-
Ander Capa,1.3,0.9,0.9,0.3,1.6,0.7,0.3,-
Rodrygo,0.7,0.3,0.7,-,-,0.7,-,-
Victor Chust,0.5,0.5,0.5,0.5,2.5,1,1,-
Lucas Olaza,1.4,1.1,0.6,0.6,2.1,0.6,0.5,-
Marc Bartra,1.4,2.1,1.5,1.4,3.8,0.5,0.3,-
Jonathan Calleri,0.6,-,1.7,-,0.4,0.6,0.1,-
Carlos Clerc,1.6,1.1,1.1,0.5,1.2,0.5,0.1,-
Rubén Rochina,1.5,0.9,1.6,-,0.2,0.9,0.1,-
Neto,-,-,-,-,0.9,0.1,-,-
Lucas Pérez,0.2,0.1,0.4,-,0.1,0.3,-,-
Sergiño Dest,1,0.3,0.5,-,0.6,0.5,0.1,-
Carlos Akapo,1.4,1.5,0.8,0.2,2.1,0.6,0.2,-
Juan Miranda,1.2,1.3,1,0.5,2.1,0.7,0.1,-
Ilaix Moriba,1,0.4,1.1,-,0.3,0.4,0.1,-
Gonzalo Verdú,1,1.6,0.9,0.5,3.3,0.4,0.9,-
Marc-André ter Stegen,-,-,-,-,0.7,0.1,-,-
Víctor Ruiz,0.4,1.6,0.9,0.7,3,0.3,0.5,2
Álvaro Odriozola,1.1,0.5,0.4,0.1,0.7,0.2,0.2,-
Ramiro Funes Mori,1.2,0.8,0.7,0.4,4.1,0.4,0.5,-
Vinícius Júnior,0.9,0.2,0.7,-,0.1,0.9,-,-
Roque Mesa,1.8,0.6,1.2,-,0.8,1.1,0.1,-
Martín Zubimendi,1.3,1.3,1.2,-,1.2,0.5,0.3,-
Antonio Sanabria,0.3,0.2,1.1,-,0.6,0.1,0.1,-
Aleix Vidal,0.8,1,0.4,-,0.5,0.6,0.1,-
Óscar Plano,1.2,0.9,1.2,-,1.1,0.9,0.2,-
Lee Kang-In,0.6,0.1,0.6,-,-,1.2,-,-
Nemanja Maksimovic,1.4,1.7,0.7,0.1,1.2,0.8,0.3,-
Moi Gómez,0.6,0.3,0.6,-,0.4,0.6,0.1,-
Álex Fernández,0.8,0.9,0.4,0.1,0.6,0.9,-,-
Nacho Vidal,1.6,1.3,1.3,0.4,1.7,0.3,0.3,-
Joaquín Fernández,1.2,1.7,1.1,0.5,4.4,0.4,0.6,-
Sime Vrsaljko,2,0.9,0.9,0.1,1,0.4,-,-
Tete Morente,1,0.4,0.9,-,0.9,1,-,-
Cucho Hernández,0.8,0.3,1.5,-,0.3,0.9,-,-
Saidy Janko,1,0.9,0.7,0.2,2.1,0.3,0.1,-
Jeison Murillo,1.5,1.2,1.5,0.4,3,0.6,0.5,-
Ivan Rakitic,0.9,0.7,0.9,-,0.8,0.8,0.1,-
Roger Martí,0.3,0.1,1.3,-,0.2,0.5,0.1,-
Raúl García,1,0.4,1.5,-,0.5,0.4,-,-
Héctor Herrera,0.8,0.9,0.6,-,0.4,0.4,0.1,-
Íñigo Martínez,0.8,1,1.1,0.6,3.4,0.6,0.3,-
Clément Lenglet,1.1,1,1.5,0.2,2,0.3,0.4,1
Borja Iglesias,-,0.1,0.7,-,0.3,0.3,0.1,-
Ximo Navarro,1.7,1.5,1.1,0.2,2.1,0.5,0.1,-
Hugo Guillamón,0.9,1.1,1.3,0.5,4.1,0.5,0.6,1
Aarón Martín,1.8,0.7,1.3,0.1,1.8,1.2,0.2,-
Willian José,0.2,-,0.2,-,0.5,0.2,0.1,-
Esteban Burgos,0.5,1.6,1,0.8,3.9,0.3,0.5,-
Sergi Enrich,0.8,0.2,1.1,0.1,0.2,0.5,-,-
Daniel Cárdenas,-,0.4,-,-,1,0.1,-,-
Jorge Pulido,1.2,1.6,1.1,0.5,2.8,0.4,0.5,-
Kike Barja,0.3,0.5,0.5,-,0.2,0.6,-,-
Raúl Albiol,0.6,0.6,0.4,0.7,4,0.1,0.6,-
Pablo Hervías,0.7,0.4,0.3,0.1,0.3,0.6,-,-
Igor Zubeldia,1,0.5,1.3,0.5,1.8,0.3,0.5,-
Josema,1.5,1.3,0.8,0.3,2.9,0.3,0.2,-
Sergio Asenjo,-,-,-,-,0.6,-,-,-
Jorge Miramón,1.2,1,0.6,0.2,1.7,0.5,0.1,-
Aihen Muñoz,1.4,0.6,1.1,0.2,1.7,0.5,0.1,-
