Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Sam Walker,-,-,-,-,-,-,-,-
Vadaine Oliver,0.2,0.2,2.6,-,1.1,0.1,0.2,-
Robert Atkinson,1.3,2.1,0.8,0.6,4.8,0.2,0.7,-
Jayden Stockley,0.1,-,1.5,-,1.6,0.1,0.2,-
Aiden McGeady,0.9,0.5,0.9,-,0.2,0.8,-,-
Jonson Clarke-Harris,0.5,0.2,1.8,-,1.1,0.3,0.2,-
Charlie Wyke,0.8,0.2,2.2,-,0.8,0.4,0.1,-
Siriki Dembélé,1.4,0.5,1.5,-,-,0.4,-,-
Jorge Grant,1.8,1.1,1.1,-,1.2,0.9,0.2,-
Josef Bursik,-,-,-,-,-,-,-,-
Benjamin Whiteman,1.6,2.3,1,-,1.6,0.8,0.5,-
George Honeyman,3.1,1,1.7,-,0.3,1,-,-
Thomas Hamer,1.8,1.2,1,0.2,2.9,0.4,0.3,-
Cameron Burgess,2.3,2.1,1.5,0.3,4.7,0.7,0.5,-
Mark McGuinness,1.1,2.3,1.4,0.4,5.5,0.8,0.7,1
Danny Ballard,0.7,1.7,1,0.9,5.2,0.1,0.8,-
Brandon Fleming,1.7,1.7,0.7,-,3.3,1.3,-,-
Joe Pigott,1,0.4,2.5,-,1.3,0.6,0.2,-
Callum Elder,2,0.9,1.3,0.2,2.3,0.3,0.3,-
Jake Forster-Caskey,2.2,1.6,1.6,-,1,0.7,0.1,-
Morgan Rogers,2.2,0.6,1.5,-,1.1,0.7,0.2,-
Nathan Baxter,0.1,-,-,-,1.1,0.1,-,-
Ryan Inniss,0.8,0.5,1.5,0.5,5.6,-,0.8,-
Joe Ward,0.8,0.8,0.3,-,0.7,0.5,0.1,-
Lee Evans,2.3,1.5,1.7,-,1,1.2,0.4,-
Alfie Doughty,2.4,0.6,1.1,0.1,0.1,0.9,0.1,-
Josh Ruffels,1.3,1.8,0.8,0.3,2.5,0.3,0.4,-
Mallik Wilks,0.5,0.3,1.7,-,0.6,0.3,0.1,-
Scott Fraser,1.1,0.6,0.6,-,0.1,0.6,-,-
Robbie Cundy,0.5,1.3,1,0.4,4.4,0.1,1,-
Sam Long,1.8,1.5,1.1,0.3,3.1,0.5,0.4,-
Ronan Curtis,1.4,0.5,2,-,0.5,0.9,-,-
Joe Lumley,-,-,-,-,0.5,-,-,-
Lewie Coyle,2.1,1.4,1.1,0.1,2.6,0.4,0.5,-
Will Nightingale,1.4,1.7,0.7,1,4.6,0.5,0.8,-
Jordan Thorniley,0.7,1.3,0.6,0.9,3.8,0.1,0.6,-
Mark Beevers,0.8,1.9,1,0.4,3.8,0.3,0.8,-
Joe Pritchard,1.2,0.6,1.1,-,1.4,0.8,0.1,1
Dan Butler,1.8,1.6,1.1,0.1,1.4,0.5,0.3,-
Frankie Kent,1.5,1.5,1.2,0.2,4.4,0.3,0.5,-
Ronnie Edwards,4.5,2,-,-,3.5,-,0.5,-
Jordan Graham,0.8,0.4,0.9,-,0.3,0.6,0.1,-
Ross Sykes,1.6,1.4,1.7,0.2,6.8,0.1,0.7,-
Nathan Thompson,2.4,1.3,1.4,0.3,1.7,0.6,0.3,-
Michael Nottingham,2.1,1.7,0.7,0.5,3.5,0.5,0.6,-
Connor Ogilvie,1.2,1.3,1,0.2,2.9,0.2,0.7,-
Perry Ng,2.7,1,0.9,0.4,2.4,0.7,0.3,-
James Wilson,1.1,2,0.8,0.3,5.2,0.2,0.6,-
Harry Smith,-,0.1,1.2,-,1.4,0.3,-,-
Sean Raggett,0.8,1,0.8,0.4,4.6,0.1,0.9,1
Daníel Grétarsson,0.9,2.4,0.3,0.9,4.8,0.1,0.3,1
Matthew Lund,1.7,1.3,1.8,-,1.5,0.9,0.2,-
Jack Tucker,1.2,2.7,1,0.5,5.1,0.3,1,-
Jack Taylor,2.3,1.6,1.5,-,1.1,0.9,0.2,-
Colby Bishop,0.5,0.1,1.8,-,1,0.4,0.1,-
Brandon Barker,1.1,0.5,0.5,-,0.2,0.5,-,-
George Dobson,2.9,2,0.8,-,1,0.9,0.5,-
Jordy de Wijs,1.3,1.4,1.4,0.6,5.7,0.1,0.7,-
Luke Garbutt,1.6,0.6,0.8,0.3,2,0.4,0.3,-
Kyle Dempsey,1.3,1.7,0.8,-,0.8,0.5,0.3,-
Wes Burns,1.4,1.2,1.1,-,0.7,0.6,0.1,-
Stephen Humphrys,0.8,0.1,1.4,-,0.4,0.2,0.1,-
Jake Beesley,1.1,0.3,1.5,-,0.5,0.4,0.2,-
Tom Naylor,1.8,1.1,0.8,-,2,1,0.6,1
Greg Docherty,2.4,1,1.2,-,0.8,1.3,0.2,-
Cian Bolger,1.2,0.8,1.2,0.4,8.7,0.4,0.9,-
Reece Burke,1.3,1.3,1.1,0.3,4.4,0.1,0.6,-
Lloyd Jones,0.6,1.5,1,0.5,6.6,0.2,0.6,-
Jacob Greaves,1.4,1.2,0.8,0.3,4.1,0.2,0.7,2
Luke Matheson,2,-,1,-,2.5,-,0.5,-
Hayden Carter,1.3,1,1,0.8,4.6,0.1,0.9,-
