Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Jökull Andrésson,-,-,-,-,1,-,-,-
James Vaughan,0.6,0.2,2.4,-,1.3,0.3,0.2,-
Scott Twine,1,0.5,0.4,-,0.1,0.5,-,-
Callum Guy,2.6,2.3,0.9,0.1,1.8,1.1,0.2,-
William Boyle,1.2,0.8,1.4,0.4,3.2,0.2,0.3,-
Tom Conlon,2.3,1.2,1.3,-,1,1.5,0.2,-
Paudie O'Connor,1.7,1.8,1.3,0.5,5.6,0.4,0.9,1
Mickey Demetriou,1.6,1.4,0.7,0.5,4.2,0.5,0.6,2
Jordan Tunnicliffe,1.5,1.3,0.7,0.4,5.1,0.2,0.8,-
Emmanuel Adebowale,3,6,1,3,2,2,-,-
Wes Hoolahan,1.3,0.6,0.9,-,0.1,1.4,-,-
Antoni Sarcevic,2,0.6,0.7,-,1.4,0.7,0.2,-
Carl Piergianni,1.7,1.8,1.1,0.6,6.9,0.3,0.9,2
Ricardo Santos,1.5,0.9,1.1,0.3,6.2,0.2,0.7,1
Joshua Kayode,0.7,0.5,1.5,-,0.9,0.3,0.1,-
Anthony O'Connor,1.4,2,0.8,0.4,4.2,0.3,0.8,-
Terence Vancooten,1.5,2.8,0.9,0.2,4.4,0.3,1,1
Max Watters,0.2,0.3,1.1,-,0.1,0.2,-,-
Conor Wilkinson,1,0.5,1.4,-,1.4,0.6,0.2,-
George Thomson,1.1,1.1,0.6,-,1.5,0.7,0.1,-
David Worrall,1,0.5,1.1,-,0.8,0.5,0.1,-
Di'Shon Bernard,2.3,1.5,1.6,0.3,3.1,0.2,0.5,-
Jamille Matt,0.6,0.3,2.4,-,1.1,0.3,-,-
Jordan Turnbull,1.4,1.5,1.1,0.4,3.9,0.2,0.5,1
Peter Clarke,0.8,1.1,1,0.3,4,0.3,0.8,-
Yann Songo'o,1.6,1.4,1.6,0.1,3.3,0.5,0.7,1
Alex Baptiste,1.6,1.2,0.7,0.4,4.4,0.3,0.8,-
