Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
André Ferreira,-,-,-,-,1,-,-,-
Alex Telles,2,1,1,0.3,1,0.3,-,-
Pote,1.5,0.8,1,-,0.2,1,0.1,-
Otávio,2,0.8,1.7,-,0.3,1.5,0.1,-
Nanu,1.3,1.7,2,-,1.3,0.3,-,-
Rafa,1.3,0.8,1.2,-,0.2,1.1,0.1,-
Iuri Medeiros,1,0.6,0.5,-,0.1,0.8,0.1,-
Sebastián Coates,1.3,1.5,0.9,1,2.8,0.5,0.5,-
Mehdi Taremi,0.6,0.3,1,-,0.3,0.3,0.1,-
Nuno Mendes,1.7,2.1,1,0.4,1.1,0.7,0.1,-
Thiago Santana,0.6,0.1,1.1,-,0.8,0.2,0.1,-
João Palhinha,3.3,1.5,2.5,0.1,1.2,1.2,0.1,-
Sérgio Oliveira,1.7,0.6,1.3,-,0.4,1.2,-,-
Carlos Junior,1.8,0.8,1.7,-,1.6,1.2,0.1,1
Haris Seferovic,0.1,0.1,1.1,-,0.7,0.3,-,-
Ryan Gauld,1.8,0.9,1.6,-,0.4,1.3,0.2,-
Everton,0.9,0.5,0.9,-,0.4,0.7,-,-
Alejandro Grimaldo,1.3,0.9,0.5,0.2,0.8,0.8,0.1,-
Pedro Porro,1.5,1.3,1.4,0.1,1,0.8,0.1,-
Lucas Verissimo,1.4,1.8,1.3,0.6,2.4,0.3,0.6,-
André Almeida,1,2,1.3,0.3,0.8,0.8,-,-
Ivo Rodrigues,1.5,0.9,1.5,-,0.8,1,0.2,-
Wendel,-,2,1,-,-,3,-,-
Paulinho,0.4,0.3,2.1,-,0.8,0.3,0.1,-
Jesús Corona,0.8,1,1.4,-,0.4,0.4,-,-
Adel Taarabt,1,0.9,1.7,-,0.1,1.1,-,-
Wenderson Galeno,0.8,1.2,0.7,-,0.6,0.9,-,-
Rúben Dias,0.5,-,1.5,1,0.5,0.5,-,-
Paulinho,0.8,0.1,1.3,-,0.6,0.5,0.1,-
Mateus Uribe,2.1,1.6,1.9,0.1,0.8,1.8,0.3,-
Joao Ferreira,3,1,-,-,1,2,-,-
Carlos Mané,1.3,0.9,1.1,0.1,0.5,0.7,-,-
Pedro Amador,2.3,3,1.5,0.3,2.5,1.3,0.5,-
Matous Trmal,-,-,-,-,0.3,-,-,-
Dener,1.8,2,2,-,1.7,1.5,0.4,-
Wilson Manafá,1.3,1,1.3,0.3,1,0.8,0.2,-
Guilherme,-,-,1,1,5,-,-,-
Paulinho,2.8,1.4,2.7,-,0.5,2.1,0.1,-
Rochinha,0.6,0.7,0.7,-,0.2,0.5,-,-
Luciano Vietto,0.7,-,1,-,-,1.7,-,-
Luis Díaz,0.9,0.4,1.7,-,0.1,0.7,-,-
Douglas Tanque,0.8,0.2,2.4,-,0.9,0.6,0.1,-
Gil Dias,2,1.3,0.9,-,0.8,0.9,0.1,-
Willyan,2,2,1.9,0.2,3.2,1.3,0.5,-
Zouhair Feddal,0.9,1.6,1.4,0.7,2,0.3,0.4,-
Ricardo Esgaio,2.2,1.5,1.4,0.1,1.6,1.3,0.3,-
Fábio Pacheco,3.5,2.7,1.4,0.1,1.8,1.7,0.8,-
Maurício Antônio,1.6,3,1,0.2,4.1,0.5,0.4,-
Oleg Reabciuk,1.8,1.6,2.1,0.3,1.6,0.7,0.2,-
Bruno Costa,1.5,0.9,1.7,-,0.2,1.1,0.2,-
Fahd Moufi,2,1.8,1.6,0.1,1.8,0.4,0.1,-
Nuno Sequeira,2.2,1.9,1.5,0.3,1.4,1.2,-,-
Pepe,1.2,0.9,0.8,0.6,2.7,0.2,0.5,-
Gideon Mensah,2.8,1.4,1.5,0.1,1.7,1,0.2,-
Léo Andrade,1.1,2,1,0.3,4.1,0.8,0.9,-
Ricardo Ferreira,-,-,-,-,0.6,-,-,-
João Mário,1,0.7,1.2,-,0.1,0.9,-,-
Hidemasa Morita,2,1.3,1.8,-,1.5,1.4,0.4,-
Jan Vertonghen,1,1.4,0.8,0.6,2.6,0.3,0.3,-
Daniel Guimarães,-,-,-,-,1.7,-,-,-
Rúben Lima,1.5,1.7,0.8,0.2,2,0.8,0.1,-
Nicolás Otamendi,2.1,2.6,1.7,0.9,2.7,0.7,0.4,-
Mario González,0.2,0.2,0.7,-,0.5,0.4,-,-
Aderllan Santos,1.5,1.8,1.4,0.7,4,0.5,0.8,-
Luís Neto,1.6,2.1,1,0.5,2,0.8,0.3,1
Darwin Núñez,0.3,0.1,1,-,0.3,0.3,-,-
Helton Leite,-,-,-,-,0.8,-,-,-
André André,1.5,1,2,-,0.7,1,0.1,-
Ricardo Horta,0.7,0.5,0.6,-,0.3,1.2,-,-
Nuno Santos,0.5,0.3,0.5,-,0.1,0.3,-,-
Zainadine Júnior,0.8,1.2,0.7,0.5,4.3,0.3,0.8,-
Getterson,2.5,1,1.5,-,0.5,2.5,1.5,-
Óscar Estupiñán,0.5,0.2,2,-,0.8,0.4,-,-
Falaye Sacko,1.3,2.2,0.8,0.3,1.9,0.4,0.1,-
Pizzi,1.1,0.3,0.8,-,0.1,0.9,0.1,-
Rúben Vinagre,1.1,0.9,0.9,0.2,1.2,0.5,0.1,-
Pedro Trigueira,0.2,0.1,-,-,1.1,-,-,-
Gabriel Pires,1.4,1.6,1.1,-,0.6,1.3,0.1,-
Ricardo Quaresma,0.6,0.2,0.8,-,0.1,0.7,-,-
Bruno Viana,1.2,1.1,1.1,0.8,2.8,0.2,0.2,-
Ruben Lameiras,1.2,0.6,0.7,-,0.6,1.3,0.4,-
Alberth Elis,0.5,0.3,1.9,-,0.9,0.6,-,-
André Castro,1.9,1.2,1.8,-,0.5,1.6,0.1,-
Claudio Winck,2.2,1.2,1.5,0.2,1.8,0.9,0.2,-
Lucas Fernandes,1.7,0.7,1.6,-,0.1,0.6,-,-
Kalindi,2.6,2.4,1.5,0.1,1.7,1.2,0.2,-
Diogo Gonçalves,1.1,0.6,1,0.2,0.6,0.5,-,-
Maracás,1.6,1.8,1,0.6,4.1,0.6,0.7,-
Stephen Eustáquio,2.4,1.4,1.2,-,1.2,1.4,0.3,-
Gustavo Sauer,1.9,0.6,1.3,-,0.4,1.7,0.1,-
Luís Maximiano,0.5,-,-,-,0.5,-,-,-
Fábio Abreu,-,-,0.7,-,0.3,-,-,-
Rodrigo Pinho,0.5,0.2,1.4,-,0.7,0.3,0.1,-
Amir Abedzadeh,-,-,-,-,0.7,-,-,-
Stanislav Kritsyuk,-,0.1,0.1,-,1.4,0.1,-,-
Pedrinho,1.7,0.2,0.9,-,0.3,1.5,0.2,-
Tiago Esgaio,2.1,1.5,1.1,0.3,2.8,0.9,0.5,-
Zaidu Sanusi,1.9,1.3,1.2,0.1,1,0.7,0.2,-
Angel Gomes,1.1,0.5,1.6,-,0.3,1.3,-,-
Odysseas Vlachodimos,0.1,-,-,-,0.8,0.1,-,-
Beto,0.5,0.1,1.6,-,0.8,0.4,0.2,-
Miguel Oliveira,-,-,-,-,1,-,-,-
André Moreira,-,-,-,-,0.6,0.3,-,-
Gilberto,1.8,0.9,1.5,0.4,0.8,1,0.1,1
Toni Martínez,0.3,-,0.6,-,0.3,0.1,-,-
João Vigário,1.9,1.4,0.8,0.1,1.9,0.9,0.3,-
Julian Weigl,1.5,1,1.4,0.1,1,0.9,0.3,-
Joel,0.8,0.3,1.4,-,0.9,0.2,-,-
Nahuel Ferraresi,1.6,1.3,0.8,0.4,2.8,0.6,0.2,-
João Talocha,0.9,1.5,0.6,0.3,2.2,0.3,0.3,-
Al Musrati,1.5,1.5,1.2,0.1,0.5,0.9,0.1,-
Gonçalo Inacio,0.8,1.6,1.3,0.5,2.1,0.3,0.2,-
Luther Singh,1,0.4,1.3,-,0.4,0.9,-,-
Crysan,1,0.1,2,-,0.3,0.7,0.1,-
César Martins,0.9,1.9,0.9,0.4,5.9,0.6,0.8,-
Moussa Marega,0.4,0.2,0.7,-,0.5,0.3,0.1,-
Zé Carlos,1,2.3,0.5,-,1.3,0.8,-,-
Allano,1.3,0.4,1.9,0.2,0.3,0.7,0.2,-
Ricardo Mangas,1.6,1.6,1,0.3,1.4,0.4,-,-
Pêpê,2,1.3,1.2,0.1,0.5,1.9,0.2,-
Manuel Ugarte,2.5,1.2,2.3,0.1,0.6,1.8,0.2,-
Anderson Carvalho,2.9,1.3,1.8,-,1.4,1.3,0.5,-
Marko Grujic,0.8,0.4,1.1,-,0.8,0.2,0.1,-
Vitor Tormena,0.6,1.2,1.2,0.5,2.3,0.2,0.5,-
Brian Araújo,-,-,-,-,1,-,-,-
Danilo Pereira,0.7,0.3,1.7,-,0.3,0.3,-,-
André Amaro,1.3,1.2,1.3,0.3,3.9,0.4,0.5,-
Rafael Ramos,2.2,1.2,1.4,0.4,1.5,0.9,0.1,-
Gian-Luca Waldschmidt,0.5,0.3,0.6,-,0.1,0.3,-,-
Lucas Possignolo,1.3,1.4,1.2,0.4,3.8,0.5,0.8,2
Chancel Mbemba,0.9,0.8,0.5,0.5,2.8,0.4,0.5,-
Filipe Augusto,2.3,1.5,2.8,0.1,1,1.4,0.4,1
Lourency,1,0.6,0.8,-,0.3,1.1,0.1,-
Yanis Hamache,1.2,0.9,1.1,0.1,1.4,0.6,-,-
Jovane Cabral,0.5,0.2,0.9,-,0.1,0.5,-,-
Miguel Cardoso,0.6,0.1,1.3,-,0.3,0.6,-,-
Pepelu,1.6,1.8,2.5,-,1.6,1,0.3,-
Morato,2,-,1,-,1.5,-,0.5,-
Fábio Cardoso,0.5,1.3,1.6,0.3,3.9,0.3,0.9,-
Raúl Silva,1.7,1.1,1.5,0.7,2.5,0.9,0.1,-
Luquinhas,0.7,0.2,0.9,-,0.1,0.9,0.1,-
Jonatan Lucca,1,1.2,1.2,-,0.5,0.8,0.2,-
Joel Pereira,1.2,1.4,0.6,0.2,1.3,0.5,0.1,-
Abdoulaye Ba,1.4,1.3,0.5,0.3,3.3,0.6,0.5,-
Jorge Silva,5,0.5,1.5,-,2.5,1.5,-,-
Léo Jardim,-,0.1,-,-,1,-,-,-
Pedro Marques,0.3,0.1,0.7,-,0.2,0.3,-,-
João Mário,0.4,0.1,0.6,0.1,0.1,0.5,-,-
Fransergio,1.3,0.6,1.9,-,1.1,1.4,0.1,-
Pelé,1.4,0.6,1,0.1,0.6,0.6,-,-
Nanu,0.9,0.5,1.1,0.2,0.9,0.3,-,-
Marcus Edwards,0.3,0.4,0.3,-,0.1,0.4,-,-
Lincoln,0.7,0.8,1.2,-,0.4,0.7,0.2,-
Mansur,1.4,1.3,1.3,0.3,2.3,0.7,0.2,-
Lucas Mineiro,1.5,0.6,2.4,-,1.2,1.1,0.2,-
Antonio Adán,0.1,-,0.1,-,0.8,0.1,-,-
Chidozie Awaziem,1,2,1.4,0.6,4.4,0.6,0.4,-
Pedro Nuno,-,-,1.2,-,0.5,0.7,-,-
Marco Baixinho,0.9,1.9,1.3,0.5,3.2,0.3,0.3,-
