Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Neymar,0.8,0.5,1.8,-,-,1.6,-,-
Kylian Mbappé,0.1,0.1,0.7,-,0.1,0.2,-,-
Andy Delort,0.4,0.1,1.8,-,1.1,0.3,-,-
Memphis Depay,0.1,0.1,0.8,-,0.1,0.5,-,-
Baptiste Santamaría,3,2.3,2.3,-,2.3,1.7,-,-
Yvann Maçon,5,1.5,1.8,0.3,1.5,2,0.3,-
Ángel Di María,1,0.2,0.4,-,0.2,1.3,-,-
Karl Toko Ekambi,0.5,0.7,0.8,-,0.2,0.7,-,-
Benjamin André,3.3,2.2,2,-,1.2,2,0.3,-
Téji Savanier,1.8,1.4,2.1,-,0.6,1.9,0.2,-
Gaetan Laborde,1.1,0.4,1.6,-,0.6,1.2,0.1,-
Marco Verratti,2.5,1.2,1.3,-,0.1,2.3,0.2,-
Fabien Centonze,2.9,3.1,1.2,0.1,3.1,0.8,0.5,-
Ludovic Ajorque,0.9,0.3,1.1,-,1.5,0.7,0.1,-
Farid Boulaya,0.7,0.4,0.6,-,0.2,1.2,0.1,-
Lucas Paquetá,2.3,0.7,2.2,-,0.4,1.4,0.1,-
Zinedine Ferhat,1.1,1,0.7,0.1,1,0.6,-,-
Frédéric Guilbert,2.8,2.5,1.4,-,1.8,1,0.1,-
Romain Faivre,1.5,0.8,1,-,0.4,0.9,-,1
Aleksandr Golovin,1.3,0.5,0.9,-,0.1,1.5,-,-
Steve Mounie,0.4,0.3,1.9,-,1.1,0.7,0.1,-
Aurelien Tchouameni,3.5,1.7,1.6,-,1.2,1.2,0.3,-
Raphinha,0.8,0.5,1,0.2,0.5,0.5,-,-
Marçal,1,2,1,1,-,-,-,-
Burak Yilmaz,0.5,0.2,1.2,-,0.8,0.9,-,-
Angelo Fulgini,0.7,0.5,0.9,-,0.3,0.7,-,-
Amine Gouiri,0.9,0.5,1.3,-,0.5,0.9,0.2,-
Kiki Kouyate,2.4,2.4,1.6,0.4,5.2,1,1.1,-
Romain Philippoteaux,0.3,0.7,0.3,-,-,1.3,-,-
Dimitry Bertaud,-,0.1,-,-,0.7,-,-,-
Jéremy Doku,1.5,0.4,1.2,-,-,0.5,-,-
Wesley Fofana,1.5,2,1.5,0.3,3.3,0.3,0.8,-
Jonathan Bamba,1.2,0.6,0.7,-,0.3,1.6,0.1,-
Yohann Pelé,-,-,-,-,1,-,-,-
Arkadiusz Milik,0.9,0.1,1,-,0.5,0.7,0.1,-
Kevin Volland,0.9,0.1,1.7,-,0.1,0.7,-,-
Wissam Ben Yedder,0.5,0.4,0.3,-,0.1,0.3,-,-
Ludovic Blas,1.6,0.6,1.5,-,0.4,0.9,0.1,-
José Fonte,1.1,1,0.8,0.3,3.8,0.2,0.6,1
Reinildo,2.7,1.6,1.3,0.1,1.5,0.8,0.1,-
Marquinhos,1.1,1.1,0.6,0.4,2.9,0.4,0.4,-
Pape Abou Cissé,1.1,1.9,0.7,0.4,6.1,0.3,0.3,-
Rafinha,2.3,0.6,1,-,0.1,0.9,0.1,-
Mahdi Camara,2.7,2.1,1.3,0.1,1.4,0.7,0.3,-
Léo Dubois,1,0.9,0.6,0.1,1.3,0.5,0.2,-
Mehmet Zeki Çelik,2.5,1.3,1.9,-,1.3,1.3,0.2,1
Sven Botman,0.8,1.5,0.4,0.2,3.2,0.3,0.6,-
Florian Thauvin,1.1,0.4,0.7,-,0.3,0.9,0.1,-
Mathieu Debuchy,2.2,1.7,1.5,0.2,2,0.8,0.3,-
Marcelo,1.3,1.4,1.1,0.3,3.5,0.3,0.7,-
Alfred Gomis,0.2,0.2,-,-,1.8,0.2,-,-
Massadio Haidara,1.9,1.4,1.3,0.1,2,0.6,0.2,-
Moise Kean,0.4,0.3,1.3,-,0.4,0.3,-,-
Sofiane Diop,1.5,1,1,-,0.3,1.1,-,-
Loic Bade,1.8,2.4,1.4,0.3,4.3,0.8,0.5,-
Tinotenda Kadewere,1.1,0.6,1.1,-,0.8,1,0.1,-
Nayef Aguerd,1.1,1.3,0.6,0.4,2.9,0.3,0.6,-
Boubacar Kamara,2.5,1,1.4,-,1.3,1,0.4,-
Valentin Rongier,3.6,1.1,1.7,-,0.8,1.6,0.1,-
Vincent Pajot,2.9,3.5,1.3,-,0.8,0.7,0.2,-
Laurent Koscielny,1.1,2.1,0.5,0.6,4.4,0.3,1.3,-
Brendan Chardonnet,1.5,1.9,0.9,0.5,4.5,0.4,1.2,-
Dimitri Payet,0.8,0.2,0.5,-,0.3,0.7,0.1,-
Serhou Guirassy,0.1,0.2,1.4,-,0.6,0.1,-,-
Lilian Brassier,1.7,2.1,1.7,0.4,3.2,0.4,0.5,-
Randal Kolo Muani,0.6,0.2,1.7,-,0.7,0.5,0.1,-
Pol Lirola,1.5,1.3,0.7,0.4,1.2,0.6,0.3,-
Keylor Navas,-,-,-,-,0.6,-,-,-
Jeff Reine-Adélaïde,-,-,1,-,-,-,-,-
Jeff Reine-Adélaïde,0.5,0.3,0.4,-,0.4,0.5,0.1,-
Yunis Abdelhamid,1.8,1.8,1.1,0.3,3.7,0.5,0.5,-
Hatem Ben Arfa,0.5,0.1,0.8,-,-,0.3,-,-
Habib Maïga,2.6,1.6,2.1,-,1,1.4,0.2,-
Hamari Traoré,1.6,2.2,1.1,0.3,1.1,1.1,0.1,-
Alexander Djiku,2,3,1.7,0.3,3.3,0.7,0.3,-
