Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Carles Gil,0.8,0.4,0.1,-,-,0.6,-,-
Nani,1.4,0.2,1,-,1.4,0.6,-,-
Randall Leal,2.1,1,1.4,-,0.4,0.6,-,-
João Paulo,2.9,1.1,1.6,-,1.1,1.9,0.5,-
Joshua Atencio,5.5,0.5,0.5,0.5,1.5,1,1,-
Jamiro Monteiro,3.3,1.1,2.5,-,-,2,-,-
Lucas Zelarayán,1.2,0.7,0.3,-,-,0.8,-,-
Damir Kreilach,1.2,0.3,0.8,-,1.5,1,0.2,-
Jesús Medina,1.3,-,0.4,-,-,1,0.1,-
Jonathan Bond,-,-,-,-,0.9,-,-,-
Valentín Castellanos,0.7,0.4,2.7,-,0.9,1.3,0.1,-
Cristian Cásseres Jr,4.7,1.7,2.3,-,0.4,1.7,-,-
Emanuel Reynoso,1.5,0.3,1.5,-,0.2,1.3,-,-
Rubio Rubín,-,-,0.2,-,0.7,0.2,0.2,-
Milton Valenzuela,4,2,1,-,2,-,-,-
Jack Price,2.4,1.4,1.9,-,0.7,1.7,0.4,-
Ilie Sánchez,2.3,2.5,1,0.5,2.5,0.5,1,-
Cristian Roldan,1,1.1,0.6,-,1.5,1,0.4,-
Przemyslaw Tyton,-,-,-,-,2.5,-,-,-
Alex Roldan,2.3,2.8,0.8,-,1.1,0.6,0.4,-
Mason Toye,0.7,-,0.3,-,0.7,0.3,-,-
Eduard Atuesta,2.1,1.1,1.7,-,0.4,1.3,0.1,-
Gianluca Busio,2.4,1.8,0.8,-,0.6,1.5,0.3,-
Chicharito,0.6,0.4,0.9,-,0.6,0.3,-,-
Eryk Williamson,2.3,1.6,0.4,-,1.3,1,0.4,-
Daniel Lovitz,1.3,1.7,1.3,-,1.7,1,0.7,-
Adam Buksa,0.3,-,1.9,-,1.1,0.6,0.1,-
Marcelino Moreno,1.4,0.1,0.9,0.1,0.4,1.1,-,-
Russell Canouse,3.3,2.3,2.3,0.3,1,1.5,-,-
Jack Elliott,1.6,1.8,0.4,0.4,5.3,0.4,0.4,-
Diego Rubio,1,0.3,1.1,-,0.3,0.7,0.3,-
Brandon Bye,2.5,1,0.9,0.3,1.5,1.3,0.1,-
Andre Blake,-,0.1,-,-,0.6,0.1,-,-
Yeimar Gómez,2.1,2.6,0.5,0.4,5.6,0.5,0.4,-
Alan Pulido,0.8,-,0.5,-,0.3,0.4,0.1,-
Lucas Cavallini,1,0.1,1.6,-,0.9,0.6,0.3,-
Julian Araujo,3.5,2.3,1.3,-,3.2,0.5,0.3,-
Xavier Arreaga,1.4,1.6,1.9,0.7,3.7,0.3,0.6,-
Kyle Duncan,3.3,2,1.3,-,2.1,0.9,0.3,-
Andrew Brody,2.4,1,-,-,1,0.2,0.4,-
Raúl Ruidíaz,0.3,0.4,1,-,-,0.4,-,-
Nouhou Tolo,2.1,2,0.8,0.4,3.6,0.4,0.5,-
Logan Ketterer,0.3,-,-,-,1,0.3,-,-
Alejandro Bedoya,2.3,1.4,1.5,-,0.9,0.6,-,-
Kai Wagner,1.9,2.4,1.1,0.3,0.9,1.5,0.1,-
Perry Kitchen,4,-,3,-,3,2,-,-
Graham Zusi,1.7,1.7,1,0.3,1,0.7,-,-
Tyler Miller,-,-,-,-,1,0.3,-,-
Aaron Long,2.6,2,1.4,0.8,3.2,0.4,0.4,-
Brad Stuver,-,-,-,-,0.9,-,-,-
Michael Barrios,0.9,0.3,1,-,0.3,1.4,-,-
Kyle Smith,4.3,0.6,1.6,-,2.7,1,0.4,-
Bakaye Dibassy,2,5,2,1,3,-,-,-
Walker Zimmerman,0.9,1.7,0.7,0.1,4,0.3,0.6,-
Bill Tuiloma,1.2,1.8,1.3,0.5,3.5,0.2,0.7,-
Cristian Dájome,2.1,0.9,1.1,-,0.3,0.9,0.1,-
Sebastian Lletget,2,0.3,1.3,-,0.5,0.8,-,-
Bill Hamid,-,-,-,-,-,-,-,-
Luciano Acosta,1.5,0.3,2,-,0.3,0.8,-,-
Danny Wilson,1.9,1.3,1.9,0.4,2.7,1.1,1.3,-
Donovan Pines,0.5,1,-,1,4,-,1,-
Nicolas Isimat-Mirin,1,2,0.5,1.5,5.5,-,0.5,-
Andrew Gutman,2.3,2.5,1.3,-,1.3,1.3,0.3,-
Caden Clark,3,1,1.9,-,0.4,1.9,-,-
Rodrigo Schlegel,1.5,1.7,1.5,0.5,3.3,1,1,-
Jhegson Méndez,3,2.4,2.3,-,1.1,1.3,0.1,-
Cristián Gutiérrez,2.5,1.7,0.5,-,1.7,1.2,0.2,-
Kacper Przybylko,0.6,-,0.9,-,0.6,0.6,-,-
Robin Lod,1.5,0.2,1.2,-,0.5,1.7,-,-
Anton Tinnerholm,1.2,1.6,1.4,0.2,0.6,0.6,-,-
Cecilio Domínguez,1.3,0.3,0.7,0.1,0.4,1,0.1,-
Julian Gressel,1.8,2,1.3,-,0.8,1.3,0.3,-
Fafà Picault,1,0.9,1.8,-,1.4,0.1,0.4,-
Tomás Pochettino,1.7,1.7,1,-,1.8,1.5,0.2,-
Jesús David Murillo,1.3,2.9,1.7,1.1,6.1,-,0.4,-
Alexander Ring,3.8,1.8,1.3,0.2,1.8,2.8,0.7,-
Cory Burke,0.7,0.3,1.4,-,0.7,0.4,-,-
Joel Waterman,2.7,3.3,1,1,4,2,0.3,-
Dániel Sallói,0.5,0.4,0.1,-,0.1,0.4,-,-
Júnior Urso,1.7,1.7,1.1,-,0.4,1,0.1,-
Luka Stojanovic,2.3,0.8,1.5,-,0.5,1,0.2,-
Jackson Yueill,3,0.6,0.7,-,0.6,0.3,0.1,-
Boris Sekulic,2.6,1,1.6,0.1,1.9,1,0.6,-
Antônio Carlos,1,2.9,0.7,1,3.7,0.1,0.9,-
Álvaro Medrán,1.3,1.6,0.7,-,0.3,0.6,-,-
Bryan Acosta,1.7,2.3,2.3,-,0.3,1,0.3,-
Andrés Ricaurte,0.9,0.9,1,-,0.4,1.6,0.1,-
Cade Cowell,0.9,0.3,1.1,-,0.1,0.8,-,-
Francisco Calvo,1.7,2.9,0.9,0.3,3.7,0.4,1,-
Waylon Francis,2.4,2.8,0.8,0.2,2.2,1,0.2,-
Gustavo Bou,0.7,0.5,1,-,0.2,0.8,-,-
Pedro Santos,3,1.2,2.2,-,0.5,1.7,-,-
Auston Trusty,1.4,1.6,1.4,1,5.7,0.4,0.7,-
Niko Hansen,-,-,-,-,-,-,-,-
Geoff Cameron,2.7,1.3,1.7,1,5,0.3,1,-
