Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Harry Kane,0.6,0.3,0.7,-,1.1,0.5,0.3,-
Kevin De Bruyne,1.4,0.4,1.1,-,0.3,1.4,-,-
Jack Grealish,1.2,0.5,1.5,-,0.2,0.3,0.1,-
Bruno Fernandes,1.5,0.7,1.2,-,0.7,2,-,-
Tomas Soucek,2.1,1.6,1.8,0.1,2.7,1.3,0.5,1
Mason Mount,2.1,0.9,1.4,-,0.3,1.2,0.1,-
Sadio Mané,1.4,0.4,1.5,-,0.3,0.6,-,-
Riyad Mahrez,0.7,0.3,0.5,-,0.1,0.9,-,-
João Cancelo,2.4,1.5,1.3,0.3,1,1.4,0.1,-
Gareth Bale,0.9,0.4,0.5,0.1,0.7,0.4,0.1,-
Nathaniel Phillips,1.3,1.2,1.2,0.5,4.8,0.8,0.8,-
Ilkay Gündogan,0.9,0.7,0.3,-,0.3,1,0.1,-
Son Heung-Min,0.9,0.4,0.4,-,0.1,1.5,0.1,-
Wilfred Ndidi,3.7,2.3,2.1,0.1,2,1.5,0.4,-
Jesse Lingard,0.8,0.3,1.3,-,-,0.6,0.1,-
Raphinha,1.1,1,0.4,-,0.9,1.5,-,-
Raheem Sterling,0.7,0.5,1.2,-,0.1,0.2,-,-
James Rodríguez,1.2,0.7,0.7,-,-,1.5,-,-
Ollie Watkins,0.8,0.2,1.3,-,0.6,0.6,0.1,-
Kortney Hause,0.6,1.1,0.7,0.4,7.6,0.4,0.3,-
Rodri,2.1,1.1,1.3,-,1.6,1,0.3,-
Michail Antonio,0.3,0.3,1.1,-,0.3,0.2,0.1,-
Dominic Calvert-Lewin,0.5,0.2,1.1,-,1,0.2,0.2,-
Jimmy Dunne,1,2,0.7,0.3,5.3,0.3,0.7,-
Aaron Wan-Bissaka,2.6,1.8,0.9,0.2,1.8,0.4,0.5,-
Phil Foden,0.8,0.4,0.4,-,0.4,0.5,-,-
Joseph Willock,1.9,1.2,0.6,-,0.7,2.4,0.2,-
Marcus Rashford,0.5,0.2,0.7,0.1,0.3,0.5,0.1,-
Thiago,2.5,1.3,2,-,0.5,1.3,-,-
Allan Saint-Maximin,0.6,0.2,0.4,-,-,0.2,-,-
Gabriel Jesus,0.6,0.5,1,-,0.2,0.6,-,-
Pedro Neto,0.5,1,0.8,-,0.2,0.7,0.1,-
Adama Traoré,0.8,0.2,1.3,-,0.3,0.2,-,-
Roberto Firmino,0.9,0.3,0.6,-,0.3,0.7,0.1,-
Jamie Vardy,0.5,0.1,0.8,0.1,0.9,0.4,0.1,-
Mat Ryan,-,-,-,-,1,-,-,-
Youri Tielemans,2.3,1.2,1,-,0.4,1.7,0.2,-
Lucas Digne,2.1,1,1.1,0.1,2.4,0.8,0.1,-
Christian Benteke,0.5,0.1,1.2,-,1.3,0.2,0.2,-
Bernardo Silva,1,0.7,0.7,-,0.2,1.6,-,-
Kurt Zouma,0.7,1.2,0.7,0.5,3.8,0.2,0.4,-
Solly March,2.3,1,1.2,-,1,0.8,0.2,-
James Ward-Prowse,2,1.1,1.2,-,1.4,1.1,0.1,-
Mohamed Salah,0.5,-,0.6,-,0.3,0.2,-,-
Liam Cooper,2.7,2.4,0.9,0.5,2.7,0.9,1.3,-
Kiko Casilla,-,-,-,-,1.3,-,-,-
Serge Aurier,2.9,1,1.2,0.2,2.2,1.3,0.3,-
Paul Pogba,1.4,1,1.6,-,1.4,0.8,0.1,-
Harry Maguire,0.9,1.8,1.2,0.6,3.6,0.3,0.7,-
John Stones,1,0.8,0.3,0.7,2.5,0.2,0.7,-
