Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Kyle Lafferty,0.5,0.3,1.8,-,0.3,-,-,-
James Tavernier,1.8,1.2,0.7,0.1,1.2,0.6,0.1,-
Christopher Jullien,1.2,1.2,1,0.9,3.6,0.2,0.4,1
Ryan Kent,0.8,0.6,0.7,-,0.1,0.6,-,-
Joe Aribo,1.5,0.9,0.8,-,0.7,0.6,0.1,-
Borna Barisic,0.9,1.2,0.8,0.1,1.7,0.4,0.2,-
Connor Goldson,1.3,0.9,0.8,0.4,3,0.2,0.6,-
Odsonne Edouard,0.3,0.1,0.6,-,0.2,0.3,-,-
Anthony Ralston,2,1,1,-,5,-,-,-
Shane Duffy,0.8,1.2,1.3,0.4,4.3,0.1,0.9,-
Ryan Christie,1.6,0.4,0.9,-,0.8,1.1,0.1,-
David Turnbull,0.6,0.4,0.6,-,0.6,0.4,-,-
David Turnbull,0.5,0.2,0.7,-,0.2,0.3,0.1,-
Kristoffer Ajer,1.2,1.5,0.7,0.5,3.3,0.5,0.3,-
Hakeem Odoffin,1.9,3.3,1.3,0.4,4.6,0.9,1,-
Lyndon Dykes,-,0.3,1.7,-,1,-,-,-
Alfredo Morelos,0.8,0.1,1.5,-,0.7,0.4,0.1,-
Paul Hanlon,1.5,1.6,0.6,0.4,4.4,0.4,0.7,-
Kemar Roofe,0.6,0.1,1,-,0.5,0.4,-,-
Ash Taylor,1.3,1.7,0.8,0.6,5.1,0.2,0.7,-
Darren McGregor,1,1.8,0.9,0.5,5.3,0.9,0.5,-
Jon Guthrie,1.3,2.6,0.9,0.6,4.5,0.2,0.4,-
Jordan White,0.3,0.1,3,0.1,3.6,0.3,-,-
Scott McKenna,0.8,0.5,1.3,0.8,4,-,0.3,-
Filip Helander,1.7,0.7,1.1,0.9,2.2,0.4,0.4,-
Marley Watkins,0.6,0.6,2.7,-,0.2,0.6,0.1,-
Lewis Ferguson,1.8,1.2,2.2,-,1.5,0.9,0.3,-
Joe Newell,1.8,1.1,1.7,-,0.6,1.3,0.3,-
Leon Balogun,1.2,1.4,0.9,0.5,1.7,0.2,0.2,-
Ryan Edwards,0.4,0.6,0.7,1,8,0.4,1.3,-
Ryan Jack,1.1,1.1,0.7,-,0.3,0.5,0.1,-
Benjamin Siegrist,-,-,-,-,0.9,-,-,-
Callum McGregor,0.9,0.9,0.8,0.1,1,0.6,0.2,1
Steven Davis,1.7,1.3,0.8,0.1,0.7,0.7,0.1,-
Paul McGinn,2,1.4,1.1,0.1,1.9,0.6,0.3,-
Christian Doidge,0.4,0.1,1.9,-,0.8,0.2,0.1,-
Stephen Welsh,0.9,1.2,0.8,1,3.6,0.5,0.4,-
Sean Mackie,4.5,2.5,1,-,2,1.5,-,-
Ross McCrorie,2,0.5,2,0.1,1.2,0.6,-,-
Jake Doyle-Hayes,2.1,2.1,1.3,0.1,1.6,0.9,0.7,-
Jamie McGrath,1.4,0.7,0.7,-,1.4,0.8,0.3,-
Jason Kerr,1.6,1.7,0.7,0.3,4.1,0.5,0.3,-
Tommie Hoban,1.3,1.3,0.9,0.6,4.5,0.2,0.7,-
Jonjoe Kenny,1.9,1.4,1,0.1,1.3,0.4,0.4,-
