Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Toni Sunjic,5,2,0.5,0.5,6.5,0.5,-,-
Artem Dzyuba,0.2,0.2,0.9,-,0.4,0.1,-,-
Christian Noboa,1.7,1,1,0.1,1.4,0.8,0.1,-
Douglas Santos,2,1.4,0.3,0.1,1.5,0.5,0.1,-
Aleksandr Silyanov,4,2,1.5,0.5,4,1.5,-,-
Oliver Abildgaard,2,2.9,1.6,-,2.4,0.6,0.8,-
Aleksey Miranchuk,1,0.3,0.3,-,0.3,2,-,-
Alexander Sobolev,0.4,0.2,1.3,-,0.5,0.2,-,-
Sardar Azmoun,0.6,0.2,0.5,-,0.4,0.2,-,-
Nikola Vlasic,0.7,0.3,1.2,-,0.1,0.6,-,-
Jordan Larsson,0.4,0.3,1.2,-,0.1,0.3,-,-
Khvicha Kvaratskhelia,1.3,0.7,0.8,-,0.2,0.6,-,-
Rémy Cabella,1.4,0.6,0.7,-,-,0.5,0.2,-
Murilo Cerqueira,1.3,1.2,1.3,1,5.2,0.2,0.8,-
Malcom,0.6,0.1,0.7,-,0.1,0.6,-,-
Anton Zabolotny,0.1,0.3,1.2,-,0.7,0.1,0.2,-
Filip Dagerstål,2.9,2.9,1.5,0.1,2.7,1,0.7,-
Mario Fernandes,1.9,2.2,0.7,-,2.4,0.4,0.5,-
Grzegorz Krychowiak,1.3,1.5,1.1,-,0.5,0.9,0.3,-
Egor Baburin,-,-,-,-,1,-,-,-
Dmitrii Merenchukov,4,1.5,0.5,-,2.5,0.5,1,-
Wendel,1.4,1,0.5,-,0.1,0.7,0.1,-
Evgeni Gorodov,-,-,-,-,-,-,-,-
Pablo,0.2,2.9,0.6,0.7,4.1,0.4,0.9,-
Daler Kuzyaev,2.6,1.1,1.2,-,0.6,1,0.1,-
Daniil Lesovoy,1.5,0.4,0.7,-,0.2,0.7,-,-
Sebastian Szymanski,2.6,0.7,1.2,-,0.1,1,0.1,-
Artur Yusupov,1.7,0.9,0.7,-,1,1.2,0.2,-
Ayrton Lucas,2.4,0.9,1.7,0.2,0.9,0.9,0.2,-
Wanderson Maciel,0.7,0.3,0.6,-,0.2,0.2,-,-
Djorde Despotovic,0.3,0.2,0.9,-,0.5,0.2,0.1,-
Denis Makarov,1.6,1.1,1.2,-,0.4,1.1,0.1,-
Arsen Zakharyan,2,0.4,1.2,-,0.1,0.8,0.2,-
Sergey Petrov,1.2,1.5,1.1,0.1,0.7,0.4,0.4,-
Roman Zobnin,1.3,1.3,1.1,0.1,0.9,0.7,0.1,-
Vitaliy Sychev,-,-,-,-,0.5,-,-,-
Chidera Ejuke,0.8,0.4,0.2,-,0.2,0.5,-,-
Denis Glushakov,1.6,1.7,0.8,0.1,1.2,0.9,0.1,-
Anton Kochenkov,-,-,-,-,0.5,-,-,-
Maciej Rybus,1.7,2,1.3,0.3,2.3,0.5,0.3,-
Roman Evgeniev,2,2.7,1,0.5,3.4,0.7,0.6,-
Maksim Osipenko,1.6,2.2,0.6,0.8,5,0.5,0.6,-
Samuel Gigot,1.8,1.7,1.1,1,3,0.3,0.8,-
Victor Moses,1,0.9,1.2,0.1,0.8,0.5,0.1,-
Rafal Augustyniak,1.4,1.4,1.3,0.3,1.6,0.9,0.7,-
Igor Diveev,1.4,1.7,0.9,0.3,4.5,0.6,0.7,-
Maksim Mukhin,3.6,1.9,1.9,-,1.2,2.4,0.4,-
Ivan Oblyakov,1.6,1.3,0.8,-,0.8,0.6,0.3,-
Quincy Promes,0.6,0.5,0.7,-,0.1,0.4,-,-
Wilmar Barrios,2.3,1.8,1,0.1,1,0.6,0.2,-
Denys Kulakov,1.7,1.2,0.5,0.1,2.2,0.4,0.2,-
Alex Kral,1.5,1.8,1.1,-,0.8,0.8,-,-
Baktiyor Zainutdinov,1,1.3,1.8,0.3,1.3,0.5,0.3,-
Aleksandr Martynovich,1.3,2.6,0.8,0.6,3.5,0.5,0.5,-
Fedor Smolov,0.3,0.1,0.6,-,0.2,0.3,-,-
Dejan Lovren,1.1,1.3,0.6,0.5,2.8,0.3,0.6,1
Ilya Samoshnikov,2.8,2.3,1,0.3,2.2,0.7,0.2,-
Oleg Danchenko,1.1,0.8,0.5,0.1,0.3,0.6,-,-
Ivan Ordets,1,2.6,0.9,0.4,3,0.2,0.7,-
Hwang In-Beom,0.9,1.5,0.8,-,0.7,0.6,0.2,-
Artem Polyarus,0.4,0.6,0.6,-,0.7,0.3,0.1,-
Aleksandr Filin,1.8,2.8,1.2,0.4,3,0.9,0.6,-
Daniil Fomin,1.6,0.8,1.6,-,1.1,0.7,0.1,-
Reziuan Mirzov,0.6,0.3,0.4,-,-,0.1,-,-
Daniil Odoevskiy,-,-,-,-,-,-,-,-
Mathias Normann,1.7,1.5,1.5,0.1,0.9,0.5,0.5,-
Vedran Corluka,0.4,1.7,0.3,0.4,4,0.2,0.7,-
Miha Mevlja,1,1.3,0.6,0.7,5,0.1,0.6,-
Anton Miranchuk,0.6,0.4,0.9,-,0.3,0.5,0.1,-
Danila Prokhin,1.6,2.4,1.4,0.4,3.1,1.3,0.9,-
Viktor Claesson,1.1,0.5,0.7,-,0.5,0.5,0.1,-
Igor Kalinin,1.3,2.2,1.3,-,2.2,0.5,0.3,-
Oleg Ivanov,1.7,0.9,0.8,-,0.7,1.3,0.3,-
Ilya Lantratov,0.1,-,-,-,0.7,-,-,-
Konstantin Kuchaev,1.4,0.6,0.9,-,0.5,0.8,-,-
Sergey Terekhov,1.7,1.7,1.1,0.2,1.8,0.6,0.3,-
Danil Glebov,2.1,2,0.9,-,1,1.1,0.3,-
Dennis Hadzikadunic,1,1.4,1.5,0.7,4.3,0.2,0.5,-
Vyacheslav Karavaev,1.8,0.6,0.4,0.3,1.6,1.1,-,-
Dmitri Tikhiy,1.4,2.8,0.6,0.2,3.7,0.3,1,-
Vladislav Kamilov,1.2,0.9,1.8,-,1.6,0.9,0.3,-
Soslan Takazov,0.7,1.6,0.6,0.4,6.6,0.6,1,-
Viktor Vasin,1.2,1.6,0.6,0.9,3.2,0.7,0.5,-
Filip Mrzljak,2.8,0.7,2.3,-,1.1,0.7,0.1,-
Alexander Lomovitskiy,1.5,0.8,1.8,0.1,1.1,0.4,-,-
Miroslav Bogosavac,2.4,2.4,0.7,0.1,1,0.6,0.2,-
Komnen Andric,0.5,0.5,1.7,-,0.8,0.2,-,-
Carl Starfelt,1.1,1.4,0.4,0.8,3.9,0.1,0.8,-
Magomed Ozdoev,1.4,1.5,0.9,-,0.8,0.5,0.2,-
Sebastián Driussi,0.9,0.5,1.4,-,0.2,0.5,-,-
Arsen Adamov,1.8,2,1.3,0.1,1.1,0.4,0.3,-
Moritz Bauer,0.6,0.7,0.4,-,0.9,0.4,-,-
Nemanja Miletic,1.7,1.6,0.7,-,1.7,0.4,-,-
Yaroslav Godzyur,-,0.1,-,-,1.1,-,-,-
Yuri Dyupin,0.1,-,-,-,1.3,-,-,-
Konstantin Maradishvili,2.4,1.8,1.3,-,0.7,0.7,0.2,-
Ezequiel Ponce,0.4,0.1,1.7,-,0.4,0.2,-,-
Abdul Mohammed Kadiri,1.4,0.5,0.8,0.3,2.9,1.1,0.6,-
Dmitriy Chistyakov,0.3,1.4,0.7,0.4,3.1,0.2,0.4,-
Nikola Moro,1.5,1.7,1,-,1.2,0.8,0.3,-
Filip Uremovic,1.6,1.4,0.8,0.8,3.9,0.3,0.5,-
Yaroslav Rakitskiy,0.6,1.2,1.1,0.7,2.1,0.1,0.5,-
Kaio,1.5,2.5,1.3,0.6,3.1,0.3,0.4,-
Brian Idowu,1.8,1.4,1,0.2,2.8,0.7,0.2,-
Bernard Berisha,1.1,0.7,1.3,-,-,0.7,-,-
Daniil Lesovoy,0.8,0.3,0.7,-,0.3,0.5,-,-
Igor Leshchuk,-,-,-,-,0.3,-,-,-
Othman El Kabir,1.1,0.6,0.4,-,0.4,0.1,-,-
Artem Timofeev,1.8,1.8,1.3,-,1.6,1,0.1,-
Eric Bicfalvi,1,0.3,1.7,-,1.4,0.5,-,-
Hördur Magnússon,0.9,1.5,1.1,0.4,3,0.4,0.6,-
Marcus Berg,0.5,0.2,1.6,-,0.7,0.5,0.1,-
Darko Jevtic,1,0.6,1.1,-,0.6,0.9,0.2,-
Emil Bohinen,1.8,1,0.8,-,-,1.5,-,-
Matvey Safonov,0.1,-,-,-,1.2,0.1,-,-
Aleksandr Belenov,-,-,-,-,1,0.1,-,-
Cedric Gogoua,1.1,2.3,1.5,0.5,5.8,0.4,1.5,-
Zoran Nizic,1,1.6,0.8,0.3,3.9,0.2,0.9,-
Dmitri Skopintsev,1.2,1.5,0.5,-,2,0.5,0.1,-
Stefan Strandberg,1.1,2.4,0.8,0.3,2.8,0.4,0.5,-
Sergei Borodin,1,2,-,-,1,-,-,-
Ismael Silva,1.4,0.8,1.6,-,0.4,0.3,-,-
Ilya Kukharchuk,0.8,1,1,-,0.5,0.7,-,-
Salomón Rondón,0.3,0.3,0.7,-,0.3,-,-,-
Kings Kangwa,1.6,0.8,0.7,-,0.5,0.6,-,-
Nail Umiarov,2.2,1.2,0.8,0.1,0.5,0.7,0.1,-
Timofey Margasov,1.4,1.2,1.3,0.1,1.5,0.6,0.2,-
Yuri Gazinskiy,0.9,1.6,0.8,-,0.7,0.3,0.3,1
Kento Hashimoto,1.4,1.5,1.5,-,1.3,0.4,0.1,-
Kirill Nababkin,0.7,3.3,0.3,0.7,2.3,0.7,0.7,-
Oleksandr Kaplienko,1.1,2.1,0.9,0.2,3.8,0.1,0.8,-
Sergey Pesjakov,-,-,-,-,0.6,-,-,-
Dmitriy Shomko,1.5,2.8,1.3,-,2,1,0.3,-
Ilya Pomazun,0.1,0.1,-,-,0.4,0.1,-,-
Vladimir Rykov,1.5,1.3,1.1,0.3,3.5,0.3,0.9,-
Vyacheslav Grulev,0.6,0.3,1.1,-,0.4,0.2,-,-
Josip Condric,-,-,-,-,1,0.1,-,-
Nikita Burmistrov,1.4,0.2,1.2,0.1,0.4,0.6,-,-
Vitaly Gudiev,-,-,-,-,0.6,0.1,-,-
German Onugkha,0.4,0.4,1.5,-,0.3,-,0.2,-
Andrey Semenov,1.3,1.5,1.4,0.2,3.2,0.7,1.2,-
Vladimir Iljin,0.5,0.4,1.3,-,0.5,0.2,-,-
Andrey Mostovoy,0.4,0.1,0.2,-,-,0.2,-,-
Tonny Vilhena,1.3,1.1,0.9,-,1,0.3,0.2,-
Yuri Zhirkov,1.1,0.7,0.5,0.1,0.9,0.1,-,-
Aleksey Shchetkin,0.2,0.4,0.6,-,1,0.2,-,-
Georgi Zotov,1.4,2.1,1.2,0.2,1.5,1.2,-,-
Anton Shunin,0.1,-,-,-,0.7,-,-,-
Baktiyor Zainutdinov,1.5,1.1,1.3,0.1,1.2,0.4,0.4,-
Sergei Ryzhikov,-,0.1,0.1,0.1,0.4,0.1,-,-
Igor Akinfeev,-,-,-,-,0.5,-,-,-
Nikolay Zabolotny,-,-,-,-,1.2,-,-,-
Cristian Ramírez,0.8,1.3,0.4,0.1,0.8,0.4,0.1,-
Andrey Lunev,-,-,-,-,0.7,-,-,-
Guilherme,-,-,-,-,0.8,0.1,-,-
Ali Sowe,0.2,-,1,-,0.5,0.1,-,-
Kristoffer Olsson,1.6,1.1,1.3,-,0.4,0.7,0.3,-
Aleksandr Dovbnya,-,-,-,-,1.5,-,-,-
Joãozinho,0.8,0.6,0.5,-,0.3,0.3,-,-
Dimitri Barinov,1.4,0.5,1.5,-,1,0.6,0.2,-
Rifat Zhemaletdinov,0.7,0.5,1.5,-,0.7,0.7,-,-
Odise Roshi,0.8,-,0.8,-,-,0.3,-,-
Varazdat Haroyan,1,3,2,-,4,2,1,-
Aleksandr Maksimenko,-,-,-,-,0.4,-,-,-
Soslan Dzhanaev,-,-,-,-,0.7,-,-,-
Sergey Tkachev,1.4,0.7,1.2,-,0.5,0.3,-,-
Konstantin Pliev,1.4,2.8,1.4,0.4,2.7,0.6,0.5,-
Vitali Lystsov,0.8,1,0.4,1,2.6,-,0.2,-
Georgi Kostadinov,1.4,1.8,1.1,0.1,1.4,0.3,0.4,-
Emanuel Mammana,1.1,1.7,0.7,0.2,4.2,0.4,0.5,-
Georgi Dzhikiya,0.8,1.4,0.4,0.7,3,0.3,0.5,-
Vladislav Ignatjev,1.5,0.9,0.8,-,1,0.4,-,-
Ivan Maevski,3,3.2,1,-,1.4,1.8,0.2,-
Kirill Zaika,0.9,1,1.2,-,1.1,0.3,0.3,-
Egor Danilkin,0.8,1.7,0.9,0.6,4.8,0.2,0.8,-
Aleksandr Putsko,0.8,1.1,0.6,0.2,3.8,0.2,0.6,1
Aleksey Ionov,0.3,0.4,0.6,-,0.1,0.3,-,-
Aleksey Sutormin,1.1,0.4,0.7,-,0.2,0.5,-,-
Alexander Lomovitskiy,1.1,0.8,1.3,-,0.6,0.4,0.1,-
Daniil Kulikov,1.6,1.2,1.2,-,1.1,1.1,0.2,-
Nikolai Zolotov,3.4,2.3,1.5,-,1.4,0.8,0.4,-
Fedor Chalov,0.3,0.2,0.5,-,0.2,0.1,-,-
Alan Dzagoev,0.8,0.4,0.8,-,0.7,0.5,0.2,-
Oleg Kozhemyakin,0.9,2.2,0.7,0.3,2.9,0.3,0.4,-
Oleg Shatov,1,0.9,0.7,0.1,0.5,0.7,0.3,-
Maksim Nenakhov,1.7,1.8,1,-,1.4,0.6,0.2,-
Dmitry Zhivoglyadov,1.4,0.9,1,0.3,1.7,0.5,0.3,-
Konstantin Tyukavin,0.1,0.1,0.7,-,0.2,0.1,0.1,-
Evgeni Gapon,1,2,0.8,0.8,2.2,0.8,0.3,-
Danil Stepanov,2.5,1.3,1.4,0.1,2.5,1.3,0.4,-
Aleksandr Erokhin,0.3,0.4,0.8,-,0.4,0.1,-,-
Roman Eremenko,1.2,0.6,1,-,0.3,1,0.1,-
Alexander Selikhov,-,-,-,-,1,-,-,-
Valeriu Ciuperca,1.3,0.8,2,-,0.7,0.6,-,-
Aleksandr Saplinov,0.3,0.3,0.7,-,0.3,0.3,-,-
Robert Bauer,2,1.7,1,0.3,1.8,0.5,0.3,-
Egor Baburin,-,-,-,-,1.5,-,-,-
Denis Terentjev,1.3,1.5,0.8,0.1,1.2,0.6,0.2,-
Evgeny Kharin,1,0.8,1.1,-,0.9,0.2,0.1,-
Guillermo Varela,1,2.1,1,0.2,1.1,0.6,0.1,-
Aleksandr Chernikov,1,-,2,-,-,1,-,-
Wilker Ángel,0.7,1.6,0.8,0.3,2.9,0.2,0.4,1
Clinton N'Jie,0.4,0.2,0.8,-,-,0.2,-,-
Pavel Mamaev,0.3,0.3,0.2,-,0.2,0.2,0.2,-
Aleksandr Kokorin,0.1,0.1,0.3,0.1,0.1,-,-,-
Pavel Pogrebnyak,0.3,0.2,1.6,-,0.1,0.3,0.2,-
Aleksey Gerasimov,0.5,0.9,0.7,0.3,4.4,0.1,0.8,-
Ibrahim Tsallagov,1.4,1.5,1,-,1.2,0.3,0.3,-
Artem Polyarus,0.6,0.4,1.1,-,0.8,0.8,-,-
Zuriko Davitashvili,1.4,0.7,0.7,-,0.2,0.7,0.1,-
Andrey Egorychev,1.3,1,1.7,-,0.6,0.4,0.1,-
Haitam Aleesami,0.9,1.3,1.3,0.2,2.5,0.5,0.4,-
Aleksey Ionov,0.6,0.5,0.6,-,0.3,0.3,0.1,1
Aleksey Kozlov,1.5,1.2,0.7,0.2,1.5,0.4,0.2,-
Alexey Nikitin,0.5,2,0.7,0.6,4.1,0.5,0.8,-
Vladimir Dyadyun,0.3,0.7,1.3,0.1,1.1,0.5,0.3,-
Ade,0.9,1.7,0.4,0.2,4.3,0.5,0.3,-
Egor Sorokin,0.9,2.7,0.8,0.5,3.2,0.1,0.9,-
Pavel Maslov,1.6,2,1.3,0.3,1.6,0.3,0.7,2
Roman Neustädter,0.8,1.8,1.3,0.3,1.1,0.4,0.4,-
Ivan Miladinovic,0.8,1.3,0.8,0.3,2.6,0.5,0.3,-
Ivan Novoseltsev,1.1,1,0.3,0.1,1.7,0.2,0.1,-
Georgy Schennikov,1.4,1.2,1.1,0.1,1.3,0.6,0.1,-
Silvije Begic,0.9,1.3,0.4,0.6,4.3,0.5,0.8,-
Aleksandr Dolgov,0.3,-,0.5,-,0.3,0.2,-,-
Ilya Zhigulev,2.2,1,1.5,-,0.7,0.9,0.2,-
Sergey Parshivlyuk,1.6,2,1.3,0.1,1.1,0.5,-,-
Aleksandr Troshechkin,1.1,1.5,1.6,0.1,1.5,0.5,0.4,-
Daniil Khlusevich,1.4,0.6,1.2,-,0.6,0.8,-,-
Timur Zhamaletdinov,0.6,0.4,1.1,-,0.5,0.3,-,-
Vadim Karpov,0.6,0.4,0.4,0.4,2.3,0.1,0.5,-
Mikhail Kerzhakov,-,-,-,-,0.5,-,-,-
Jimmy Tabidze,1.6,1.6,1.3,0.7,2.7,0.6,0.6,-
François Kamano,0.6,0.3,0.8,-,0.2,0.2,-,-
Mikhail Kostyukov,0.5,0.5,1,-,1.3,0.3,0.5,-
Evgeni Chernov,0.9,1.3,0.6,0.1,2.8,0.4,0.3,-
Arshak Koryan,0.9,0.8,1.2,-,0.1,0.7,0.1,-
Dmitriy Poloz,0.3,0.2,0.7,-,0.6,0.4,0.1,-
Evgeni Chernov,1,1.3,0.7,-,2.2,0.4,0.3,-
Soltmurad Bakaev,1.1,0.5,1,-,0.3,0.6,-,-
Éder,0.6,0.2,1.4,-,0.6,0.3,0.2,-
Daniil Utkin,0.9,0.3,0.4,-,0.5,0.1,0.1,-
Mohamed Konate,0.2,0.2,1.5,-,0.8,0.2,0.1,-
Grigory Morozov,1.5,1,1.2,0.1,1,0.6,-,-
Flamarion Junior,0.4,0.6,1.2,-,0.3,0.2,0.1,-
Aleksey Gritsaenko,1,2.2,0.8,0.4,4.2,0.2,0.6,-
Ilya Kutepov,1.3,1.5,0.7,0.3,1.5,0.4,0.7,1
