Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Marco Festa,-,-,-,-,1,-,-,-
Cristiano Ronaldo,0.2,0.2,0.5,0.1,0.5,0.4,0.1,-
Zlatan Ibrahimovic,0.3,0.3,1.7,0.1,1.4,0.2,0.2,-
Lorenzo Insigne,0.7,1.1,0.3,-,0.1,1.7,-,-
Romelu Lukaku,0.3,0.1,0.9,-,0.9,0.2,-,-
Domenico Berardi,1.4,0.9,1.4,-,1,1.4,-,-
Rodrigo de Paul,1.2,0.5,0.9,-,0.3,1.3,-,-
Adam Ounas,0.6,0.2,0.7,-,0.1,0.5,0.1,-
Henrikh Mkhitaryan,1.7,1.1,1.1,-,0.2,1.5,-,-
Sergej Milinkovic-Savic,1.8,1,1.8,0.1,1.3,1.8,0.4,-
Theo Hernández,1.5,1,1.2,0.2,1.5,0.6,0.2,-
Papu Gómez,0.3,0.1,1,-,0.1,0.6,0.1,-
Hakan Calhanoglu,0.8,0.5,0.9,-,0.5,0.6,0.2,-
Luis Muriel,0.6,0.2,0.5,-,0.1,0.5,-,-
Federico Chiesa,2,0.3,0.7,-,0.7,1.7,0.3,-
Andrea Belotti,0.9,0.3,1.7,-,0.5,0.7,0.1,-
Lorenzo Pellegrini,1.2,1.3,1.3,-,0.6,1.2,0.1,-
Junior Messias,1.7,1,0.9,-,1.1,1.3,0.3,-
Federico Chiesa,1.6,0.4,1,-,0.5,1,-,-
Rafael,-,-,-,-,0.3,-,-,-
Robin Gosens,1.4,1.3,1.6,-,1,0.8,0.2,1
Lautaro Martínez,0.7,0.7,1.7,-,0.3,0.4,-,-
Juan Cuadrado,1.4,1.4,1.1,0.1,0.5,1,0.1,-
Ruslan Malinovskiy,0.5,0.1,1.3,-,0.1,0.4,-,-
Piotr Zielinski,0.5,0.5,0.3,-,0.3,0.4,0.1,-
Ciro Immobile,0.4,0.2,1.1,-,0.2,0.4,-,-
Franck Kessié,1.4,1.2,1.8,-,1.3,0.5,0.4,-
Cristian Romero,2,3.1,2.3,0.3,2.2,0.7,0.4,-
Giovanni Di Lorenzo,2.2,1,1.4,0.2,1.4,0.9,0.4,-
Josip Ilicic,0.3,0.1,0.8,-,-,0.6,-,-
Luis Alberto,1.3,0.4,0.6,-,0.3,1.7,0.1,-
Victor Osimhen,0.9,0.3,1.4,-,0.4,0.5,-,-
Manuel Locatelli,2.4,1.5,1.5,0.1,1.7,0.8,0.4,-
Andrea Ranocchia,1.6,1.5,1.6,0.3,2.4,0.1,0.4,-
Gianluca Pegolo,-,-,-,-,1,-,-,-
Duván Zapata,0.3,0.2,0.8,-,0.5,0.2,0.1,-
Diego Godín,2.1,2,1.1,0.7,4,0.5,0.9,-
Davide Calabria,3.2,1.2,1,0.1,2.2,1.1,0.3,1
Marcelo Brozovic,1.6,1.2,1,-,1.1,1.2,0.5,-
Danilo,1.8,1.9,0.7,0.2,1.8,0.9,0.4,-
Karlo Letica,-,-,-,-,2,-,-,-
Milan Badelj,1.9,2.9,1.1,-,1.4,1.9,0.3,-
Simon Kjaer,1.6,1.5,0.9,0.3,4.3,0.4,0.9,-
Paulo Dybala,0.7,0.1,0.5,-,0.1,0.6,-,-
João Pedro,0.4,0.4,1.2,0.1,0.7,0.7,0.2,-
Remo Freuler,1.9,1.1,1.1,0.1,0.7,1.3,0.1,-
Ignacio Pussetto,1.5,1.2,1.6,-,0.5,1,-,-
Ante Rebic,1,0.3,1.2,-,0.6,1.1,-,-
Fabián Ruiz,1.8,1.1,0.3,-,0.9,1.4,0.1,-
Leonardo Spinazzola,0.4,0.9,0.3,0.3,1,0.5,-,1
Achraf Hakimi,1.4,0.6,0.8,-,0.4,0.7,-,-
Marten de Roon,2.3,2,1.9,0.1,1.1,1.4,0.3,-
Hirving Lozano,0.9,0.6,1,-,0.2,0.8,-,-
Juraj Kucka,2.4,1,2.3,-,0.8,1.7,0.1,-
Fikayo Tomori,1.6,1.1,0.8,0.5,3.5,0.4,1.2,-
Nicolò Barella,1.6,0.7,1.2,-,0.3,1.4,0.1,-
Alex Sandro,1.4,1.2,1,0.1,2,0.5,0.2,1
Rodrigo Bentancur,1.9,1.4,1.4,-,1.2,1.2,0.4,-
Vlad Chiriches,1.6,2.1,1.3,1,2.3,0.6,0.9,1
Roberto Soriano,1.3,0.5,2,-,1.1,1.3,0.2,-
