Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Erdem Canpolat,-,-,1,-,-,-,-,-
Cenk Tosun,0.3,0.3,1,-,-,0.7,0.3,-
Mustafa Burak Boznan,-,-,-,-,1,-,-,-
Rachid Ghezzal,1.5,0.6,1.2,-,0.4,1.6,0.1,-
Mario Situm,1,4,2,-,3,-,-,-
Diego Perotti,2.3,1,0.3,-,-,0.3,-,-
Anastasios Bakasetas,1.5,0.3,1.4,0.1,0.3,0.6,-,-
Gastón Campi,0.7,1.7,0.7,-,4,0.3,0.3,-
Anastasios Bakasetas,1.3,0.6,1.2,-,0.4,1,0.2,-
Caleb Ekuban,1.3,0.7,1.3,-,0.5,0.6,0.2,-
Anthony Nwakaeme,1.6,0.8,1,0.1,1,1,-,-
Adem Büyük,1.7,0.7,1.8,-,0.9,0.8,0.1,-
Gedson Fernandes,3.1,1.2,1.3,-,0.9,1.6,0.2,-
Mert Topuz,-,-,-,-,1,-,-,-
Aaron-Salem Boupendza,1.2,0.5,1.6,-,0.4,1.2,-,-
Erten Ersu,-,-,-,-,-,-,-,-
Vincent Aboubakar,0.2,0.1,0.5,-,0.7,0.2,-,-
Cyle Larin,0.8,0.6,1.5,-,1,0.5,0.1,-
Fabio Borini,1,1.7,1.6,-,1,0.7,0.1,-
Caner Erkin,1.4,1.5,1,0.2,1.2,0.8,0.3,-
Aatif Chahechouhe,2,0.5,1.5,-,0.2,0.9,-,-
Max-Alain Gradel,1.2,0.4,1.5,-,0.4,1.2,-,-
Mame Biram Diouf,0.7,0.2,1.9,-,0.7,0.4,0.2,1
Valentin Rosier,2.2,2.1,1.7,0.2,1.4,0.7,0.1,-
Souza,2.6,2,1,-,1.7,1.1,0.2,-
Faycal Fajr,1.4,0.7,1,-,0.4,1.1,0.1,-
Silviu Lung Jr.,0.1,0.1,-,-,0.4,-,-,-
Enner Valencia,1.2,0.7,1.8,-,0.4,1.4,0.1,-
Salih Ucan,2.2,0.8,1.5,0.1,0.5,0.8,0.3,-
Nazim Sangaré,2.7,2.4,0.9,0.2,1.7,0.7,0.2,-
Muhammet Demir,0.5,0.3,0.9,-,0.5,0.3,-,-
Welinton,2,1.6,1.7,0.5,2.9,0.9,0.7,-
Fredy Ribeiro,2.5,0.9,1.8,-,0.8,1.5,0.2,-
Djaniny,0.8,0.5,1.4,-,0.4,0.9,0.1,-
Ahmet Oguz,3.3,2.3,1.9,0.2,2.6,1.2,0.1,1
Davidson,1.6,0.5,1.1,-,0.2,1,-,-
Faruk Can Genç,4,1,2,-,4,2,-,-
Gustavo Campanharo,3,1.7,2.6,-,1.1,2,0.2,-
Lucas Biglia,2.5,1.8,1.8,-,1,2,0.2,-
Berat Özdemir,2.1,1.9,0.9,0.1,1.9,1.8,0.1,-
Youssouf Ndayishimiye,1.8,1.8,1.7,-,1.3,0.5,0.3,-
Younès Belhanda,1,0.5,0.7,-,0.3,0.8,-,-
Braian Samudio,1.4,0.4,1.1,-,0.9,0.9,0.1,-
Marcelo Saracchi,1.6,1.9,0.9,0.4,1.7,0.5,0.2,-
Pablo Santos,2.2,2.3,1.5,0.6,4.9,0.8,0.6,1
Amir Hadziahmetovic,1.7,1.2,0.9,-,0.7,1.5,0.2,-
Gökhan Gönül,1.6,2.3,0.9,0.2,1.9,1.2,-,-
Halil Akbunar,1.5,0.5,1,-,0.2,1,-,-
Ozan Tufan,1.4,1,0.9,-,0.5,1,0.1,-
Steven Caulker,0.5,1.3,0.6,0.6,3.8,0.1,0.6,1
Guilherme,1.9,1.6,1.1,0.2,1.7,0.7,0.2,-
Fernando Boldrin,0.5,0.2,0.9,-,0.2,0.8,-,-
Dimitrios Pelkas,1.2,0.4,1.9,-,0.1,0.8,-,-
Aykut Özer,-,-,-,-,1.1,-,-,-
Alexandru Maxim,1.4,0.6,1.4,-,0.2,1.2,-,-
Serkan Kirintili,-,-,-,-,1.3,-,-,-
Muammer Yildirim,-,-,-,-,0.5,-,-,-
Atiba Hutchinson,0.9,0.9,0.9,-,0.6,0.6,0.3,-
Taylan Antalyali,1.5,1.8,1.2,-,0.8,0.9,0.3,-
Domagoj Vida,0.7,2,1.2,0.5,2.5,0.3,0.4,-
Haris Hajradinovic,1.6,0.4,1.7,-,0.3,1.9,0.1,-
Irfan Can Kahveci,1.5,0.7,1.3,-,0.4,0.9,0.1,-
Attila Szalai,1.1,1.4,0.5,0.4,2.5,0.8,0.8,-
Papy Djilobodji,1.4,2,1.3,0.9,4.6,0.7,0.3,-
Sener Ozbayrakli,2.3,0.8,1,0.3,0.7,0.9,0.2,-
Vitor Hugo,1,1.5,1.1,0.6,4,0.4,0.9,-
Isaac Kiese Thelin,0.4,0.1,2.4,-,1.3,0.3,-,-
Georges-Kévin Nkoudou,0.9,0.5,0.6,-,0.2,0.5,-,-
Emrah Bassan,1,0.7,0.9,-,0.3,0.8,-,-
Marlon,2.1,2.1,0.8,0.2,2.3,1.1,0.3,-
Marcão,1.5,1.5,1.2,0.6,2.8,0.5,0.7,-
Daniel Avramovski,1.7,1.3,1.2,0.1,0.7,1.3,0.1,-
Lucas Castro,1.3,0.8,0.5,0.1,0.1,0.7,-,-
Ugur Demirok,0.4,0.6,0.8,0.6,4.3,0.3,0.6,-
Jure Balkovec,1.2,1.2,0.5,0.3,1.6,0.7,0.4,-
