Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
David Ayala,3,3,-,-,1,-,-,-
Ignacio Fernández,2.2,0.8,1.2,-,0.8,2.8,0.1,-
Pablo Pérez,3,0.7,3,-,1.7,0.7,-,-
Nicolás Giménez,1.3,0.5,0.7,-,0.3,1.3,0.1,-
Marcelino Moreno,1.8,0.6,1.4,-,0.2,1.1,0.1,-
Matías Orihuela,1,-,-,-,8,-,-,-
Marcos Díaz,-,-,-,-,0.3,-,-,-
Miguel Barbieri,1.5,2.8,1.5,0.5,6.5,0.3,1.5,-
Maximiliano Cavallotti,-,-,-,-,-,-,-,-
Paolo Goltz,1.5,2,0.5,0.8,7,0.5,0.8,-
Carlos Tevez,0.5,0.1,0.9,-,0.1,0.6,-,-
Enzo Díaz,4.2,1.7,2.3,0.2,1.1,1.3,0.2,-
Mario López,3,1,1,4,4,-,-,-
Francisco Pizzini,0.6,-,0.4,-,0.4,1,-,-
Eduardo Salvio,0.6,0.3,0.9,-,0.2,1.1,-,-
Guillermo Burdisso,-,1,-,-,3,1,1,-
Nicolás De La Cruz,1.6,0.2,1.2,-,0.1,1.3,0.1,-
Danilo Ortíz,0.5,1,1,0.5,11,-,1,-
Ricardo Centurión,1,0.4,0.8,-,0.2,0.2,-,-
Rubén Botta,1.1,0.4,1.6,-,0.1,1.3,0.1,-
Yeimar Gómez,1.7,2.8,0.9,0.5,6.9,0.7,0.9,-
Rafael Delgado,1.4,1.1,0.9,0.1,2.3,1.1,0.3,-
Enzo Kalinski,2.4,1.8,1.6,0.1,2,1.1,0.5,-
Juan Rodríguez,2,2,0.6,0.7,6.2,0.7,0.8,-
Carlos Quintana,1.4,2.5,0.9,1.3,4.3,0.5,0.6,-
Mariano Bittolo,2.6,1.7,0.6,0.3,2.7,1.3,0.1,-
Cristian Lema,1.1,1.5,1.5,0.5,4.9,0.6,0.5,-
Júnior Alonso,1.5,1.6,0.6,0.4,4,0.1,0.9,-
Ángel Romero,0.7,0.5,1.1,0.1,1,1.4,0.1,-
Nicolás Reniero,0.5,-,0.5,-,1,1.5,-,-
Rodrigo Gómez,0.8,0.3,0.8,-,0.1,0.7,-,-
Emanuel Maciel,1,5,-,-,1,-,2,-
Robert Rojas,2.5,1.1,1,0.8,4.3,0.2,0.8,-
Guillermo Fernández,2.9,1.9,1,-,0.6,1.7,0.1,-
Héctor Martínez,1.8,2.4,0.8,0.9,5,1.3,0.6,-
Frank Fabra,1.6,1.2,0.9,0.2,1.3,0.4,0.3,-
Nicolás Domínguez,2.7,1.4,1.7,-,1.7,1.8,0.4,-
Matías García,2,1.1,1.7,-,0.4,1.5,0.1,-
Lisandro López,1.4,1.1,1.2,0.3,4.3,0.2,0.6,-
Gabriel Ávalos,1,0.4,1.9,-,1.4,1,0.2,-
Sergio Vittor,2.4,1.4,2,0.2,2.4,1.1,0.2,-
Javier Mascherano,2.6,4.3,1.9,-,2,1.4,-,-
Alexander Domínguez,-,-,-,-,0.8,-,-,-
Carlos Izquierdoz,1,2.2,1.2,0.9,5.3,0.8,0.5,-
Claudio Bravo,2.1,2.2,2.1,0.1,2,1.3,0.4,-
Lautaro Gianetti,2,1.9,0.9,0.2,4.9,0.3,0.9,1
Guilherme Parede,0.8,0.5,1,-,0.2,0.7,-,-
Esteban Andrada,-,0.1,-,-,0.8,-,-,-
Gastón Álvarez Suárez,1.7,0.6,1.4,-,0.9,1.7,-,-
Carlos Zambrano,-,-,3,1,6,-,-,-
Elías Gómez,2,1.3,1.3,0.3,1.4,1,-,-
Lucas Merolla,2.1,2.2,1.5,0.7,5.3,0.6,0.6,-
Lautaro Acosta,1.5,0.8,1.5,-,1.1,1.5,0.1,1
Fabián Rinaudo,2,1.7,1.7,-,1.2,1.5,0.3,-
Jorman Campuzano,2.8,2,1.5,0.1,1.2,1.1,0.2,-
Leonardo Gil,1.8,0.7,1.2,-,1.2,1.1,0.3,-
Fernando Luna,2,0.2,0.8,-,0.5,0.5,-,-
Juan Manuel García,1.1,0.1,1.3,0.1,0.4,0.6,0.3,-
Mathías Abero,2.5,2.3,2.1,0.1,2.2,2,0.3,-
Facundo Nadalín,2.1,0.9,0.6,0.1,1.7,1.7,0.1,-
Lucas Robertone,1.6,0.8,1.2,-,1,0.8,0.2,-
Rafael Borré,1,0.3,1,0.1,0.4,0.9,0.1,-
Emanuel Reynoso,2.1,0.4,1.1,-,0.2,1.7,-,-
Fernando Gago,3.2,1.4,0.8,0.1,2,1.6,0.2,-
Víctor Ayala,1.1,1.8,1.4,0.1,1.8,1.5,0.4,-
Edwar López,1.4,0.9,0.5,-,0.7,0.8,0.2,-
Fabián Monzón,1.9,0.6,0.4,0.7,2.2,0.8,0.2,-
Enzo Pérez,2.4,1.4,1.9,0.2,1.5,0.7,0.2,-
Matías Suárez,0.5,0.1,1.2,-,0.5,0.5,0.1,-
Adrián Cubas,4.8,2.8,2.5,0.1,0.7,1.8,0.5,-
Gastón Giménez,2.4,1.2,0.8,0.1,2.7,0.8,0.4,-
Paolo Goltz,2,1.4,0.4,0.7,5.1,0.3,1,-
Ciro Rius,1.3,0.6,1,-,0.6,1.1,-,-
Javier García,-,-,-,-,-,-,-,-
Marcelo Weigandt,2.3,0.7,2.7,-,0.7,0.7,1,-
Dylan Gissi,1.4,1.7,0.7,1.3,6.6,0.6,1,-
Fabricio Fontanini,1,2.5,-,0.5,6,0.5,-,-
Hernán De La Fuente,1.5,2.3,0.3,-,1.5,1,0.3,-
Edison Duarte,2,1,1,-,1.5,1.5,-,-
Paulo Díaz,1.4,2.2,0.9,0.6,3.3,1.5,0.6,-
Juan Brunetta,1.5,0.4,0.7,-,0.5,0.9,-,-
Jorge Carrascal,1.5,0.6,0.8,-,-,0.8,-,-
Leonardo Morales,2.9,2.8,1.5,0.4,3.9,1.9,0.8,-
Fabián Assmann,-,-,-,-,-,-,-,-
Alexis Castro,1.6,0.5,0.9,-,-,1.4,0.1,-
Facundo Medina,2.1,2.1,1.6,0.6,3.1,0.5,0.2,-
Gonzalo Montiel,2,1.2,0.5,-,1.3,0.7,0.2,-
Maximiliano Caire,2.3,2.7,1.3,0.3,2.8,1.1,0.6,-
Ezequiel Muñoz,2,1.5,0.7,0.4,4.7,0.4,1.1,-
Federico Martínez,-,0.5,-,-,0.5,-,-,-
Elías López,4,2.7,2.3,-,0.7,0.3,-,-
Lucas Martínez Quarta,1.8,1.7,1.9,0.7,3.6,0.4,0.3,1
Sebastián Villa,0.9,0.6,1.5,-,0.1,0.4,-,-
Angelo Gabrielli,1.5,1.5,1.5,0.2,1.8,0.8,0.2,-
Juan Sánchez Miño,2.4,1,1,-,1.1,1.2,0.2,-
Gastón Silva,2.4,1.8,0.3,0.1,3.2,0.5,0.3,-
Nicolás Figal,1.2,1.5,1.6,0.4,3,0.4,0.5,-
Juan Kaprof,0.9,0.2,1.6,-,-,0.5,0.1,-
Matías Pérez,1,2,1,1,4,-,-,-
Rubén Botta,-,-,1,-,-,-,-,-
Jerónimo Cacciabue,2.8,1,1.6,-,1,1.1,0.1,-
Emanuel Brítez,2.9,2,1.6,0.3,2.9,0.5,0.6,-
Santiago Silva,0.6,0.3,1.7,0.1,1,0.3,0.1,-
Julián Fernández,4,1.3,2,0.1,1.6,1.7,0.3,-
Gonzalo Rodríguez,1.3,1.7,0.9,0.8,5.9,0.4,0.7,-
Sebastián Palacios,0.7,-,0.8,-,-,0.8,-,-
Matías Zaracho,2.5,1.2,2,-,0.3,2,0.3,-
Juan Bolado,0.3,-,-,-,1.8,-,-,1
Braian Cufré,2.4,1.3,0.9,0.3,2.1,1.2,0.2,-
Sebastián Torrico,-,-,-,-,0.6,-,-,-
Gabriel Carabajal,1.3,0.1,0.7,-,0.6,0.8,-,-
Matías Laba,1,5,1,-,1,1,-,-
Bruno Pittón,2.4,1.1,0.9,0.3,1.9,0.8,0.2,-
Matías Melluso,4,2.5,2.2,0.4,1.3,1.8,0.4,-
Cristian Tarragona,1.5,0.3,2.3,-,0.7,0.9,0.1,-
Ezequiel Piovi,4.8,1.4,2.1,0.1,0.7,1.8,0.3,-
Reinaldo Lenis,1.7,0.5,0.8,-,0.5,1.2,-,-
Lucas Janson,1,0.4,0.7,-,0.6,0.7,-,-
Iván Pillud,1.8,0.7,1,0.4,1.8,0.9,0.1,-
Mauricio Martínez,0.9,1.8,0.5,0.5,1.9,0.9,0.5,-
Nahuel Molina,1.3,1.3,0.1,0.1,2.1,0.8,0.2,1
Carlos Auzqui,2.1,0.7,1.5,-,0.5,1.3,-,-
Leandro Marín,3.3,1.9,0.8,0.5,4.7,1.3,0.5,-
Nicolás Femia,1,1.5,2,0.5,-,-,0.5,-
Nahuel Bustos,0.5,0.2,1,0.1,0.6,0.7,-,-
Jorge Rodríguez,2.5,1.5,1.4,0.1,1.7,1.2,0.3,-
Bruno Bianchi,2.2,1.3,1.3,0.7,4.3,1.1,0.5,-
Pablo Becker,1.5,0.5,0.5,-,0.5,1,-,-
Óscar Romero,1.4,0.4,0.6,-,0.3,1.1,-,-
Gonzalo Jara,2.2,2,0.8,0.5,3,0.2,0.5,-
Enrique Bologna,0.5,-,-,-,-,0.5,-,-
Milton Casco,1.6,0.8,1.1,0.1,0.9,0.9,0.1,-
Emanuel Iñiguez,3.6,1.6,1,0.3,2.5,1,-,-
Lucas Vera,1.2,1.2,0.8,-,0.5,1,0.1,-
Julio González,2.5,1.3,1.4,0.2,4.3,0.9,0.3,-
Alexander Bernabei,1.8,1.3,1.1,0.2,0.4,1.3,0.2,-
Richard Prieto,2.5,0.5,2,-,1,1.5,-,-
Jesús Dátolo,0.6,0.2,1.4,-,0.2,0.6,0.2,-
Exequiel Palacios,2.4,0.7,0.9,-,0.3,1.9,-,-
Agustín Rossi,0.1,-,-,-,0.7,-,-,-
Gianluca Ferrari,1.8,1.5,0.7,0.7,4.8,0.3,0.3,-
Facundo Sánchez,1.8,1.5,1.2,0.2,2.2,1.3,0.5,-
Cain Fara,2.6,1.4,2.1,0.3,2.7,0.7,0.3,-
Mariano Bareiro,2.7,2.5,1.5,0.2,3.7,1.2,0.6,-
Javier Toledo,0.9,-,2.8,0.1,0.9,0.6,0.1,-
Facundo Quignón,3.8,1.3,1.9,0.1,1.8,2.1,0.2,-
