Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,League
Harry Kane,0.6,0.3,0.7,-,1.1,0.5,0.3,-,Premier_league
Kevin De Bruyne,1.4,0.4,1.1,-,0.3,1.4,-,-,Premier_league
Jack Grealish,1.2,0.5,1.5,-,0.2,0.3,0.1,-,Premier_league
Bruno Fernandes,1.5,0.7,1.2,-,0.7,2,-,-,Premier_league
Tomas Soucek,2.1,1.6,1.8,0.1,2.7,1.3,0.5,1,Premier_league
Mason Mount,2.1,0.9,1.4,-,0.3,1.2,0.1,-,Premier_league
Sadio Mané,1.4,0.4,1.5,-,0.3,0.6,-,-,Premier_league
Riyad Mahrez,0.7,0.3,0.5,-,0.1,0.9,-,-,Premier_league
João Cancelo,2.4,1.5,1.3,0.3,1,1.4,0.1,-,Premier_league
Gareth Bale,0.9,0.4,0.5,0.1,0.7,0.4,0.1,-,Premier_league
Nathaniel Phillips,1.3,1.2,1.2,0.5,4.8,0.8,0.8,-,Premier_league
Ilkay Gündogan,0.9,0.7,0.3,-,0.3,1,0.1,-,Premier_league
Son Heung-Min,0.9,0.4,0.4,-,0.1,1.5,0.1,-,Premier_league
Wilfred Ndidi,3.7,2.3,2.1,0.1,2,1.5,0.4,-,Premier_league
Jesse Lingard,0.8,0.3,1.3,-,-,0.6,0.1,-,Premier_league
Raphinha,1.1,1,0.4,-,0.9,1.5,-,-,Premier_league
Raheem Sterling,0.7,0.5,1.2,-,0.1,0.2,-,-,Premier_league
James Rodríguez,1.2,0.7,0.7,-,-,1.5,-,-,Premier_league
Ollie Watkins,0.8,0.2,1.3,-,0.6,0.6,0.1,-,Premier_league
Kortney Hause,0.6,1.1,0.7,0.4,7.6,0.4,0.3,-,Premier_league
Rodri,2.1,1.1,1.3,-,1.6,1,0.3,-,Premier_league
Michail Antonio,0.3,0.3,1.1,-,0.3,0.2,0.1,-,Premier_league
Dominic Calvert-Lewin,0.5,0.2,1.1,-,1,0.2,0.2,-,Premier_league
Jimmy Dunne,1,2,0.7,0.3,5.3,0.3,0.7,-,Premier_league
Aaron Wan-Bissaka,2.6,1.8,0.9,0.2,1.8,0.4,0.5,-,Premier_league
Phil Foden,0.8,0.4,0.4,-,0.4,0.5,-,-,Premier_league
Joseph Willock,1.9,1.2,0.6,-,0.7,2.4,0.2,-,Premier_league
Marcus Rashford,0.5,0.2,0.7,0.1,0.3,0.5,0.1,-,Premier_league
Thiago,2.5,1.3,2,-,0.5,1.3,-,-,Premier_league
Allan Saint-Maximin,0.6,0.2,0.4,-,-,0.2,-,-,Premier_league
Gabriel Jesus,0.6,0.5,1,-,0.2,0.6,-,-,Premier_league
Pedro Neto,0.5,1,0.8,-,0.2,0.7,0.1,-,Premier_league
Adama Traoré,0.8,0.2,1.3,-,0.3,0.2,-,-,Premier_league
Roberto Firmino,0.9,0.3,0.6,-,0.3,0.7,0.1,-,Premier_league
Jamie Vardy,0.5,0.1,0.8,0.1,0.9,0.4,0.1,-,Premier_league
Mat Ryan,-,-,-,-,1,-,-,-,Premier_league
Youri Tielemans,2.3,1.2,1,-,0.4,1.7,0.2,-,Premier_league
Lucas Digne,2.1,1,1.1,0.1,2.4,0.8,0.1,-,Premier_league
Christian Benteke,0.5,0.1,1.2,-,1.3,0.2,0.2,-,Premier_league
Bernardo Silva,1,0.7,0.7,-,0.2,1.6,-,-,Premier_league
Kurt Zouma,0.7,1.2,0.7,0.5,3.8,0.2,0.4,-,Premier_league
Solly March,2.3,1,1.2,-,1,0.8,0.2,-,Premier_league
James Ward-Prowse,2,1.1,1.2,-,1.4,1.1,0.1,-,Premier_league
Mohamed Salah,0.5,-,0.6,-,0.3,0.2,-,-,Premier_league
Liam Cooper,2.7,2.4,0.9,0.5,2.7,0.9,1.3,-,Premier_league
Kiko Casilla,-,-,-,-,1.3,-,-,-,Premier_league
Serge Aurier,2.9,1,1.2,0.2,2.2,1.3,0.3,-,Premier_league
Paul Pogba,1.4,1,1.6,-,1.4,0.8,0.1,-,Premier_league
