Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Fernando Miguel,-,-,-,-
Thaciano,3,1,1,1
Lucas Evangelista,1,-,-,1
Tiago Volpi,-,-,-,-
Jorginho,3,1,-,2
Yago Pikachu,2,1,-,1
Rossi,-,-,-,-
Juninho,1,-,-,1
Vanderson,1,-,-,1
Artur,3,1,-,2
Helinho,4,1,1,2
Cléber,2,1,-,1
Mateus Claus,-,-,-,-
Weverton,-,-,-,-
Bruno Henrique,3,1,-,2
Zé Roberto,1,-,-,1
Fabricio Bruno,1,-,1,-
Luan Cândido,1,1,-,-
Claudinho,2,2,-,-
Ramires,-,-,-,-
Rick,2,-,-,2
Rodrigo,1,-,-,1
Clayson,2,2,-,-
Danielzinho,-,-,-,-
Pedro Henrique,-,-,-,-
Ytalo,1,-,-,1
Giorgian de Arrascaeta,3,3,-,-
Igor,1,1,-,-
Matheus Peixoto,1,-,-,1
Diego Alves,-,-,-,-
Léo Ortiz,-,-,-,-
Nino,-,-,-,-
Jonathan Cafú,1,-,-,1
Miranda,-,-,-,-
Wescley,1,-,-,1
Edenílson,2,1,-,1
Matheus Henrique,1,1,-,-
Gabriel Menino,2,1,-,1
Pedro,4,-,2,2
Carlos Eduardo,1,-,-,1
Egídio,2,1,-,1
Khelven,-,-,-,-
Abel Hernández,3,-,-,3
Aderlan,2,1,-,1
Léo Chú,3,1,-,2
Reinaldo,1,-,-,1
Élton,3,1,1,1
Hulk,5,2,-,3
Matheus Vargas,5,2,-,3
Germán Conti,-,-,-,-
Caio Paulista,2,1,-,1
Uendel,-,-,-,-
Willian Maranhão,1,1,-,-
Diego,-,-,-,-
Capixaba,-,-,-,-
Léo,1,-,-,1
David,-,-,-,-
Nathan Silva,-,-,-,-
Ricardo,4,1,-,3
Éderson,2,2,-,-
Cleiton,-,-,-,-
Robson,2,-,-,2
Samuel Xavier,-,-,-,-
André,1,-,-,1
Filipe Luís,-,-,-,-
Santos,-,-,-,-
Marcos Felipe,-,-,-,-
Bruno Alves,1,-,-,1
Gerson,-,-,-,-
Gilberto,1,-,-,1
Marlon,1,-,-,1
Dudu Santos,1,1,-,-
Míchel Macedo,-,-,-,-
Rodrigo Caio,1,-,1,-
Abner Vinicius,-,-,-,-
Renan Guedes,-,-,-,-
Martinelli,-,-,-,-
Renzo Saravia,-,-,-,-
Matheus Bahia,-,-,-,-
Vitinho,1,1,-,-
Christian,2,2,-,-
João Paulo da Silva,1,1,-,-
Luccas Claro,1,-,-,1
Felipe Azevedo,2,-,-,2
Matheus Cavichioli,-,-,-,-
Ronald,1,1,-,-
Messias,-,-,-,-
Gustavo,1,1,-,-
Thiago Heleno,1,-,-,1
Raphael Veiga,1,1,-,-
Mauricio Isla,-,-,-,-
Saulo Mineiro,1,-,-,1
Nikão,1,1,-,-
Rodriguinho,-,-,-,-
Bruno Cortez,1,-,-,1
Marcelo Benevenuto,-,-,-,-
Rodolfo,3,3,-,-
Alison,-,-,-,-
Júnior Tavares,1,1,-,-
Gustavo Gómez,-,-,-,-
Taison,1,1,-,-
Lucas Piton,3,1,-,2
Yago Felipe,-,-,-,-
Juninho,1,-,-,1
Guilherme Pato,-,-,-,-
João Paulo,1,1,-,-
Willian Arão,1,-,1,-
Caio Vidal,1,-,-,1
Felipe Marques,1,1,-,-
Yuri Alberto,1,-,-,1
Éder,-,-,-,-
Gabriel Lacerda,1,-,-,1
Guilherme Castilho,2,2,-,-
Camilo,1,-,-,1
Richard,-,-,-,-
Marquinhos,-,-,-,-
Marlon Freitas,-,-,-,-
Patrick de Lucca,-,-,-,-
Willian,1,-,-,1
Jean Mota,2,2,-,-
Rafael Thyere,1,-,1,-
Guga,-,-,-,-
Zé Rafael,-,-,-,-
Felipe,3,2,-,1
Rafael Forster,-,-,-,-
Thiago Neves,2,-,-,2
Pedro Perotti,2,1,-,1
Alyson,1,-,1,-
Luan Santos,-,-,-,-
Lucas Crispim,2,2,-,-
Thiago Santos,-,-,-,-
Marcão Silva,-,-,-,-
Tchê Tchê,-,-,-,-
Gustavo Scarpa,3,3,-,-
João Lucas,1,1,-,-
Marinho,6,4,-,2
Vitinho,1,1,-,-
Felipe Alves,-,-,-,-
Gabriel Pirani,1,1,-,-
Gabriel Sara,-,-,-,-
Fagner,2,1,-,1
Igor Vinícius,-,-,-,-
Jefferson Savarino,1,1,-,-
Everton Ribeiro,-,-,-,-
Tiepo,-,-,-,-
Matheus Babi,2,-,-,2
Patrick de Paula,-,-,-,-
Raul Gustavo,-,-,-,-
Busanello,1,-,-,1
Liziero,-,-,-,-
Renato Kayzer,2,1,-,1
Tomás Cuello,1,-,-,1
Kelvyn,1,1,-,-
Bruno Nazário,3,3,-,-
Pablo,1,-,-,1
Gabriel Novaes,1,-,-,1
David Terans,-,-,-,-
Geovane,-,-,-,-
Hayner,-,-,-,-
Shaylon,1,1,-,-
Tinga,1,-,-,1
Joao Rojas,1,-,-,1
Mauricio,2,-,-,2
Gabriel Teixeira,1,-,-,1
Gustavo Mosquito,2,1,-,1
Marcelo Lomba,-,-,-,-
Marllon,1,-,-,1
Rony,2,1,-,1
Diogo,-,-,-,-
Sabino,-,-,-,-
Guilherme Arana,3,3,-,-
Éder,1,-,-,1
Pará,-,-,-,-
Igor Gomes,-,-,-,-
Pepê,-,-,-,-
Victor Luis,1,1,-,-
Pedro Naressi,-,-,-,-
Raúl Bobadilla,1,-,-,1
Ricardinho,-,-,-,-
Vinícius Machado,-,-,-,-
Felipe Melo,-,-,-,-
Camacho,-,-,-,-
Luan Peres,2,1,-,1
Roni,-,-,-,-
Víctor Cuesta,-,-,-,-
Bruno Silva,-,-,-,-
Diego,-,-,-,-
Geromel,-,-,-,-
Kayky,-,-,-,-
Mateus Vital,2,-,-,2
Allan,1,1,-,-
Romarinho,-,-,-,-
Luiz Adriano,1,-,1,-
