Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Philipp Klewin,-,-,-,-
Robert Zulj,2.1,0.8,0.2,1.1
Tim Kleindienst,2.5,0.5,0.7,1.3
Serdar Dursun,3.2,0.5,0.5,2.2
Philipp Hofmann,2.7,0.4,0.3,2
Simon Terodde,2.4,-,0.5,1.8
Omar Marmoush,2.3,0.8,-,1.5
Kevin Behrens,2,0.2,0.3,1.5
Timo Hübers,0.6,-,0.1,0.5
Patrick Mainka,0.7,-,0.3,0.4
Carl Klaus,-,-,-,-
Branimir Hrgota,3.1,1.2,0.2,1.7
Paul Seguin,1.2,0.6,0.1,0.5
Marius Funk,-,-,-,-
Marvin Wanitzek,2,1.3,0.1,0.6
Rodrigo Zalazar,2.2,1.6,-,0.6
Mikkel Kirkeskov,-,-,-,-
Julian Green,2.3,1.2,0.1,0.9
Sonny Kittel,1.7,0.8,0.1,0.8
Marvin Ducksch,3,0.7,0.1,2.2
Daniel-Kofi Kyereh,2.1,0.9,0.2,1
Tobias Kempe,1.6,0.9,-,0.7
Danilo Soares,0.6,0.5,-,0.1
Fin Bartels,1.7,0.5,0.1,1.1
Tim Kister,0.4,-,0.1,0.2
Marco Meyerhöfer,0.7,0.4,-,0.4
Pascal Testroet,3,0.8,0.2,2
Johannes Geis,1.6,1.6,-,0.1
David Raum,0.4,0.2,-,0.2
Andreas Albers,2.8,0.6,0.3,1.9
Simon Zoller,1.8,0.3,0.5,1.1
Jae-Sung Lee,1,0.1,0.3,0.5
Dennis Srbeny,2.6,0.6,0.3,1.6
Havard Nielsen,2,0.3,0.2,1.5
Guido Burgstaller,2.6,0.3,0.7,1.6
Sebastian Ohlsson,0.3,0.1,-,0.3
Genki Haraguchi,1.3,0.9,0.1,0.4
Manuel Schäffler,2,0.2,0.3,1.4
Robert Tesche,1.2,0.4,0.2,0.6
Uwe Hünemeier,0.7,0.1,-,0.6
Armel Bella Kotchap,0.4,-,0.1,0.3
Florian Ballas,0.4,0.1,-,0.3
Anthony Losilla,1,0.4,0.1,0.5
Christian Kühlwetter,2.1,0.6,0.3,1.2
Oliver Hüsing,0.4,-,0.1,0.2
Sven Michel,1.7,0.5,0.2,1
Marco Thiede,0.5,0.2,-,0.3
Luca Pfeiffer,2.5,1,-,1.5
Cristian Gamboa,0.4,0.4,-,-
Tim Handwerker,0.7,0.6,-,0.1
Stephan Ambrosius,0.6,-,-,0.5
Bakery Jatta,0.7,0.2,-,0.5
Aaron Hunt,1.3,0.7,-,0.6
Benedikt Gimber,0.7,0.3,0.1,0.3
Martin Männel,-,-,-,-
Victor Pálsson,1,0.3,-,0.7
Janni Serra,1.9,0.2,0.3,1.5
Stefan Thesker,0.2,-,-,0.2
Kenan Karaman,1.9,0.4,0.3,1.2
Sebastian Schonlau,0.7,-,-,0.7
Jérôme Gondorf,1,0.5,0.1,0.4
Kevin Danso,0.9,-,0.2,0.7
Simon Lorenz,0.8,0.1,0.1,0.6
Chris Führich,1.7,0.7,-,1
Sebastian Ernst,1.3,0.2,0.2,0.9
Rolf Feltscher,0.5,0.2,-,0.3
Jaka Bijol,0.8,0.3,-,0.5
Marvin Mehlem,1.6,0.8,-,0.8
Sebastian Kerk,2,1.3,-,0.7
Marvin Pieringer,2.5,0.8,0.2,1.5
Moritz Heyer,0.7,0.3,0.2,0.3
Janik Bachmann,0.9,0.2,0.1,0.6
Jamilu Collins,0.5,0.5,-,-
Alexander Mühling,1.4,0.4,0.1,0.9
Manuel Riemann,-,-,-,-
Toni Leistner,0.9,0.1,0.2,0.6
Enrico Valentini,0.6,0.3,-,0.3
Anton Stach,1,0.7,0.1,0.2
Fabian Nürnberger,1.4,1,-,0.4
Hauke Wahl,0.2,-,0.1,0.1
Johannes Dörfler,0.5,0.3,-,0.2
Mats Møller Dæhli,0.9,0.1,0.1,0.7
Alexander Meyer,-,-,-,-
Niko Kijewski,-,-,-,-
Philip Heise,0.8,0.7,-,0.1
Matthias Zimmermann,0.8,0.4,-,0.4
Michael Ratajczak,-,-,-,-
Max Besuschkow,1.9,1.2,-,0.8
Marnon Busch,0.7,0.6,-,0.1
Jonas Meffert,0.4,0.1,0.1,0.2
Felix Lohkemper,1.4,0.2,0.3,0.9
Daniel Keita-Ruel,1.5,0.3,0.2,1
Gerrit Holtmann,2.3,0.9,0.2,1.2
Paul Jaeckel,0.4,0.1,0.1,0.2
Brian Behrendt,0.6,0.5,-,0.1
Marcel Schuhen,-,-,-,-
