Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Fabian Bredlow,-,-,-,-
Robert Lewandowski,4.7,0.8,0.6,3.4
Erling Haaland,3.3,0.3,0.5,2.6
Joshua Kimmich,1.4,1,-,0.3
Jadon Sancho,2,0.4,-,1.6
André Silva,3.7,0.5,0.6,2.6
Thomas Müller,1.6,0.3,0.2,1.1
Matheus Cunha,2.6,1.5,-,1
Wout Weghorst,2.7,0.3,0.2,2.2
Maximilian Arnold,1.8,1.7,-,0.1
Elias Bördner,-,-,-,-
Filip Kostic,1.7,0.9,-,0.8
Christopher Nkunku,2,0.7,-,1.3
Mats Hummels,0.9,-,0.2,0.7
Leon Bailey,1.9,0.9,0.2,0.9
Raphael Guerreiro,1.4,0.6,-,0.7
Andrej Kramaric,3.4,1.3,0.1,2
Ermin Bicakcic,1,-,1,-
Leon Goretzka,1.8,0.7,0.1,1
Serge Gnabry,2.2,0.7,0.1,1.4
Willi Orban,0.8,-,0.3,0.5
Silas Wamangituka,1.8,0.2,0.1,1.5
Jonas Hofmann,1,0.3,-,0.8
Kingsley Coman,1.8,0.7,0.1,1
Marco Reus,1.8,0.5,0.1,1.1
Angeliño,1.3,0.3,-,1
Bas Dost,1.3,0.1,0.3,0.9
Vincenzo Grifo,1.9,0.7,-,1.2
Emre Can,0.6,0.3,-,0.3
Daniel Caligiuri,1.2,0.6,-,0.5
Alphonso Davies,0.2,0.1,-,-
Borna Sosa,0.5,0.2,-,0.3
Wataru Endo,0.8,0.5,0.1,0.3
Maxence Lacroix,0.5,-,0.1,0.4
Christopher Trimmel,0.3,0.2,-,0.1
Sasa Kalajdzic,2.1,0.3,0.2,1.5
Lars Stindl,1.9,0.7,0.1,1.1
Marcel Sabitzer,2.2,1.6,-,0.6
Martin Hinteregger,0.8,0.1,0.3,0.4
Nico Elvedi,0.4,-,-,0.4
Kevin Mbabu,0.5,0.1,0.1,0.3
Nicolás González,3.3,1,0.1,2.2
Max Kruse,1.4,0.3,-,1
Stefan Bell,0.5,0.1,-,0.4
Marcus Thuram,2,0.3,0.2,1.5
Lucas Hernández,0.2,-,-,0.2
Ridle Baku,1.1,0.5,-,0.5
Xaver Schlager,1.5,1.1,-,0.4
Niklas Süle,1,0.4,0.1,0.6
Pavao Pervan,-,-,-,-
Tobias Sippel,-,-,-,-
Edmond Tapsoba,0.5,0.1,-,0.4
Ihlas Bebou,1.5,0.1,0.2,1.2
Dani Olmo,2.4,1.1,-,1.3
John Brooks,0.6,-,-,0.5
Florian Neuhaus,1.5,1,-,0.5
Leroy Sané,1.8,0.8,0.1,0.9
Moussa Diaby,1.6,0.5,-,1.1
Marvin Friedrich,0.7,0.1,-,0.6
Josip Stanisic,2,-,1,1
Felix Uduokhai,0.4,0.1,0.2,0.2
Daichi Kamada,1.2,0.4,0.1,0.7
Amos Pieper,0.5,0.1,0.1,0.3
Mark Flekken,-,-,-,-
Konstantinos Mavropanos,0.7,0.1,-,0.6
Christopher Lenz,0.6,0.3,-,0.3
Matthias Ginter,0.7,0.1,0.1,0.5
Christoph Baumgartner,2,0.6,0.2,1.2
Florian Hübner,0.5,0.2,-,0.3
Renato Steffen,1.4,0.3,0.1,1
Nicolas Höfler,0.6,0.2,0.1,0.3
Paulo Otávio,0.6,0.4,-,0.2
Orel Mangala,1.1,0.7,-,0.4
Blendi Idrizi,1.3,1,-,0.3
Marc Oliver Kempf,0.5,0.2,-,0.3
Benjamin Pavard,0.5,0.3,-,0.2
Florian Wirtz,1.1,0.4,-,0.6
Ellyes Skhiri,0.5,0.1,0.3,0.2
Robert Andrich,1.4,1.1,-,0.3
Ondrej Duda,1.6,0.8,-,0.8
Dayot Upamecano,0.5,-,-,0.4
Ludwig Augustinsson,0.7,0.3,-,0.4
Ritsu Doan,2,1,-,1
Amine Harit,0.8,0.5,-,0.2
Manuel Akanji,0.7,0.1,0.1,0.5
Diadie Samassékou,0.5,0.5,-,-
Fabian Klos,1.6,0.3,0.1,1.1
Exequiel Palacios,0.2,0.1,-,0.1
Marcel Halstenberg,0.6,0.3,0.1,0.2
Obite Evan Ndicka,0.7,-,0.2,0.6
Salif Sané,0.5,0.1,-,0.4
Josip Brekalo,1.6,0.8,-,0.8
Alassane Plea,2.1,0.8,0.1,1.3
Ramy Bensebaini,0.9,0.2,-,0.6
Djibril Sow,0.4,0.3,-,0.1
Rafal Gikiewicz,-,-,-,-
Shkodran Mustafi,0.7,-,-,0.7
Jonas Hector,1.4,0.4,0.1,0.9
Florian Grillitsch,0.8,0.3,0.1,0.3
Giovanni Reyna,1.2,0.4,0.2,0.6
Amadou Haidara,1.4,0.8,0.1,0.5
Patrik Schick,1.9,0.2,0.3,1.4
Joakim Nilsson,0.2,-,-,0.2
Julian Baumgartlinger,0.4,0.2,0.2,-
Stefan Ortega Moreno,-,-,-,-
Nordi Mukiele,0.8,0.1,0.1,0.5
Sheraldo Becker,1.7,0.7,-,1.1
David Alaba,0.7,0.5,-,0.1
Chris Richards,0.2,-,-,0.2
André Hahn,1.5,0.3,0.2,1
Nico Schlotterbeck,1.4,0.2,0.2,1
Jhon Córdoba,2.3,0.2,0.1,1.9
Dominik Kohr,0.9,0.8,0.1,0.1
Ansgar Knauff,0.5,-,-,0.5
Jeremiah St. Juste,0.7,0.3,0.1,0.4
Yussuf Poulsen,1.7,0.3,0.1,1.2
Mahmoud Dahoud,0.8,0.7,-,-
Amin Younes,1.3,0.4,-,0.9
Emil Forsberg,1.2,0.3,-,0.9
Leandro Barreiro Martins,1.1,0.3,0.1,0.7
Maximilian Mittelstädt,0.6,0.4,-,0.2
Stefan Lainer,0.8,0.2,0.1,0.4
Lars Bender,0.6,0.3,0.1,0.2
Lucas Alario,1.6,0.1,0.2,1.4
Danny da Costa,0.2,0.1,-,0.1
Jonathan Tah,0.3,-,0.1,0.2
Kerem Demirbay,1.5,1.2,0.1,0.2
Alexander Sørloth,1.6,0.1,0.1,1.3
Yannick Gerhardt,1.1,0.2,-,0.8
Jamal Musiala,1,0.2,-,0.8
Jérôme Boateng,0.3,0.1,-,0.2
Axel Witsel,0.8,0.5,-,0.3
Iago,0.5,0.3,0.1,0.2
Gregor Kobel,-,-,-,-
Baptiste Santamaría,1,0.6,-,0.3
Alexander Hack,0.3,-,-,0.3
Matteo Guendouzi,0.7,0.4,-,0.3
Joshua Sargent,1.4,0.3,0.2,0.9
Lucas Tousart,1.2,0.8,-,0.3
Ralf Fährmann,-,-,-,-
Christian Günter,0.8,0.5,-,0.3
Rafael Czichos,0.4,-,0.2,0.1
Cédric Brunner,0.2,0.1,0.1,0.1
Koen Casteels,-,-,-,-
Jean-Philippe Mateta,1.9,0.1,0.3,1.5
Lucas Höler,1.3,0.1,0.1,1.1
Jude Bellingham,1.1,0.6,-,0.6
Sebastiaan Bornauw,0.8,-,-,0.7
Omar Alderete,0.4,0.1,-,0.3
Theodor Gebre Selassie,0.6,0.2,-,0.3
Roland Sallai,1.7,0.5,0.1,1.1
Tyler Adams,0.3,0.1,0.1,-
Thomas Delaney,0.4,0.1,-,0.4
Andreas Luthe,-,-,-,-
Lennart Grill,-,-,-,-
Philipp Mwene,0.4,0.2,-,0.2
Jean-Paul Boëtius,0.9,0.5,0.1,0.3
Maximilian Eggestein,0.7,0.5,-,0.2
Grischa Prömel,0.8,0.2,0.1,0.5
Pavel Kaderábek,0.5,0.1,0.1,0.4
Ryan Sessegnon,0.2,-,0.1,0.1
Christoph Kramer,0.3,0.3,-,0.1
Robin Knoche,0.4,-,-,0.3
Sebastian Andersson,2.5,0.3,0.3,1.9
Vladimír Darida,1,0.7,-,0.3
Waldemar Anton,0.4,0.1,-,0.3
Kevin Kampl,0.5,0.4,-,0.1
Erik Durm,1,0.4,-,0.6
Dedryck Boyata,0.5,-,-,0.5
Gonzalo Castro,1.2,0.5,-,0.6
Jeffrey Gouweleeuw,0.2,-,-,0.2
Ron-Robert Zieler,-,-,-,-
Breel Embolo,1.3,0.2,0.2,1
Keven Schlotterbeck,0.3,0.1,-,0.2
Dodi Lukébakio,1.4,0.3,0.1,1
Jonathan Schmid,0.7,0.4,-,0.3
Thomas Meunier,0.6,0.3,-,0.2
Ruben Vargas,1.3,0.4,0.1,0.8
Joel Pohjanpalo,1.6,0.2,0.4,1.1
Ömer Toprak,0.4,-,-,0.3
Niclas Füllkrug,1.8,0.2,0.1,1.6
Nadiem Amiri,1.4,1.1,-,0.3
Frederik Rönnow,-,-,-,-
Elvis Rexhbecaj,0.9,0.6,0.1,0.3
Florian Müller,-,-,-,-
Marco John,0.4,0.3,-,0.1
Manuel Gulde,0.3,-,-,0.3
Wendell,0.3,0.1,-,0.2
Daley Sinkgraven,0.3,0.1,-,0.1
Robin Zentner,0.1,-,-,-
Manuel Neuer,-,-,-,-
Bouna Sarr,0.4,0.4,-,-
Ermedin Demirovic,1.4,0.3,0.1,1
Manuel Prietl,0.6,0.6,-,-
Charles Aránguiz,0.2,-,-,0.1
Almamy Touré,0.9,0.3,0.1,0.5
Makoto Hasebe,0.1,-,-,-
Kevin Akpoguma,0.1,0.1,-,0.1
Josuha Guilavogui,0.3,0.1,0.1,0.1
Anderson Lucoqui,0.4,0.3,-,-
Leonardo Bittencourt,1.6,0.9,0.1,0.6
Alexander Schwolow,-,-,-,-
Peter Pekarík,0.3,0.2,0.1,-
Aleksandar Dragovic,0.2,0.1,-,0.2
Sebastian Rode,0.1,0.1,-,-
Florian Kainz,1.1,0.4,-,0.8
Santiago Ascacibar,0.5,0.3,-,0.2
Mitchell Weiser,0.4,-,-,0.4
Lukas Klostermann,0.5,-,-,0.4
Philipp Lienhart,0.3,-,0.1,0.2
Stefan Posch,0.4,0.2,0.1,0.2
Jérôme Roussillon,0.6,0.4,-,0.2
Maximilian Philipp,1.3,0.4,-,0.8
Oliver Baumann,-,-,-,-
Felix Passlack,0.7,0.4,-,0.3
Philipp Pentke,-,-,-,-
Julian Brandt,0.7,0.3,0.1,0.4
David Abraham,0.7,0.3,0.3,0.1
Reece Oxford,0.3,-,0.1,0.1
Edimilson Fernandes,0.9,0.7,-,0.1
Moussa Niakhaté,0.3,0.1,0.1,0.2
Suat Serdar,1.3,0.6,0.1,0.6
Karim Onisiwo,1.7,0.5,0.2,1
Milot Rashica,1.8,0.8,-,1
Mark Uth,1.8,1,-,0.8
Nemanja Radonjic,1.3,0.4,-,0.8
Niklas Stark,0.3,-,-,0.3
Loris Karius,-,-,-,-
Jirí Pavlenka,-,-,-,-
Marcel Hartel,1,0.7,0.1,0.1
Tuta,0.2,0.1,-,0.2
Thorgan Hazard,0.6,0.2,-,0.4
Kevin Trapp,-,-,-,-
Florian Niederlechner,1.7,0.2,0.1,1.4
Marco Friedl,0.3,0.2,-,0.1
Marius Wolf,1.3,0.4,0.3,0.6
Luka Jovic,1.4,0.2,0.1,1.1
Daniel Didavi,1,0.4,0.1,0.5
Péter Gulácsi,-,-,-,-
Milos Veljkovic,0.1,-,-,-
Munas Dabbur,1.3,0.2,0.1,1
Florian Flick,0.3,-,-,0.3
Raphael Framberger,-,-,-,-
Ibrahima Konaté,0.3,-,0.1,0.2
Robin Quaison,1.3,0.5,0.1,0.6
Aymen Barkok,0.7,0.5,-,0.3
Kasim Adams,0.6,0.2,0.1,0.3
Noah Katterbach,0.4,0.3,-,0.1
Sven Bender,0.2,-,-,0.2
Sebastian Rudy,0.6,0.4,-,0.2
Andreas Voglsammer,1.8,0.6,0.2,1
Taiwo Awoniyi,1.4,-,0.3,1
Timothy Fosu-Mensah,0.3,-,-,0.3
Levin Öztunali,0.4,0.1,-,0.2
Marwin Hitz,-,-,-,-
Marcus Ingvartsen,1.3,0.5,0.1,0.7
Denis Zakaria,0.4,0.3,-,0.2
Valentino Lazaro,0.7,0.2,-,0.5
Jacob Laursen,0.1,0.1,-,0.1
Tin Jedvaj,0.3,-,-,0.3
Marin Pongracic,0.1,-,-,0.1
Roman Bürki,-,-,-,-
Santiago Arias,-,-,-,-
Håvard Nordtveit,0.3,-,-,0.3
Dominique Heintz,0.1,0.1,-,-
Masaya Okugawa,0.7,0.2,-,0.5
Petar Musa,1.2,0.2,0.1,0.9
Mehmet Can Aydin,0.2,0.2,-,-
Kingsley Ehizibue,0.4,0.2,-,0.1
Tanguy Coulibaly,0.8,0.2,-,0.6
Philipp Förster,0.8,0.2,-,0.6
Luca Kilian,0.2,-,-,0.2
Eric Maxim Choupo-Moting,0.9,0.1,0.2,0.6
Mads Pedersen,0.1,0.1,-,-
Michael Langer,-,-,-,-
Mateu Morey,0.2,0.1,-,0.1
Corentin Tolisso,0.8,0.1,0.1,0.6
Louis Jordan Beyer,-,-,-,-
Márton Dárdai,0.2,0.1,-,0.1
Demarai Gray,1.5,0.4,-,1.1
Benjamin Stambouli,0.1,-,-,-
Chris Richards,-,-,-,-
Philipp Klement,0.4,0.4,-,-
Malick Thiaw,0.4,-,0.1,0.4
Justin Kluivert,0.9,0.3,-,0.6
Lukás Hrádecky,-,-,-,-
Rune Jarstein,-,-,-,-
Ajdin Hrustic,0.6,0.4,-,0.3
Lukasz Piszczek,0.1,0.1,-,-
Kevin Möhwald,0.9,0.6,-,0.2
Robert Skov,1.4,0.9,-,0.6
Krzysztof Piatek,1.3,0.2,0.2,1
Dominik Kohr,0.7,0.3,-,0.4
Youssoufa Moukoko,1.4,0.4,0.1,0.9
Atakan Karazor,0.2,0.1,-,0.1
Erik Thommy,1.5,0.8,-,0.8
Danny Latza,0.8,0.3,-,0.4
Timo Horn,-,-,-,-
Lukas Kübler,0.1,0.1,-,0.1
Admir Mehmedi,0.4,0.1,0.1,0.2
Jonathan Burkardt,1,0.1,0.1,0.8
Rocco Reitz,-,-,-,-
Rani Khedira,0.4,0.2,-,0.2
Roberto Massimo,0.8,0.1,-,0.8
Jorge Meré,0.1,0.1,-,-
Omar Mascarell,0.4,0.3,-,0.1
Mateo Klimowicz,1.4,0.6,-,0.8
Yann Sommer,-,-,-,-
Felix Agu,0.3,0.1,-,0.1
Dennis Geiger,0.8,0.3,-,0.4
Deyovaisio Zeefuik,0.1,-,-,0.1
Dominick Drexler,0.4,0.1,0.1,0.3
Sami Khedira,0.1,0.1,-,-
Karim Bellarabi,1.3,0.3,0.1,0.9
Douglas Costa,0.4,0.2,-,0.2
Sargis Adamyan,1.3,0.4,0.1,0.8
Lazar Samardzic,0.1,0.1,-,-
Ismail Jakobs,1,0.3,0.1,0.6
Matthew Hoppe,0.9,-,-,0.9
Steven Zuber,0.5,0.2,-,0.3
Stefan Ilsanker,0.5,0.1,0.1,0.3
Mike van der Hoorn,0.2,-,-,0.2
Daniel Brosinski,0.5,0.3,-,0.2
Jeong Woo-Yeong,0.5,0.2,-,0.4
Marco Richter,1.9,1,0.2,0.8
Ozan Kabak,0.9,0.1,0.1,0.6
Nils Petersen,1,0.1,0.3,0.7
Christian Groß,0.3,0.2,-,-
Marvin Plattenhardt,0.2,0.2,-,-
Sergio Córdova,0.9,0.1,0.1,0.7
Kevin Stöger,0.5,0.2,0.1,0.3
Tim Siersleben,1,-,-,1
Jordan Torunarigha,0.3,0.1,-,0.2
Javi Martínez,0.1,-,-,0.1
Patrick Herrmann,0.7,0.1,-,0.6
Javairô Dilrosun,0.7,0.3,-,0.3
Luca Netz,0.2,-,0.1,0.1
Klaas Jan Huntelaar,1.4,0.2,0.3,0.9
Sead Kolasinac,0.4,0.1,-,0.3
Kevin Vogt,-,-,-,-
Timo Becker,0.3,0.2,-,0.1
Georginio Rutter,0.7,0.2,-,0.4
Carlos Gruezo,0.6,0.6,-,-
László Bénes,0.7,0.3,-,0.4
Sava-Arangel Cestic,0.1,-,0.1,-
Jeremie Frimpong,0.3,-,-,0.3
Michel Vlap,0.4,0.1,-,0.3
Yannik Keitel,0.7,0.6,-,0.1
Robert Glatzel,1,-,0.1,0.9
Jean-Manuel Mbom,0.3,0.1,-,0.2
Marek Suchy,-,-,-,-
Christian Gentner,0.3,0.1,-,0.1
Davy Klaassen,1.3,1,-,0.3
Benjamin Henrichs,0.4,0.2,-,0.2
Davie Selke,1.2,0.1,0.3,0.8
Romano Schmid,0.8,0.6,-,0.2
Jannes Horn,0.2,0.2,-,-
Alexander Nübel,-,-,-,-
Fabian Kunze,0.3,0.1,-,0.2
Tobias Strobl,0.2,0.1,0.1,-
Pascal Stenzel,0.2,0.2,-,-
Hannes Wolf,0.5,0.1,-,0.4
Pierre Kunde Malong,0.6,0.6,-,-
Dan-Axel Zagadou,0.1,-,-,0.1
Michael Gregoritsch,0.5,0.3,-,0.3
