Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Emiliano Buendía,2.8,1.5,0.1,1.2
William Forrester,2,-,-,2
Kieffer Moore,2.5,0.4,0.4,1.8
Krystian Bielik,0.7,0.1,0.2,0.5
Joe Rodon,-,-,-,-
Ivan Toney,3,0.6,0.4,2.1
Michal Helik,0.6,-,0.3,0.3
Alfie Mawson,0.5,-,-,0.5
Connor Taylor,2,-,-,2
Arnaut Danjuma Groeneveld,2.1,0.9,0.1,1.2
Grant Hanley,0.6,-,0.2,0.4
Jordy de Wijs,0.7,-,0.1,0.6
Robert Dickie,0.5,0.1,0.1,0.4
Mads Andersen,0.5,-,0.1,0.4
Sean Morrison,0.8,-,0.2,0.6
Shaun Hutchinson,0.7,0.1,0.2,0.5
Adam Armstrong,4.7,1.4,0.1,3.3
Todd Cantwell,2,0.9,-,1.1
Ismaila Sarr,2.2,0.6,0.1,1.5
Ovie Ejaria,1.2,0.7,-,0.5
Ben Cabango,0.5,-,0.2,0.3
Steven Benda,-,-,-,-
Lewis Wing,1.7,1.4,-,0.3
André Ayew,2.2,0.6,0.2,1.4
Nick Powell,1.8,0.5,0.3,1
Teemu Pukki,3.3,0.4,0.2,2.8
Dominic Solanke,2.7,0.6,0.4,1.7
Harry Souttar,0.7,-,0.1,0.6
Aden Flint,0.9,-,-,0.8
Dael Fry,0.3,-,0.1,0.2
Lucas João,2.2,0.5,0.1,1.6
Michael Olise,1.6,1.2,-,0.5
Matthew Clarke,0.9,-,0.2,0.7
Joe Jacobson,0.6,0.4,-,0.1
Ethan Pinnock,0.7,-,0.1,0.6
Adam Masina,0.4,0.2,-,0.2
Jake Cooper,0.8,-,0.1,0.6
Barry Douglas,0.5,0.3,-,0.2
Marc Roberts,0.5,-,0.1,0.3
Kristian Pedersen,0.6,0.1,-,0.5
Kiernan Dewsbury-Hall,1.2,0.9,-,0.3
Francisco Sierralta,0.7,-,0.2,0.5
Ryan Bennett,0.1,-,0.1,0.1
Curtis Nelson,0.5,-,0.1,0.4
James Garner,1.6,1,-,0.6
Grant Hall,0.7,-,0.2,0.5
Morgan Gibbs-White,1.6,0.4,0.2,1
Matt Grimes,1,0.9,-,0.1
Jed Wallace,1.8,1,-,0.8
Derrick Williams,0.7,0.1,0.1,0.5
Yoann Barbet,0.8,0.3,0.1,0.5
Harry Wilson,2,1.2,0.1,0.6
