Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Sean Klaiber,2.5,1.5,-,1
Dusan Tadic,2.3,0.5,0.2,1.6
Sébastien Haller,2.8,0.1,0.6,2.2
Steven Berghuis,3.5,1.7,0.1,1.6
Oussama Tannane,4.3,3.5,-,0.7
Adam Maher,1.4,1.2,-,0.1
Gregoire Amiot,1,-,1,-
Joey Veerman,2,1.4,0.1,0.5
Donyell Malen,3.5,0.8,0.4,2.3
Teun Koopmeiners,1.6,0.9,0.2,0.5
Ajdin Hrustic,4,2,-,2
Ibrahim Sangaré,0.8,0.3,0.1,0.4
Georgios Giakoumakis,3.2,0.5,0.5,2.2
Ryan Gravenberch,1.5,1.1,-,0.4
Mario Götze,0.8,0.1,0.2,0.6
Calvin Stengs,2.1,0.9,0.1,1.1
Jesper Karlsson,2.5,0.9,0.1,1.6
Vaclav Cerny,2.1,1.1,0.1,0.9
Davy Klaassen,1.5,0.2,0.3,1
Cody Gakpo,2,0.6,0.2,1.2
Abdou Harroui,2.3,1.4,-,0.9
Gyrano Kerk,2.5,0.8,0.2,1.5
Vangelis Pavlidis,2.8,0.9,0.2,1.6
Marcos Senesi,0.5,-,0.1,0.3
Fredrik Midtsjø,0.6,0.5,-,0.1
Silvester van der Water,1.7,0.6,0.1,1.1
Philipp Max,1,0.6,-,0.4
Nicolás Tagliafico,1.5,0.1,0.1,1.3
Jacob Rasmussen,0.7,-,0.1,0.5
Jens Toornstra,1.5,0.8,-,0.7
Eran Zahavi,3.4,1.1,0.3,2.1
Rai Vloet,2.1,1,0.2,0.9
Olivier Boscagli,0.6,0.1,0.1,0.5
Zian Flemming,2.8,1.4,0.1,1.3
Antony,1.8,0.9,-,0.9
Denzel Dumfries,0.8,0.1,-,0.6
Maximiliano Romero,1,-,-,1
Lennart Thy,2.1,0.4,0.1,1.5
Henk Veerman,2.9,0.4,0.3,2.2
Gabriel Gudmundsson,1.2,0.5,0.1,0.6
Myron Boadu,1.5,0.1,0.3,1.1
Sergio Peña,1.7,1.2,-,0.5
Lisandro Martínez,1.2,0.2,-,0.9
Daley Blind,0.7,0.5,-,0.2
Sander van de Streek,2.4,0.6,0.2,1.7
Owen Wijndal,0.9,0.5,0.1,0.4
Noussair Mazraoui,0.6,0.5,-,0.2
Kenneth Paal,0.6,0.4,-,0.2
Eric Botteghin,0.5,-,0.1,0.4
Virgil Misidjan,1.9,0.9,0.1,0.9
Pawel Bochniewicz,0.4,0.1,0.1,0.3
Edson Álvarez,1.3,0.3,0.2,0.7
Mickael Tirpan,0.3,0.1,0.1,0.1
Lutsharel Geertruida,0.5,0.1,0.1,0.3
Ahmed El Messaoudi,1.8,0.7,-,1
Lassina Traoré,1.6,0.1,0.5,1
Jonathan Mulder,1,1,-,-
Riechedly Bazoer,1.4,1.1,-,0.3
Albert Gudmundsson,2.2,0.5,0.4,1.3
Jurriën Timber,0.3,0.1,0.1,0.2
Kostas Lamprou,-,-,-,-
George Cox,0.4,0.2,-,0.2
André Onana,-,-,-,-
Klaas Jan Huntelaar,1.8,0.1,0.2,1.5
Sean Klaiber,0.7,0.3,0.1,0.3
Bart Nieuwkoop,0.3,-,-,0.3
Jan Paul van Hecke,0.5,-,0.1,0.4
Tommy St. Jago,0.4,0.1,0.1,0.3
Devyne Rensch,0.4,-,0.2,0.2
Mike Trésor,1.4,0.9,-,0.5
Ko Itakura,0.4,0.1,-,0.3
Azor Matusiwa,0.1,0.1,-,-
Maarten Stekelenburg,-,-,-,-
Luis Sinisterra,1.3,0.3,0.3,0.8
Dirk Abels,0.2,0.2,-,0.1
Queensy Menig,2.1,0.7,-,1.5
Jørgen Strand Larsen,1.9,0.3,0.3,1.4
Maximilian Wittek,1.5,1,-,0.4
Ridgeciano Haps,0.8,0.4,-,0.4
Jonas Svensson,0.2,-,-,0.2
Laros Duarte,1.1,1.1,-,0.1
Eli Dasa,0.4,0.3,-,0.1
Miguel Araujo,0.8,0.2,0.2,0.5
Mohammed Kudus,1.2,0.6,-,0.5
Django Warmerdam,0.4,0.2,-,0.3
Robin Pröpper,0.4,0.1,0.1,0.2
Noni Madueke,1.3,0.5,0.1,0.7
Benson Manuel,1.8,0.8,0.1,0.9
Xandro Schenk,0.7,-,0.3,0.3
Milan van Ewijk,0.3,0.2,-,0.1
Ahmed Touba,0.8,0.2,-,0.5
Jordy Clasie,0.6,0.3,-,0.4
Bart van Hintum,0.3,0.2,-,0.1
Willem Janssen,0.6,-,0.2,0.4
David Neres,1,0.3,0.1,0.6
Ryan Thomas,0.6,0.3,-,0.3
Bart Vriends,0.6,-,0.1,0.5
Quincy Promes,2.5,0.6,0.1,1.8
Tibor Halilovic,0.9,0.8,0.1,0.1
Mats Seuntjens,1.7,0.9,0.1,0.6
Hidde ter Avest,1,0.3,-,0.7
Glenn Bijl,1.4,0.9,0.1,0.5
Sondre Tronstad,0.3,0.2,-,0.1
Danilho Doekhi,0.5,-,-,0.5
Justin Bijlow,-,-,-,-
Jeff Hardeveld,0.3,0.2,-,0.1
Sai van Wermeskerken,1.2,1,-,0.2
Danilo,2.9,0.7,0.2,2
Julio Pleguezuelo,0.3,0.1,0.1,0.2
Perr Schuurs,0.5,0.3,-,0.1
Pablo Rosario,0.5,0.3,-,0.1
Lisandro Semedo,1.7,0.4,0.1,1.2
Loïs Openda,1.9,0.2,0.2,1.5
Tyrell Malacia,0.7,0.4,-,0.3
Orkun Kökcü,2.2,1.8,-,0.4
Bart Ramselaar,1.7,0.4,0.1,1.2
Lucas Schoofs,0.5,0.1,0.1,0.3
Uros Spajic,0.3,0.1,-,0.2
Mimoun Mahi,2.8,0.3,0.4,2.1
Vito van Crooij,1.1,0.5,0.1,0.5
Michael de Leeuw,2,0.2,0.4,1.4
Said Bakari,0.3,0.1,-,0.2
Nick Marsman,-,-,-,-
Mark Diemers,1.4,0.9,-,0.5
Jari Vlak,1.4,1.1,-,0.2
Piet Velthuizen,-,-,-,-
Evert Linthorst,0.7,0.1,0.2,0.4
Bryan Linssen,2.3,0.4,0.2,1.6
Cyril Ngonge,1.5,1.1,0.1,0.4
Sebastian Polter,1.3,0.2,0.3,0.8
Alessio Da Cruz,1,0.2,0.1,0.7
Armando Broja,1.3,0.1,0.1,1.1
Luka Adzic,2.3,0.9,0.3,1
Mitchell van Bergen,1.7,0.6,0.1,1.1
Mohamed Ihattaren,1.8,1.2,0.1,0.5
Sven van Beek,0.8,0.3,-,0.5
Matús Bero,1.7,0.3,0.1,1.3
Dani de Wit,1.4,0.2,0.3,0.9
Jurgen Ekkelenkamp,1.7,0.1,0.4,1.1
Yuta Nakayama,0.9,0.3,0.1,0.4
Kik Pierie,0.3,-,-,0.3
Sven Mijnans,1,0.7,-,0.3
Pol Llonch,0.3,0.2,-,0.1
Tesfaldet Tekie,0.6,0.5,-,0.2
Jordan Teze,0.1,0.1,-,-
Gijs Smal,0.4,0.2,-,0.2
Koen Bucker,-,-,-,-
Joris van Overeem,0.4,0.1,0.1,0.2
Adil Auassar,0.9,0.7,-,0.2
Ben Rienstra,0.5,0.2,-,0.3
Wouter Burger,0.7,0.3,-,0.4
Melle Meulensteen,0.6,0.2,0.1,0.4
Zakaria Labyad,1.6,0.9,0.1,0.7
Kerim Frei,1.3,0.4,0.1,0.8
Sebastian Holmén,0.5,-,0.1,0.4
Lasse Schöne,0.9,0.7,0.1,0.2
Kwasi Okyere Wriedt,2,0.3,0.2,1.5
