Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Guy Mbenza,3,-,1,2
Jéremy Doku,2,0.7,-,1.3
Paul Onuachu,3,0.2,0.6,2.2
Darren Keet,-,-,-,-
Ryota Morioka,1.4,1.1,-,0.3
Louis Verstraete,1.2,0.6,0.4,0.2
Krépin Diatta,2.7,1,0.1,1.7
Theo Bongonda,3,1.5,0.1,1.5
Noa Lang,2.9,0.8,0.2,1.9
Junya Ito,2.1,0.8,0.1,1.2
Dieumerci Mbokani,2.5,0.1,0.5,2
Selim Amallah,2.8,1.5,0.1,1.1
Raphael Holzhauser,1.9,0.9,-,1
Mandela Keita,-,-,-,-
Hans Vanaken,1.7,0.5,0.1,1.1
Tarik Tissoudali,2.6,0.7,0.1,1.8
Ruud Vormer,1.6,0.9,0.1,0.7
Thomas Henry,2.5,0.4,0.4,1.7
Rafael Romo,-,-,-,-
Xavier Mercier,1.8,1,-,0.8
Roman Yaremchuk,3,0.8,0.2,2
Maxime Busi,0.4,0.4,-,-
Bryan Heynen,0.8,0.6,-,0.2
Joris Kayembe,0.3,0.2,-,0.1
Joachim van Damme,1.5,0.8,0.3,0.4
Joakim Maehle,0.7,0.2,-,0.5
Vadis Odjidja-Ofoe,1.2,0.6,-,0.6
Strahinja Pavlovic,1.2,0.2,0.1,0.9
Alessio Castro-Montes,0.8,0.4,0.1,0.3
Hugo Siquet,0.6,0.3,-,0.3
Robin Himmelmann,-,-,-,-
Lior Refaelov,2.2,1,0.1,1.2
Zinho Vanheusden,0.5,0.3,-,0.3
Faiz Selemani,2.1,1.1,-,1
Michael Frey,2.2,0.6,0.1,1.5
Julien de Sart,1.8,1.3,-,0.5
Moussa Sissako,0.3,0.3,-,-
Albert Sambi Lokonga,1.2,1.2,-,0.1
Konstantinos Laifis,1.3,0.7,-,0.5
Daniel Muñoz,0.6,0.1,0.1,0.4
Yuma Suzuki,2,0.4,0.3,1.3
Abdoulaye Seck,0.8,0.1,0.2,0.5
Ognjen Vranjes,0.5,-,0.3,0.3
Gianni Bruno,3.2,0.8,0.4,2
Lukas Nmecha,2.8,0.7,0.2,2
Nuno da Costa,2.4,0.7,0.4,1.4
Junior Pius,0.3,-,-,0.3
Laurent Henkinet,-,-,-,-
Yevhenii Makarenko,0.9,0.6,-,0.3
Charles De Ketelaere,1.3,0.4,0.1,0.7
Sebastien Bruzzese,-,-,-,-
Bas Dost,1.8,0.1,0.4,1.4
Andrew Hjulsager,2.5,1.4,0.1,1
Clinton Mata,0.3,0.2,-,0.1
Maxime D'Arpino,0.8,0.7,-,0.1
Rob Schoofs,2,1,-,1
Nicolas Gavory,0.5,0.4,-,0.1
Alexis Gamboa,0.1,0.1,-,-
Klauss,2.8,0.5,0.3,2
Alexandre De Bruyn,1.5,-,1,0.5
Percy Tau,2.3,0.8,0.1,1.4
Merveille Bokadi,0.8,0.1,0.1,0.6
Brandon Mechele,0.4,0.1,0.1,0.3
Knowledge Musona,3.1,1.4,-,1.6
Aboubakary Koita,2.2,1.6,-,0.6
Geoffrey Hairemans,1.7,0.9,-,0.8
Jan Van den Bergh,0.6,0.1,0.2,0.3
Frédéric Duplus,1.2,0.7,-,0.5
Sven Kums,0.7,0.5,-,0.2
Jordan Botaka,0.8,0.6,-,0.2
Adrien Trebel,0.9,0.8,-,0.1
Maarten Vandevoordt,-,-,-,-
Kristian Thorstvedt,1.2,0.6,0.1,0.5
Peter Zulj,1,0.6,0.1,0.3
Terem Moffi,2,0.5,-,1.5
Arthur Theate,0.6,0.2,0.1,0.2
Junior Pius,0.7,-,0.2,0.5
Thomas Kaminski,-,-,-,-
Noe Dussenne,0.9,-,0.1,0.8
Eduard Sobol,1.1,0.8,-,0.3
Ali Gholizadeh,1.9,0.9,0.1,0.9
Louis Bostyn,-,-,-,-
Damien Marcq,0.5,0.4,0.1,0.1
Michael Murillo,0.8,0.1,0.2,0.5
Saad Agouzoul,0.7,0.1,0.1,0.5
Louis Patris,-,-,-,-
Ilombe Mboyo,2.2,0.5,0.1,1.6
Stef Peeters,1.6,1.3,-,0.3
Jere Uronen,0.6,0.3,-,0.3
Jean Marcelin,0.8,0.1,0.2,0.6
Osman Bukari,2.1,0.7,-,1.3
Mergim Vojvoda,-,-,-,-
Paul Mukairu,1.1,0.2,-,0.9
Kylian Hazard,1.4,0.9,-,0.5
Collins Fai,0.5,0.3,-,0.2
Simon Deli,0.5,0.2,-,0.3
Smail Prevljak,2.6,0.4,0.3,1.9
Casper de Norre,0.7,0.4,-,0.3
Giorgi Chakvetadze,1.7,1,-,0.7
Alessandro Ciranni,0.6,0.5,-,-
Nordin Jackers,-,-,-,-
Ibrahima Seck,1.1,0.2,0.1,0.9
Jack Hendry,0.3,-,0.1,0.2
Didier Lamkel Ze,2.3,0.7,0.1,1.5
Dino Hotic,1.4,1.1,-,0.3
Tarik Tissoudali,1.3,0.3,0.2,0.8
Zinho Gano,2,0.1,0.4,1.5
Niklas Dorsch,0.6,0.3,-,0.2
Bogdan Mykhaylichenko,0.5,0.4,-,0.1
Jérémy Taravel,0.4,0.1,0.2,0.2
Ognjen Vranjes,0.6,-,-,0.6
Ike Ugbo,1.8,0.1,0.3,1.4
Christian Brüls,1.7,1.3,-,0.4
