Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Lionel Messi,5.6,2.9,0.4,2.3
Ángel Jiménez,-,-,-,-
Gerard Moreno,2.9,0.5,0.2,2.3
Karim Benzema,3.6,0.9,0.5,2.2
Ansu Fati,2,0.3,0.1,1.6
Casemiro,1.4,0.6,0.3,0.5
Iago Aspas,1.5,0.3,0.1,1.1
Marcos Llorente,1.3,0.6,-,0.7
Mikel Merino,1.3,0.3,0.2,0.8
Toni Kroos,1.2,0.9,0.1,0.2
Joselu,2.5,0.6,0.2,1.7
Kieran Trippier,0.1,0.1,-,-
Lucas Vázquez,0.9,0.5,-,0.3
Geoffrey Kondogbia,0.8,0.8,-,-
Diego Llorente,-,-,-,-
Antoine Griezmann,2,0.4,0.2,1.4
Javi Galán,0.2,0.2,-,0.1
Yannick Carrasco,1.4,0.5,0.1,0.9
Luis Suárez,3.3,0.7,0.3,2.2
Luka Modric,1.3,0.8,-,0.5
Frenkie de Jong,0.5,0.1,0.1,0.2
Nabil Fekir,2.6,1.5,-,1.1
José Campaña,1.4,0.8,-,0.7
Daniel Parejo,0.8,0.6,-,0.2
Thomas Partey,1.7,1.7,-,-
Jony Álamo,1,1,-,-
Carlos Soler,1.2,0.6,-,0.5
Mikel Oyarzabal,1.9,0.6,0.1,1.1
Alexander Isak,2.4,0.4,0.5,1.6
Rober Correa,0.4,0.3,-,0.1
Ousmane Dembélé,1.8,0.6,0.1,1.1
Jules Koundé,0.6,-,-,0.6
Fernando,0.2,0.1,0.1,0.1
Jordi Alba,0.8,0.4,-,0.4
David Silva,1,0.2,0.2,0.5
Emerson,0.3,0.1,0.1,0.2
Bryan Gil,1.4,0.5,0.1,0.8
Manu Sánchez,-,-,-,-
Sergio Barcia,-,-,-,-
Sergio Ramos,1.1,0.2,0.1,0.9
Sergio Canales,1.5,0.9,-,0.6
Guido Rodríguez,0.9,0.4,0.1,0.4
Kike García,2.4,0.5,0.2,1.7
Ángel Correa,1.4,0.4,0.1,0.9
Daniel Carvajal,0.7,0.5,-,0.2
Lucas Ocampos,2,0.5,0.3,1.2
Stefan Savic,0.2,-,0.2,0.1
Koke,0.5,0.3,-,0.1
Maximiliano Gómez,1.7,0.7,0.2,0.9
Suso,1.4,1,-,0.4
Jesús Navas,0.4,0.1,-,0.3
Sergio Busquets,0.1,0.1,-,-
Renato Tapia,0.5,0.3,-,0.3
Youssef En-Nesyri,2.1,0.1,0.3,1.6
Jan Oblak,-,-,-,-
Santi Mina,1.3,0.2,0.2,0.9
Eder Militão,0.9,0.1,0.1,0.7
Fidel,0.6,0.2,0.1,0.3
Mauro Arambarri,1.4,1,-,0.3
Raphael Varane,0.5,-,0.1,0.4
Jasper Cillessen,-,-,-,-
Marcos Acuña,0.6,0.3,-,0.3
Ferland Mendy,0.5,0.2,-,0.2
David García,0.4,-,-,0.3
Jawad El Yamiq,0.4,0.1,-,0.3
Gonçalo Guedes,1.6,1.1,-,0.5
Thomas Lemar,0.9,0.6,-,0.2
Yeray Álvarez,0.4,0.1,-,0.3
Alex Berenguer,1.4,0.5,0.1,0.7
Nolito,1.5,0.4,-,1.1
Adnan Januzaj,1.2,0.7,0.1,0.4
Iker Muniain,0.8,0.3,0.2,0.4
Carlos Domínguez,0.3,-,-,0.3
Joan Jordán,0.7,0.5,-,0.2
Sergio Escudero,0.7,0.3,-,0.3
Gabriel Paulista,0.5,0.1,-,0.3
Florian Lejeune,0.7,0.3,0.1,0.4
Aridane Hernández,0.1,-,-,0.1
Daniel Wass,1.1,0.8,0.1,0.2
Luis Milla,0.6,0.6,-,0.1
Mario Hermoso,0.6,0.3,0.1,0.3
Aritz Elustondo,0.2,-,0.1,0.1
Gerard Piqué,0.5,-,0.1,0.4
Yangel Herrera,1,0.4,0.1,0.5
Lucas Torró,0.7,0.3,0.1,0.2
Ante Budimir,1.6,0.1,0.3,1.1
Antonio Sivera,-,-,-,-
Philippe Coutinho,2.3,0.9,0.2,1.3
Nacho,0.5,0.1,0.1,0.2
Federico Valverde,0.9,0.4,-,0.5
Rubén García,0.8,0.4,0.1,0.3
José Giménez,0.7,0.1,-,0.6
Pablo Maffeo,0.4,0.2,-,0.3
Thibaut Courtois,-,-,-,-
Mario Gaspar,0.6,0.2,-,0.4
Óscar Mingueza,0.4,0.1,0.1,0.3
Sandro Ramírez,1.5,0.7,0.1,0.8
Iza,0.3,0.3,-,-
Unai Núñez,0.5,-,0.1,0.3
Hugo Mallo,0.6,0.1,0.1,0.4
Pau Torres,0.2,-,0.1,0.1
Dimitrios Siovas,0.8,0.1,0.1,0.6
Papu Gómez,1,0.6,-,0.4
Claudio Bravo,-,-,-,-
Saúl Ñíguez,1,0.4,0.1,0.6
Álex Moreno,0.5,0.1,-,0.3
Pedri,0.7,0.2,0.1,0.4
Brais Méndez,1.5,0.4,0.1,0.9
Álvaro Negredo,1.4,0.3,0.1,0.9
Sergio Herrera,-,-,-,-
David Ferreiro,0.7,0.4,-,0.3
Ronald Araujo,0.5,-,0.2,0.3
Paulo Oliveira,0.4,-,0.1,0.4
Alberto Perea,1,0.7,-,0.3
Denis Suárez,0.5,0.3,-,0.1
João Félix,1.3,0.4,-,0.8
Sergi Roberto,0.3,0.1,-,0.3
Darwin Machís,1.5,0.8,-,0.6
Yuri Berchiche,0.7,0.3,-,0.4
Rafa Mir,3.2,0.7,0.4,2.1
Rubén Sobrino,0.6,0.1,0.1,0.4
Felipe,0.4,-,0.1,0.3
Antonio Blanco,0.5,0.5,-,-
Juan Iglesias,0.4,0.3,-,0.1
Mathías Olivera,0.6,0.1,0.1,0.5
Edu Expósito,1.4,0.9,-,0.5
José Gayà,0.7,0.3,0.1,0.3
Juan Foyth,0.1,-,-,0.1
Lucas Olaza,0.6,0.4,-,0.2
Jaume Doménech,-,-,-,-
Rubén Duarte,0.5,0.2,-,0.2
Yassine Bounou,-,-,-,-
Renan Lodi,0.5,0.2,-,0.3
Alfonso Espino,0.3,0.2,-,-
Marcelo,0.8,0.4,-,0.4
Andoni Gorosabel,0.3,0.1,-,0.2
Thierry Correia,0.3,0.1,-,0.2
Vicente Iborra,0.2,0.1,-,0.2
Marc Cucurella,0.7,0.4,-,0.3
Javier Ontiveros,1.8,1.1,-,0.7
Miguel Gutiérrez,-,-,-,-
Diego Carlos,0.5,-,-,0.5
Jorge de Frutos,0.7,0.1,-,0.5
José Luis Morales,1.5,0.4,0.1,1
Robin Le Normand,0.5,0.1,0.1,0.4
Asier Illarramendi,-,-,-,-
Aarón Escandell,-,-,-,-
Uros Racic,1.1,0.7,-,0.4
Etienne Capoue,0.5,0.4,-,0.1
Marco Asensio,1.1,0.6,0.1,0.5
Aïssa Mandi,0.3,-,0.1,0.1
José Mari,0.8,0.7,-,-
Djené Dakonam,0.1,-,-,0.1
Lucas Boyé,1.7,0.6,0.1,1.1
Nacho Monreal,0.5,0.2,0.1,0.2
Eden Hazard,0.7,0.2,-,0.5
Manu Trigueros,0.9,0.5,-,0.3
Miguel Ángel Rubio,0.5,-,-,0.5
Raúl García,0.4,0.1,-,0.3
Rubén Peña,0.3,0.1,-,0.2
Guido Carrillo,1.2,0.1,-,1
Iñaki Williams,1.4,0.3,0.1,1
Gonzalo Melero,0.9,0.3,0.1,0.5
Anaitz Arbilla,0.8,0.6,0.1,0.2
Edgar Badia,-,-,-,-
Kenedy,1.3,1,0.1,0.2
Joaquín,0.4,0.1,-,0.3
Alfonso Pedraza,0.8,0.2,-,0.5
Sergi Gómez,0.1,-,-,0.1
Álvaro Fernández,-,-,-,-
Ander Capa,0.4,0.1,0.1,0.3
Rodrygo,1.1,0.2,-,0.9
Victor Chust,-,-,-,-
Lucas Olaza,0.8,0.4,-,0.4
Marc Bartra,0.5,0.2,0.1,0.3
Jonathan Calleri,1.9,0.3,0.1,1.5
Carlos Clerc,0.2,0.1,-,0.1
Rubén Rochina,1.4,1,-,0.4
Neto,-,-,-,-
Lucas Pérez,1.1,0.2,0.1,0.8
Sergiño Dest,0.5,0.1,-,0.4
Carlos Akapo,0.2,0.1,-,0.1
Juan Miranda,0.5,0.3,-,0.1
Ilaix Moriba,0.9,0.3,0.1,0.5
Gonzalo Verdú,0.3,0.1,0.1,0.2
Marc-André ter Stegen,-,-,-,-
Víctor Ruiz,0.1,-,0.1,-
Álvaro Odriozola,0.2,-,0.1,0.2
Ramiro Funes Mori,0.4,0.1,0.1,0.2
Vinícius Júnior,1.1,0.2,0.2,0.8
Roque Mesa,1,0.7,-,0.3
Martín Zubimendi,0.2,-,-,0.2
