Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
André Ferreira,-,-,-,-
Alex Telles,3,0.7,-,2.3
Pote,2.5,0.8,0.1,1.6
Otávio,1.4,0.9,-,0.5
Nanu,1.7,1,-,0.7
Rafa,1.2,0.2,0.1,0.8
Iuri Medeiros,1.7,1.1,-,0.6
Sebastián Coates,1.3,-,0.2,1.1
Mehdi Taremi,2.4,0.3,0.1,2
Nuno Mendes,0.6,0.4,-,0.2
Thiago Santana,3.1,0.8,0.3,2
João Palhinha,1.2,0.5,-,0.7
Sérgio Oliveira,1.8,1.1,-,0.7
Carlos Junior,2.6,0.6,0.3,1.8
Haris Seferovic,3,0.4,0.3,2.3
Ryan Gauld,2.4,1.2,0.1,1.2
Everton,1.5,0.6,0.1,0.8
Alejandro Grimaldo,0.5,0.4,-,0.1
Pedro Porro,1.5,0.9,-,0.6
Lucas Verissimo,0.4,-,0.1,0.3
André Almeida,0.3,-,-,0.3
Ivo Rodrigues,1.4,1.1,-,0.4
Wendel,-,-,-,-
Paulinho,2.9,0.8,0.3,1.8
Jesús Corona,0.9,0.2,-,0.7
Adel Taarabt,0.6,0.6,-,-
Wenderson Galeno,2.3,1.1,-,1.2
Rúben Dias,1,-,-,1
Paulinho,2.3,0.4,0.4,1.5
Mateus Uribe,1.3,0.6,0.1,0.6
Joao Ferreira,1,-,-,1
Carlos Mané,1.3,0.4,0.1,0.8
Pedro Amador,0.5,0.5,-,-
Matous Trmal,-,-,-,-
Dener,1,0.3,0.1,0.7
Wilson Manafá,0.3,0.1,-,0.2
Guilherme,-,-,-,-
Paulinho,0.9,0.5,-,0.4
Rochinha,1,0.5,-,0.5
Luciano Vietto,2,0.3,0.3,1.3
Luis Díaz,1.4,0.4,0.1,0.9
Douglas Tanque,2.9,1.3,0.2,1.5
Gil Dias,1.3,0.7,-,0.5
Willyan,1,0.1,-,0.8
Zouhair Feddal,1,0.1,0.2,0.7
Ricardo Esgaio,0.4,0.1,-,0.3
Fábio Pacheco,0.4,0.2,-,0.1
Maurício Antônio,0.3,0.1,-,0.2
Oleg Reabciuk,0.9,0.5,0.1,0.4
