Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Neymar,3.9,1.7,0.3,1.9
Kylian Mbappé,3.4,0.5,0.3,2.6
Andy Delort,3,0.8,0.4,1.8
Memphis Depay,3,1.3,0.1,1.6
Baptiste Santamaría,1.3,1,-,0.3
Yvann Maçon,0.3,0.3,-,-
Ángel Di María,2.2,1.1,-,1.1
Karl Toko Ekambi,2.6,0.4,0.6,1.6
Benjamin André,0.5,0.1,-,0.4
Téji Savanier,2.1,1.4,-,0.6
Gaetan Laborde,2.6,0.2,0.2,2.2
Marco Verratti,0.5,0.1,-,0.4
Fabien Centonze,0.7,0.4,-,0.3
Ludovic Ajorque,2,0.3,0.4,1.3
Farid Boulaya,2.4,1.8,-,0.6
Lucas Paquetá,1.8,0.8,0.2,0.8
Zinedine Ferhat,1.9,0.8,-,1
Frédéric Guilbert,1.2,0.9,-,0.2
Romain Faivre,1.8,0.9,-,0.8
Aleksandr Golovin,1.3,0.6,-,0.6
Steve Mounie,2.3,0.3,0.3,1.7
Aurelien Tchouameni,1.5,0.7,0.1,0.7
Raphinha,1.8,0.8,-,1
Marçal,-,-,-,-
Burak Yilmaz,2.4,0.9,-,1.4
Angelo Fulgini,2,1,-,0.9
Amine Gouiri,2.4,0.6,0.2,1.5
Kiki Kouyate,0.5,-,0.1,0.4
Romain Philippoteaux,0.7,-,-,0.7
Dimitry Bertaud,-,-,-,-
Jéremy Doku,1.2,0.5,-,0.7
Wesley Fofana,0.3,-,-,0.3
Jonathan Bamba,1.6,1.2,0.1,0.3
Yohann Pelé,-,-,-,-
Arkadiusz Milik,3.1,0.9,0.3,1.9
Kevin Volland,1.6,0.2,0.3,1.1
Wissam Ben Yedder,2.2,0.4,0.1,1.6
Ludovic Blas,2,1.1,0.1,0.8
José Fonte,0.8,0.1,-,0.6
Reinildo,0.1,0.1,-,-
Marquinhos,0.6,-,0.1,0.5
Pape Abou Cissé,0.9,0.1,0.1,0.8
Rafinha,1,0.5,-,0.5
Mahdi Camara,0.6,0.2,0.1,0.3
Léo Dubois,0.5,0.3,-,0.2
Mehmet Zeki Çelik,0.5,0.3,-,0.2
Sven Botman,0.4,-,-,0.4
Florian Thauvin,2,0.8,0.2,1
Mathieu Debuchy,1,0.1,0.2,0.7
Marcelo,0.7,-,0.1,0.5
Alfred Gomis,-,-,-,-
Massadio Haidara,0.5,-,0.1,0.3
Moise Kean,2,0.2,0.3,1.5
Sofiane Diop,1.4,0.8,0.1,0.5
Loic Bade,0.4,0.1,-,0.2
Tinotenda Kadewere,1.8,0.2,0.3,1.4
Nayef Aguerd,0.8,-,0.1,0.7
Boubacar Kamara,0.5,0.4,-,0.1
Valentin Rongier,0.7,0.5,-,0.2
Vincent Pajot,0.5,-,-,0.5
Laurent Koscielny,0.2,-,0.1,0.2
Brendan Chardonnet,0.6,0.1,0.1,0.4
Dimitri Payet,1.4,0.6,-,0.7
Serhou Guirassy,1.9,0.7,0.3,1
Lilian Brassier,0.5,0.2,0.2,0.2
Randal Kolo Muani,1.6,0.3,0.2,1.1
Pol Lirola,0.5,0.1,-,0.5
Keylor Navas,-,-,-,-
Jeff Reine-Adélaïde,1,-,-,1
Jeff Reine-Adélaïde,1.1,0.6,0.1,0.4
Yunis Abdelhamid,0.5,-,0.1,0.3
Hatem Ben Arfa,1.4,0.8,-,0.5
Habib Maïga,0.8,0.3,-,0.5
Hamari Traoré,0.7,0.3,-,0.4
Alexander Djiku,0.5,0.1,0.2,0.2
Jonathan Clauss,1,0.6,-,0.5
Gelson Martins,1.1,0.2,0.1,0.8
Martin Terrier,1.4,0.3,0.1,1.1
Armand Laurienté,2,1.3,-,0.7
Cheick Oumar Doucoure,1.1,0.9,-,0.2
Yoane Wissa,1.5,0.3,0.1,1
Maxwel Cornet,0.6,0.2,-,0.3
Luiz Araújo,1.8,1.1,-,0.7
Benjamin Bourigeaud,1.7,1.1,-,0.6
Jordan Amavi,0.3,-,-,0.3
Idrissa Gueye,0.7,0.5,-,0.2
