Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Carles Gil,2,1.3,-,0.8
Nani,3,1.2,0.2,1.6
Randall Leal,3.1,1.7,-,1.4
João Paulo,0.5,0.5,-,-
Joshua Atencio,1,1,-,-
Jamiro Monteiro,1.1,0.5,0.1,0.5
Lucas Zelarayán,2.2,2.2,-,-
Damir Kreilach,1.7,0.8,-,0.8
Jesús Medina,2.9,1.6,0.3,1
Jonathan Bond,-,-,-,-
Valentín Castellanos,4.3,1.3,0.4,2.6
Cristian Cásseres Jr,1.3,0.4,0.1,0.7
Emanuel Reynoso,4,3.3,-,0.7
Rubio Rubín,2.3,0.3,-,2
Milton Valenzuela,-,-,-,-
Jack Price,0.3,0.3,-,-
Ilie Sánchez,0.5,0.2,0.2,0.2
Cristian Roldan,1.6,0.6,-,1
Przemyslaw Tyton,-,-,-,-
Alex Roldan,0.5,0.1,-,0.4
Mason Toye,1.7,0.7,-,1
Eduard Atuesta,2.3,2,-,0.3
Gianluca Busio,2,1.4,-,0.6
Chicharito,2.6,0.3,0.6,1.7
Eryk Williamson,0.4,0.1,-,0.3
Daniel Lovitz,0.7,0.6,-,0.1
Adam Buksa,3.6,0.4,0.4,2.9
Marcelino Moreno,2.1,1,-,1.1
Russell Canouse,1.3,0.3,-,1
Jack Elliott,1.4,0.1,0.4,0.9
Diego Rubio,2.9,1.1,-,1.7
Brandon Bye,1.5,0.3,-,1.3
Andre Blake,-,-,-,-
Yeimar Gómez,0.6,-,-,0.6
Alan Pulido,3.8,1.3,0.1,2.4
Lucas Cavallini,2,0.4,0.3,1.3
Julian Araujo,0.3,0.2,-,0.2
Xavier Arreaga,0.4,-,0.1,0.3
Kyle Duncan,0.4,0.3,-,0.1
Andrew Brody,0.6,0.2,-,0.4
Raúl Ruidíaz,4.3,1.5,0.3,2.5
Nouhou Tolo,0.1,0.1,-,-
Logan Ketterer,-,-,-,-
Alejandro Bedoya,1.6,0.3,0.1,1.3
Kai Wagner,1,0.6,-,0.4
Perry Kitchen,-,-,-,-
Graham Zusi,0.7,0.3,-,0.3
Tyler Miller,-,-,-,-
Aaron Long,1,0.2,-,0.8
Brad Stuver,-,-,-,-
Michael Barrios,2.9,0.1,0.1,2.6
Kyle Smith,0.7,0.3,-,0.4
Bakaye Dibassy,1,1,-,-
Walker Zimmerman,0.6,-,0.1,0.4
Bill Tuiloma,1,0.2,-,0.8
Cristian Dájome,1.7,-,-,1.7
Sebastian Lletget,1.3,0.5,-,0.8
Bill Hamid,-,-,-,-
Luciano Acosta,1.5,1,0.3,0.3
Danny Wilson,1.1,-,-,1.1
Donovan Pines,0.5,-,-,0.5
Nicolas Isimat-Mirin,-,-,-,-
Andrew Gutman,0.5,0.3,-,0.3
Caden Clark,1.3,0.4,0.1,0.7
Rodrigo Schlegel,0.3,-,-,0.3
Jhegson Méndez,0.9,0.7,0.1,-
Cristián Gutiérrez,-,-,-,-
Kacper Przybylko,1.5,-,0.5,1
Robin Lod,3.7,1,0.3,2.3
Anton Tinnerholm,1.4,0.6,-,0.8
Cecilio Domínguez,2.1,1.1,0.3,0.7
Julian Gressel,1.3,0.5,-,0.8
Fafà Picault,1.3,0.1,0.1,1
Tomás Pochettino,2.3,1.7,-,0.7
Jesús David Murillo,0.3,-,-,0.3
Alexander Ring,1.2,1,-,0.2
Cory Burke,1.4,0.1,0.1,1.1
Joel Waterman,-,-,-,-
Dániel Sallói,2.9,0.4,0.4,2.1
Júnior Urso,1.4,0.6,0.1,0.7
Luka Stojanovic,2,0.8,-,1.2
Jackson Yueill,1.1,0.6,0.1,0.4
Boris Sekulic,0.4,0.3,-,0.1
Antônio Carlos,0.6,-,0.1,0.4
Álvaro Medrán,1.7,1.1,-,0.6
Bryan Acosta,1.9,1.7,-,0.1
Andrés Ricaurte,1.1,0.4,-,0.7
Cade Cowell,2.4,0.6,0.1,1.6
Francisco Calvo,1,0.1,0.1,0.7
Waylon Francis,-,-,-,-
Gustavo Bou,1.3,0.7,0.2,0.5
Pedro Santos,1.5,0.8,-,0.7
Auston Trusty,0.3,-,-,0.3
Niko Hansen,1,-,1,-
