Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Harry Kane,3.9,1.5,0.4,2
Kevin De Bruyne,3.2,1.7,0.1,1.4
Jack Grealish,1.9,0.5,-,1.4
Bruno Fernandes,3.3,2,0.1,1.2
Tomas Soucek,1.7,0.3,0.4,1
Mason Mount,2.3,1.3,0.1,0.9
Sadio Mané,2.7,0.4,0.3,2
Riyad Mahrez,2.1,0.7,0.1,1.3
João Cancelo,1.3,0.7,-,0.5
Gareth Bale,1.9,0.8,0.3,0.8
Nathaniel Phillips,0.9,-,-,0.9
Ilkay Gündogan,1.9,0.7,0.2,1.1
Son Heung-Min,1.8,0.6,0.2,1
Wilfred Ndidi,0.6,0.3,-,0.3
Jesse Lingard,2.6,1.2,0.1,1.4
Raphinha,2.2,0.8,0.1,1.3
Raheem Sterling,2.3,0.4,0.3,1.5
James Rodríguez,1.6,0.8,-,0.8
Ollie Watkins,2.6,0.3,0.3,2.1
Kortney Hause,0.7,-,0.1,0.6
Rodri,0.9,0.5,0.1,0.4
Michail Antonio,2.4,0.5,0.7,1.3
Dominic Calvert-Lewin,2.5,0.3,0.6,1.5
Jimmy Dunne,2.3,0.3,0.7,1.3
Aaron Wan-Bissaka,0.2,0.1,-,0.1
Phil Foden,1.6,0.3,-,1.4
Joseph Willock,1.4,0.1,0.2,1
Marcus Rashford,2.1,0.8,0.1,1.2
Thiago,0.9,0.8,-,0.1
Allan Saint-Maximin,1.2,0.6,-,0.6
Gabriel Jesus,1.9,0.4,0.2,1.3
Pedro Neto,2,0.9,0.1,1
Adama Traoré,1.2,0.5,-,0.7
Roberto Firmino,2.3,0.5,0.4,1.4
Jamie Vardy,2.4,0.2,0.2,2
Mat Ryan,-,-,-,-
Youri Tielemans,1.3,0.9,-,0.4
Lucas Digne,0.4,0.3,-,0.1
Christian Benteke,2.4,0.3,0.3,1.8
Bernardo Silva,1.1,0.3,0.1,0.7
Kurt Zouma,1.1,0.2,-,1
Solly March,1,0.3,-,0.7
James Ward-Prowse,1.1,0.9,-,0.3
Mohamed Salah,3.4,0.8,0.2,2.5
Liam Cooper,0.6,-,0.1,0.5
Kiko Casilla,-,-,-,-
Serge Aurier,0.8,0.3,0.1,0.4
Paul Pogba,1.2,0.3,-,0.8
Harry Maguire,1.1,0.1,-,0.9
John Stones,0.7,0.2,0.1,0.4
James Justin,0.4,0.1,0.1,0.2
Luke Shaw,0.3,0.1,-,0.3
Patrick Bamford,2.8,0.3,0.3,2.2
Caoimhin Kelleher,-,-,-,-
James Tarkowski,0.6,-,0.3,0.3
Antonio Rüdiger,0.7,0.3,0.1,0.4
Trent Alexander-Arnold,1.5,1.2,-,0.4
Wesley Fofana,0.4,-,-,0.4
Declan Rice,0.8,0.4,0.1,0.4
Kalvin Phillips,0.5,0.4,-,0.1
James Maddison,2.4,1.7,-,0.7
Ben Chilwell,1,0.2,0.1,0.7
Emiliano Martínez,-,-,-,-
André-Frank Zambo Anguissa,0.9,0.6,-,0.3
Yves Bissouma,1.2,1,-,0.2
Richarlison,2.4,0.5,0.2,1.6
Harvey Barnes,2.2,0.6,0.1,1.5
Alex Telles,0.6,0.3,-,0.2
Okay Yokuslu,0.8,0.4,0.1,0.3
Jack Harrison,1.3,0.3,0.1,0.9
Matheus Pereira,2,1.3,-,0.7
Joel Matip,0.5,-,0.2,0.3
Vladimir Coufal,0.4,0.1,-,0.3
Pierre-Emile Højbjerg,0.4,0.3,-,0.1
Luke Ayling,0.6,0.3,-,0.3
Scott Carson,-,-,-,-
Reece James,1.1,0.6,-,0.4
Oriol Romeu,0.7,0.6,-,0.1
Matthew Cash,0.3,0.2,-,0.1
Scott McTominay,0.8,0.3,-,0.5
Ahmed Hegazi,-,-,-,-
Ben Mee,0.7,0.1,0.3,0.4
Anthony Elanga,1,-,-,1
Fred,0.8,0.7,-,0.1
Timothy Fosu-Mensah,1,1,-,-
César Azpilicueta,0.4,0.2,-,0.3
Ademola Lookman,2,0.7,0.1,1.3
Michael Keane,0.5,-,0.1,0.3
Rúben Dias,0.4,-,0.1,0.3
Thiago Silva,0.6,-,0.2,0.4
Raúl Jiménez,2.6,0.9,0.2,1.5
Illan Meslier,-,-,-,-
Diego Llorente,0.5,0.1,-,0.5
Matt Targett,0.2,0.1,-,0.1
Marcos Alonso,1.7,0.5,0.2,1
Nélson Semedo,0.7,0.4,-,0.3
Diogo Jota,2.4,0.4,0.2,1.8
Jannik Vestergaard,0.8,-,-,0.7
Arthur Masuaku,0.5,0.3,-,0.3
Alexandre Lacazette,1.5,0.4,0.3,0.8
Andros Townsend,1.1,0.7,-,0.4
John McGinn,1.2,0.9,-,0.3
Wilfried Zaha,2,0.5,0.1,1.5
Andrew Robertson,0.5,0.1,-,0.4
Bukayo Saka,1.9,0.5,0.2,1.3
Jorginho,0.5,0.1,-,0.4
Jonny Evans,0.3,-,0.1,0.2
Romain Saïss,1,0.2,0.1,0.7
Stuart Dallas,1.3,0.8,0.1,0.4
Dwight McNeil,0.7,0.5,-,0.3
Nick Pope,-,-,-,-
Tanguy Ndombele,0.5,0.2,-,0.3
Yerry Mina,0.7,-,0.1,0.5
N'Golo Kanté,0.3,0.2,-,0.1
Toby Alderweireld,0.4,-,0.1,0.3
Dani Ceballos,0.5,0.3,-,0.2
Bertrand Traoré,1.8,0.5,0.1,1.1
Fikayo Tomori,-,-,-,-
Gaetano Berardi,0.5,-,-,0.5
Mateo Kovacic,0.9,0.7,-,0.1
Tom Cairney,1.2,0.7,-,0.5
Joël Veltman,0.5,0.1,-,0.4
Martin Dúbravka,-,-,-,-
Oleksandr Zinchenko,0.8,0.6,-,0.3
Antonee Robinson,0.4,0.2,-,0.2
Kelechi Iheanacho,2.4,0.8,0.2,1.3
João Virgínia,-,-,-,-
Terence Kongolo,-,-,-,-
Anthony Martial,2,0.4,0.2,1.4
James McArthur,0.3,0.2,-,0.1
Lewis Dunk,1,0.2,0.1,0.7
Kyle Walker-Peters,0.6,0.2,-,0.4
Danny Ings,2,0.4,0.1,1.4
Callum Wilson,1.9,0.2,0.3,1.4
Trézéguet,1.7,0.3,0.1,1.2
Timothy Castagne,0.3,-,0.1,0.2
Pascal Groß,0.9,0.5,-,0.5
Fabinho,0.3,0.2,-,0.2
Stuart Armstrong,1.7,1.1,-,0.6
Jordan Henderson,0.7,0.4,0.1,0.2
Aaron Cresswell,0.5,0.4,-,0.1
Chris Wood,2.1,0.5,0.3,1.4
Eberechi Eze,1.1,0.6,0.1,0.4
Rúben Neves,1.9,1.5,-,0.4
Fernandinho,0.7,0.5,-,0.2
Timo Werner,2.3,0.3,0.2,1.7
Pascal Struijk,0.5,-,0.1,0.3
Tyrone Mings,0.5,-,0.1,0.5
Jonjo Shelvey,1.4,1,-,0.3
Leandro Trossard,1.7,0.7,-,0.9
Andreas Christensen,0.2,-,-,0.2
Joachim Andersen,0.4,0.2,0.1,0.1
Karl Darlow,-,-,-,-
Calum Chambers,0.8,0.3,-,0.5
Rob Holding,0.5,0.1,-,0.4
Anwar El Ghazi,2.3,1.3,0.1,0.9
Conor Hourihane,1.3,1,-,0.3
Abdoulaye Doucouré,0.6,0.3,0.1,0.2
Amad,0.3,0.3,-,-
Pablo Fornals,1.5,0.5,0.1,1
Pierre-Emerick Aubameyang,2,0.3,0.3,1.4
Ben Godfrey,0.5,0.2,0.1,0.2
Che Adams,1.5,0.3,0.3,0.9
Adam Webster,0.9,0.2,0.1,0.6
Kyle Bartley,0.5,-,0.2,0.2
Emile Smith Rowe,0.7,0.2,-,0.5
Allan,0.3,0.2,-,0.1
Kyle Walker,0.4,0.4,-,-
Josh Brownhill,1,0.6,0.1,0.3
Aymeric Laporte,0.4,0.1,0.1,0.3
Ferran Torres,1.5,0.4,0.1,1
Nicolas Pépé,1.7,0.3,0.1,1.2
Ross Barkley,1.6,0.7,-,0.8
Hugo Lloris,-,-,-,-
Willy Boly,0.7,0.1,-,0.6
Dan Burn,0.6,0.1,-,0.4
Sébastien Haller,1.6,0.1,0.3,1.2
Ezri Konsa,0.6,-,0.1,0.5
Jarrod Bowen,1.4,0.4,0.2,0.9
Matt Doherty,0.2,0.1,0.1,-
Thomas Partey,1.1,1,-,0.1
Joelinton,1.4,0.3,-,1.1
Christian Pulisic,1.6,0.3,0.3,1
Marc Albrighton,0.7,0.4,-,0.2
Çaglar Söyüncü,0.4,-,0.1,0.3
Alphonse Areola,-,-,-,-
Christian Fuchs,0.4,0.4,-,-
Sam Johnstone,-,-,-,-
