Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Kyle Lafferty,3.3,2,-,1.3
James Tavernier,1.7,0.7,0.2,0.8
Christopher Jullien,1.3,-,-,1.3
Ryan Kent,2.3,1,0.1,1.2
Joe Aribo,1.5,0.4,0.1,1
Borna Barisic,0.7,0.5,-,0.2
Connor Goldson,1.1,0.1,0.1,0.9
Odsonne Edouard,3.5,0.8,0.4,2.3
Anthony Ralston,-,-,-,-
Shane Duffy,1.3,0.2,0.2,1
Ryan Christie,2.7,1.6,0.1,1
David Turnbull,3.4,2.4,-,1
David Turnbull,2.3,1.4,0.1,0.8
Kristoffer Ajer,0.3,0.1,-,0.3
Hakeem Odoffin,0.8,0.1,0.2,0.4
Lyndon Dykes,2.7,1,-,1.7
Alfredo Morelos,2.7,0.6,0.4,1.8
Paul Hanlon,0.5,-,0.1,0.4
Kemar Roofe,2,0.3,0.4,1.3
Ash Taylor,0.6,-,0.1,0.5
Darren McGregor,0.5,-,0.1,0.4
Jon Guthrie,1.1,0.1,0.2,0.9
Jordan White,1.6,-,0.4,1.1
Scott McKenna,0.3,-,-,0.3
Filip Helander,0.6,-,-,0.6
Marley Watkins,2,0.6,0.2,1.2
Lewis Ferguson,1.9,0.9,0.1,0.8
Joe Newell,0.9,0.6,-,0.3
Leon Balogun,0.6,0.1,0.2,0.4
Ryan Edwards,0.6,0.1,-,0.5
Ryan Jack,0.6,0.4,-,0.2
Benjamin Siegrist,-,-,-,-
Callum McGregor,1.5,1.1,-,0.4
Steven Davis,0.4,0.3,-,0.1
Paul McGinn,0.5,0.1,0.1,0.3
Christian Doidge,1.8,0.1,0.4,1.3
Stephen Welsh,0.3,-,-,0.3
Sean Mackie,0.5,-,-,0.5
Ross McCrorie,1.2,0.4,0.1,0.7
Jake Doyle-Hayes,0.4,0.2,-,0.2
Jamie McGrath,1.3,0.7,-,0.6
Jason Kerr,0.7,-,0.2,0.5
Tommie Hoban,0.8,-,0.1,0.7
Jonjoe Kenny,0.5,0.2,-,0.3
Matt Macey,-,-,-,-
Ryan Porteous,0.4,-,0.1,0.4
Nir Bitton,0.7,0.2,0.1,0.4
Kevin Nisbet,2.5,0.7,0.4,1.5
Conor Hazard,-,-,-,-
Gary Woods,-,-,-,-
Greg Taylor,0.2,0.1,-,0.1
Conor McCarthy,0.5,-,-,0.4
Martin Boyle,2.2,0.6,0.2,1.4
Liam Gordon,0.4,0.1,0.1,0.3
Calvin Bassey,0.6,-,-,0.6
Ianis Hagi,1.8,1,0.1,0.7
Glen Kamara,0.3,0.2,-,0.1
Jon McLaughlin,-,-,-,-
