Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Toni Sunjic,0.5,-,-,0.5
Artem Dzyuba,2.6,0.2,0.5,1.9
Christian Noboa,2.6,1.7,-,0.8
Douglas Santos,1.1,0.8,-,0.3
Aleksandr Silyanov,-,-,-,-
Oliver Abildgaard,1.3,0.5,-,0.7
Aleksey Miranchuk,2.3,1,-,1.3
Alexander Sobolev,3.2,0.4,0.2,2.6
Sardar Azmoun,3.5,0.5,0.5,2.5
Nikola Vlasic,4,2.5,-,1.5
Jordan Larsson,2.8,1,0.2,1.5
Khvicha Kvaratskhelia,2.2,0.8,-,1.4
Rémy Cabella,1.6,0.6,0.1,0.9
Murilo Cerqueira,0.8,-,0.1,0.7
Malcom,3,1.8,0.2,1
Anton Zabolotny,3,0.7,0.2,2.1
Filip Dagerstål,0.5,0.5,-,-
Mario Fernandes,0.5,-,0.1,0.4
Grzegorz Krychowiak,2.4,1.5,0.2,0.7
Egor Baburin,-,-,-,-
Dmitrii Merenchukov,0.5,0.5,-,-
Wendel,2.1,0.9,-,1.2
Evgeni Gorodov,-,-,-,-
Pablo,0.5,-,-,0.5
Daler Kuzyaev,1.7,0.7,0.1,0.9
Daniil Lesovoy,2,0.9,0.1,1.1
Sebastian Szymanski,2.4,1.6,-,0.7
Artur Yusupov,1.5,0.7,-,0.8
Ayrton Lucas,1.6,0.8,-,0.7
Wanderson Maciel,2.4,1.2,0.1,1
Djorde Despotovic,2.4,0.7,0.2,1.6
Denis Makarov,3,1.6,0.1,1.3
Arsen Zakharyan,2,0.7,0.1,1.2
Sergey Petrov,1.2,0.6,-,0.6
Roman Zobnin,1,0.7,-,0.3
Vitaliy Sychev,-,-,-,-
Chidera Ejuke,2,0.9,-,1
Denis Glushakov,1.9,1.3,-,0.7
Anton Kochenkov,-,-,-,-
Maciej Rybus,0.6,0.4,-,0.2
Roman Evgeniev,0.6,0.1,0.1,0.4
Maksim Osipenko,0.5,0.2,0.1,0.2
Samuel Gigot,0.9,0.1,0.2,0.6
Victor Moses,1.6,0.4,-,1.2
Rafal Augustyniak,1.4,0.9,-,0.5
Igor Diveev,0.9,0.2,0.1,0.5
Maksim Mukhin,0.6,0.3,-,0.3
Ivan Oblyakov,1.4,1.2,-,0.1
Quincy Promes,3.4,1.7,-,1.6
Wilmar Barrios,0.3,0.2,-,0.1
Denys Kulakov,0.5,0.3,-,0.1
Alex Kral,0.7,0.4,-,0.3
Baktiyor Zainutdinov,1.3,-,-,1.3
Aleksandr Martynovich,0.6,-,0.1,0.5
Fedor Smolov,2.4,0.8,0.2,1.4
Dejan Lovren,1,0.2,-,0.8
Ilya Samoshnikov,0.6,0.2,-,0.4
Oleg Danchenko,0.9,0.7,-,0.3
Ivan Ordets,0.4,-,-,0.4
Hwang In-Beom,1.1,0.7,-,0.3
Artem Polyarus,1.3,0.8,-,0.4
Aleksandr Filin,-,-,-,-
Daniil Fomin,1.7,1,0.1,0.6
Reziuan Mirzov,2.5,1.2,0.1,1.1
Daniil Odoevskiy,-,-,-,-
Mathias Normann,1.5,1.3,-,0.3
Vedran Corluka,0.2,-,-,0.1
Miha Mevlja,0.2,-,0.1,0.2
Anton Miranchuk,1.9,0.7,-,1.1
Danila Prokhin,0.7,0.4,-,0.3
Viktor Claesson,1.5,0.4,0.1,1
Igor Kalinin,0.3,0.2,-,0.1
Oleg Ivanov,1.2,0.7,0.2,0.3
Ilya Lantratov,-,-,-,-
Konstantin Kuchaev,1.3,0.1,0.1,1
Sergey Terekhov,0.9,0.3,0.1,0.5
Danil Glebov,0.9,0.8,-,-
Dennis Hadzikadunic,0.6,0.2,-,0.4
Vyacheslav Karavaev,0.8,0.4,-,0.3
Dmitri Tikhiy,0.5,0.1,-,0.4
Vladislav Kamilov,1.4,0.6,0.2,0.7
Soslan Takazov,0.4,-,0.3,0.1
Viktor Vasin,0.3,-,-,0.3
Filip Mrzljak,1,0.4,0.1,0.5
Alexander Lomovitskiy,1,0.4,-,0.6
Miroslav Bogosavac,0.3,0.1,-,0.2
Komnen Andric,1.8,0.1,0.3,1.4
Carl Starfelt,0.3,-,0.1,0.2
Magomed Ozdoev,0.8,0.6,-,0.2
Sebastián Driussi,1.3,0.4,0.1,0.8
Arsen Adamov,0.3,0.1,-,0.1
Moritz Bauer,0.1,0.1,-,-
Nemanja Miletic,0.7,0.3,-,0.3
Yaroslav Godzyur,-,-,-,-
Yuri Dyupin,-,-,-,-
Konstantin Maradishvili,0.7,0.5,-,0.1
Ezequiel Ponce,2.5,0.5,0.3,1.7
Abdul Mohammed Kadiri,1.3,0.9,-,0.4
Dmitriy Chistyakov,0.4,-,0.1,0.4
Nikola Moro,1.3,1.1,-,0.2
Filip Uremovic,0.7,0.1,-,0.5
Yaroslav Rakitskiy,0.8,0.6,-,0.1
Kaio,0.6,0.1,0.1,0.4
Brian Idowu,0.8,0.2,-,0.6
Bernard Berisha,2.1,0.7,0.2,1.3
Daniil Lesovoy,1.8,1.2,-,0.7
Igor Leshchuk,-,-,-,-
Othman El Kabir,1.7,1,-,0.7
Artem Timofeev,1.5,0.7,0.1,0.8
Eric Bicfalvi,3.4,0.8,0.1,2.5
Hördur Magnússon,0.4,0.1,-,0.2
Marcus Berg,2.2,0.2,0.3,1.7
Darko Jevtic,1.2,0.8,-,0.3
Emil Bohinen,0.5,0.3,-,0.3
Matvey Safonov,-,-,-,-
Aleksandr Belenov,-,-,-,-
Cedric Gogoua,0.4,-,-,0.4
Zoran Nizic,0.3,-,-,0.2
Dmitri Skopintsev,1.3,0.8,-,0.5
Stefan Strandberg,0.4,0.1,-,0.3
Sergei Borodin,2,-,-,2
Ismael Silva,1.3,1.1,-,0.2
Ilya Kukharchuk,1.4,0.4,-,1
Salomón Rondón,2.9,0.3,0.4,2.2
Kings Kangwa,1.2,1,-,0.1
Nail Umiarov,0.6,0.5,-,0.1
Timofey Margasov,0.6,0.2,-,0.3
Yuri Gazinskiy,0.7,0.4,-,0.3
Kento Hashimoto,1.5,0.3,0.2,1
Kirill Nababkin,0.3,0.3,-,-
Oleksandr Kaplienko,0.3,0.3,-,-
Sergey Pesjakov,-,-,-,-
Dmitriy Shomko,0.5,-,-,0.5
Ilya Pomazun,-,-,-,-
Vladimir Rykov,0.4,0.1,-,0.3
Vyacheslav Grulev,2.3,0.6,-,1.7
Josip Condric,-,-,-,-
Nikita Burmistrov,2.1,0.8,0.2,1.2
Vitaly Gudiev,-,-,-,-
German Onugkha,1.9,0.4,0.1,1.5
Andrey Semenov,0.3,-,0.2,0.1
Vladimir Iljin,2.6,0.8,0.2,1.6
Andrey Mostovoy,1.1,0.2,0.1,0.8
Tonny Vilhena,2,1.3,0.1,0.6
Yuri Zhirkov,1,0.5,-,0.5
Aleksey Shchetkin,1.6,-,-,1.6
Georgi Zotov,0.4,0.2,-,0.2
Anton Shunin,-,-,-,-
Baktiyor Zainutdinov,1.2,0.6,0.1,0.6
Sergei Ryzhikov,-,-,-,-
Igor Akinfeev,-,-,-,-
Nikolay Zabolotny,-,-,-,-
Cristian Ramírez,0.9,0.6,-,0.3
Andrey Lunev,-,-,-,-
Guilherme,-,-,-,-
Ali Sowe,1.9,0.5,0.1,1.3
Kristoffer Olsson,0.9,0.4,-,0.5
Aleksandr Dovbnya,-,-,-,-
Joãozinho,1,0.6,-,0.3
Dimitri Barinov,1,0.5,-,0.5
Rifat Zhemaletdinov,0.9,0.5,-,0.4
Odise Roshi,2,0.7,-,1.3
Varazdat Haroyan,1,-,-,1
Aleksandr Maksimenko,-,-,-,-
Soslan Dzhanaev,-,-,-,-
Sergey Tkachev,1.7,1.1,-,0.6
Konstantin Pliev,0.4,0.2,-,0.1
Vitali Lystsov,0.4,0.4,-,-
