Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Marco Festa,-,-,-,-
Cristiano Ronaldo,5.1,1.9,0.5,2.6
Zlatan Ibrahimovic,4.3,1,0.5,2.7
Lorenzo Insigne,4.1,2.1,0.1,1.9
Romelu Lukaku,2.7,0.4,0.3,2
Domenico Berardi,3.8,2,0.1,1.7
Rodrigo de Paul,2.3,1.8,-,0.4
Adam Ounas,1.7,0.7,-,1
Henrikh Mkhitaryan,2.4,0.9,0.1,1.4
Sergej Milinkovic-Savic,2,0.8,0.2,1
Theo Hernández,1.4,0.6,0.1,0.7
Papu Gómez,2.9,1.7,0.2,1
Hakan Calhanoglu,2.5,1.8,-,0.7
Luis Muriel,2.4,0.8,0.1,1.5
Federico Chiesa,3.3,0.7,-,2.7
Andrea Belotti,3.1,1,0.2,1.8
Lorenzo Pellegrini,2.1,1.1,0.1,0.9
Junior Messias,2.7,1.4,0.1,1.2
Federico Chiesa,2,0.6,-,1.3
Rafael,-,-,-,-
Robin Gosens,1.6,0.1,0.3,1.2
Lautaro Martínez,2.9,0.6,0.2,2
Juan Cuadrado,0.6,0.1,-,0.5
Ruslan Malinovskiy,1.9,1.1,-,0.8
Piotr Zielinski,1.7,0.8,-,0.8
Ciro Immobile,3.4,0.7,0.2,2.5
Franck Kessié,1.3,0.2,0.1,1
Cristian Romero,0.5,-,-,0.4
Giovanni Di Lorenzo,0.8,0.2,0.2,0.4
Josip Ilicic,2.1,1.1,-,1
Luis Alberto,2,1.1,-,0.9
Victor Osimhen,2.8,0.4,0.3,2.1
Manuel Locatelli,1.2,0.9,-,0.3
Andrea Ranocchia,1.1,-,0.5,0.6
Gianluca Pegolo,-,-,-,-
Duván Zapata,2.7,0.3,0.2,2.2
Diego Godín,0.4,-,-,0.4
Davide Calabria,0.8,0.4,-,0.3
Marcelo Brozovic,0.8,0.6,-,0.1
Danilo,0.6,0.4,-,0.2
Karlo Letica,-,-,-,-
Milan Badelj,0.6,0.5,-,0.1
Simon Kjaer,0.6,0.1,0.1,0.4
Paulo Dybala,2.6,1.3,0.1,1.2
João Pedro,2.1,0.4,0.3,1.4
Remo Freuler,0.6,0.2,-,0.3
Ignacio Pussetto,1.5,0.5,0.2,0.9
Ante Rebic,1.6,0.3,0.2,1.1
Fabián Ruiz,1.3,1,-,0.3
Leonardo Spinazzola,0.8,0.2,-,0.6
Achraf Hakimi,1.1,0.4,-,0.7
Marten de Roon,0.5,0.4,-,0.1
Hirving Lozano,1.8,0.5,0.2,1.2
Juraj Kucka,2.1,1,0.1,1
Fikayo Tomori,0.3,-,0.1,0.2
Nicolò Barella,1,0.7,-,0.3
Alex Sandro,0.5,0.1,0.1,0.3
Rodrigo Bentancur,0.5,0.4,-,0.1
Vlad Chiriches,0.5,0.1,0.1,0.3
Roberto Soriano,1.6,0.8,0.3,0.5
Marco Faraoni,1,0.1,0.1,0.7
Daniel Fuzato,-,-,-,-
Álvaro Morata,1.8,0.1,0.3,1.4
Andrea Consigli,-,-,-,-
Edin Dzeko,2.6,0.3,0.5,1.8
Berat Djimsiti,0.6,0.1,0.1,0.5
Omar Colley,0.4,-,0.1,0.3
Federico Dimarco,1.1,0.5,-,0.6
Dusan Vlahovic,2.3,0.4,0.3,1.7
Adrien Rabiot,1,0.3,-,0.6
Joaquín Correa,1.9,0.3,0.2,1.5
Milan Skriniar,0.5,-,0.1,0.3
Gianluca Mancini,0.8,0.2,0.1,0.6
Mattia Zaccagni,0.9,0.4,0.1,0.4
Stefan de Vrij,0.4,-,-,0.3
Dries Mertens,1.9,0.7,0.1,1
Morten Thorsby,0.7,-,0.1,0.5
Rafael Leão,1.4,0.4,0.1,0.9
Guglielmo Vicario,-,-,-,-
Simone Bastoni,1,0.4,-,0.5
Kalidou Koulibaly,0.4,-,0.1,0.3
Bremer,0.8,-,0.1,0.7
Ibañez,0.5,0.2,0.1,0.3
Alessandro Bastoni,0.3,-,-,0.3
Francesco Acerbi,0.3,-,-,0.2
Antonio Sanabria,1.4,0.3,0.4,0.8
Matteo Politano,1.7,0.8,0.1,0.8
Jeremie Boga,1.2,0.3,0.1,0.8
Hans Hateboer,1.2,0.1,0.2,1
Kevin Strootman,0.3,0.1,-,0.3
Wilfried Stephane Singo,0.4,0.1,-,0.3
Pietro Terracciano,-,-,-,-
Simone Edera,1.5,1.5,-,-
Gian Marco Ferrari,0.7,0.1,0.1,0.5
Ionut Radu,-,-,-,-
Alberto Paleari,-,-,-,-
Musa Barrow,2.3,1.3,-,1.1
Matthijs de Ligt,0.7,-,-,0.7
Nehuén Paz,0.3,-,0.2,0.2
Koray Günter,0.2,0.1,-,0.1
Franck Ribéry,0.7,0.1,0.1,0.5
Emil Audero,-,-,-,-
Elseid Hysaj,0.3,0.3,-,0.1
Marko Rog,0.6,0.6,-,-
Alessio Cragno,-,-,-,-
Gianluigi Donnarumma,-,-,-,-
Alexis Sánchez,1,0.3,0.1,0.6
M'Bala Nzola,1.8,0.1,0.1,1.6
Antonio Candreva,1.6,1,-,0.7
