Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Erdem Canpolat,-,-,-,-
Cenk Tosun,3.3,0.7,0.3,2.3
Mustafa Burak Boznan,-,-,-,-
Rachid Ghezzal,1.8,1.2,0.1,0.6
Mario Situm,1,1,-,-
Diego Perotti,2.8,0.5,-,2.3
Anastasios Bakasetas,3,1.9,-,1.1
Gastón Campi,0.7,-,-,0.7
Anastasios Bakasetas,2.8,1.6,0.1,1.2
Caleb Ekuban,2.2,0.7,0.2,1.4
Anthony Nwakaeme,3.1,1.6,0.3,1.1
Adem Büyük,2.2,0.7,0.1,1.4
Gedson Fernandes,1,0.8,0.1,0.1
Mert Topuz,-,-,-,-
Aaron-Salem Boupendza,3.1,1.3,0.1,1.7
Erten Ersu,-,-,-,-
Vincent Aboubakar,3,0.8,0.2,2
Cyle Larin,2.1,0.3,0.3,1.4
Fabio Borini,2.2,0.9,0.1,1.2
Caner Erkin,0.5,0.4,-,0.1
Aatif Chahechouhe,2.6,1.1,0.1,1.5
Max-Alain Gradel,2.5,1,0.1,1.5
Mame Biram Diouf,2.4,0.2,0.2,2
Valentin Rosier,0.4,0.2,-,0.2
Souza,1.3,0.8,0.1,0.3
Faycal Fajr,1,0.8,-,0.2
Silviu Lung Jr.,-,-,-,-
Enner Valencia,2.1,0.5,0.3,1.3
Salih Ucan,1.6,1.1,-,0.5
Nazim Sangaré,0.4,0.1,0.1,0.3
Muhammet Demir,1.8,0.4,0.4,1.1
Welinton,0.7,0.1,0.1,0.5
Fredy Ribeiro,1.3,0.8,-,0.5
Djaniny,2.3,0.3,0.2,1.9
Ahmet Oguz,0.3,0.3,-,-
Davidson,2.4,1,0.1,1.3
Faruk Can Genç,-,-,-,-
Gustavo Campanharo,1.2,0.9,-,0.3
Lucas Biglia,0.8,0.7,-,0.1
Berat Özdemir,1,0.5,0.2,0.4
Youssouf Ndayishimiye,0.9,0.5,-,0.4
Younès Belhanda,1.4,0.7,-,0.7
Braian Samudio,1.8,0.5,0.1,1.1
Marcelo Saracchi,0.3,0.2,-,0.1
Pablo Santos,0.5,-,-,0.5
Amir Hadziahmetovic,1.6,1.1,-,0.5
Gökhan Gönül,0.9,0.1,0.2,0.5
Halil Akbunar,1.2,0.3,0.1,0.8
Ozan Tufan,1.6,0.9,0.2,0.5
Steven Caulker,1.1,-,0.1,0.9
Guilherme,0.5,0.4,-,0.1
Fernando Boldrin,2.1,1.3,-,0.8
Dimitrios Pelkas,2.6,1.3,0.1,1.3
Aykut Özer,-,-,-,-
Alexandru Maxim,1.5,0.5,-,1
Serkan Kirintili,-,-,-,-
Muammer Yildirim,-,-,-,-
Atiba Hutchinson,0.9,0.3,0.2,0.4
Taylan Antalyali,0.6,0.5,-,0.1
Domagoj Vida,0.5,-,0.1,0.3
Haris Hajradinovic,2.3,1.4,-,0.8
Irfan Can Kahveci,2.4,1.8,0.1,0.5
Attila Szalai,0.8,0.1,0.1,0.6
Papy Djilobodji,0.7,0.1,0.1,0.5
Sener Ozbayrakli,0.1,-,-,0.1
Vitor Hugo,1,0.1,-,0.9
Isaac Kiese Thelin,2.1,0.4,0.4,1.3
Georges-Kévin Nkoudou,1.7,0.6,-,1
Emrah Bassan,1.4,0.7,0.1,0.7
Marlon,0.3,0.3,-,0.1
Marcão,0.3,-,0.1,0.2
Daniel Avramovski,1.1,0.7,-,0.4
Lucas Castro,1.2,0.3,0.3,0.6
Ugur Demirok,0.9,-,0.1,0.8
Jure Balkovec,0.6,0.5,-,0.1
Irfan Can Kahveci,1,0.4,-,0.6
Benjamin Tetteh,1.7,0.2,0.3,1.3
Pedro Henrique,2.3,0.8,0.2,1.4
Lewis Baker,1.1,1,-,0.1
Serdar Aziz,0.8,-,0.2,0.5
Fabrice N'Sakala,0.1,0.1,-,-
Ugurcan Çakir,-,-,-,-
Daniel Candeias,1.6,1.1,-,0.5
Karim Hafez,0.5,0.3,-,0.2
Babajide David Akintola,1.7,0.2,0.1,1.4
