Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
David Ayala,-,-,-,-
Ignacio Fernández,2.6,1.4,0.1,1.1
Pablo Pérez,1.3,0.7,-,0.7
Nicolás Giménez,3,2.1,0.1,0.7
Marcelino Moreno,2,1,0.2,0.9
Matías Orihuela,-,-,-,-
Marcos Díaz,-,-,-,-
Miguel Barbieri,0.9,-,-,0.9
Maximiliano Cavallotti,-,-,-,-
Paolo Goltz,1.3,0.3,-,1
Carlos Tevez,2,0.8,0.1,1.1
Enzo Díaz,0.8,0.3,-,0.5
Mario López,-,-,-,-
Francisco Pizzini,1.2,0.2,-,1
Eduardo Salvio,2.3,0.5,-,1.8
Guillermo Burdisso,3,-,1,2
Nicolás De La Cruz,2.5,1.1,0.1,1.2
Danilo Ortíz,-,-,-,-
Ricardo Centurión,2.2,0.4,0.2,1.6
Rubén Botta,1.9,0.9,0.1,0.9
Yeimar Gómez,0.7,0.3,0.1,0.3
Rafael Delgado,1.3,0.3,0.1,0.9
Enzo Kalinski,1,0.3,-,0.7
Juan Rodríguez,0.4,-,0.2,0.2
Carlos Quintana,0.8,-,0.2,0.6
Mariano Bittolo,0.3,0.1,-,0.2
Cristian Lema,1.6,0.4,-,1.3
Júnior Alonso,0.3,0.1,-,0.2
Ángel Romero,1.5,0.4,0.3,0.8
Nicolás Reniero,6,2.5,-,3.5
Rodrigo Gómez,1.5,1.2,-,0.4
Emanuel Maciel,-,-,-,-
Robert Rojas,0.9,0.1,0.1,0.8
Guillermo Fernández,0.6,0.4,-,0.1
Héctor Martínez,0.5,0.2,-,0.3
Frank Fabra,0.2,0.1,0.1,0.1
Nicolás Domínguez,1.5,0.6,-,0.9
Matías García,1.8,0.8,-,1
Lisandro López,0.6,0.1,-,0.6
Gabriel Ávalos,2.4,0.5,0.2,1.6
Sergio Vittor,2.1,1.6,-,0.5
Javier Mascherano,0.1,0.1,-,-
Alexander Domínguez,-,-,-,-
Carlos Izquierdoz,0.6,-,-,0.6
Claudio Bravo,1,0.8,-,0.2
Lautaro Gianetti,0.3,-,-,0.3
Guilherme Parede,2.5,0.8,-,1.7
Esteban Andrada,-,-,-,-
Gastón Álvarez Suárez,2,1.2,-,0.8
Carlos Zambrano,1,-,-,1
Elías Gómez,0.9,0.7,-,0.2
Lucas Merolla,0.5,0.1,0.2,0.2
Lautaro Acosta,0.6,0.1,0.1,0.5
Fabián Rinaudo,1.2,1.2,-,-
Jorman Campuzano,0.2,0.1,-,0.2
Leonardo Gil,1.3,0.8,-,0.5
Fernando Luna,1.3,0.8,-,0.5
Juan Manuel García,2.5,0.5,0.3,1.7
Mathías Abero,0.9,0.5,0.1,0.4
