Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Jökull Andrésson,-,-,-,-
James Vaughan,2.9,0.4,0.3,2.2
Scott Twine,3.6,2.6,0.1,0.9
Callum Guy,0.9,0.9,-,-
William Boyle,1.7,0.1,0.2,1.4
Tom Conlon,1.9,1.1,-,0.8
Paudie O'Connor,0.6,-,-,0.6
Mickey Demetriou,0.6,0.1,-,0.5
Jordan Tunnicliffe,0.4,-,0.1,0.3
Emmanuel Adebowale,-,-,-,-
Wes Hoolahan,1,0.6,-,0.4
Antoni Sarcevic,1.6,0.6,0.1,0.9
Carl Piergianni,0.8,-,0.2,0.6
Ricardo Santos,0.3,-,0.1,0.2
Joshua Kayode,1.8,0.4,0.2,1.2
Anthony O'Connor,0.5,0.1,0.1,0.3
Terence Vancooten,0.2,-,-,0.2
Max Watters,2.3,0.3,0.4,1.5
Conor Wilkinson,2.7,1.4,0.2,1.1
George Thomson,2.1,1.4,0.1,0.6
David Worrall,1.1,0.2,0.1,0.8
Di'Shon Bernard,0.4,0.1,0.1,0.2
Jamille Matt,1.8,0.1,0.5,1.3
Jordan Turnbull,0.4,-,0.1,0.3
Peter Clarke,1.1,0.1,0.2,0.9
Yann Songo'o,1,0.3,0.2,0.4
Alex Baptiste,0.4,0.1,0.1,0.3
Emmanuel Onariase,0.7,0.1,0.3,0.3
Aaron Hayden,1.1,-,0.2,0.8
Aaron Martin,2.1,0.1,0.3,1.6
Tom Pett,0.7,0.5,-,0.2
Peter Kioso,1.1,0.2,0.1,0.8
Shaun Brisley,0.5,-,0.1,0.4
Tom Davies,0.4,0.1,0.1,0.3
Oladapo Afolayan,2.2,1.4,0.1,0.7
Matt Jay,2.4,0.6,0.3,1.5
George Lapslie,1.3,0.4,0.2,0.7
Brandon Cooper,1.4,0.4,0.4,0.6
Joe Ironside,1.4,0.1,0.3,1
Max Wright,1.2,0.7,-,0.5
Thomas McGill,-,-,-,-
Ibou Touray,0.5,0.2,-,0.2
Rory Holden,1.5,0.9,-,0.6
Paul Digby,0.3,0.1,-,0.2
Andy Cook,2,0.5,0.3,1.2
Matthew Platt,1,-,0.3,0.8
Paul Mullin,3.7,1.1,0.3,2.3
Rhys Bennett,0.7,-,0.4,0.3
Rory McArdle,0.2,-,0.1,0.1
Dylan Bahamboula,1.7,0.8,0.1,0.8
Luther Wildin,0.3,0.2,-,0.1
Declan Drysdale,0.5,0.1,0.2,0.2
Adam Phillips,2.2,1.2,0.1,1
Leon Legge,0.5,-,0.1,0.4
Carlos Mendes Gomes,1.7,0.3,0.3,1.1
Tom Nichols,1.7,0.4,0.1,1.3
Nicky Cadden,1.4,0.8,0.1,0.6
Greg Taylor,0.3,-,0.1,0.2
Jack Powell,1.2,0.9,-,0.3
George Tanner,0.5,0.4,-,0.1
Ryan Bowman,2,0.1,0.3,1.6
Michael Jones,0.8,0.8,-,-
Dan Scarr,1.1,-,0.1,0.9
Aaron Wildig,1.7,0.6,0.3,0.9
Scott Cuthbert,0.3,-,-,0.3
Danny Rowe,2.1,1.2,0.1,0.8
Timothee Dieng,1.1,0.3,0.1,0.7
Chris Hussey,0.6,0.3,-,0.3
Ashley Eastham,0.1,-,-,0.1
Baily Cargill,0.8,0.1,0.1,0.6
James Clarke,1.5,1,-,0.5
Jake Taylor,1.3,0.6,-,0.7
Thomas Eastman,0.4,0.1,0.1,0.2
James Perch,0.4,0.2,0.1,0.2
Harry Pell,1.3,0.6,0.1,0.6
Ebou Adams,1.1,0.5,0.1,0.5
Tylor Golden,0.1,0.1,-,-
