Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea,League
Harry Kane,3.9,1.5,0.4,2,Premier_league
Kevin De Bruyne,3.2,1.7,0.1,1.4,Premier_league
Jack Grealish,1.9,0.5,-,1.4,Premier_league
Bruno Fernandes,3.3,2,0.1,1.2,Premier_league
Tomas Soucek,1.7,0.3,0.4,1,Premier_league
Mason Mount,2.3,1.3,0.1,0.9,Premier_league
Sadio Mané,2.7,0.4,0.3,2,Premier_league
Riyad Mahrez,2.1,0.7,0.1,1.3,Premier_league
João Cancelo,1.3,0.7,-,0.5,Premier_league
Gareth Bale,1.9,0.8,0.3,0.8,Premier_league
Nathaniel Phillips,0.9,-,-,0.9,Premier_league
Ilkay Gündogan,1.9,0.7,0.2,1.1,Premier_league
Son Heung-Min,1.8,0.6,0.2,1,Premier_league
Wilfred Ndidi,0.6,0.3,-,0.3,Premier_league
Jesse Lingard,2.6,1.2,0.1,1.4,Premier_league
Raphinha,2.2,0.8,0.1,1.3,Premier_league
Raheem Sterling,2.3,0.4,0.3,1.5,Premier_league
James Rodríguez,1.6,0.8,-,0.8,Premier_league
Ollie Watkins,2.6,0.3,0.3,2.1,Premier_league
Kortney Hause,0.7,-,0.1,0.6,Premier_league
Rodri,0.9,0.5,0.1,0.4,Premier_league
Michail Antonio,2.4,0.5,0.7,1.3,Premier_league
Dominic Calvert-Lewin,2.5,0.3,0.6,1.5,Premier_league
Jimmy Dunne,2.3,0.3,0.7,1.3,Premier_league
Aaron Wan-Bissaka,0.2,0.1,-,0.1,Premier_league
Phil Foden,1.6,0.3,-,1.4,Premier_league
Joseph Willock,1.4,0.1,0.2,1,Premier_league
Marcus Rashford,2.1,0.8,0.1,1.2,Premier_league
Thiago,0.9,0.8,-,0.1,Premier_league
Allan Saint-Maximin,1.2,0.6,-,0.6,Premier_league
Gabriel Jesus,1.9,0.4,0.2,1.3,Premier_league
Pedro Neto,2,0.9,0.1,1,Premier_league
Adama Traoré,1.2,0.5,-,0.7,Premier_league
Roberto Firmino,2.3,0.5,0.4,1.4,Premier_league
Jamie Vardy,2.4,0.2,0.2,2,Premier_league
Mat Ryan,-,-,-,-,Premier_league
Youri Tielemans,1.3,0.9,-,0.4,Premier_league
