Name,Team,Age,Apps,start_bench,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,Tackles,Inter,Fouls,Offsides,Clear,Drb_past,Blocks,OwnG,Drb_per_game,Fouled,Off,Disp,UnsTch,Total_shots,OutOfBox,SixYardBox,PenaltyArea,KeyP,AvgP,Crosses,LongB,ThrB,Main_role,is_pos_c,is_pos_l,is_pos_r,secondary_role,is_pos_sec_c,is_pos_sec_l,is_pos_sec_r,third_role,is_pos_third_c,is_pos_third_l,is_pos_third_r
Elliott Moore,Oxford,24,48,0,4320,5,4,5,0,0.7,78.7,4.8,2,6.96,League_one,0.7,1.4,0.8,0.6,3.8,0.2,0.6,0,0.1,0.6,0.0,0.1,0.2,0.7,0.0,0.1,0.6,0.3,54.9,0.0,3.0,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Mads Andersen,Barnsley,23,48,0,4298,1,5,8,1,0.5,55.3,6.7,3,7.17,Championship,1.5,2.4,1.7,0.9,5.1,0.5,0.3,0,0.3,0.6,0.1,0.1,0.7,0.5,0.0,0.1,0.4,0.3,40.0,0.0,2.4,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Alex Palmer,Lincoln City,24,48,0,4350,0,1,1,0,0.0,70.5,0.4,4,6.72,League_one,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,25.4,0.0,5.3,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Peter Clarke,Tranmere,39,48,0,4350,4,2,6,0,1.1,68.6,5.7,5,7.06,League_two,0.8,1.1,1.0,0.3,4.0,0.3,0.8,0,0.3,1.5,0.1,0.2,0.3,1.1,0.1,0.2,0.9,0.3,49.1,0.0,5.1,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Mickey Demetriou,Newport,31,48,0,4379,4,0,3,1,0.6,63.8,7.1,5,7.2,League_two,1.6,1.4,0.7,0.5,4.2,0.5,0.6,2,0.1,1.0,0.0,0.2,0.7,0.6,0.1,0.0,0.5,0.6,51.1,0.2,4.3,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Freddie Woodman,Swansea,24,48,0,4320,0,0,3,0,0.0,59.1,0.2,1,6.53,Championship,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,6.6,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Ivan Toney,Brentford,25,47,1,4132,33,10,8,1,3.0,64.1,3.4,10,7.41,Championship,0.6,0.2,2.2,0.0,0.9,0.4,0.1,0,0.5,2.3,0.6,0.8,2.4,3.0,0.6,0.4,2.1,1.1,19.2,0.1,0.3,0.1, FW,1,0,0,None,0,0,0,None,0,0,0
Sam Lavelle,Morecambe,24,47,1,4252,1,0,10,1,0.8,52.6,4.5,3,6.76,League_two,1.1,1.1,0.8,0.4,4.1,0.3,0.6,0,0.1,0.9,0.0,0.1,0.4,0.8,0.0,0.1,0.6,0.1,23.9,0.0,1.8,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Asmir Begovic,Bournemouth,33,47,0,4230,0,1,3,0,0.0,67.8,0.4,3,6.76,Championship,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,0.0,4.1,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
George Thomson,Harrogate,29,47,0,4171,3,10,3,0,2.1,69.3,1.6,4,7.11,League_two,1.1,1.1,0.6,0.0,1.5,0.7,0.1,0,0.5,0.5,0.0,1.1,1.1,2.1,1.4,0.1,0.6,2.9,48.3,2.5,3.3,0.1, M,1,0,1,None,0,0,0,None,0,0,0
