,Unnamed: 0,Name,Team,Age,Apps,start_bench,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,Tackles,Inter,Fouls,Offsides,Clear,Drb_past,Blocks,OwnG,Drb_per_game,Fouled,Off,Disp,UnsTch,Total_shots,OutOfBox,SixYardBox,PenaltyArea,KeyP,AvgP,Crosses,LongB,ThrB,Main_role,is_pos_c,is_pos_l,is_pos_r,secondary_role,is_pos_sec_c,is_pos_sec_l,is_pos_sec_r,third_role,is_pos_third_c,is_pos_third_l,is_pos_third_r,name,date_of_birth,height,foot,joined,contract_until,market_value,nationality_1,nationality_2,nationality_3
0,0,A-Jay Leitch-Smith,Morecambe,31,1,4,113,1,0,1,0,0.8,86.1,0.6,0,6.42,League_two,0.4,0.2,1.0,0.0,0.0,0.0,0.0,0,0.4,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.8,0.2,7.2,0.0,0.2,0.0, FW,1,0,0,None,0,0,0,None,0,0,0,AJ Leitch-Smith,1990-03-06,1.73,right,2018-08-08,2021-06-30,300000.0,'England',None,None
1,1,Aapo Halme,Barnsley,23,3,15,654,0,1,4,0,0.2,53.8,2.8,0,6.42,Championship,0.8,0.7,1.0,0.2,1.1,0.4,0.2,0,0.1,0.4,0.1,0.1,0.6,0.2,0.1,0.0,0.1,0.3,13.3,0.0,0.6,0.0, D,1,0,0,DMC,1,0,0,None,0,0,0,Aapo Halme,1998-05-22,1.96,right,2019-07-03,2022-06-30,800000.0,'Finland',None,None
2,2,Aaron Appindangoye,Sivasspor,29,13,0,1148,0,0,3,0,0.7,84.3,2.2,0,6.58,Super_lig,0.9,1.3,1.1,1.0,3.7,0.5,0.5,0,0.2,0.5,0.0,0.2,0.3,0.7,0.2,0.0,0.5,0.3,43.6,0.0,4.1,0.0, D,1,0,0,None,0,0,0,None,0,0,0,Aaron Appindangoye,1992-02-20,1.84,right,2019-07-01,2023-06-30,1500000.0,'Gabon',None,None
3,3,Aaron Boupendza,Hatayspor,24,25,11,2501,22,1,7,0,3.1,71.8,1.3,10,7.25,Super_lig,1.2,0.5,1.6,0.0,0.4,1.2,0.0,0,2.6,1.4,0.6,0.9,3.4,3.1,1.3,0.1,1.7,0.5,16.5,0.2,0.9,0.0, AM,0,1,0,None,0,0,0,None,0,0,0,Aaron Boupendza,1996-08-07,1.8,left,2020-08-05,2022-06-30,8500000.0,'Gabon',None,None
4,4,Aaron Chapman,Motherwell,31,4,2,448,0,0,0,0,0.0,46.9,0.3,0,6.47,Premiership,0.2,0.0,0.0,0.0,0.5,0.2,0.0,0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,6.3,0.0, GK,1,0,0,None,0,0,0,None,0,0,0,Aaron Chapman,1990-05-29,2.03,right,2020-10-07,2021-05-31,250000.0,'England',None,None
5,5,Aaron Collins,Forest Green,24,39,8,3542,11,7,6,0,2.9,67.9,0.6,4,6.8,League_two,0.8,0.3,0.7,0.0,0.3,0.4,0.1,0,0.8,1.0,0.2,1.3,2.3,2.9,1.3,0.1,1.6,1.2,21.2,0.5,1.2,0.0, AM,1,0,0,FW,1,0,0,None,0,0,0,Aaron Collins,1997-05-27,1.78,right,2019-07-01,2021-06-30,75000.0,'Wales',None,None
6,6,Aaron Connolly,Brighton,21,9,8,793,2,1,0,0,1.4,78.3,0.4,0,6.28,Premier_league,0.4,0.0,0.4,0.0,0.1,0.1,0.0,0,0.3,0.9,0.5,0.5,1.6,1.4,0.2,0.2,0.9,0.4,5.4,0.0,0.0,0.0, FW,1,0,0,None,0,0,0,None,0,0,0,Aaron Connolly,2000-01-28,1.75,right,2019-07-01,2024-06-30,7000000.0,'Ireland',None,None
7,7,Aaron Cresswell,West Ham,31,36,0,3172,0,8,3,0,0.5,78.9,1.0,2,6.81,Premier_league,0.9,0.9,0.4,0.1,2.0,0.4,0.4,0,0.1,0.5,0.0,0.3,0.4,0.5,0.4,0.0,0.1,1.6,45.9,1.6,3.3,0.0, D,1,1,0,M,0,1,0,None,0,0,0,Aaron Cresswell,1989-12-15,1.7,left,2014-07-03,2023-06-30,5000000.0,'England',None,None
8,8,Aaron Drinan,Ipswich,23,6,16,724,1,0,2,0,0.5,66.1,1.5,0,6.25,League_one,0.3,0.2,0.6,0.0,0.3,0.2,0.0,0,0.2,0.2,0.2,0.6,1.2,0.5,0.0,0.2,0.3,0.5,8.3,0.1,0.1,0.0, FW,1,0,0,None,0,0,0,None,0,0,0,Aaron Drinan,1998-05-06,1.82,left,2018-01-04,2022-06-30,100000.0,'Ireland',None,None
9,9,Aaron Escandell,Granada,25,5,0,450,0,0,1,0,0.0,44.8,0.2,0,6.68,La_Liga,0.2,0.0,0.0,0.0,1.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,8.0,0.0, GK,1,0,0,None,0,0,0,None,0,0,0,Aaron Escandell,1995-09-27,1.85,right,2018-07-01,2023-06-30,1000000.0,'Spain',None,None
10,10,Aaron Hayden,Carlisle,24,43,2,3804,5,2,7,1,1.1,55.4,5.6,3,7.06,League_two,1.2,1.7,1.2,0.5,4.6,0.3,0.5,0,0.1,1.2,0.1,0.2,0.6,1.1,0.0,0.2,0.8,0.4,28.3,0.0,2.4,0.0, D,1,0,1,None,0,0,0,None,0,0,0,Aaron Hayden,1997-01-16,1.85,right,2019-07-29,2022-06-30,25000.0,'England',None,None
11,11,Aaron Herrera,Salt Lake,23,4,0,300,0,2,1,0,0.8,80.7,0.5,1,6.87,MLS,2.0,1.5,1.0,0.8,1.5,0.8,0.5,0,0.5,0.0,0.0,0.3,2.3,0.8,0.5,0.0,0.3,1.5,33.8,1.0,2.3,0.0, D,0,1,1,None,0,0,0,None,0,0,0,Aaron Herrera,1997-06-06,1.8,right,2017-12-15,2023-12-31,1200000.0,'United States', 'Guatemala',None
12,12,Aaron Hickey,Bologna,18,10,1,763,0,0,3,1,0.2,88.4,0.5,0,6.25,Serie_A,1.1,1.4,1.0,0.2,1.1,0.9,0.1,0,0.6,1.3,0.0,0.7,1.5,0.2,0.2,0.0,0.0,0.2,29.1,0.2,1.4,0.0, D,0,1,0,None,0,0,0,None,0,0,0,Aaron Hickey,2002-06-10,1.75,both,2020-09-24,2024-06-30,5000000.0,'Scotland',None,None
13,13,Aaron Hunt,Hamburg,34,16,11,1505,5,2,2,0,1.3,82.7,0.7,2,6.93,Bundesliga_2,0.7,0.9,0.6,0.1,0.8,0.7,0.0,0,0.6,1.1,0.0,0.5,0.8,1.3,0.7,0.0,0.6,1.3,35.9,1.1,3.0,0.0, M,1,1,1,FW,1,0,0,None,0,0,0,Aaron Hunt,1986-09-04,1.83,left,2015-08-31,2021-06-30,350000.0,'Germany', 'England',None
14,14,Aaron Jarvis,Scunthorpe,23,6,7,597,2,0,2,0,1.0,61.3,2.1,0,6.17,League_two,0.4,0.0,1.1,0.0,0.5,0.2,0.1,0,0.1,0.9,0.5,0.2,2.5,1.0,0.2,0.2,0.6,0.2,8.2,0.0,0.1,0.0, FW,1,0,0,None,0,0,0,None,0,0,0,Aaron Jarvis,1998-01-24,1.88,right,2020-08-03,2022-06-30,25000.0,'England',None,None
15,15,Aaron Lennon,Kayserispor,34,33,3,2683,0,5,2,1,0.3,78.4,0.0,0,6.48,Super_lig,0.9,0.5,0.8,0.0,0.3,0.8,0.1,0,1.0,0.8,0.1,0.7,1.2,0.3,0.1,0.0,0.3,1.1,20.7,0.6,0.4,0.0, M,0,1,1,None,0,0,0,None,0,0,0,Aaron Lennon,1987-04-16,1.65,right,2020-09-03,2022-06-30,1100000.0,'England', 'Ireland',None
16,16,Aaron Lewis,Newport,22,18,5,1600,1,2,3,0,1.1,69.2,0.7,0,6.66,League_two,1.5,1.1,0.8,0.0,1.0,0.7,0.2,0,0.3,0.4,0.0,1.2,0.7,1.1,0.7,0.0,0.3,0.9,24.7,0.6,0.8,0.0, M,0,1,1,None,0,0,0,None,0,0,0,Aaron Lewis,1998-06-26,1.83,right,2021-02-02,2021-06-30,25000.0,'Wales',None,None
17,17,Aaron Leya Iseka,Metz,23,12,9,1013,4,0,4,0,1.0,75.0,1.4,0,6.3,Ligue_1,0.3,0.0,1.2,0.0,0.3,0.2,0.1,0,0.5,0.6,0.1,0.9,1.7,1.0,0.1,0.0,0.9,0.6,9.0,0.0,0.2,0.0, FW,1,0,0,None,0,0,0,None,0,0,0,Aaron Leya Iseka,1997-11-15,1.82,right,2020-10-30,2021-06-30,2500000.0,'Belgium', 'DR Congo',None
18,18,Aaron Long,New York,28,5,0,450,0,0,1,0,1.0,75.4,6.6,0,7.12,MLS,2.6,2.0,1.4,0.8,3.2,0.4,0.4,0,0.4,0.4,0.0,0.0,0.8,1.0,0.2,0.0,0.8,0.2,52.8,0.2,4.8,0.0, D,1,0,0,None,0,0,0,None,0,0,0,Aaron Long,1992-10-12,1.86,right,2017-02-22,2021-12-31,3500000.0,'United States',None,None
19,19,Aaron Martin,Celta Vigo,24,17,2,1540,0,3,1,0,0.3,82.3,0.8,0,6.58,La_Liga,1.8,0.7,1.3,0.1,1.8,1.2,0.2,0,0.9,0.8,0.2,0.4,0.7,0.3,0.1,0.0,0.2,0.3,35.4,0.2,1.1,0.0, D,0,1,0,M,0,1,0,None,0,0,0,Aaron Martin,1997-04-22,1.8,left,2021-01-04,2021-06-30,4500000.0,'Spain',None,None
20,20,Aaron McGowan,Kilmarnock,24,14,3,1304,0,0,4,0,0.2,61.6,4.1,0,6.69,Premiership,0.9,1.4,0.8,0.1,1.4,0.2,0.5,0,0.2,1.4,0.1,0.3,0.5,0.2,0.0,0.0,0.2,0.5,29.2,0.6,2.4,0.0, D,0,0,1,None,0,0,0,None,0,0,0,Aaron McGowan,1996-07-24,1.75,right,2020-07-01,2022-05-31,300000.0,'England',None,None
21,21,Aaron Meijers,Sparta Rotterdam,33,12,12,1124,0,4,2,0,0.3,67.1,1.0,0,6.6,Eredivisie,1.7,0.5,0.5,0.1,1.3,0.6,0.3,0,0.2,0.5,0.0,0.3,0.5,0.3,0.2,0.0,0.0,0.6,18.4,0.3,1.3,0.0, D,0,1,0,DMC,1,0,0,None,0,0,0,Aaron Meijers,1987-10-28,1.76,left,2020-09-16,2021-06-30,325000.0,'Netherlands',None,None
22,22,Aaron Morley,Rochdale,21,39,5,3498,2,7,0,0,0.6,76.5,0.9,1,6.78,League_one,1.3,1.0,0.5,0.1,1.5,0.7,0.4,0,0.3,0.1,0.0,0.4,0.5,0.6,0.5,0.0,0.1,1.5,50.9,1.1,6.8,0.0, DMC,1,0,0,None,0,0,0,None,0,0,0,Aaron Morley,2000-02-27,1.74,right,2016-07-01,2022-06-30,25000.0,'England',None,None
23,23,Aaron Opoku,Jahn Regensburg,22,6,15,679,1,1,1,0,0.2,64.0,0.4,0,6.28,Bundesliga_2,0.5,0.1,0.3,0.0,0.1,0.4,0.0,0,0.5,0.1,0.2,0.5,1.4,0.2,0.1,0.0,0.1,1.0,10.0,0.5,0.2,0.0, AM,0,1,0,None,0,0,0,None,0,0,0,Aaron Opoku,1999-03-28,1.85,right,2020-10-02,2021-06-30,500000.0,'Germany', 'Ghana',None
24,24,Aaron Pierre,Shrewsbury,28,25,1,2251,4,0,5,1,1.0,59.4,4.7,1,6.87,League_one,1.3,1.0,1.7,0.4,2.8,0.2,0.7,0,0.5,0.9,0.0,0.4,0.6,1.0,0.1,0.2,0.7,0.3,33.1,0.0,3.2,0.0, D,1,0,0,None,0,0,0,None,0,0,0,Aaron Pierre,1993-02-17,1.85,left,2019-07-01,2022-06-30,300000.0,'Grenada', 'England',None
25,25,Aaron Ramsdale,Sheff Utd,23,38,0,3420,0,0,1,0,0.0,43.4,0.2,2,6.55,Premier_league,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,26.8,0.0,7.4,0.0, GK,1,0,0,None,0,0,0,None,0,0,0,Aaron Ramsdale,1998-05-14,1.91,right,2020-08-19,2024-06-30,12000000.0,'England',None,None
26,26,Aaron Ramsey,Juventus,30,13,9,1093,2,4,2,0,1.1,87.1,0.4,1,6.75,Serie_A,1.0,0.3,0.9,0.0,0.3,0.8,0.1,0,0.5,0.8,0.1,0.4,1.4,1.1,0.3,0.1,0.7,1.4,31.8,0.5,1.5,0.0, M,1,1,1,None,0,0,0,None,0,0,0,Aaron Ramsey,1990-12-26,1.82,both,2019-07-01,2023-06-30,14000000.0,'Wales',None,None
