Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Fernando Miguel,-,-,-,-,-,-,-,-
Thaciano,2,-,-,-,1,-,-,-
Lucas Evangelista,1,1,1,-,3,-,-,3
Tiago Volpi,-,-,-,-,1,-,-,-
Jorginho,1,-,4,1,6,-,-,1
Yago Pikachu,2,-,2,-,-,1,-,-
Rossi,-,2,2,3,4,-,-,4
Juninho,1,-,-,1,-,-,-,2
Vanderson,1,-,-,6,1,-,-,1
Artur,-,-,4,4,-,-,-,5
Helinho,1,-,-,2,1,-,-,-
Cléber,1,-,-,-,1,-,-,3
Mateus Claus,-,-,-,-,-,-,-,-
Weverton,-,-,-,-,1,-,-,-
Bruno Henrique,-,1,3,4,4,-,1,4
Zé Roberto,1,-,1,1,3,1,2,1
Fabricio Bruno,-,1,1,1,1,-,-,2
Luan Cândido,-,-,-,-,1,-,1,2
Claudinho,-,-,4,1,2,1,-,4
Ramires,-,1,3,1,-,-,2,1
Rick,1,-,-,3,3,-,1,4
Rodrigo,1,-,-,1,-,-,1,-
Clayson,-,1,3,4,2,-,-,1
Danielzinho,-,1,1,-,1,-,2,1
Pedro Henrique,-,-,-,-,1,-,-,-
Ytalo,1,-,-,-,-,-,-,1
Giorgian de Arrascaeta,-,-,3,1,3,-,1,6
Igor,-,-,-,-,1,-,-,1
Matheus Peixoto,1,-,-,-,3,-,1,2
Diego Alves,-,-,-,-,-,-,-,-
Léo Ortiz,-,-,-,1,-,-,-,-
Nino,-,-,-,1,2,-,1,-
Jonathan Cafú,1,-,-,1,1,-,2,1
Miranda,-,-,-,-,-,-,1,-
Wescley,1,-,1,3,1,-,1,3
Edenílson,1,1,2,-,2,-,1,1
Matheus Henrique,-,1,3,3,4,-,1,-
Gabriel Menino,-,-,-,-,2,-,1,-
Pedro,1,-,1,1,3,-,1,2
Carlos Eduardo,1,-,1,1,-,-,-,-
Egídio,-,-,2,-,-,-,-,1
Khelven,-,-,2,2,-,-,-,-
Abel Hernández,-,-,1,1,2,-,-,1
Aderlan,-,-,2,1,-,1,1,3
Léo Chú,-,1,2,2,1,-,-,3
Reinaldo,-,-,3,1,2,-,4,1
Élton,1,-,1,1,-,-,-,5
Hulk,1,-,-,1,6,2,1,3
Matheus Vargas,-,-,1,2,4,-,2,1
Germán Conti,-,-,-,-,-,-,-,-
Caio Paulista,-,-,1,1,1,-,3,2
Uendel,-,-,4,1,-,-,-,-
Willian Maranhão,-,-,-,1,1,-,-,2
Diego,-,-,-,2,4,-,1,4
Capixaba,-,1,2,2,1,-,1,7
Léo,-,-,-,1,1,-,1,-
David,-,1,2,1,-,-,-,-
Nathan Silva,-,-,-,-,-,-,-,-
Ricardo,1,-,-,1,-,-,-,3
Éderson,-,-,1,1,2,-,2,2
Cleiton,-,-,-,-,-,-,-,1
Robson,-,1,3,2,2,1,-,1
