Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Philipp Klewin,-,-,-,-,-,-,-,-
Robert Zulj,15,13,2.7,1.1,1.9,0.2,1.5,1.6
Tim Kleindienst,11,-,0.7,1.2,1.4,0.7,1.9,3.6
Serdar Dursun,27,3,0.9,0.7,2,0.6,0.8,1.8
Philipp Hofmann,13,5,1,0.6,1.6,0.5,1.1,3.3
Simon Terodde,24,5,0.8,0.2,0.8,0.5,0.4,1.5
Omar Marmoush,7,2,0.8,3.2,1.9,0.5,1.5,3.6
Kevin Behrens,13,-,1.3,0.8,1.7,0.7,1.2,2.5
Timo Hübers,2,-,0.2,0.6,0.8,0.1,0.3,0.7
Patrick Mainka,5,3,0.3,0.3,0.5,-,0.1,0.5
Carl Klaus,-,-,-,-,-,-,-,-
Branimir Hrgota,16,6,1.2,1.6,2.2,0.5,1.6,2.7
Paul Seguin,7,8,2.1,0.8,1.1,-,1.2,1.2
Marius Funk,-,-,-,-,-,-,-,-
Marvin Wanitzek,6,5,2,0.8,1.7,0.1,1.1,1.5
Rodrigo Zalazar,6,5,1.2,2.2,2.2,0.1,1.4,1.7
Mikkel Kirkeskov,-,1,1.7,0.7,1.2,-,0.3,1.7
Julian Green,9,2,1.2,1.1,2,-,1.1,1.8
Sonny Kittel,9,6,2,1.1,1,0.3,0.8,2
Marvin Ducksch,16,7,1.5,0.4,0.9,0.7,0.2,2.1
Daniel-Kofi Kyereh,9,7,1.3,2,1.9,0.3,1.8,3.1
Tobias Kempe,9,7,2.7,0.8,0.8,0.1,1.3,2.1
Danilo Soares,2,2,0.6,1.3,1.3,0.1,0.8,1.8
Fin Bartels,11,5,1.2,1.2,1.1,0.2,0.9,2.3
Tim Kister,-,1,0.2,-,0.8,-,-,0.3
Marco Meyerhöfer,-,9,1.8,1.2,1.2,0.1,0.7,1.2
Pascal Testroet,12,10,1.7,0.6,0.9,0.8,1.3,3.1
Johannes Geis,3,7,1.9,0.3,1.1,-,0.2,0.4
David Raum,1,13,1.4,1.2,1.4,0.1,0.9,1
Andreas Albers,13,2,0.8,0.4,0.8,0.6,0.6,2.1
Simon Zoller,15,6,0.8,0.2,0.7,0.5,0.5,1.2
Jae-Sung Lee,5,4,1.1,1.1,1.5,0.5,1.3,2
Dennis Srbeny,16,4,1.2,1.5,1.1,0.3,1.6,2.9
Havard Nielsen,11,4,0.7,0.6,0.9,0.8,1,2
Guido Burgstaller,11,4,0.7,0.5,0.8,0.9,1.3,2.1
Sebastian Ohlsson,-,-,0.9,0.7,1.5,0.1,0.4,1
Genki Haraguchi,9,5,1.3,1.4,1.8,-,1,2.3
Manuel Schäffler,10,3,0.8,0.3,1.3,1.2,0.8,3
Robert Tesche,8,1,0.7,0.5,1.6,0.1,0.8,1.2
Uwe Hünemeier,2,-,0.3,0.1,0.6,-,0.1,0.3
Armel Bella Kotchap,1,-,0.1,0.1,1.5,-,0.1,0.7
Florian Ballas,1,1,0.3,0.4,0.4,-,0.1,0.3
Anthony Losilla,4,1,0.7,0.5,0.7,-,0.6,1.4
Christian Kühlwetter,13,4,0.9,1.6,1.1,0.5,1.8,3.3
Oliver Hüsing,2,-,0.2,-,0.3,0.1,0.1,0.2
Sven Michel,7,5,1.3,1.2,0.5,0.7,1.6,2.3
Marco Thiede,3,1,0.9,1.2,1.1,-,0.5,1.3
Luca Pfeiffer,-,-,-,1.5,1.5,-,1,2
Cristian Gamboa,-,1,0.6,0.8,1.3,-,0.4,1
Tim Handwerker,1,-,0.6,1.3,1.3,0.1,0.4,0.5
Stephan Ambrosius,-,-,0.2,0.1,0.7,-,0.2,1
Bakery Jatta,5,4,1,1.3,0.8,0.3,1.4,1.8
Aaron Hunt,5,2,1.3,0.6,1.1,-,0.5,0.8
Benedikt Gimber,-,-,0.4,1.1,3.6,-,0.7,1.3
Martin Männel,-,-,-,-,0.1,-,-,-
Victor Pálsson,3,1,0.4,0.2,0.2,0.1,0.3,0.8
Janni Serra,13,3,0.6,0.7,1,0.4,1.5,2.8
Stefan Thesker,-,-,0.2,0.2,0.6,-,-,0.2
Kenan Karaman,7,2,1.2,1.5,1.5,0.4,1.8,2.2
Sebastian Schonlau,1,2,0.3,0.3,1.2,0.1,0.2,0.4
Jérôme Gondorf,3,1,0.7,1.1,1.6,0.1,1.2,2.5
Kevin Danso,2,1,0.3,0.6,1.7,-,0.3,0.9
Simon Lorenz,1,-,0.3,0.2,0.8,0.1,0.1,0.3
Chris Führich,13,2,1.8,1.2,0.4,0.1,0.8,1.8
Sebastian Ernst,7,4,1.1,1.3,0.8,0.2,1.1,1.5
Rolf Feltscher,-,4,1.3,0.4,1,0.2,0.6,1.4
Jaka Bijol,-,-,0.7,0.4,0.7,-,0.5,0.8
Marvin Mehlem,5,2,1.1,1.3,2.1,0.3,1.4,2.6
Sebastian Kerk,10,9,2,0.5,0.5,0.3,0.8,2.1
Marvin Pieringer,6,2,0.8,1.4,1.4,0.4,1,2.3
Moritz Heyer,2,1,0.3,0.7,1.3,-,0.6,1.2
Janik Bachmann,1,-,0.4,0.4,0.3,-,0.3,1.1
Jamilu Collins,-,-,0.3,1.3,1.2,-,1.2,1.5
