Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Fabian Bredlow,-,-,-,-,-,-,-,-
Robert Lewandowski,41,7,1.1,0.8,1,0.7,1.5,2.4
Erling Haaland,27,6,1,1.1,0.8,0.6,0.4,1.9
Joshua Kimmich,4,10,2.4,1.1,1.6,-,0.7,1.5
Jadon Sancho,8,11,2.6,3,0.8,0.3,1.3,2.8
André Silva,28,5,1,0.8,1.1,0.9,1.5,2.7
Thomas Müller,11,18,2.9,0.8,0.7,0.4,1.3,2.5
Matheus Cunha,7,4,1.8,3,2.8,0.2,2.5,2.7
Wout Weghorst,20,8,1.3,0.5,0.8,1.1,0.8,2.1
Maximilian Arnold,3,6,1.6,0.6,2.1,-,0.7,1
Elias Bördner,-,-,-,-,-,-,-,-
Filip Kostic,4,14,3,0.8,0.7,0.1,1.2,2
Christopher Nkunku,6,6,2.5,1.3,1.8,0.6,1.3,2
Mats Hummels,5,-,0.4,0.2,0.5,0.2,0.1,0.3
Leon Bailey,9,8,1.6,2.5,1.4,0.5,1,2.4
Raphael Guerreiro,5,10,2,1.2,0.4,0.1,0.7,1.5
Andrej Kramaric,20,5,1.4,0.9,1.5,0.3,1.4,2
Ermin Bicakcic,1,-,-,-,1,-,-,-
Leon Goretzka,5,5,0.8,0.5,0.7,-,0.3,1.1
Serge Gnabry,10,2,1.4,0.9,0.8,0.2,0.9,1.9
Willi Orban,4,1,0.3,0.3,0.5,0.1,0.3,0.3
Silas Wamangituka,11,4,0.9,1.9,1.6,0.5,1.7,2.7
Jonas Hofmann,6,11,2.4,0.7,0.8,0.4,0.8,1.3
Kingsley Coman,5,10,1.6,1.9,1.2,0.2,1.3,1.7
Marco Reus,8,6,1.5,1.3,1.1,0.3,0.8,1.5
Angeliño,4,4,2,0.6,1,0.3,0.5,1
Bas Dost,4,2,0.9,-,0.8,0.3,0.8,0.3
Vincenzo Grifo,9,10,2.1,1,0.6,0.1,1.1,1.9
Emre Can,1,4,0.6,1.1,0.8,-,0.5,0.7
Daniel Caligiuri,6,4,1.5,1.8,1.8,0.1,1.9,2.4
Alphonso Davies,1,2,0.9,2.7,1.6,0.1,1.2,2.7
Borna Sosa,-,9,2.2,1,0.5,0.1,0.6,1.1
Wataru Endo,3,3,0.8,1.2,1.6,-,1.6,1.5
Maxence Lacroix,1,1,0.1,0.4,0.9,-,0.3,0.6
Christopher Trimmel,1,9,1.9,0.3,0.4,0.1,0.4,0.6
Sasa Kalajdzic,16,5,0.8,0.5,1.1,0.1,0.9,2.4
Lars Stindl,14,8,1.5,0.3,1,0.1,1,1.4
Marcel Sabitzer,8,3,1.1,0.6,1.3,0.3,0.9,1.3
Martin Hinteregger,2,1,0.3,0.2,1.2,-,0.3,0.8
Nico Elvedi,3,-,0.1,0.1,0.5,-,-,0.4
Kevin Mbabu,-,1,0.6,1.6,0.9,-,0.5,1.2
Nicolás González,6,2,0.8,1.3,2.2,0.5,0.9,2.3
Max Kruse,11,5,1.7,0.5,0.5,0.3,0.5,1.6
Stefan Bell,1,1,0.2,-,0.4,0.1,0.1,0.3
Marcus Thuram,8,2,0.6,1.6,1.3,0.6,1.2,2.2
Lucas Hernández,-,2,0.6,0.8,1.3,-,0.4,1.2
Ridle Baku,6,6,1.4,1.2,1.2,0.3,1.2,1.9
Xaver Schlager,2,4,0.8,1.3,1,-,1,2
Niklas Süle,1,-,0.4,0.6,0.2,-,0.2,0.4
Pavao Pervan,-,-,-,-,-,-,-,-
Tobias Sippel,-,-,-,-,-,-,0.3,0.5
Edmond Tapsoba,1,-,0.1,0.6,0.3,0.2,0.3,0.7
Ihlas Bebou,9,7,1.2,1.3,1,0.1,1.8,3.4
Dani Olmo,5,9,1.3,1,1.2,0.1,1.2,2.2
John Brooks,2,-,0.2,0.2,0.5,-,0.1,0.3
Florian Neuhaus,6,5,0.7,1.3,1.2,-,0.9,1.4
Leroy Sané,6,9,1,1.9,0.7,0.2,1.5,2.6
Moussa Diaby,4,10,1.4,1.8,0.5,0.3,1.3,1.9
Marvin Friedrich,5,2,0.4,0.4,0.6,0.1,0.2,0.7
Josip Stanisic,-,-,-,-,-,-,-,1
Felix Uduokhai,1,-,0.1,0.5,0.9,-,0.3,0.6
Daichi Kamada,5,12,1.8,1,0.9,0.2,1.3,1.9
Amos Pieper,1,1,0.2,0.3,0.8,-,0.1,0.4
Mark Flekken,-,-,-,-,-,-,-,-
Konstantinos Mavropanos,-,-,0.2,0.4,0.8,-,0.3,0.8
Christopher Lenz,-,3,0.7,0.7,0.7,0.1,0.5,1
Matthias Ginter,2,1,0.3,0.3,1,-,0.1,0.1
Christoph Baumgartner,6,3,1.1,1.1,1.7,-,1.2,2.9
Florian Hübner,-,-,0.2,0.2,1.3,-,0.2,1
Renato Steffen,5,4,1,0.4,0.9,0.1,1,2
Nicolas Höfler,1,3,0.5,1.1,1.1,-,0.5,0.9
Paulo Otávio,-,2,0.6,0.8,1.4,-,0.5,1.7
Orel Mangala,1,3,0.8,2.2,1.2,-,1.8,2.1
Blendi Idrizi,1,-,0.3,1.3,0.3,-,1.3,2.3
Marc Oliver Kempf,2,1,0.3,0.6,1.2,-,0.5,0.5
Benjamin Pavard,-,-,0.5,0.1,0.9,-,0.1,0.8
Florian Wirtz,5,5,1.6,2.1,0.5,0.2,1.5,2.2
Ellyes Skhiri,5,2,0.5,0.5,0.5,0.1,0.5,1
Robert Andrich,5,2,0.7,0.7,1.2,0.1,0.4,1.2
Ondrej Duda,7,4,1.3,1.6,1.7,0.2,0.9,2.8
Dayot Upamecano,1,-,0.3,0.4,0.3,-,0.2,0.8
Ludwig Augustinsson,-,4,1.8,0.3,1.1,0.1,0.2,0.7
Ritsu Doan,5,2,1.4,1.8,1.9,0.1,1.5,3.2
Amine Harit,2,5,1.8,3.2,2.8,0.3,2.1,2.3
Manuel Akanji,2,-,0.1,0.3,0.6,-,0.3,0.3
Diadie Samassékou,-,2,0.3,0.7,1.5,-,0.7,1.3
Fabian Klos,5,2,0.9,0.2,1.6,0.4,0.9,2.4
Exequiel Palacios,-,-,0.9,0.7,1.8,-,1.2,1
Marcel Halstenberg,2,2,1.1,0.5,0.4,0.2,0.4,0.5
Obite Evan Ndicka,3,1,0.3,0.4,1.3,-,0.6,1.1
Salif Sané,-,-,0.3,0.3,1,0.1,0.4,0.1
Josip Brekalo,7,3,1.3,1,0.6,0.1,1.1,2.1
Alassane Plea,6,1,1,0.9,1,0.7,0.7,2.2
Ramy Bensebaini,4,-,0.4,0.5,1.2,0.1,0.4,1.3
Djibril Sow,-,2,0.6,0.6,1.4,0.1,0.8,1.3
Rafal Gikiewicz,-,-,-,-,0.1,-,-,-
Shkodran Mustafi,1,-,0.1,0.2,0.9,0.2,-,0.5
Jonas Hector,3,1,0.9,0.3,1.2,0.1,0.6,1.4
Florian Grillitsch,2,1,0.6,0.7,1.2,-,0.6,0.7
Giovanni Reyna,4,5,1.1,1.4,1.5,0.1,1.4,1.7
Amadou Haidara,3,1,1.1,0.6,0.5,0.2,0.7,1.4
Patrik Schick,9,1,0.9,0.7,0.8,0.2,0.7,2.1
Joakim Nilsson,-,-,0.1,0.1,0.6,-,-,0.3
Julian Baumgartlinger,2,-,0.3,0.4,0.8,-,0.5,0.4
