Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Emiliano Buendía,15,16,3.1,1.6,2,0.1,1.8,2.2
William Forrester,1,-,-,-,-,-,-,-
Kieffer Moore,20,1,0.5,0.8,1.9,0.5,1.6,3.1
Krystian Bielik,2,-,1.1,1.2,1.8,-,0.7,1.3
Joe Rodon,-,-,-,-,0.3,-,-,0.8
Ivan Toney,33,10,1.1,0.5,2.3,0.6,0.8,2.4
Michal Helik,5,1,0.3,-,0.7,-,0.1,0.4
Alfie Mawson,-,1,0.3,0.5,0.4,-,0.5,0.4
Connor Taylor,-,-,-,1,2,-,-,-
Arnaut Danjuma Groeneveld,17,7,1.5,1.8,1.3,0.7,1.4,2.4
Grant Hanley,1,-,0.1,0.2,1.5,-,0.2,0.7
Jordy de Wijs,1,-,-,0.1,0.2,-,-,0.1
Robert Dickie,3,1,0.3,0.5,1.6,-,0.3,0.7
Mads Andersen,1,5,0.3,0.3,0.6,0.1,0.1,0.7
Sean Morrison,5,2,0.3,0.1,0.8,0.1,0.2,0.4
Shaun Hutchinson,1,2,0.3,0.2,0.8,-,0.2,0.6
Adam Armstrong,28,5,1,1.2,0.8,1,1.2,2.7
Todd Cantwell,6,6,1.6,1.6,2.7,0.3,1.2,2.4
Ismaila Sarr,13,4,1.1,1.9,3,0.6,1.6,3.2
Ovie Ejaria,3,5,1.7,2.7,2.5,0.2,2.5,2.7
Ben Cabango,4,2,0.2,-,0.6,0.1,0.1,0.3
Steven Benda,-,-,-,-,-,-,-,-
Lewis Wing,2,2,1.7,1,1.1,-,0.6,1.7
André Ayew,17,4,0.8,1.5,1.7,0.6,1.8,2.6
Nick Powell,12,3,1.1,0.4,2.9,0.3,1.1,2
Teemu Pukki,26,4,1.3,0.5,0.8,0.5,1,1.7
Dominic Solanke,15,8,0.8,1.5,1.8,0.5,2.2,3.4
Harry Souttar,1,3,0.3,0.3,0.4,0.1,0.2,0.4
Aden Flint,1,1,0.2,-,0.9,0.3,0.1,0.4
Dael Fry,1,1,0.1,0.1,0.8,0.1,-,0.3
Lucas João,19,7,1,1.4,1.7,0.5,1.9,3
Michael Olise,7,12,1.9,1.3,2.2,0.1,0.8,2
Matthew Clarke,-,-,0.2,0.4,0.8,-,0.1,0.4
Joe Jacobson,4,6,1.8,0.3,1.2,-,0.1,0.5
Ethan Pinnock,1,1,0.3,0.2,0.3,-,0.1,0.2
Adam Masina,2,-,0.5,0.3,0.5,-,0.1,1
Jake Cooper,1,2,0.4,0.3,0.9,0.1,0.1,0.7
Barry Douglas,-,2,1.9,0.6,1.2,0.1,0.4,1.1
Marc Roberts,4,2,0.6,0.1,0.4,0.1,0.1,0.5
Kristian Pedersen,2,2,0.6,1.1,0.6,0.1,0.6,1.1
Kiernan Dewsbury-Hall,3,6,1.7,1.2,0.8,0.1,1,1.9
Francisco Sierralta,1,-,0.1,-,0.8,-,0.2,0.5
Ryan Bennett,-,-,0.1,0.1,0.3,-,0.1,0.1
Curtis Nelson,1,-,0.2,-,0.5,0.1,0.1,0.6
James Garner,4,-,1.1,0.6,1.7,-,0.3,1
Grant Hall,2,-,0.1,0.3,0.5,0.3,0.1,0.2
Morgan Gibbs-White,1,1,1.8,1.4,0.6,0.2,1.2,3.2
Matt Grimes,3,3,0.9,0.6,0.9,-,0.4,0.9
Jed Wallace,11,5,1.9,1.8,1,0.3,1,2.6
Derrick Williams,1,-,0.4,-,0.5,-,0.2,0.8
Yoann Barbet,2,2,0.3,0.4,0.7,-,0.1,0.6
Harry Wilson,7,11,1.7,0.4,1.7,0.2,0.5,1.6
Filip Benkovic,-,-,-,-,2,1,-,1
Sergi Canós,9,8,1.2,1.3,1,-,0.9,1.9
Josh Koroma,8,2,1.3,1.1,1.1,0.6,0.8,2.5
Alan Browne,4,2,0.5,0.8,1.3,-,1.1,1.8
