Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Sean Klaiber,1,-,1,1,0.5,-,1,2.5
Dusan Tadic,14,17,3.8,1.4,1.1,0.3,1.7,1.9
Sébastien Haller,11,5,1.2,1.1,2.2,0.6,1.8,3.4
Steven Berghuis,18,12,2.9,1.4,0.8,0.1,1.5,2.3
Oussama Tannane,7,9,3.2,2.6,3.6,0.1,1.9,2.9
Adam Maher,2,4,2.5,1.3,2.3,-,1.4,1.6
Gregoire Amiot,-,-,-,-,-,-,-,2
Joey Veerman,7,10,1.9,2.3,1.4,-,1.2,1.3
Donyell Malen,19,8,1.1,1.6,0.9,0.6,1.5,2.8
Teun Koopmeiners,15,5,1.1,0.6,0.6,-,0.6,1.1
Ajdin Hrustic,-,-,1,1,2,-,2,1
Ibrahim Sangaré,1,1,0.7,1.2,0.7,-,0.8,1.4
Georgios Giakoumakis,26,1,0.5,0.8,2.7,1.1,1.2,3.7
Ryan Gravenberch,3,5,1.2,1.6,0.8,-,1.1,2.1
Mario Götze,5,6,1.4,1.4,0.9,0.2,1.2,2.1
Calvin Stengs,7,5,1.9,2.1,1.5,0.2,1.8,3.4
Jesper Karlsson,11,9,1.5,1.1,0.8,-,1.5,1.9
Vaclav Cerny,6,6,1.8,1.7,0.6,0.5,1.4,2.5
Davy Klaassen,12,3,1.1,0.6,0.5,0.1,0.4,0.8
Cody Gakpo,7,3,1.3,2.3,1.6,0.2,1.9,2.3
Abdou Harroui,6,2,1.2,2,1.8,-,2.5,3.2
Gyrano Kerk,8,4,1.5,3.3,1.1,0.6,3,4.3
Vangelis Pavlidis,12,4,1.1,2.2,1.7,0.6,2.3,4.9
Marcos Senesi,3,2,0.4,0.8,0.7,-,0.4,1.4
Fredrik Midtsjø,2,5,1.1,1.8,1.5,0.1,1.4,1.8
Silvester van der Water,3,4,1.7,2.2,1.8,0.1,1.5,2.8
Philipp Max,5,8,2,0.4,0.6,0.2,0.3,1.1
Nicolás Tagliafico,1,3,1.1,0.4,1.3,0.1,0.4,1.2
Jacob Rasmussen,2,-,0.3,0.1,0.5,-,0.1,0.3
Jens Toornstra,8,2,1.4,1.5,0.5,0.1,0.7,1.4
Eran Zahavi,11,3,1.1,0.6,0.7,0.4,0.6,2.3
Rai Vloet,16,7,1.5,1.6,1.4,0.2,1.8,2.7
Olivier Boscagli,2,2,0.3,0.3,1,-,0.2,0.5
Zian Flemming,12,7,0.8,1.2,1.2,0.1,1.4,1.7
Antony,9,8,1.1,1.3,0.9,0.1,0.7,1.1
Denzel Dumfries,2,6,1.4,0.9,1.5,0.1,1,2
Maximiliano Romero,1,-,-,-,-,-,-,-
Lennart Thy,14,3,1.4,0.6,1.1,0.4,1,2.4
Henk Veerman,14,5,1,0.5,0.3,1,0.6,2.5
Gabriel Gudmundsson,-,5,0.8,2.7,1.7,0.2,1.4,1.7
Myron Boadu,15,1,1.1,1,1.3,0.8,2.1,3.3
Sergio Peña,6,3,2,2.3,1.5,0.1,1.7,2.3
Lisandro Martínez,3,1,0.4,0.9,0.4,-,0.5,0.6
Daley Blind,1,1,0.9,0.9,0.4,-,0.6,0.6
Sander van de Streek,11,5,0.8,0.7,1.4,0.1,1.2,1.8
Owen Wijndal,1,6,1.4,1.1,1.2,0.1,0.6,1.1
Noussair Mazraoui,-,1,0.6,1.5,0.8,-,0.5,0.7
Kenneth Paal,-,1,1.8,1.7,1,0.1,1.1,1.7
Eric Botteghin,1,-,0.4,0.1,-,0.1,0.3,0.4
Virgil Misidjan,4,3,1.2,1.9,2.5,0.4,1.9,3.5
Pawel Bochniewicz,2,-,0.1,0.4,0.6,-,0.1,0.6
Edson Álvarez,2,2,0.4,0.8,0.2,0.1,0.7,1
Mickael Tirpan,1,-,0.2,0.6,1.4,-,0.7,1.4
Lutsharel Geertruida,5,2,0.8,0.8,0.6,-,0.7,0.9
Ahmed El Messaoudi,8,2,1,1.8,0.9,0.1,1.7,2.5
Lassina Traoré,7,4,0.8,0.1,0.8,-,0.2,1.4
Jonathan Mulder,-,-,-,-,-,-,-,-
Riechedly Bazoer,5,1,1.1,1.1,3,-,0.9,1.2
Albert Gudmundsson,7,4,1.2,1.6,1.3,0.2,1.1,3.3
Jurriën Timber,1,-,0.4,1.3,0.5,0.1,0.9,0.8
Kostas Lamprou,-,-,-,0.1,0.1,-,-,0.1
George Cox,5,4,0.9,0.5,0.8,0.1,0.5,1
André Onana,-,-,-,0.1,-,-,-,0.1
Klaas Jan Huntelaar,7,1,0.8,0.1,-,0.2,0.4,0.9
Sean Klaiber,-,3,1.2,0.5,0.6,-,0.3,0.7
Bart Nieuwkoop,-,-,0.5,0.6,0.5,0.1,0.7,1.5
Jan Paul van Hecke,1,1,0.5,0.2,0.2,-,0.3,0.3
Tommy St. Jago,-,-,0.1,0.4,0.6,-,0.3,0.4
Devyne Rensch,3,2,0.6,0.3,0.4,-,0.2,1.1
Mike Trésor,4,11,2,2.1,0.9,-,1.2,2.8
Ko Itakura,1,1,0.3,0.4,0.4,-,0.1,0.4
Azor Matusiwa,-,-,0.3,1.1,1.4,-,0.3,0.9
Maarten Stekelenburg,-,-,0.1,-,0.1,-,-,-
Luis Sinisterra,3,5,1.1,1.8,0.7,0.2,1.4,2.2
Dirk Abels,1,3,1,0.2,0.7,-,0.3,0.5
Queensy Menig,8,2,1.1,1.7,0.6,0.4,1.3,3.2
Jørgen Strand Larsen,9,5,0.8,0.4,1.1,0.4,1.2,2.5
Maximilian Wittek,1,2,0.7,1.1,1.3,0.1,0.4,1.7
Ridgeciano Haps,3,2,0.8,1,1.5,0.1,1,1.4
Jonas Svensson,-,3,1.2,0.3,1.1,-,0.4,0.8
Laros Duarte,2,1,1.1,0.9,0.6,-,0.3,0.5
Eli Dasa,-,6,1.3,0.9,0.7,0.1,0.6,1.6
Miguel Araujo,4,1,0.4,0.2,0.5,-,0.3,0.5
Mohammed Kudus,4,3,0.6,1.7,1.1,0.1,1.8,1.3
Django Warmerdam,-,2,1,0.8,0.4,0.2,0.7,1.3
Robin Pröpper,1,3,0.5,0.3,0.8,-,0.1,0.3
Noni Madueke,7,4,0.7,1.6,0.8,0.1,1.1,1.8
Benson Manuel,-,4,1.2,2.3,1.7,0.2,2.2,1.8
Xandro Schenk,-,-,-,-,-,-,-,0.3
Milan van Ewijk,1,3,0.6,0.8,1.4,-,0.5,1.6
Ahmed Touba,3,1,0.2,0.8,0.8,-,0.4,1.2
Jordy Clasie,1,-,0.6,0.5,0.1,-,-,0.4
Bart van Hintum,2,3,1,0.1,0.4,-,0.1,0.4
Willem Janssen,-,-,0.3,0.2,0.3,-,-,0.1
David Neres,3,6,0.8,1.2,0.3,0.2,1.3,1.4
Ryan Thomas,1,2,1.5,0.2,0.6,0.3,0.6,1.4
Bart Vriends,-,-,0.2,0.1,0.3,-,0.1,0.6
Quincy Promes,6,-,1.3,0.9,0.3,0.4,1.1,1.4
Tibor Halilovic,2,-,0.7,1.5,1.6,0.1,0.9,1.3
Mats Seuntjens,6,6,1.1,1.6,0.7,0.2,1.5,2.3
Hidde ter Avest,2,3,0.7,0.1,0.7,0.1,0.3,1.2
Glenn Bijl,2,2,0.9,0.6,1.3,0.1,0.5,0.9
Sondre Tronstad,2,1,0.3,0.6,1,-,0.6,1.5
Danilho Doekhi,1,1,0.2,0.2,0.4,-,0.1,0.6
Justin Bijlow,-,-,0.1,0.1,-,-,-,0.1
Jeff Hardeveld,-,-,1.1,0.7,0.3,-,0.6,1
Sai van Wermeskerken,-,3,0.7,1.7,0.6,-,0.8,1.3
Danilo,17,5,1,0.9,0.9,0.3,1.8,3.4
Julio Pleguezuelo,1,1,0.2,0.6,0.6,-,0.1,0.6
Perr Schuurs,1,-,0.2,0.2,0.4,-,0.3,0.3
Pablo Rosario,1,4,0.8,0.6,0.7,-,0.7,1.2
Lisandro Semedo,9,4,0.9,1,0.9,0.3,0.7,1.7
Loïs Openda,10,4,0.9,1,1.8,0.4,1.1,2.6
Tyrell Malacia,-,1,1,1.3,1.2,0.1,1.3,1.5
Orkun Kökcü,3,2,1.5,0.8,0.9,-,0.9,1.2
Bart Ramselaar,4,4,1.4,1.2,0.6,0.3,0.7,1
Lucas Schoofs,2,2,0.4,0.7,0.4,-,0.5,1.8
Uros Spajic,-,-,0.2,0.6,1.5,-,0.1,0.5
Mimoun Mahi,7,2,1.1,1.2,0.8,0.4,0.9,1.5
Vito van Crooij,3,8,2,0.5,1,0.2,1.2,2
Michael de Leeuw,13,1,0.7,0.2,1,0.7,0.4,1.6
Said Bakari,1,1,0.8,1.3,0.4,-,1.1,0.9
Nick Marsman,-,-,-,-,0.1,-,-,0.1
Mark Diemers,3,3,1.1,0.5,2.1,-,1.1,1.2
Jari Vlak,1,1,0.3,0.6,0.8,-,0.5,0.8
