Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Guy Mbenza,2,-,-,1,-,-,2,3
Jéremy Doku,2,3,1.6,3.6,2.4,0.1,2.3,2.3
Paul Onuachu,33,5,0.7,0.7,1.8,0.5,2.1,2.7
Darren Keet,-,-,-,-,-,-,-,-
Ryota Morioka,2,7,2.2,0.8,1.3,0.1,1.4,1.4
Louis Verstraete,3,-,0.2,1,1.6,-,2.2,2.2
Krépin Diatta,9,2,1.7,1.4,1.4,0.4,1.4,1.9
Theo Bongonda,16,8,1.7,1.7,2.8,0.2,1.8,2.5
Noa Lang,16,7,1.8,1.4,1.4,0.4,1.7,1.9
Junya Ito,11,14,2,1.4,1.8,0.3,2.4,2.3
Dieumerci Mbokani,14,3,0.8,0.4,3.8,0.8,1.6,2.6
Selim Amallah,9,3,1.1,1.7,3,0.1,3.4,3.2
Raphael Holzhauser,16,16,2.8,0.2,1.5,0.1,1.2,0.8
Mandela Keita,-,-,-,1,3,-,-,-
Hans Vanaken,11,7,1.6,0.6,1.2,0.1,1.1,1.3
Tarik Tissoudali,8,5,1.4,0.9,1.6,0.5,2.3,2.1
Ruud Vormer,6,11,2.5,0.1,0.6,0.5,0.4,0.5
Thomas Henry,21,5,1.3,0.6,2.8,0.3,3.5,3.3
Rafael Romo,-,-,-,-,0.1,-,-,-
Xavier Mercier,9,16,3.1,0.9,0.9,0.1,1.8,2.3
Roman Yaremchuk,17,6,1.1,0.6,0.9,0.4,1.5,1.9
Maxime Busi,-,1,1.6,1.1,0.7,0.1,1,1.7
Bryan Heynen,2,5,1.7,0.5,0.8,-,1,1
Joris Kayembe,1,4,1.2,2,1.4,-,1.9,1.4
Joachim van Damme,3,-,0.7,0.8,0.9,0.2,1.3,0.8
Joakim Maehle,1,4,1.4,1.4,1.4,-,2.1,1.3
Vadis Odjidja-Ofoe,1,7,1.9,1.5,1.8,0.2,0.7,1.2
Strahinja Pavlovic,1,-,0.2,1.3,0.5,-,0.7,1.1
Alessio Castro-Montes,6,-,1.3,1.6,1.2,-,1.4,1.3
Hugo Siquet,-,5,2.2,0.3,0.9,0.1,0.6,1.3
Robin Himmelmann,-,-,1,-,-,-,-,-
Lior Refaelov,9,8,2.1,0.9,1.9,0.2,1.1,1.5
Zinho Vanheusden,-,-,0.4,0.5,2,0.3,0.5,0.8
Faiz Selemani,8,7,2.3,1.5,2.2,0.1,2.3,2.4
Michael Frey,12,3,1,0.6,1.6,0.8,2.4,3.9
Julien de Sart,1,2,1.3,0.5,1.3,-,0.6,1
Moussa Sissako,-,-,0.3,-,0.2,0.2,-,0.3
