Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Lionel Messi,30,9,2.2,4.5,2.8,0.2,2.5,1.6
Ángel Jiménez,-,-,-,-,-,-,-,-
Gerard Moreno,23,7,1.3,2.2,1.8,0.6,1.8,2.8
Karim Benzema,23,9,1.1,1.1,0.7,0.7,1.1,1.7
Ansu Fati,4,-,1.3,1.6,1.6,0.3,1.1,1.6
Casemiro,6,4,0.7,0.4,1.6,0.1,0.8,0.9
Iago Aspas,14,13,1.9,1.8,1.6,0.4,0.8,1.7
Marcos Llorente,12,11,1.2,1.1,1,0.2,1.4,1.1
Mikel Merino,2,4,1.1,1.2,2.1,0.1,1,1.6
Toni Kroos,3,10,2.4,0.6,1.1,-,0.3,0.5
Joselu,11,3,0.8,0.8,2,0.4,1,2.4
Kieran Trippier,-,6,1.2,0.7,0.5,0.2,0.3,0.8
Lucas Vázquez,2,5,1.8,1.3,1.3,0.1,0.9,1.9
Geoffrey Kondogbia,-,-,-,2.2,2,-,0.2,0.4
Diego Llorente,-,-,-,-,-,-,-,-
Antoine Griezmann,13,7,1.2,0.7,0.9,0.4,0.6,0.9
Javi Galán,1,2,1.1,3.3,2.6,0.1,1.1,1.8
Yannick Carrasco,6,10,1.6,2.2,1.1,0.1,1.7,2
Luis Suárez,21,3,0.8,0.4,1.3,1,0.8,1.9
Luka Modric,5,3,1.4,1.6,0.9,-,0.9,1.2
Frenkie de Jong,3,4,1.3,1.6,1.2,0.1,0.7,0.9
Nabil Fekir,5,5,1.5,2.6,2.8,0.4,2.5,2.4
José Campaña,1,2,1.6,2.6,1.4,0.1,1.4,1.9
Daniel Parejo,3,4,1.2,1,1.7,-,0.6,0.6
Thomas Partey,-,-,-,2.3,0.3,-,0.3,-
Jony Álamo,-,-,-,4,2,-,1,1
Carlos Soler,11,8,1.4,0.8,1.2,-,0.4,0.9
Mikel Oyarzabal,11,8,1.5,0.7,1.2,0.5,1.3,1.4
Alexander Isak,17,2,0.3,1.1,1,0.6,0.8,1.6
Rober Correa,-,2,0.7,0.9,1.3,0.1,0.4,1.2
Ousmane Dembélé,6,3,1.3,2.1,0.9,0.4,1,1.7
Jules Koundé,2,1,0.3,0.9,0.7,0.1,0.3,0.8
Fernando,3,4,0.6,0.4,0.5,-,0.3,0.8
Jordi Alba,3,5,1.5,0.5,0.4,0.3,0.4,0.9
David Silva,2,5,1.3,1.5,1,-,0.8,0.8
Emerson,1,4,1,0.7,2.1,0.1,1,1.6
Bryan Gil,4,3,1.8,2.4,1.7,0.4,1.3,3.1
Manu Sánchez,-,1,1,-,-,-,-,-
Sergio Barcia,-,-,-,-,1,-,-,-
