Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Sam Walker,-,-,0.5,-,-,-,-,-
Vadaine Oliver,17,6,0.7,0.2,1.1,0.6,0.3,1.3
Robert Atkinson,2,-,0.2,0.9,1.3,-,0.3,0.4
Jayden Stockley,8,2,0.9,0.2,1.4,0.6,0.8,2
Aiden McGeady,4,16,2.5,1.9,0.9,0.2,1.6,1.6
Jonson Clarke-Harris,31,3,1,0.3,2,0.2,1.4,3
Charlie Wyke,26,3,1,0.3,1.4,0.5,1,2.4
Siriki Dembélé,11,10,1.5,3.2,2.6,0.3,3.8,3.1
Jorge Grant,13,9,2.2,0.8,2.1,0.1,1,1.8
Josef Bursik,-,-,-,-,1,-,-,-
Benjamin Whiteman,5,4,1.9,0.4,0.1,-,0.3,0.5
George Honeyman,4,13,2.2,0.5,2.2,0.2,1.3,1.5
Thomas Hamer,3,2,1,0.3,0.6,-,0.7,0.9
Cameron Burgess,3,3,0.6,0.1,0.7,-,0.2,0.4
Mark McGuinness,1,-,0.2,0.2,0.6,-,0.2,0.5
Danny Ballard,2,1,0.3,0.1,1.2,-,-,0.4
Brandon Fleming,-,-,1,0.7,2.3,-,0.7,-
Joe Pigott,20,5,1,0.6,1.4,0.5,2.1,2.9
Callum Elder,1,9,1.7,0.3,0.8,0.1,0.5,1.1
Jake Forster-Caskey,6,2,1.4,0.3,1.3,0.1,0.7,0.9
Morgan Rogers,6,2,1.1,2,1.7,0.1,2.5,3
Nathan Baxter,-,1,0.2,0.1,0.3,-,-,-
Ryan Inniss,1,-,0.3,0.2,0.6,0.2,-,0.2
Joe Ward,5,13,1.9,0.7,0.7,0.2,1,1
Lee Evans,2,2,1.2,0.4,2,-,0.9,0.8
Alfie Doughty,1,1,1.7,1.1,1.3,0.3,2.7,1.6
Josh Ruffels,6,6,0.7,0.3,0.5,-,0.3,0.8
Mallik Wilks,19,8,0.8,1.5,2,0.6,2.6,3.1
Scott Fraser,14,6,1.5,2,2.1,0.1,3,2.3
Robbie Cundy,1,1,0.4,-,1.4,-,0.1,0.3
Sam Long,6,4,0.9,0.3,1.3,-,0.3,0.8
Ronan Curtis,10,7,1.5,0.7,1.8,0.5,1.3,2.5
Joe Lumley,-,-,0.5,-,0.5,-,-,-
Lewie Coyle,-,3,1.1,0.4,2.4,-,0.3,0.6
Will Nightingale,2,2,0.2,0.4,0.6,-,0.1,0.6
Jordan Thorniley,-,1,0.1,0.2,0.4,-,-,0.2
Mark Beevers,-,1,0.2,0.2,1.2,-,0.1,0.5
Joe Pritchard,7,6,1.4,1.4,1.3,0.1,1.1,1.5
Dan Butler,1,6,1.1,0.4,0.6,0.1,0.5,0.7
Frankie Kent,1,1,0.4,0.3,1,-,0.2,0.4
Ronnie Edwards,-,-,-,-,0.5,-,-,0.5
Jordan Graham,12,6,1.9,1.2,1.8,0.3,1.3,1.4
Ross Sykes,1,-,0.4,0.1,0.7,-,0.1,0.6
Nathan Thompson,2,3,0.7,1.2,2.7,-,0.7,1.4
Michael Nottingham,4,-,0.5,0.5,0.8,-,0.1,0.8
Connor Ogilvie,4,4,0.6,0.3,2.5,-,0.2,0.2
Perry Ng,1,-,0.9,1.1,2.1,-,1.5,0.3
James Wilson,2,-,0.2,0.2,0.8,-,0.1,0.2
Harry Smith,3,1,0.6,0.4,1.6,0.4,1.3,1.6
Sean Raggett,3,-,0.2,0.1,0.7,0.1,0.2,0.3
Daníel Grétarsson,-,1,0.3,-,1.3,-,0.1,0.3
Matthew Lund,11,5,0.9,0.3,0.9,0.1,0.6,1.4
Jack Tucker,1,3,0.2,-,1,-,0.2,0.3
Jack Taylor,4,3,0.6,0.7,1.5,-,0.8,1.2
Colby Bishop,10,5,1.4,0.3,1.3,0.5,1.1,1.7
Brandon Barker,3,4,1.3,2.3,0.8,0.1,0.8,1.4
George Dobson,1,1,0.5,0.5,1.3,-,0.4,1.3
Jordy de Wijs,-,-,-,-,0.3,-,0.1,0.1
Luke Garbutt,4,2,1.3,0.2,0.5,0.1,0.5,0.7
Kyle Dempsey,8,4,1,0.8,0.8,0.1,1,1.7
Wes Burns,5,2,0.8,1.8,1.2,0.1,0.9,1.3
Stephen Humphrys,11,3,0.6,1.1,0.6,0.2,1.9,1.5
Jake Beesley,6,1,0.4,0.3,1.6,0.4,1.3,2
Tom Naylor,6,-,0.4,0.2,1.7,-,0.5,0.8
Greg Docherty,5,4,0.9,1,1,-,1.2,1.3
Cian Bolger,1,-,0.2,-,0.8,0.2,-,0.4
Reece Burke,4,1,0.1,0.1,0.6,-,0.1,0.2
Lloyd Jones,-,-,0.4,0.1,1,-,0.3,0.3
Jacob Greaves,-,1,0.2,0.1,1,0.1,0.2,0.3
Luke Matheson,-,-,1,-,2,-,0.5,1
Hayden Carter,4,1,0.3,0.3,0.4,-,0.2,0.5
Tom Anderson,2,1,0.2,0.1,0.4,-,0.1,0.3
Peter Kioso,3,1,0.6,0.1,1.6,0.1,0.3,1
Lewis Montsma,6,-,0.1,0.5,1,-,0.3,0.5
Aristote Nsiala,-,-,-,0.2,0.5,-,0.1,0.7
Stuart Moore,-,-,-,-,-,-,-,-
Elliott Moore,5,4,0.3,0.1,0.6,-,0.1,0.2
Akin Famewo,-,1,0.1,0.5,1.4,-,0.1,0.2
Luke O'Nien,2,-,0.6,0.5,1.6,0.1,0.4,0.7
Jonny Smith,2,4,0.5,0.8,0.5,0.3,1.3,2.4
Sam Stubbs,1,-,-,-,0.6,-,-,0.2
Bailey Wright,2,-,0.1,0.1,0.6,-,0.1,0.3
Kenneth Dougall,4,1,0.5,0.4,1,-,0.6,1
Ellis Simms,10,1,0.8,0.2,0.6,-,1,2.8
Kal Naismith,2,1,0.7,0.9,1.7,-,1.4,1.8
Matt O'Riley,3,2,1.4,1.4,0.8,-,1.9,1.5
James Henry,7,8,1.7,0.7,0.5,0.2,0.9,1.8
Liam Bridcutt,-,2,0.8,0.2,1.5,-,0.7,0.9
Jerry Yates,21,8,1,0.9,0.7,0.8,1.7,2.8
Luke Woolfenden,1,-,0.2,0.5,0.6,-,0.4,0.6
Liam Millar,2,6,1.5,1.8,1.1,0.1,1.1,2.1
Matty Taylor,19,5,0.9,0.4,1.4,0.6,0.9,2
Conor McLaughlin,-,1,0.6,0.5,0.9,0.1,0.8,0.5
Gwion Edwards,6,4,0.8,0.8,1.3,0.1,1.5,1.9
Brennan Johnson,11,5,0.7,1.4,1.5,0.4,1.7,2.4
George Cooper,1,2,2.2,1.2,1.1,0.1,1.3,1
Mikael Mandron,11,4,0.8,0.4,1.1,0.5,1.4,2.6
Marvin Ekpiteta,2,2,0.2,-,0.6,-,0.1,0.3
Harry Chapman,7,2,0.9,1.2,1.2,-,1.2,2
Sean McConville,1,5,2.3,0.5,1.3,0.1,0.9,1.1
