Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Jökull Andrésson,-,-,-,-,0.5,-,-,-
James Vaughan,19,3,0.8,0.1,2.1,0.6,1.5,2.3
Scott Twine,6,7,1.9,0.7,2.5,-,1.7,1.6
Callum Guy,-,14,2.1,0.3,1.9,-,0.7,1
William Boyle,6,2,0.5,0.1,0.6,0.1,0.4,0.6
Tom Conlon,10,8,1.6,0.7,1.5,-,1.5,1.5
Paudie O'Connor,2,2,0.3,0.1,2.5,-,0.1,0.6
Mickey Demetriou,4,-,0.6,0.1,1,-,0.2,0.7
Jordan Tunnicliffe,3,-,-,-,1.1,-,0.2,0.4
Emmanuel Adebowale,-,-,-,-,-,1,-,-
Wes Hoolahan,7,9,2.3,1.7,1.4,-,2.4,2.3
Antoni Sarcevic,7,5,1.3,1.3,1.9,0.2,1.1,2.1
Carl Piergianni,5,-,0.2,0.1,0.5,0.1,0.2,0.2
Ricardo Santos,-,1,0.2,0.7,1.4,-,0.3,0.5
Joshua Kayode,8,3,1.3,0.6,2.1,0.1,2.1,2.5
Anthony O'Connor,2,1,0.3,0.4,0.8,-,0.2,0.6
Terence Vancooten,-,1,0.2,0.3,0.9,-,0.3,0.4
Max Watters,13,-,0.7,0.3,0.5,0.3,1.1,2.1
Conor Wilkinson,12,2,0.6,1.4,2,0.2,2.3,2.3
George Thomson,3,10,2.9,0.5,0.5,-,1.1,1.1
David Worrall,5,10,2.1,0.4,1.3,0.2,1.1,1.6
Di'Shon Bernard,2,2,0.4,0.7,0.7,0.1,0.5,0.6
Jamille Matt,18,3,0.7,0.2,1.4,0.3,1.6,2.7
Jordan Turnbull,1,1,0.2,0.1,0.4,0.1,0.1,0.4
Peter Clarke,4,2,0.3,0.3,1.5,0.1,0.2,0.3
Yann Songo'o,6,2,0.2,0.2,1.5,-,0.2,0.9
Alex Baptiste,-,2,0.4,0.1,0.4,0.1,0.2,1
Emmanuel Onariase,2,-,0.2,0.2,0.5,-,0.1,0.5
Aaron Hayden,5,2,0.4,0.1,1.2,0.1,0.2,0.6
Aaron Martin,5,6,0.9,0.4,0.6,0.6,1.3,3.2
Tom Pett,2,1,1,0.7,2.1,-,1.1,1.5
Peter Kioso,3,1,1.3,0.4,2.4,0.5,0.7,1.1
Shaun Brisley,1,1,0.1,0.1,0.4,0.2,0.2,0.2
Tom Davies,1,-,0.3,0.2,0.5,-,0.1,0.3
Oladapo Afolayan,1,2,1.1,2.5,3,0.1,2,2.5
Matt Jay,18,7,1.6,0.5,1,0.2,1.3,1.8
George Lapslie,8,3,1.2,0.6,1.6,-,0.7,1.3
Brandon Cooper,1,-,0.8,0.1,2.6,-,0.2,0.6
Joe Ironside,14,7,0.9,0.4,1.4,0.3,1.5,2.4
Max Wright,1,1,1.2,1,2,0.2,0.7,1.2
Thomas McGill,-,-,-,-,-,-,-,-
Ibou Touray,1,5,1,1.2,1.2,-,0.9,1
Rory Holden,4,4,2.1,1,1.7,0.1,1.6,2
Paul Digby,-,-,0.5,0.4,0.5,-,0.5,0.5
Andy Cook,8,1,0.7,0.3,1.1,0.3,1.4,2.7
Matthew Platt,2,-,0.5,0.1,0.7,-,0.2,0.3
Paul Mullin,32,4,0.9,0.5,1.3,0.5,1.3,3.2
Rhys Bennett,5,-,0.2,0.2,0.8,-,0.1,0.6
Rory McArdle,1,1,0.2,-,1.1,-,0.1,0.2
Dylan Bahamboula,6,8,1.1,2.7,1,0.1,2.6,2.5
Luther Wildin,2,2,0.6,1.1,0.9,-,0.7,1.4
Declan Drysdale,1,-,0.2,0.5,1.2,-,0.2,0.8
Adam Phillips,8,6,2,0.3,0.4,0.2,0.8,1.6
Leon Legge,3,-,0.2,0.3,0.6,-,0.1,0.2
Carlos Mendes Gomes,16,5,1.1,0.9,1.4,0.4,1.3,2.4
Tom Nichols,11,8,1.3,0.8,2.5,0.6,2.7,3.4
Nicky Cadden,4,8,2,1,0.6,0.1,0.7,1.5
Greg Taylor,-,-,0.1,0.2,1,-,0.2,0.4
Jack Powell,3,6,1.5,0.6,1,-,1,1.2
George Tanner,3,2,1,0.4,0.8,-,0.4,0.9
Ryan Bowman,14,3,0.6,0.2,0.9,0.9,0.7,2
Michael Jones,2,-,0.8,0.5,0.7,-,0.8,0.5
Dan Scarr,4,1,0.4,0.2,0.9,-,0.1,0.3
Aaron Wildig,9,5,1.8,0.3,1,0.1,0.7,1.2
Scott Cuthbert,1,-,0.2,0.1,0.7,-,-,0.2
Danny Rowe,4,4,1.3,0.6,0.2,0.5,0.9,2.1
Timothee Dieng,3,-,0.6,0.2,0.8,0.1,0.5,1.1
Chris Hussey,1,5,1.5,0.7,1.7,0.1,0.5,1
Ashley Eastham,1,-,0.2,0.1,0.4,-,0.1,0.3
Baily Cargill,4,3,0.5,0.8,0.7,-,0.3,1.1
James Clarke,-,-,-,0.5,-,-,-,-
Jake Taylor,6,5,0.5,0.3,1.9,-,0.6,1.2
Thomas Eastman,2,-,0.2,0.1,0.4,-,0.1,0.3
James Perch,3,2,0.3,-,0.8,-,0.1,0.3
Harry Pell,2,2,0.5,0.6,2,-,0.6,1
Ebou Adams,3,3,0.6,0.3,2.9,0.1,0.7,1.4
Tylor Golden,-,-,0.7,0.6,1.4,-,0.6,1
Elijah Adebayo,10,1,0.7,1,1.1,0.9,1.4,3.8
Ryan Sweeney,3,-,0.1,0.2,0.6,-,0.1,0.6
James Hanson,2,1,0.7,0.1,0.8,0.3,0.1,1
John O'Sullivan,4,6,1.8,0.4,0.9,0.2,0.7,1.4
Sam Smith,4,-,0.8,0.3,1,0.7,0.8,1.8
Matthew Pollock,3,-,0.2,-,0.9,0.2,0.1,0.2
Scott Quigley,15,2,0.7,0.8,1.8,1.1,2.1,3.4
Stephen McLaughlin,4,3,1.2,0.7,1.4,0.1,0.5,0.9
Luke Norris,7,1,0.7,1,1.3,0.4,1.4,2.7
Charlie Raglan,1,1,0.4,0.1,0.4,-,0.2,0.4
Ben Tozer,2,7,0.8,0.2,0.4,-,0.2,0.2
Reece Staunton,1,-,0.5,0.8,0.5,-,0.5,1
Sam Perry,1,-,0.4,0.4,0.9,-,0.4,0.8
James Brophy,2,6,1.3,1.3,1.3,-,1,1.5
Brendan Sarpong-Wiredu,1,-,0.5,0.5,2.2,0.1,0.6,2
Cristian Montaño,3,1,0.6,0.9,0.8,0.2,1.3,1.1
George Maris,1,3,0.7,0.3,0.6,-,0.6,1.2
Ben Jackson,1,-,1,0.4,0.4,-,-,0.6
Cole Stockton,13,3,0.8,0.6,1.3,0.5,1.5,3.2
Eoin Doyle,19,3,0.8,0.5,0.6,0.7,0.7,2.1
