Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
André Ferreira,-,-,-,-,1,-,-,-
Alex Telles,2,2,1.7,1,1.7,0.3,0.3,1
Pote,23,3,1.6,1.3,1.3,0.5,1.4,2.6
Otávio,3,8,1.7,1.8,2.8,-,1.2,1.4
Nanu,1,-,0.7,3,1.3,-,1.3,3
Rafa,5,5,1.5,3.4,2.3,0.1,2,2.4
Iuri Medeiros,5,2,1.4,1.7,0.5,0.1,0.7,1.5
Sebastián Coates,5,-,0.3,0.4,0.6,-,0.1,0.3
Mehdi Taremi,16,11,1.1,0.7,1.5,0.4,0.9,1.6
Nuno Mendes,1,1,1.1,1.5,2,0.1,0.9,2
Thiago Santana,7,-,0.8,1.1,2.8,0.6,1.7,3.4
João Palhinha,1,-,0.4,0.7,2.3,-,0.9,0.8
Sérgio Oliveira,13,5,1.5,1.1,1.3,-,0.9,1.1
Carlos Junior,14,4,0.5,1.1,1.7,0.7,1.2,3.5
Haris Seferovic,22,7,0.7,0.5,0.7,0.7,0.7,2.1
Ryan Gauld,9,7,2.3,1.3,1.9,0.2,0.8,2.1
Everton,7,8,1.3,1.9,0.8,-,1.3,1.5
Alejandro Grimaldo,2,9,1.5,0.9,0.6,0.1,0.6,1.5
Pedro Porro,3,3,1.7,1.2,1.8,0.1,0.6,1.6
Lucas Verissimo,2,-,-,0.3,0.1,-,-,0.4
André Almeida,-,1,1.8,0.5,0.3,0.3,0.3,1.3
Ivo Rodrigues,6,2,1,1.1,1.8,-,1.3,2.5
Wendel,-,-,1,3,3,-,1,1
Paulinho,3,4,1.3,0.7,2.2,0.8,1.4,2
Jesús Corona,2,7,2.3,1.8,1.8,0.3,1.2,3.1
Adel Taarabt,-,3,1.2,2.3,1.7,-,0.6,1.6
Wenderson Galeno,3,3,1.5,1.9,2.2,0.2,1.1,2.2
Rúben Dias,1,-,-,-,0.5,-,-,0.5
Paulinho,3,2,1,0.6,2.7,0.3,0.9,2.5
Mateus Uribe,4,1,0.5,0.8,0.9,-,0.5,1.2
Joao Ferreira,-,-,1,-,5,1,1,-
Carlos Mané,6,2,1.2,2,1.3,0.2,1.1,1.8
Pedro Amador,-,-,1,-,0.8,-,0.8,1.3
Matous Trmal,-,-,-,-,0.3,-,-,-
Dener,4,2,0.6,0.7,1.1,0.1,0.3,1.2
Wilson Manafá,-,2,0.8,2.1,0.8,-,0.6,1.9
Guilherme,-,-,-,-,-,-,-,-
Paulinho,2,4,0.9,2,2.6,-,1.7,2.1
Rochinha,6,5,1,2.4,2.7,-,1.5,1.6
Luciano Vietto,1,1,0.7,0.7,0.7,0.3,0.7,1.7
Luis Díaz,6,5,0.7,1.9,1.4,0.1,0.8,1.5
Douglas Tanque,9,2,0.6,0.7,2.2,0.4,1.7,3
Gil Dias,-,3,0.6,2.5,1.5,0.1,1.5,2.1
Willyan,-,2,0.3,0.3,1.4,-,0.1,0.4
Zouhair Feddal,2,3,0.5,0.1,0.4,-,0.1,0.5
Ricardo Esgaio,1,3,1.3,0.3,0.7,0.7,0.3,0.7
Fábio Pacheco,-,1,0.2,0.1,1.1,-,0.4,0.9
Maurício Antônio,1,-,0.1,0.1,0.4,-,0.1,0.4
Oleg Reabciuk,2,1,1,0.5,2.4,0.2,0.6,1.6
Bruno Costa,4,3,1.4,1.2,2.1,-,0.8,1.4
Fahd Moufi,-,4,0.8,0.8,1.8,0.1,0.5,1.5
Nuno Sequeira,-,2,0.8,0.5,1.3,-,0.5,0.9
Pepe,2,1,0.2,0.1,0.7,0.1,0.1,0.2
Gideon Mensah,-,-,0.5,1.7,0.7,0.1,1,1.5
Léo Andrade,1,1,0.1,0.2,0.3,-,-,0.3
Ricardo Ferreira,-,-,-,0.2,-,-,-,-
João Mário,2,1,1.2,1.7,1.4,-,1.1,1.5
Hidemasa Morita,2,1,0.4,1.2,0.5,0.1,0.7,1.4
Jan Vertonghen,-,-,0.1,0.2,0.5,-,0.1,0.3
Daniel Guimarães,-,-,-,-,0.1,-,-,-
Rúben Lima,-,4,1.2,0.9,1.1,0.1,0.7,1.6
Nicolás Otamendi,1,-,0.1,0.1,0.9,-,0.3,0.5
Mario González,15,2,0.3,0.7,1.2,0.6,1,2.3
Aderllan Santos,2,-,0.1,0.1,0.6,-,0.1,0.3
Luís Neto,-,1,0.2,0.1,1,-,0.2,0.4
Darwin Núñez,6,9,1.2,0.9,0.9,0.7,1.2,2.6
Helton Leite,-,-,-,0.1,0.1,-,-,0.1
André André,6,3,0.6,1.5,2.6,0.1,1.1,0.9
Ricardo Horta,9,3,1.3,0.7,1.3,0.3,0.8,1.4
Nuno Santos,7,6,1.4,0.7,1,0.1,0.4,1.1
Zainadine Júnior,1,-,0.3,0.6,1.2,-,0.3,0.3
Getterson,-,-,-,0.5,1.5,-,0.5,2
Óscar Estupiñán,8,2,0.3,0.2,1.1,0.7,0.9,2.5
Falaye Sacko,-,1,0.8,0.7,0.8,0.1,0.7,1
Pizzi,6,4,1.5,0.5,0.8,0.3,0.7,1.1
Rúben Vinagre,-,3,1.2,2,1.4,0.1,1.1,1.7
Pedro Trigueira,-,-,-,-,0.4,-,-,0.1
Gabriel Pires,1,2,0.4,1.1,1.5,-,0.6,0.7
Ricardo Quaresma,4,5,1.7,1.3,1.7,0.1,0.6,1.4
Bruno Viana,2,-,-,0.1,0.5,-,0.1,0.3
Ruben Lameiras,4,1,0.9,1.5,1.6,0.2,1.1,1.9
Alberth Elis,8,6,1,1.3,1.8,0.6,1.7,2.8
André Castro,2,3,0.6,0.3,1,-,0.5,1
Claudio Winck,-,5,0.8,1,1.1,0.1,0.5,1.2
Lucas Fernandes,-,2,1.9,1.3,1.6,0.1,0.9,0.9
Kalindi,-,-,0.7,1.7,2.8,0.3,0.9,2.4
Diogo Gonçalves,1,5,0.9,0.9,0.6,-,0.3,0.8
Maracás,-,-,0.1,0.2,0.3,0.1,0.1,0.5
Stephen Eustáquio,2,1,0.9,0.6,0.9,-,0.7,0.9
Gustavo Sauer,2,1,1.2,1.4,1.7,-,1.1,1.4
Luís Maximiano,-,-,-,-,1,-,-,-
Fábio Abreu,2,-,0.3,-,3.3,-,0.7,2
Rodrigo Pinho,9,-,0.3,1.1,1.4,0.8,0.9,1.3
Amir Abedzadeh,-,-,-,-,0.3,-,-,0.1
Stanislav Kritsyuk,-,-,-,-,0.3,-,-,0.1
Pedrinho,1,2,2,0.8,1.5,-,0.8,1.1
Tiago Esgaio,1,1,0.4,0.2,0.7,0.1,0.3,0.9
Zaidu Sanusi,1,1,0.4,0.9,1,0.2,0.4,1.9
Angel Gomes,6,3,1.5,1.3,2.1,0.2,1.1,2.1
Odysseas Vlachodimos,-,-,-,-,0.1,-,-,-
Beto,11,2,0.6,0.9,1.1,0.4,1.1,3.2
Miguel Oliveira,-,-,-,-,-,-,-,-
André Moreira,-,-,-,-,0.4,-,-,-
Gilberto,-,1,0.7,1.2,1,-,0.8,1.4
Toni Martínez,7,-,0.3,0.2,0.7,0.4,0.4,0.9
