Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Neymar,9,5,3.3,4.8,3.7,0.2,2.7,4.1
Kylian Mbappé,27,7,1.1,2.9,1.2,0.5,1.5,2.6
Andy Delort,15,9,1.8,1,1.4,0.6,0.8,2.5
Memphis Depay,20,12,2.5,2.1,1.4,0.3,1.5,3.2
Baptiste Santamaría,-,-,1.3,0.7,1.7,0.3,1,0.7
Yvann Maçon,1,1,0.2,1.3,1.2,-,1.5,1.8
Ángel Di María,4,9,2.6,1.5,1,0.3,0.8,2.1
Karl Toko Ekambi,14,6,1.4,1.7,0.8,0.4,0.7,2.1
Benjamin André,-,1,0.6,0.8,1.5,-,1.1,1.1
Téji Savanier,5,5,2.3,1.9,2.4,-,1.6,1.8
Gaetan Laborde,16,8,1,0.9,0.8,0.2,0.8,2.7
Marco Verratti,-,2,1.1,2.3,2.4,-,1.4,1.4
Fabien Centonze,1,-,0.6,1.6,1.6,0.1,0.9,1.8
Ludovic Ajorque,16,4,1,0.3,1.3,0.3,0.9,2.1
Farid Boulaya,6,8,2.3,1.8,1.9,-,1.1,2.2
Lucas Paquetá,9,5,1.5,1.1,2.3,0.2,1.1,1.8
Zinedine Ferhat,6,10,1.5,1.9,2,0.3,1.5,2.7
Frédéric Guilbert,1,4,1,1.2,1,-,0.5,1.5
Romain Faivre,6,5,1.8,2.5,2,-,0.9,2.1
Aleksandr Golovin,5,9,1.7,0.9,0.6,0.1,0.6,1.4
Steve Mounie,9,4,0.5,0.4,0.8,0.6,1.1,2
Aurelien Tchouameni,2,3,0.5,0.6,1.7,-,0.9,1.4
Raphinha,1,2,1.5,1.7,2,-,0.5,1.2
Marçal,-,-,-,-,-,-,-,-
Burak Yilmaz,16,5,1,0.5,1.3,1,0.8,2
Angelo Fulgini,7,4,1.7,2.5,4,0.1,2.1,3
Amine Gouiri,12,7,1.5,1.5,1.1,0.2,1.6,2.4
Kiki Kouyate,1,-,0.1,0.1,1.2,0.2,0.2,0.5
Romain Philippoteaux,1,1,2,1,-,-,0.7,1.3
Dimitry Bertaud,-,-,-,-,0.4,-,-,-
Jéremy Doku,2,3,1.4,3.7,2.3,0.2,2,2.8
Wesley Fofana,-,-,0.3,0.5,1.3,0.3,0.3,-
Jonathan Bamba,6,9,1.7,1.4,1.8,0.1,1.9,2.3
Yohann Pelé,-,-,-,-,-,-,-,-
Arkadiusz Milik,9,1,0.5,0.5,1.3,0.3,0.8,2.2
Kevin Volland,16,7,0.9,0.5,1.3,0.4,1.1,2.3
Wissam Ben Yedder,20,7,1.1,0.8,1.1,0.5,1.2,1.9
Ludovic Blas,10,4,0.8,2.6,1.4,0.1,1.8,2.4
José Fonte,3,-,0.3,0.2,0.4,-,-,0.3
Reinildo,-,-,0.6,1,1.2,0.1,0.4,0.8
Marquinhos,3,1,0.1,0.1,0.2,-,0.1,0.3
Pape Abou Cissé,-,-,0.2,0.1,0.6,0.1,-,0.6
Rafinha,-,4,1,1.3,1.7,-,1.5,1.5
Mahdi Camara,3,2,0.6,0.8,1.1,-,0.6,1.1
Léo Dubois,2,4,1.8,0.8,0.9,0.1,0.4,1.2
Mehmet Zeki Çelik,3,2,0.8,0.7,0.5,0.1,0.5,1.2
