Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Carles Gil,1,3,6,3.3,3,-,1.3,3.3
Nani,3,-,1.8,1.8,1.6,-,1.4,2.2
Randall Leal,2,2,1.4,1.4,1.9,0.4,1.1,2
João Paulo,1,3,2.4,1.5,1.5,-,0.6,1.1
Joshua Atencio,-,-,-,3,0.5,-,0.5,2
Jamiro Monteiro,1,3,2.6,1.9,2.4,0.4,2.4,2.5
Lucas Zelarayán,3,-,2,2,2.3,-,2.8,3.5
Damir Kreilach,3,3,1.8,0.5,1.5,0.2,1.5,1.2
Jesús Medina,5,-,1.7,1.9,1,-,1.7,4.3
Jonathan Bond,-,-,0.1,-,0.1,-,-,-
Valentín Castellanos,4,2,1.6,1.3,1.1,0.7,1.1,3.3
Cristian Cásseres Jr,3,-,1.3,1.3,1.6,0.1,1.6,2.1
Emanuel Reynoso,1,-,4.2,3.2,3.2,-,3.2,4.2
Rubio Rubín,4,2,1.5,1.3,1,0.8,1.2,3
Milton Valenzuela,-,-,1,-,3,-,1,1
Jack Price,-,3,2.4,0.4,0.6,-,0.3,0.9
Ilie Sánchez,1,-,0.2,0.5,0.7,0.2,-,0.2
Cristian Roldan,1,1,2,1,1.8,-,1.3,2.6
Przemyslaw Tyton,-,-,-,-,-,-,-,-
Alex Roldan,-,2,0.9,0.9,1.3,-,1.3,1.8
Mason Toye,3,-,-,-,0.3,-,0.3,1
Eduard Atuesta,1,-,2,2.9,1.3,-,2.3,2
Gianluca Busio,2,1,1.4,1,1.5,0.1,1.3,2.5
Chicharito,7,1,0.6,0.3,2.3,0.6,0.9,1.6
Eryk Williamson,1,2,0.7,2,1.7,-,1.1,1
Daniel Lovitz,-,1,3.1,1.1,0.3,-,-,1.6
Adam Buksa,4,-,0.5,1.1,1.5,0.3,0.8,3.3
Marcelino Moreno,3,-,1.3,2.7,2.9,0.1,1.7,3.1
Russell Canouse,1,1,0.5,0.5,2,-,1.5,0.8
Jack Elliott,1,-,-,0.1,0.6,-,-,0.4
Diego Rubio,2,1,2,0.3,2.9,0.4,0.6,2
Brandon Bye,1,1,1,0.9,0.5,-,0.8,0.5
Andre Blake,-,-,-,-,-,-,-,0.1
Yeimar Gómez,-,-,-,0.3,0.6,-,-,0.6
Alan Pulido,5,1,1.3,1.5,1.6,0.4,2.1,1.5
Lucas Cavallini,1,1,0.7,1.9,4,0.1,1.3,5.7
Julian Araujo,-,1,0.3,0.7,0.5,-,0.8,2.2
Xavier Arreaga,1,-,-,1,1.1,-,-,0.1
Kyle Duncan,-,-,0.7,1.7,1.6,-,1.4,1.7
Andrew Brody,-,1,1,2.8,1,-,0.2,1.6
Raúl Ruidíaz,6,-,0.6,0.9,1.5,0.6,1,3.3
Nouhou Tolo,-,-,0.1,0.6,1.3,-,0.6,0.5
Logan Ketterer,-,-,-,-,-,-,-,-
Alejandro Bedoya,-,-,2.1,0.5,0.5,0.3,0.9,1
Kai Wagner,-,2,1.8,-,1.4,-,0.5,0.8
Perry Kitchen,-,-,-,2,2,-,-,-
Graham Zusi,-,-,1.7,1,0.3,-,0.3,1
Tyler Miller,-,-,-,-,-,-,-,-
Aaron Long,-,-,0.2,0.4,0.4,-,-,0.8
Brad Stuver,-,-,-,-,0.1,-,-,-
Michael Barrios,2,2,1.4,1.4,0.4,0.6,0.4,1.3
Kyle Smith,-,-,0.3,0.4,0.4,0.1,0.4,1.1
Bakaye Dibassy,-,-,-,-,-,-,-,-
Walker Zimmerman,-,1,0.7,-,0.3,-,-,0.9
Bill Tuiloma,1,-,0.2,0.3,0.3,-,-,0.2
Cristian Dájome,3,-,1,1.6,2.9,0.1,0.9,1.3
Sebastian Lletget,1,1,2.5,1.5,1.5,-,2,1.3
Bill Hamid,-,-,-,-,-,-,-,-
Luciano Acosta,1,1,3.8,2.3,2.3,-,1.8,4.3
Danny Wilson,1,-,0.4,0.3,0.6,0.1,0.1,0.3
Donovan Pines,-,-,1,1,-,-,-,2
Nicolas Isimat-Mirin,-,-,-,0.5,0.5,0.5,-,-
Andrew Gutman,1,-,1.3,0.5,1.8,-,0.5,2
Caden Clark,4,-,1,0.6,1.1,-,1.1,3.4
Rodrigo Schlegel,-,-,-,0.2,0.7,-,-,0.3
Jhegson Méndez,-,-,0.4,0.7,0.9,-,0.6,0.6
Cristián Gutiérrez,-,2,1.8,0.3,0.3,0.2,0.3,0.7
Kacper Przybylko,3,2,1.1,0.6,1.1,0.3,1.3,1.3
Robin Lod,2,2,1.5,1,1.2,0.5,0.8,2.3
Anton Tinnerholm,-,3,1,1,0.4,-,0.4,1.2
Cecilio Domínguez,2,-,1.3,1.7,1.6,0.3,1.7,1.6
Julian Gressel,-,1,2.3,0.6,1,0.1,0.6,1.3
Fafà Picault,1,1,0.9,2,1.4,1.5,0.6,2.1
Tomás Pochettino,-,-,1.2,2.2,1.3,-,1.2,3
Jesús David Murillo,-,-,-,0.6,1,-,-,0.1
Alexander Ring,-,-,0.3,1.5,1.5,-,0.7,1
Cory Burke,2,1,0.1,1.7,0.9,0.4,1.3,2.3
Joel Waterman,-,1,0.7,0.3,0.7,-,1,0.7
Dániel Sallói,3,2,1.4,0.1,1,0.1,0.5,1.9
Júnior Urso,1,-,0.6,0.7,2.6,-,1.6,1.4
Luka Stojanovic,3,-,1.3,0.3,2.2,-,0.5,2.3
Jackson Yueill,2,-,0.6,1.1,0.7,-,0.4,0.4
Boris Sekulic,-,2,1.3,0.7,0.7,0.1,0.7,0.7
Antônio Carlos,-,-,-,0.3,1.1,-,-,0.4
Álvaro Medrán,-,-,1.4,2.3,2.3,-,1.4,1.3
Bryan Acosta,-,1,1.3,1,1.7,-,0.1,1.7
Andrés Ricaurte,1,-,2.3,1.6,2,-,1.4,1.1
Cade Cowell,2,3,1,1,0.8,0.3,2,2.5
Francisco Calvo,-,-,0.4,0.6,0.3,0.1,0.3,0.1
Waylon Francis,-,-,0.6,0.4,0.4,-,0.2,0.6
Gustavo Bou,2,1,2.5,0.8,0.3,0.5,2.2,2.5
Pedro Santos,-,2,0.8,1,1.8,-,0.2,3.7
Auston Trusty,-,-,0.1,0.3,0.3,-,0.3,0.1
Niko Hansen,1,-,-,-,-,-,1,2
Geoff Cameron,-,1,0.3,0.3,0.7,-,-,0.7
Victor Wanyama,1,-,0.3,2.1,1.6,0.1,0.9,1.6
Ronald Matarrita,-,3,1.3,2,0.7,0.3,1.2,1.7
Leon Flach,-,-,0.4,0.6,0.5,-,0.9,1.9
Stefan Frei,-,-,-,-,-,-,-,-
Everton Luiz,-,-,-,-,1,-,1,1
Anderson Julio,2,-,0.6,1.4,0.6,0.6,0.4,2
Gonzalo Higuaín,4,1,0.9,0.7,0.7,0.9,1.6,1.3
Frankie Amaya,1,1,0.7,0.8,1.8,-,0.8,1.3
Olivier Mbaizo,-,-,0.8,1.1,0.9,0.1,0.8,1.5
Adrien Pérez,-,2,1.3,2.5,1.3,0.3,0.8,2.4
Marcelo Silva,-,-,0.3,-,1.5,-,-,-
Diego Rossi,3,-,1.2,1.2,0.6,0.4,1.8,3
Zachary Brault-Guillard,1,1,1.2,0.8,0.8,-,1.6,1.4
José Antonio Martínez,-,-,0.1,0.6,0.4,0.1,0.1,-
Khiry Shelton,-,2,0.8,1.4,0.9,-,1.5,2.9
Lewis Morgan,1,1,2.6,1.1,1.8,0.1,1.6,2
Christian Mafla,-,-,-,1,1,-,-,2
Djordje Mihailovic,2,1,1.5,0.9,2.6,0.1,0.4,2.8
Cristhian Paredes,1,-,0.5,1,1,-,1.5,-
Déiber Caicedo,1,1,1.4,1.7,1.1,0.1,0.7,2
Gadi Kinda,3,1,0.9,1.4,1.3,0.3,1.4,2.4
Miles Robinson,-,1,0.4,0.3,0.3,-,-,0.7
Maximiliano Urruti,4,1,0.9,0.6,1.3,0.5,0.4,2.3
Samuel Piette,-,1,0.6,0.2,1.6,-,1,0.6
Paul Arriola,1,1,1.3,1.5,1.3,-,0.5,1.5
Aaron Herrera,-,2,1.5,0.5,-,-,0.3,2.3
Hassani Dotson,1,-,1,1.3,1.3,-,1.6,3
Pedro Gallese,-,-,-,-,0.1,-,-,-
Michael Bradley,1,-,1.3,1.4,0.3,-,1.6,1.4
James Pantemis,-,-,-,-,-,-,-,-
Brooks Lennon,-,-,2.3,0.4,1,0.1,0.7,0.9
Hany Mukhtar,3,-,1,1,1,0.2,1.2,2.3
Pablo Ruiz,-,-,1,1.3,0.5,0.2,1,0.8
Jaylin Lindsey,1,-,0.7,0.3,0.3,-,0.6,0.7
Jakob Glesnes,1,-,0.1,0.1,-,-,0.3,0.9
Cole Bassett,2,1,1.3,0.7,0.9,-,0.7,2.7
Sean Davis,-,-,1.1,0.1,0.7,-,-,1
Kellyn Acosta,1,-,0.5,0.5,1.2,-,0.8,1.5
Stefan Cleveland,-,-,-,-,-,-,-,-
Brad Smith,3,1,0.8,0.1,0.8,-,0.3,1.4
Maxime Chanot,-,-,-,0.3,0.7,0.2,0.2,0.3
Eric Remedi,-,-,0.4,1,3.9,-,1,2.3
Dave Romney,-,-,-,-,0.1,-,-,0.1
George Bello,-,1,0.6,1.7,0.7,0.1,0.7,1.4
Daniel Steres,-,1,0.4,0.1,0.1,0.1,0.1,-
Andy Najar,-,-,-,1.7,1.2,-,0.3,0.2
Jimmy Maurer,-,-,-,-,-,-,-,-
Tajon Buchanan,1,1,0.5,1.5,3.4,-,1.5,2.6
Phelipe,-,1,0.3,-,0.3,-,-,-
Cristian Espinoza,1,2,1.9,1.1,0.5,0.1,0.9,2.5
Maximiliano Moralez,-,1,2.2,0.8,2,-,1.4,2.2
James Sands,-,-,0.3,0.3,1.3,-,0.6,0.7
Aníbal Godoy,-,-,1,0.3,2,-,0.4,1.3
Matt Turner,-,-,-,-,0.1,-,-,-
Ezequiel Barco,1,-,1.8,1.3,2.5,0.5,1.3,1.8
Matt Besler,-,-,0.2,0.3,0.2,-,-,0.2
Dax McCarty,-,-,1.4,0.3,1.4,-,0.1,1
Matt Polster,-,-,0.4,0.9,1,-,0.9,1.3
Andreu Fontàs,-,-,0.3,0.4,0.3,-,0.4,0.3
Mauricio Pereyra,1,1,2.2,0.4,1.6,-,1.8,2
Tyler Pasher,1,1,2,1.3,0.5,0.5,0.5,1.3
Alexandre Pato,-,-,-,4,1,1,1,1
Ismael Tajouri-Shradi,2,-,0.7,0.6,0.7,0.4,1,1.3
Jimmy Medranda,-,1,1.5,0.5,0.5,-,-,1.5
Henry Kessler,-,-,0.2,-,0.5,-,0.7,0.2
Bressan,1,-,0.1,0.3,0.3,-,0.1,0.1
Keegan Rosenberry,1,-,0.7,0.4,0.3,0.1,-,1.3
Júnior Moreno,-,1,0.9,0.1,0.6,-,0.3,1
Corey Baird,3,2,0.9,0.4,0.4,0.3,1.4,2.4
Romain Métanire,-,-,1.6,1,0.7,-,1.7,1.9
Romell Quioto,1,3,1.4,1.4,2.3,0.4,1.4,2.6
Keaton Parks,-,-,1,0.7,0.3,0.1,0.6,2
Maxime Crépeau,-,-,-,-,-,-,-,-
Santiago Sosa,-,-,-,0.7,0.1,-,1,0.6
Jonathan Mensah,-,-,-,0.2,0.2,0.2,-,0.3
Alistair Johnston,-,-,0.6,0.7,0.9,-,0.3,0.3
Sam Vines,1,-,0.6,0.4,0.8,-,0.8,2
Mark-Anthony Kaye,-,-,1.1,1.7,1.4,0.1,1,3.4
Anton Walkes,-,-,-,0.4,0.3,-,0.1,0.3
Leandro González Pirez,-,-,-,0.3,2.4,-,0.4,0.6
Kelyn Rowe,-,-,0.5,0.8,1,0.1,0.8,1.5
Gustavo Vallecilla,1,-,0.3,-,-,-,0.7,0.7
Robin Jansson,-,-,0.3,0.7,-,-,0.3,0.3
Gudmundur Thórarinsson,1,-,1.5,0.2,-,-,0.2,1
Ranko Veselinovic,-,-,-,0.2,0.3,0.2,-,0.5
Marvin Loría,1,-,1.1,1,1,-,0.7,2.1
Tim Melia,-,-,-,-,-,-,-,-
Víctor Vázquez,-,1,1.5,0.8,0.5,0.3,-,1
Jhohan Romaña,-,-,0.5,0.7,0.3,-,0.3,0.2
Gregore,-,2,0.6,1.5,1,-,0.8,2.5
Ryan Hollingshead,1,1,0.9,0.9,1,-,0.7,1.6
Tesho Akindele,2,2,1,0.1,1.3,0.6,0.9,1.7
DeJuan Jones,-,1,1,1.4,1,-,0.6,2.9
Ola Kamara,3,-,0.2,-,0.4,-,0.4,0.8
Paul Marie,1,-,1,0.8,1.3,-,0.5,1
Jonathan Bell,-,-,-,0.8,-,-,0.3,0.3
William Yarbrough,-,-,-,-,-,-,-,-
Freddy Vargas,-,-,1.5,1.3,1.2,-,1,3.2
Bradley Guzan,-,-,-,-,0.3,-,-,-
Darlington Nagbe,-,-,0.5,1.3,1.8,-,0.7,0.7
Jhonder Cádiz,2,1,0.7,-,0.7,0.6,0.4,1.4
Gastón Giménez,-,-,1.3,0.7,0.2,-,1.7,2.5
Oswaldo Alanís,1,-,-,0.8,-,-,-,0.8
Diego Valeri,1,1,2.3,0.3,1.6,0.6,1.1,1.6
Eloy Room,-,-,-,-,0.1,-,-,-
Omar González,-,1,0.5,-,0.2,-,-,0.2
