Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Harry Kane,23,14,1.4,1.5,1.7,0.4,1.5,1.8
Kevin De Bruyne,6,12,3.2,1.9,1.2,-,1.3,1.8
Jack Grealish,6,10,3.1,2.5,4.2,0.3,1.5,2.1
Bruno Fernandes,18,12,2.6,0.6,1.4,0.1,1,1.5
Tomas Soucek,10,1,0.5,0.4,1.1,0.1,0.6,1.1
Mason Mount,6,5,2.4,1.2,1.2,0.1,1.1,1.6
Sadio Mané,11,7,1.7,2.3,2.2,0.9,1.7,2.9
Riyad Mahrez,9,6,1.6,1.7,1.1,0.3,1.1,1.7
João Cancelo,2,3,1.6,1.7,0.6,0.1,0.8,1.3
Gareth Bale,11,2,1.1,1.4,0.5,0.3,0.4,0.9
Nathaniel Phillips,1,1,0.4,0.1,0.5,-,0.2,0.5
Ilkay Gündogan,13,2,1.5,1,0.9,-,0.5,1.1
Son Heung-Min,17,10,2,1.1,1.5,0.4,1.4,1.6
Wilfred Ndidi,1,4,0.6,0.6,0.6,-,0.5,1
Jesse Lingard,9,4,1.1,1.1,1.5,0.4,1.4,1.8
Raphinha,6,9,2.1,1.9,1,0.5,1.1,2.8
Raheem Sterling,10,7,1.3,2.1,1.3,0.3,2.7,2
James Rodríguez,6,4,1.7,1.5,1.7,0.3,1.7,1.4
Ollie Watkins,14,5,1.2,1.1,1.3,0.8,2.3,3.1
Kortney Hause,1,-,-,-,0.4,-,-,0.1
Rodri,2,2,1,0.8,0.9,0.1,0.6,0.7
Michail Antonio,10,5,1,1.7,1.5,0.6,1.9,3
Dominic Calvert-Lewin,16,-,0.5,0.7,1.2,0.5,0.9,3.1
Jimmy Dunne,1,-,0.7,0.3,1,-,0.3,0.3
Aaron Wan-Bissaka,2,4,0.9,1,0.4,-,0.6,1
Phil Foden,9,5,1.3,1.4,1.2,0.1,0.5,1.7
Joseph Willock,8,-,0.6,1.6,1.1,-,1.1,1.5
Marcus Rashford,11,9,1.2,2.2,1.1,0.7,1.4,2.1
Thiago,1,-,1.3,1.4,1,-,0.8,1
Allan Saint-Maximin,3,4,1.2,3.8,1.8,0.2,2.1,2.2
Gabriel Jesus,9,4,1.1,1.7,1.6,0.6,1.3,2
Pedro Neto,5,6,2,2.1,1.4,0.1,1.3,2.5
Adama Traoré,2,2,1.5,4.1,2.3,0.2,1.8,3
Roberto Firmino,9,7,1.2,1.6,0.4,0.1,1.3,2.2
Jamie Vardy,15,9,0.8,0.8,0.7,1.1,0.4,1.7
Mat Ryan,-,-,0.3,-,-,-,-,-
Youri Tielemans,6,4,1.3,1.1,1.4,-,0.9,1.1
Lucas Digne,-,7,1.5,0.6,0.7,0.1,0.7,1.1
Christian Benteke,10,1,0.5,0.5,0.7,0.5,0.9,2
Bernardo Silva,2,6,1,1.6,0.7,0.1,0.9,1.3
Kurt Zouma,5,-,0.2,0.1,0.3,-,0.2,0.3
Solly March,2,1,1.3,2.1,1.2,0.1,1.1,1
James Ward-Prowse,8,7,1.6,0.4,0.7,-,0.4,0.9
Mohamed Salah,22,5,1.5,1,0.6,0.4,2.2,3.1
Liam Cooper,1,-,-,0.2,1.1,-,-,0.3
Kiko Casilla,-,-,-,-,-,-,-,-
Serge Aurier,2,3,0.9,0.9,0.8,0.1,0.7,1.5
Paul Pogba,3,3,1,1.7,1.5,0.2,1.9,2.1
Harry Maguire,2,1,0.2,0.2,0.9,-,0.2,0.3
