Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Kyle Lafferty,3,2,1.3,0.5,1.8,0.8,1,3
James Tavernier,12,9,1.9,1.2,0.8,0.1,0.8,1.6
Christopher Jullien,1,1,0.2,-,0.6,-,-,0.2
Ryan Kent,10,9,1.8,1.9,1.6,0.3,1.6,2.3
Joe Aribo,7,4,1.2,1.9,1.1,0.1,1.5,2.4
Borna Barisic,1,6,2.1,1,0.8,-,0.4,0.8
Connor Goldson,4,2,0.5,0.2,1.1,0.1,0.2,0.1
Odsonne Edouard,18,4,1.2,1.6,1,0.2,2,3.1
Anthony Ralston,-,-,1,1,1,-,-,-
Shane Duffy,3,1,0.3,0.1,0.5,0.1,0.3,0.1
Ryan Christie,5,9,1.9,1.1,1.2,0.1,1.3,2.2
David Turnbull,1,-,3.6,0.2,1.6,-,0.4,0.6
David Turnbull,8,6,2.7,0.6,0.6,0.1,1,1.2
Kristoffer Ajer,2,3,0.6,0.8,0.7,0.1,0.5,0.8
Hakeem Odoffin,3,-,0.3,0.3,1.3,-,0.5,1.2
Lyndon Dykes,2,-,0.7,0.3,1.7,0.3,0.7,2.3
Alfredo Morelos,12,4,1,0.3,1.5,0.7,0.9,2.3
Paul Hanlon,1,1,0.3,0.3,1,-,0.1,0.4
Kemar Roofe,14,3,0.6,0.5,1,0.5,0.8,2.2
Ash Taylor,1,-,0.1,0.1,0.5,-,0.1,0.1
Darren McGregor,1,-,0.1,0.1,0.3,-,0.2,0.3
Jon Guthrie,5,2,0.1,0.1,0.9,0.1,0.1,0.4
Jordan White,2,2,0.7,0.4,1.6,0.4,1.1,2.7
Scott McKenna,-,-,-,0.8,0.3,-,-,0.5
Filip Helander,1,-,-,-,1,-,-,0.5
Marley Watkins,2,1,1.1,1.9,0.8,0.4,1.2,2.3
Lewis Ferguson,9,2,0.9,0.7,2.7,0.1,0.7,1.7
Joe Newell,1,3,1.5,1.2,1.3,-,1,1.2
Leon Balogun,-,2,0.4,0.4,0.7,-,0.1,0.5
Ryan Edwards,2,-,0.1,-,0.4,-,0.2,0.2
Ryan Jack,2,1,1,0.4,0.4,-,0.1,0.5
Benjamin Siegrist,-,-,-,-,0.4,-,-,-
Callum McGregor,3,7,1.5,0.9,0.7,-,0.6,1.4
Steven Davis,-,2,0.9,0.6,0.4,-,0.2,0.7
Paul McGinn,3,2,0.7,0.9,0.9,-,0.7,1
Christian Doidge,7,2,0.8,0.8,1.3,0.6,0.9,2.3
Stephen Welsh,1,-,0.1,-,1.4,-,0.1,0.1
Sean Mackie,-,-,1.5,1.5,1,-,0.5,1.5
Ross McCrorie,1,-,0.4,1.6,1.2,-,0.9,1.9
Jake Doyle-Hayes,1,-,0.8,0.5,0.8,-,0.4,0.6
Jamie McGrath,7,1,1.5,1.1,2,0.1,1,1.7
Jason Kerr,1,-,0.5,0.2,1.2,0.1,0.4,0.5
Tommie Hoban,2,-,0.2,0.3,0.4,-,0.2,0.4
Jonjoe Kenny,-,2,1.4,0.4,0.8,-,0.7,0.8
Matt Macey,-,-,-,-,-,-,-,-
Ryan Porteous,1,-,0.2,0.6,1.4,-,0.3,0.5
Nir Bitton,1,-,0.3,0.3,0.5,-,0.1,0.3
Kevin Nisbet,14,2,0.8,0.8,1.3,0.8,1,2.2
Conor Hazard,-,-,-,-,-,-,-,-
Gary Woods,-,-,-,-,-,-,-,-
Greg Taylor,-,5,1.3,0.7,1,0.2,0.6,1.2
Conor McCarthy,-,1,0.3,0.2,0.9,-,0.3,0.8
Martin Boyle,12,6,1.3,1.1,2.6,0.6,1.2,2.5
Liam Gordon,1,1,0.3,0.1,0.4,-,0.1,0.2
Calvin Bassey,-,-,0.4,0.6,1,-,0.6,1
Ianis Hagi,7,11,1,0.6,1.4,0.1,0.7,2
Glen Kamara,1,1,0.8,0.6,1.2,-,0.6,1
Jon McLaughlin,-,-,-,0.1,0.1,-,-,-
Hatem Elhamed,-,2,0.9,0.8,0.4,-,0.1,0.4
David Wotherspoon,3,4,1.6,1,1.2,0.1,1.2,2
Jamie McCart,-,-,0.3,0.1,0.9,0.1,0.1,0.3
James Forrest,3,1,0.9,0.5,0.4,-,0.3,0.8
Devante Cole,8,3,0.6,1,1.4,0.9,2.1,2.5
Tony Watt,3,5,0.8,1.3,1.8,0.3,1.4,2.5
Liam Donnelly,-,-,2,-,3,-,1,-
Ross Stewart,2,1,1.2,0.9,1.7,0.3,1.1,2
Mohamed Elyounoussi,10,4,1,0.8,0.6,0.1,1.1,1.8
Jackson Irvine,-,3,1.1,0.7,0.5,0.1,1,1.7
Jeremie Frimpong,1,2,1.5,1.3,1.8,0.1,1.2,1.8
Ryan Hedges,5,3,1.7,0.9,1,0.2,1,1.9
Liam Smith,1,2,0.6,0.6,0.8,-,0.3,1.1
Allan McGregor,-,-,-,-,0.3,-,-,-
Scott McMann,-,4,1.4,0.6,1.2,0.1,0.5,1.1
Declan Gallagher,1,1,0.5,0.2,0.4,0.2,0.2,0.5
Mark Connolly,-,-,-,0.2,1.6,-,0.3,0.5
Zdenek Zlamal,-,-,-,-,-,-,-,-
Diego Laxalt,1,-,0.6,1.1,1,-,0.4,1.5
Joe Shaughnessy,1,1,0.2,-,0.6,-,0.1,0.2
Jonny Hayes,2,3,1.3,0.8,1.1,0.2,0.9,1.7
Andrew Considine,1,1,0.2,0.3,0.3,0.1,0.4,0.6
Jordan Jones,1,-,0.3,0.7,1,-,1,1.3
Scott Tanser,2,-,0.8,0.5,0.4,0.3,0.4,1
Scott Brown,1,2,0.6,0.4,1.4,-,0.5,0.7
Kyle Gourlay,-,-,-,-,-,-,-,-
Ricki Lamie,-,-,0.2,0.2,0.8,-,0.3,0.3
Alexandros Gogic,1,-,0.3,0.4,0.4,-,0.6,0.5
Shaun Want,-,-,0.1,0.2,1.1,-,0.3,0.2
Alan Power,1,2,0.7,1.1,2.4,-,1.1,1.9
Nicky Devlin,2,2,0.6,0.8,1.2,0.1,0.4,1.1
Ismaila Soro,1,1,0.5,0.8,0.6,-,0.7,0.7
Adrián Spörle,4,2,0.7,0.5,0.5,0.2,0.8,2
Chris Burke,8,3,1.3,1.2,0.7,0.3,0.8,2
Zdenek Zlamal,-,-,-,-,-,-,-,-
Kirk Broadfoot,-,-,0.4,0.2,1.1,-,0.2,0.6
Ofir Marciano,-,-,-,-,0.1,-,-,-
Alistair McCann,2,2,0.7,0.5,1.2,-,0.9,1.6
Julien Serrano,1,3,0.6,0.5,0.8,0.1,0.3,1
Jamie Murphy,1,1,0.8,1.2,0.6,0.1,0.6,1.3
David Gray,-,-,-,-,-,-,-,-
Liam Craig,3,3,1,0.1,1,-,0.3,0.7
Daryl Horgan,-,2,1,0.8,0.2,-,0.4,1.2
Bevis Mugabi,2,-,-,0.2,0.4,-,0.1,0.5
Stuart Findlay,-,-,0.3,-,0.6,-,-,0.3
Mark Reynolds,1,-,0.1,0.2,0.4,-,0.1,0.7
Ross Callachan,8,3,0.9,0.4,0.8,0.2,0.9,1.8
Jay Emmanuel-Thomas,5,-,0.6,0.8,0.5,0.4,1.3,2.9
Allan Campbell,4,-,0.6,0.6,1.3,-,1.3,2.2
Lawrence Shankland,7,3,1.2,1.2,0.8,0.6,1.5,4
Gary Dicker,-,-,0.2,0.4,1,-,0.7,0.6
Jamie Robson,-,2,0.6,0.5,1.2,0.1,0.5,1.6
Dean Lyness,-,-,-,-,0.5,-,-,-
Jordan Roberts,1,1,1.2,0.8,1.2,0.8,1,3.8
Shaun Rooney,2,1,0.4,0.8,0.6,-,0.5,1.1
Robbie Crawford,-,-,0.4,0.3,1.3,-,0.6,0.7
Aaron Martin,-,-,0.1,0.1,0.4,0.2,0.2,0.2
Aaron McGowan,-,-,0.5,0.2,1.4,0.1,0.3,0.5
Keith Watson,-,-,0.3,0.1,0.7,-,0.1,0.2
Marcus Fraser,1,-,0.5,0.5,0.8,0.1,0.4,0.8
Ryan Fulton,-,-,-,-,0.1,-,-,-
Richard Tait,1,1,0.5,0.6,0.5,0.1,0.5,0.8
Mark O'Hara,4,-,0.3,0.2,0.6,-,0.3,0.9
Murray Davidson,1,-,0.1,0.1,1.6,0.1,0.1,1
Ciaron Brown,1,1,0.3,0.1,0.5,0.1,0.2,0.5
Jeando Fuchs,-,-,0.1,0.9,1.1,-,1.4,1.6
Dan McNamara,1,-,0.8,0.4,1.1,-,0.6,0.9
Scott Wright,2,1,1.3,1.5,1,0.2,1.1,1.6
Ethan Erhahon,2,-,0.6,0.8,1.8,-,0.8,1.1
Albian Ajeti,6,1,0.6,0.5,0.5,0.4,0.7,1.5
Ilkay Durmus,2,2,0.7,0.7,0.8,0.3,0.6,1.9
Matthew Kennedy,1,2,0.8,0.9,1.1,-,1.1,1.8
Nathan Patterson,-,-,0.6,0.6,0.4,0.1,-,1
Calum Butcher,-,-,0.2,0.6,0.5,-,0.4,1
Jermain Defoe,4,1,0.3,0.4,0.5,0.5,0.3,0.7
Leigh Griffiths,6,2,0.8,0.4,0.1,0.5,0.6,1.2
Alex Iacovitti,-,-,0.1,0.3,0.7,-,0.1,0.3
Jack Fitzwater,1,1,0.3,0.2,0.7,0.1,0.2,0.7
Jake Carroll,-,1,1,0.3,0.9,-,0.5,1
Charlie Lakin,2,1,0.5,0.9,0.9,0.2,1,3.3
Greg Kiltie,5,2,0.9,0.7,1.6,0.2,1.1,2.7
Max Stryjek,-,-,-,0.1,0.1,-,-,-
Alan Forrest,4,1,1.1,0.8,0.6,0.2,0.8,1.6
Callum Morris,-,-,0.1,0.5,0.8,0.1,-,0.3
Nathan McGinley,-,1,0.4,0.7,0.8,-,0.5,0.9
Jak Alnwick,-,-,-,-,0.2,-,-,-
Jason Holt,1,4,0.5,0.2,1.5,-,0.2,1.4
Barry Maguire,1,1,0.9,0.5,0.5,-,0.4,1.2
Tomas Rogic,1,4,0.8,1.4,0.7,-,0.9,1.7
Bruce Anderson,2,1,0.8,0.9,1.1,-,1.3,3.9
Stephen O'Donnell,-,2,0.9,0.3,0.6,0.1,0.6,0.8
David Templeton,1,2,1.5,0.8,1.9,0.1,1.4,2.5
Josh Mullin,2,3,1.5,0.4,0.4,0.2,0.3,1.2
Scott Bain,-,-,-,-,0.2,-,-,-
Calum Waters,-,1,0.4,0.4,0.6,-,0.6,0.6
Nicke Kabamba,5,2,0.5,0.3,1.3,0.7,1.2,2.2
David Moyo,2,2,0.6,0.4,1,0.4,0.9,1.9
Greg Leigh,-,-,-,1.4,0.6,-,0.4,0.5
Scott Arfield,4,5,0.6,0.3,0.5,-,0.5,0.8
Christopher Kane,4,1,0.5,0.6,2,0.3,1,1.9
Nicky Clark,8,1,0.9,0.3,1.1,0.2,0.9,1.6
Sam Cosgrove,3,-,0.9,0.8,0.9,0.6,0.5,3.5
Tom Grivosti,1,-,0.4,0.4,-,-,0.2,0.8
Coll Donaldson,1,-,0.2,0.2,0.7,-,0.1,0.6
Scott Martin,1,-,0.4,0.7,1.9,-,0.7,1.2
Ross Laidlaw,-,-,-,-,0.1,-,-,-
Sam Foley,-,-,0.1,0.4,1.2,-,0.6,1.2
Scott Pittman,6,2,0.7,0.4,1,0.1,0.7,2
Josh Doig,1,3,0.4,0.5,0.9,0.1,0.8,1.7
Stephen Kelly,-,2,1,0.6,0.3,-,0.2,0.5
Craig Conway,3,2,1.2,0.5,1.4,0.2,0.7,1.1
Liam Polworth,-,3,1.7,1,2,-,1.1,1.4
Ian Harkes,1,2,0.6,0.7,1.2,0.1,0.9,1.4
Marios Ogkmpoe,3,1,0.5,0.6,0.7,0.5,1.4,2.1
Luke Bolton,1,3,0.6,0.9,0.9,0.1,0.6,2
Jaze Kabia,1,1,0.6,0.3,0.6,0.5,0.5,1.5
Aaron Tshibola,3,1,0.6,0.6,1.9,0.2,1.2,1.7
Jason Naismith,-,2,0.6,0.1,1,-,0.4,1
Zeno Rossi,-,-,0.1,0.2,0.3,-,-,0.4
Leo Fuhr Hjelde,1,-,0.5,0.4,0.9,-,0.3,1.5
Aaron Taylor-Sinclair,-,-,0.3,0.5,1,-,-,0.5
Steve Lawson,-,-,0.5,0.8,0.7,0.1,0.3,0.7
Brandon Barker,2,-,0.3,0.5,0.4,0.1,0.4,0.6
Efe Ambrose,-,-,0.2,0.6,0.3,-,0.1,0.5
Tyler Magloire,-,-,-,0.3,0.6,-,-,0.6
Adam Montgomery,-,-,-,0.5,-,-,0.5,1
Vasilios Barkas,-,-,-,-,0.1,-,-,-
Charlie Trafford,-,-,0.2,0.3,0.9,0.1,0.6,0.6
Jack Simpson,-,-,-,0.2,0.4,-,0.4,-
Callum Booth,-,1,0.8,0.2,0.2,0.1,0.5,1
Iain Vigurs,1,-,0.8,0.5,0.9,-,0.7,0.5
Brandon Haunstrup,-,1,0.7,0.6,0.8,-,0.5,0.9
Dean Campbell,-,-,0.3,0.2,0.7,-,0.2,0.6
Marc McNulty,2,1,0.7,0.8,1,0.5,0.5,2
Liam Kelly,-,-,-,-,0.1,-,-,-
Liam Grimshaw,-,-,0.5,0.2,0.6,-,0.4,0.8
Djibril Diani,-,-,-,1.3,0.3,-,0.3,0.3
Oli Shaw,6,1,0.4,0.4,1,0.3,0.8,1.5
Craig Bryson,-,1,1,-,2.5,-,-,2.5
Jonathan Obika,5,1,0.5,0.7,0.9,0.5,1.2,2.9
Lewis Neilson,-,-,0.2,0.8,0.2,-,0.2,0.7
Guy Melamed,5,2,0.6,0.4,0.9,0.3,1.3,2.1
Aaron Chapman,-,-,-,0.2,0.2,-,-,-
Blair Spittal,-,-,0.4,0.6,0.4,0.2,0.2,1.2
Jackson Longridge,-,-,0.1,0.2,1.2,-,0.5,1.1
Glenn Middleton,2,-,0.6,0.4,0.6,0.1,0.7,1.1
Lewis Stevenson,-,1,0.6,0.2,0.4,0.1,0.1,0.2
Olivier Ntcham,1,1,0.6,0.8,0.4,-,0.5,0.8
Chris Cadden,-,-,0.3,0.8,0.6,0.1,0.5,1
Curtis Main,2,-,0.5,0.4,0.7,0.4,0.6,2.7
Harry Robinson,-,-,1,-,-,-,-,-
Cameron MacPherson,1,1,0.5,0.7,0.6,-,0.7,0.8
Scott Robinson,4,1,0.5,0.2,0.8,0.4,0.6,1.8
Craig Sibbald,1,-,0.7,0.4,0.6,-,0.5,1.4
Peter Pawlett,1,1,1.1,0.5,1.2,0.1,0.5,1.5
Melker Hallberg,-,2,0.7,0.2,0.4,0.2,0.4,1
George Stanger,-,-,-,-,1,-,0.7,-
Brian Easton,-,1,0.1,-,0.9,-,0.2,0.4
Jack McMillan,-,-,-,0.4,-,0.1,-,0.6
Jamie Hamilton,-,-,0.1,0.5,0.6,-,0.1,0.4
Callum Lang,3,1,0.8,1.2,0.9,0.5,1.3,2.4
Dillon Powers,-,-,0.3,0.7,1.1,-,0.2,0.5
Mitchell Pinnock,1,3,0.8,0.6,0.5,0.1,0.8,1.1
Cedric Itten,4,2,0.6,0.4,0.5,0.1,0.9,1.4
Jermaine Hylton,1,2,0.7,0.6,0.8,0.1,0.9,1.6
Craig Bryson,-,-,0.3,0.4,1.2,0.1,0.2,0.9
Tony Andreu,-,-,0.7,0.3,0.7,0.2,1.5,2
Harrison Paton,1,3,0.9,0.8,1.5,0.1,1.3,2.3
Youssouf Mulumbu,-,1,0.4,0.6,0.4,-,0.8,1.3
Trevor Carson,-,-,0.2,-,-,-,-,-
Carl Tremarco,-,-,0.4,0.3,0.1,0.1,0.1,0.7
Paul McMullan,-,-,0.5,1.1,0.8,0.1,0.4,1.4
Clévid Dikamona,-,-,-,0.4,0.8,-,0.1,0.6
Karamoko Dembele,1,-,0.2,0.2,-,-,0.8,0.6
Stephen Mallan,1,-,0.9,0.2,0.1,0.1,0.6,0.4
Jack MacKenzie,-,-,0.2,0.3,1.3,-,0.7,1
Lee Hodson,1,-,0.3,0.7,0.6,0.2,0.6,1.2
Reegan Mimnaugh,-,1,0.8,0.2,0.6,-,0.2,0.4
Drey Wright,1,1,0.5,0.4,0.8,-,0.2,1.1
Zech Medley,1,-,0.1,0.3,0.1,-,0.3,0.6
Stevie May,5,4,0.8,0.4,0.7,0.4,0.7,1.1
Nathan Thomas,-,-,0.7,1.2,0.7,0.2,0.2,1.7
Rory McKenzie,2,-,0.8,0.4,1.1,0.1,0.5,2
Niall McGinn,-,1,1.2,0.3,0.6,-,0.3,0.9
Michael Johnston,-,1,0.5,1.3,0.3,0.1,0.6,0.4
Joe Lewis,-,-,0.1,-,0.1,-,-,-
James Brown,-,-,0.4,0.2,1.6,-,0.2,1.6
Marvin Bartley,1,1,0.4,0.2,2.2,0.1,0.5,1
Josh Reid,-,-,0.5,0.8,0.7,-,0.7,1.3
