Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Toni Sunjic,1,-,0.5,-,1,-,-,1
Artem Dzyuba,20,6,2.2,0.5,0.8,0.9,1.5,2.4
Christian Noboa,12,7,2.1,0.9,1,0.1,1,1.6
Douglas Santos,3,7,2.3,0.6,0.5,0.1,0.8,1.2
Aleksandr Silyanov,-,-,0.5,0.5,1.5,-,-,3
Oliver Abildgaard,-,1,0.8,0.4,1.7,-,0.4,0.6
Aleksey Miranchuk,2,1,2,1.3,1.8,-,2.8,2.8
Alexander Sobolev,14,4,1.4,0.6,1.6,0.2,1.7,3.4
Sardar Azmoun,19,2,1,0.5,0.4,0.3,1,1.5
Nikola Vlasic,11,5,2.8,1.7,1.5,0.5,2,2.7
Jordan Larsson,15,5,2,1,1.3,0.4,1.4,2.2
Khvicha Kvaratskhelia,4,4,1.4,3.4,1.9,0.1,3.3,2.7
Rémy Cabella,8,1,1.5,2.2,1.7,0.2,1.3,1.5
Murilo Cerqueira,4,-,0.4,0.3,0.3,-,0.3,0.4
Malcom,3,3,2,2.1,2.1,-,1.4,1.7
Anton Zabolotny,9,4,0.9,0.3,2.1,0.6,0.7,2.3
Filip Dagerstål,-,-,0.1,0.7,0.4,-,0.4,0.4
Mario Fernandes,1,1,1.7,0.3,1,0.2,0.3,0.7
Grzegorz Krychowiak,9,3,0.8,1,2.7,-,1,1.3
Egor Baburin,-,-,-,-,0.5,-,-,-
Dmitrii Merenchukov,-,1,3,1,1,-,1,1.5
Wendel,2,3,1.4,0.8,1.3,0.1,0.9,1.1
Evgeni Gorodov,-,-,-,0.3,-,-,-,-
Pablo,-,-,0.2,0.2,1,-,0.2,0.1
Daler Kuzyaev,3,2,1,0.8,0.9,0.1,0.7,1.2
Daniil Lesovoy,5,3,2,2.5,1.5,0.4,2.4,2.3
Sebastian Szymanski,1,5,2.8,0.8,2.4,0.1,1.2,2.3
Artur Yusupov,7,2,1.3,0.5,0.3,0.1,0.7,1.5
Ayrton Lucas,2,1,1,1.7,1.4,0.1,1.6,1.6
Wanderson Maciel,2,3,1.2,2.8,0.8,0.4,1.1,2.1
Djorde Despotovic,14,3,0.9,0.2,0.8,0.3,1,1.5
Denis Makarov,7,1,1.1,1.9,1.5,0.3,1.7,2.5
Arsen Zakharyan,3,3,1.7,0.5,0.7,0.5,0.8,1.5
Sergey Petrov,2,1,1.5,0.5,1.4,-,0.3,0.3
Roman Zobnin,1,3,2,1.2,2.5,0.1,1.3,1.4
Vitaliy Sychev,-,-,-,-,-,-,-,-
Chidera Ejuke,5,2,0.9,3,0.7,0.2,1.2,2.2
Denis Glushakov,3,1,1.1,0.3,0.7,-,1.1,1.1
Anton Kochenkov,-,-,-,-,-,-,-,-
Maciej Rybus,1,1,0.9,0.3,0.6,-,0.3,1.3
Roman Evgeniev,1,1,0.4,0.4,0.1,-,0.3,0.7
Maksim Osipenko,-,1,0.3,0.3,0.5,-,0.2,0.2
Samuel Gigot,3,-,0.3,0.4,1.2,-,0.1,0.5
Victor Moses,4,2,1.4,1.5,1.3,0.3,1.1,1.1
Rafal Augustyniak,4,-,0.5,0.8,1.2,0.1,0.6,1
Igor Diveev,2,2,0.2,0.1,0.4,-,0.1,0.3
