Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Marco Festa,-,-,-,-,-,-,-,-
Cristiano Ronaldo,29,3,1.1,1.8,1.3,0.9,1,1.9
Zlatan Ibrahimovic,15,2,1.1,0.6,1.3,2.1,0.6,1.7
Lorenzo Insigne,19,7,1.8,1.9,1.1,0.3,1,1.8
Romelu Lukaku,24,11,1.4,1.5,1.3,0.5,1.4,2.6
Domenico Berardi,17,7,1.9,1,2,0.1,1,1.8
Rodrigo de Paul,9,9,2.3,3.4,3.5,-,1.6,2.6
Adam Ounas,4,3,1.4,3.8,2.1,0.6,1.5,2.5
Henrikh Mkhitaryan,13,10,1.4,1.4,1.4,0.3,0.7,1.5
Sergej Milinkovic-Savic,8,9,1.3,0.9,1.6,0.3,1.4,2.5
Theo Hernández,7,5,1.3,2.2,2.5,0.2,0.8,1.9
Papu Gómez,4,2,1.9,1.5,1.9,-,1,1.1
Hakan Calhanoglu,4,9,3,1.1,1.3,0.1,1.1,2.3
Luis Muriel,22,9,1.3,1.5,0.6,0.1,1.4,1.6
Federico Chiesa,1,1,1.7,2,1,0.7,1.7,1.7
Andrea Belotti,13,6,1.1,1.3,3.9,0.6,1.2,3.1
Lorenzo Pellegrini,7,6,1.9,1.3,1.5,0.2,0.6,2
Junior Messias,9,4,0.9,2.9,2.6,0.1,1.6,3.1
Federico Chiesa,8,8,1.5,1.6,1.2,0.4,0.8,1.3
Rafael,-,1,0.3,-,-,-,-,-
Robin Gosens,11,6,0.9,0.8,0.8,0.3,0.5,1.3
Lautaro Martínez,17,6,1,0.9,1.6,0.3,0.9,2.4
Juan Cuadrado,2,10,2,1.5,2.2,0.1,0.7,1.6
Ruslan Malinovskiy,8,12,2.2,1.4,1.5,-,1.3,1.8
Piotr Zielinski,8,10,1.6,1.6,1.3,0.2,0.9,1.4
Ciro Immobile,20,6,1.5,0.8,1.3,0.9,1,2
Franck Kessié,13,4,0.8,1.2,1.1,-,1.1,1.4
Cristian Romero,2,2,0.3,0.2,1,-,0.2,0.5
Giovanni Di Lorenzo,3,6,1.4,0.8,1.7,0.1,0.4,0.9
Josip Ilicic,6,9,2.2,2,2.5,0.3,1.6,2.6
Luis Alberto,9,2,2.4,1.5,1.1,0.1,1.1,1.4
Victor Osimhen,10,3,1,0.5,1.5,0.8,0.7,1.9
Manuel Locatelli,4,2,1.1,0.8,1.4,-,1,1.3
Andrea Ranocchia,-,1,0.4,-,0.9,0.1,0.1,0.4
Gianluca Pegolo,-,-,-,-,-,-,-,-
Duván Zapata,15,9,1.1,0.9,1.3,0.6,1.8,3.1
Diego Godín,1,-,0.3,0.6,1,0.1,0.1,0.3
Davide Calabria,2,1,0.7,0.6,1.1,0.1,0.4,0.9
Marcelo Brozovic,2,6,1.4,0.3,0.4,-,0.5,0.8
Danilo,1,4,0.7,0.6,0.6,0.1,0.3,0.5
Karlo Letica,-,-,-,-,-,-,-,-
Milan Badelj,1,4,1,1.2,1.1,-,0.7,1
Simon Kjaer,-,2,0.3,-,0.4,-,-,0.4
Paulo Dybala,4,3,1.5,1.4,1.5,0.2,0.9,1.8
João Pedro,16,3,1,1.1,2.6,0.3,0.9,2
Remo Freuler,2,3,0.9,1.1,0.9,-,0.9,1.5
Ignacio Pussetto,3,1,0.7,1.4,0.9,0.6,2.1,1.9
Ante Rebic,11,4,1.3,0.7,0.5,0.4,1.1,2.4
Fabián Ruiz,3,1,1.2,0.8,0.8,-,0.6,0.7
Leonardo Spinazzola,2,4,1.4,2.2,0.4,0.1,0.3,1.1
Achraf Hakimi,7,8,1,0.9,1,0.2,0.5,1.5
Marten de Roon,1,1,0.5,0.3,0.7,-,0.3,0.5
Hirving Lozano,11,3,1.1,0.9,2.2,0.3,0.7,1.7
Juraj Kucka,7,2,0.6,1.1,2.5,0.1,1.1,1.7
Fikayo Tomori,1,-,-,0.2,0.1,-,0.1,0.5
Nicolò Barella,3,7,1.3,1,1.5,0.1,0.8,1.8
Alex Sandro,2,1,0.7,0.8,1.1,-,0.4,0.9
Rodrigo Bentancur,-,4,0.9,1.1,0.8,0.1,0.5,0.9
Vlad Chiriches,2,1,0.3,0.5,0.6,-,0.2,0.5
Roberto Soriano,9,6,1.4,1,1.3,0.1,0.8,1.7
Marco Faraoni,4,7,0.7,0.6,1.1,0.3,0.4,1.4
Daniel Fuzato,-,-,-,-,-,-,-,-
Álvaro Morata,11,9,1.3,0.7,1.4,0.6,1.3,2.3
Andrea Consigli,-,-,-,-,0.1,-,-,-
Edin Dzeko,7,3,1.1,1,1.4,0.4,1.1,2.1
Berat Djimsiti,-,2,0.6,0.3,0.8,-,0.3,0.8
Omar Colley,2,-,0.1,0.1,0.8,-,-,0.3
Federico Dimarco,5,3,2.1,0.3,1.4,0.2,0.3,0.8
Dusan Vlahovic,21,3,0.5,0.7,1.9,0.7,2.4,2.9
Adrien Rabiot,4,2,0.3,1.1,0.6,-,0.4,1.1
Joaquín Correa,8,3,1,1.3,1.9,0.1,1.3,2.3
Milan Skriniar,3,-,0.3,0.2,0.8,-,0.4,0.6
Gianluca Mancini,4,2,0.2,0.5,0.8,-,0.2,0.4
Mattia Zaccagni,5,5,1.1,1.7,3,0.3,1.8,2.1
Stefan de Vrij,1,-,0.2,0.2,0.3,-,0.1,0.2
Dries Mertens,9,8,1.2,0.4,0.3,0.2,0.2,0.6
Morten Thorsby,3,1,0.5,0.4,0.7,0.1,0.5,1.2
Rafael Leão,6,6,0.9,1.3,0.7,0.1,0.5,1.8
Guglielmo Vicario,-,-,-,-,0.3,-,-,-
Simone Bastoni,1,6,1.3,1.1,1.2,0.1,0.9,1.3
Kalidou Koulibaly,-,-,0.2,0.7,0.3,-,0.2,0.3
Bremer,5,-,0.2,0.2,0.5,-,0.2,0.7
Ibañez,-,1,0.4,0.5,1,-,0.3,0.8
Alessandro Bastoni,-,3,0.4,0.4,0.8,-,0.2,0.6
Francesco Acerbi,-,1,0.3,0.2,0.8,0.1,0.3,0.7
Antonio Sanabria,5,1,0.5,0.8,0.9,0.2,1.4,2.1
Matteo Politano,9,4,0.9,1,1.3,-,0.6,1.2
Jeremie Boga,4,2,0.4,3.2,1.3,0.3,1.1,2.1
Hans Hateboer,2,1,0.9,0.2,0.4,0.1,0.5,1.3
Kevin Strootman,-,4,1.3,0.5,0.7,0.1,0.6,0.9
Wilfried Stephane Singo,1,2,0.9,1.9,1.8,0.1,0.5,1.5
Pietro Terracciano,-,-,-,-,-,-,-,-
Simone Edera,-,-,1.5,1,0.5,-,-,1
Gian Marco Ferrari,-,4,0.4,0.2,1.1,-,0.2,0.5
Ionut Radu,-,-,-,-,-,-,-,-
Alberto Paleari,-,-,-,-,0.3,-,-,-
Musa Barrow,8,8,1.6,0.9,0.8,0.3,1.4,2.7
Matthijs de Ligt,1,1,0.3,0.2,0.9,0.1,0.1,0.4
Nehuén Paz,1,-,0.2,-,0.3,-,-,0.3
Koray Günter,-,2,0.2,0.3,0.4,-,-,0.2
Franck Ribéry,2,6,1.2,2.2,2.5,0.2,2.9,2.5
Emil Audero,-,1,-,-,0.2,-,-,-
Elseid Hysaj,-,2,0.6,0.9,0.8,-,0.3,1
Marko Rog,-,-,0.6,1.4,1.6,-,0.9,1.4
Alessio Cragno,-,-,-,-,0.1,-,-,-
Gianluigi Donnarumma,-,-,-,-,0.1,-,-,-
Alexis Sánchez,7,5,1.1,0.8,1.1,0.3,1.1,1.4
M'Bala Nzola,11,3,0.9,1.1,1.1,1,1.6,3.3
Antonio Candreva,5,8,1.8,0.8,0.8,0.3,0.3,1.4
Cristián Zapata,-,-,0.1,0.1,0.4,-,0.2,0.4
Nikola Milenkovic,3,1,0.2,0.2,0.5,-,0.1,0.4
Mattia Perin,-,-,-,-,0.1,-,-,-
Razvan Marin,3,6,1.9,0.9,0.6,0.1,0.7,1.3
Léo Sena,-,-,0.1,2.3,3.8,-,0.7,0.6
Armando Izzo,2,-,0.2,0.5,1.4,0.1,0.3,0.7
Francesco Caputo,11,5,0.6,0.2,1.3,0.8,0.5,1.5
Diego Demme,2,3,0.8,0.3,1.2,-,0.8,0.6
Takehiro Tomiyasu,2,-,0.3,0.5,0.4,0.1,0.3,1
Bram Nuytinck,1,-,0.2,0.2,0.3,-,0.1,0.4
Davide Zappacosta,4,2,0.5,1.3,0.8,0.3,0.9,1.7
Tiemoué Bakayoko,2,1,0.4,0.8,1.6,-,0.6,0.8
Stefan Radu,-,3,0.6,0.4,0.7,-,0.2,0.5
Aaron Ramsey,2,4,1.4,0.5,0.8,0.1,0.4,1.4
Alessio Romagnoli,1,1,0.1,-,0.5,-,-,0.3
Cristian Ansaldi,1,6,1.2,0.9,0.7,-,0.5,0.8
Gianluigi Buffon,-,-,-,-,0.1,-,-,-
David Ospina,-,1,0.1,-,0.3,-,-,-
Radja Nainggolan,1,-,1,1.3,1,-,1.5,1.5
Gianluca Caprari,5,6,1.2,1.7,1.8,0.3,1.7,2.4
Yildirim Mert Çetin,-,-,-,0.5,0.7,-,0.3,0.3
Simy,20,2,0.7,0.9,1.2,0.6,1.9,3.2
José Luis Palomino,1,2,0.3,0.1,0.4,0.1,0.1,0.4
Hernani,7,3,1.1,1.1,0.7,-,0.8,1.2
Wojciech Szczesny,-,1,-,-,-,-,-,-
Bartosz Bereszynski,1,-,0.3,0.6,0.9,-,0.5,0.9
Diogo Dalot,1,1,0.4,0.4,0.2,0.1,0.2,0.8
Nahitan Nández,2,2,1,1.2,1.8,0.3,0.9,1.6
Riccardo Orsolini,7,3,0.9,1.1,1.3,0.2,0.5,1.4
Filip Djuricic,5,4,1.7,1.1,1.2,0.2,1.5,1.7
Fabio Quagliarella,13,1,0.6,0.5,1.1,0.5,1,1.8
Ismaël Bennacer,-,2,0.2,1.4,1.4,-,0.7,1
Giacomo Bonaventura,3,2,0.7,1.2,1.2,0.2,0.9,1.1
Merih Demiral,-,1,0.3,0.1,0.1,0.1,0.1,0.2
Lukasz Skorupski,-,-,-,-,-,-,-,0.1
Rodrigo Palacio,5,5,1.1,1,2,1,1.3,2.4
Mattia Bani,-,-,0.2,-,0.6,0.1,0.5,0.2
Giangiacomo Magnani,-,-,-,0.1,1.2,-,-,0.6
