Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Erdem Canpolat,-,-,-,-,-,-,1,-
Cenk Tosun,3,1,1,0.7,0.7,-,0.3,1
Mustafa Burak Boznan,-,-,-,-,1,-,-,-
Rachid Ghezzal,8,17,2.9,1.8,1.5,-,1.8,2
Mario Situm,-,-,-,2,2,-,-,2
Diego Perotti,3,-,0.5,1.5,1,0.3,0.8,0.8
Anastasios Bakasetas,7,2,1.9,1.2,1.7,-,1.3,1.9
Gastón Campi,1,1,0.3,-,-,-,-,-
Anastasios Bakasetas,6,2,1.8,1.6,1.7,-,1.1,1.3
Caleb Ekuban,10,4,1.4,2.4,1.8,0.1,1.9,3.2
Anthony Nwakaeme,7,5,1.2,2.9,1.1,0.4,2.7,2.4
Adem Büyük,17,3,1.1,1.6,3.4,0.2,1.7,2.2
Gedson Fernandes,-,3,1.3,1.9,2,-,1.2,1.8
Mert Topuz,-,-,-,-,-,-,-,-
Aaron-Salem Boupendza,22,1,0.5,2.6,1.4,0.6,0.9,3.4
Erten Ersu,-,-,-,-,-,-,-,-
Vincent Aboubakar,15,5,0.9,1.3,1.1,0.7,1.9,3.1
Cyle Larin,19,5,0.8,1.2,1.7,0.4,1.9,3.1
Fabio Borini,9,1,0.7,0.7,2.8,0.5,1.3,1.7
Caner Erkin,-,9,2.6,0.7,0.3,0.1,0.1,0.5
Aatif Chahechouhe,4,1,0.8,3.9,1.5,-,1.6,4
Max-Alain Gradel,11,13,1.8,2.1,1.8,0.3,1.8,3.2
Mame Biram Diouf,19,5,0.8,0.4,0.9,0.5,0.6,1.7
Valentin Rosier,1,6,0.9,1.3,0.7,0.1,1.1,2.2
Souza,2,3,1,0.5,1.2,-,0.5,0.8
Faycal Fajr,4,5,2.5,0.9,1.6,0.1,0.8,1.3
Silviu Lung Jr.,-,-,-,-,-,-,-,0.1
Enner Valencia,12,4,1.2,1.5,1.7,0.4,1.2,2.7
Salih Ucan,2,6,1.5,1.4,1,0.1,1.1,1.4
Nazim Sangaré,1,1,0.9,0.8,1.8,-,0.5,1.1
Muhammet Demir,15,5,0.8,1.1,1.1,0.1,1.6,2.5
Welinton,1,2,0.4,0.2,1.1,0.1,0.1,0.4
Fredy Ribeiro,8,5,1.3,1.3,1.8,0.1,1.2,2
Djaniny,8,1,1,1.8,0.9,0.4,2,2.8
Ahmet Oguz,-,3,0.6,0.4,1.8,-,0.6,0.7
Davidson,11,2,1.1,2.2,2.4,0.1,1.6,3.4
Faruk Can Genç,-,-,-,-,1,-,-,1
