Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
David Ayala,-,-,-,5,2,-,2,1
Ignacio Fernández,5,3,2.2,2.5,2.9,0.1,1.1,2.4
Pablo Pérez,1,-,1.3,0.7,2.3,-,1.3,0.3
Nicolás Giménez,7,4,1.7,3.4,1.3,-,2,2.4
Marcelino Moreno,3,4,1.2,4.1,2.8,0.1,1.7,2.8
Matías Orihuela,-,-,-,3,-,-,-,1
Marcos Díaz,-,-,-,-,-,-,-,-
Miguel Barbieri,-,1,0.3,0.2,0.5,0.2,0.3,0.8
Maximiliano Cavallotti,-,-,-,-,-,-,-,-
Paolo Goltz,-,-,-,0.3,-,-,0.3,-
Carlos Tevez,9,2,1.6,1.1,1.9,0.3,1.1,1.5
Enzo Díaz,-,3,0.6,2.5,2.3,0.1,1.3,2.5
Mario López,-,-,1,-,-,-,-,-
Francisco Pizzini,1,3,1.4,2,1.6,0.2,1.6,2.2
Eduardo Salvio,6,3,0.5,3.2,1.2,0.2,1.4,2.2
Guillermo Burdisso,-,-,1,-,1,-,-,-
Nicolás De La Cruz,4,5,2,1.6,2.6,0.1,0.9,2.8
Danilo Ortíz,-,-,-,-,-,-,-,-
Ricardo Centurión,1,2,1.8,3,1.6,0.2,3,3.6
Rubén Botta,1,-,1.6,3.3,1.7,-,2,1.7
Yeimar Gómez,2,-,0.1,0.2,0.9,-,-,0.4
Rafael Delgado,3,2,0.6,2,1.3,0.1,1.2,1.4
Enzo Kalinski,1,1,0.4,1.1,0.8,-,1.2,1.6
Juan Rodríguez,-,1,0.2,0.5,0.4,0.1,0.2,0.5
Carlos Quintana,2,-,0.2,-,0.6,0.1,0.2,0.2
Mariano Bittolo,-,7,1.7,0.8,0.8,-,0.6,1.1
Cristian Lema,5,-,0.4,0.3,0.8,-,0.1,0.6
Júnior Alonso,-,1,0.4,0.6,0.4,-,0.2,0.2
Ángel Romero,5,5,1.5,2,3,0.5,1.9,2.6
Nicolás Reniero,-,-,2,3,4,-,2,2.5
Rodrigo Gómez,4,2,1.9,3.2,4.6,0.1,2.1,3
Emanuel Maciel,-,-,-,-,2,-,-,-
Robert Rojas,1,-,0.1,0.4,0.5,-,0.3,0.5
Guillermo Fernández,1,1,0.7,0.3,0.9,-,0.7,1.6
Héctor Martínez,2,1,0.4,0.2,0.4,-,0.2,0.4
Frank Fabra,2,2,0.7,1.9,0.9,0.1,0.4,1.1
Nicolás Domínguez,5,1,0.9,0.9,1.3,0.1,1.1,2.2
Matías García,6,3,1.8,1.7,1.6,0.2,1.2,2.4
Lisandro López,1,1,0.4,0.3,0.5,0.1,-,0.6
Gabriel Ávalos,3,4,2,1.2,0.8,0.5,1.2,3.5
Sergio Vittor,1,-,0.2,2,1.1,0.1,1,1.6
Javier Mascherano,-,1,0.4,0.3,1.3,-,0.7,0.1
Alexander Domínguez,-,-,-,-,0.3,-,-,-
Carlos Izquierdoz,1,-,0.2,0.2,0.8,0.1,0.2,0.4
Claudio Bravo,-,1,1.1,2.5,1.1,-,1.7,1.1
Lautaro Gianetti,-,1,0.4,0.2,0.4,-,0.2,0.2
Guilherme Parede,3,2,1.2,0.8,1.5,0.3,0.8,1.8
Esteban Andrada,-,-,-,0.1,0.4,-,-,-
Gastón Álvarez Suárez,6,1,1.4,1.3,0.6,0.1,1.4,1.3
Carlos Zambrano,-,-,1,-,-,-,-,1
Elías Gómez,1,1,1.6,1.4,2,0.2,1.3,2
Lucas Merolla,-,-,0.3,0.5,1.5,0.1,0.3,0.5
Lautaro Acosta,2,2,1.9,1.9,2.8,0.4,0.6,2.1
Fabián Rinaudo,2,2,0.7,1.9,2.7,-,1.2,1.4
Jorman Campuzano,-,-,0.4,0.8,1.4,-,0.8,0.7
Leonardo Gil,1,3,1.7,1.1,2.1,0.1,1.6,1.8
Fernando Luna,-,2,1.3,3.3,1.2,-,1.3,3
Juan Manuel García,4,2,1.3,0.6,1.3,0.3,0.8,2.3
Mathías Abero,-,3,1.8,0.5,1.1,0.2,0.2,1.7
Facundo Nadalín,1,1,1,0.4,0.6,0.1,0.6,0.3
Lucas Robertone,2,3,1.8,1.5,2.1,0.1,1.2,1.5
Rafael Borré,12,1,1.3,0.6,0.9,1.4,0.7,2.1
Emanuel Reynoso,1,3,1.7,2.4,1.3,-,1.6,1.6
Fernando Gago,-,-,0.8,0.5,1.5,-,0.7,1
Víctor Ayala,2,1,1.2,0.2,2.1,0.1,0.7,1
Edwar López,2,1,1,2,0.7,0.5,1.3,2.1
Fabián Monzón,2,1,1.3,1.2,0.3,-,1.1,0.9
Enzo Pérez,-,-,0.4,0.7,1.9,-,0.6,0.8
Matías Suárez,7,6,1.5,0.9,1.8,1.1,1,3.3
Adrián Cubas,-,-,0.9,0.9,0.9,-,1.3,1
Gastón Giménez,-,1,0.7,1.2,0.7,-,0.9,0.9
Paolo Goltz,1,-,0.1,-,0.1,-,-,0.9
Ciro Rius,4,1,1.7,2.3,1.2,0.3,2,1.8
Javier García,-,-,-,-,-,-,-,-
Marcelo Weigandt,-,-,0.7,0.3,1.7,-,0.3,2
Dylan Gissi,1,-,-,0.1,0.3,0.1,-,0.3
Fabricio Fontanini,1,-,-,-,0.5,-,-,0.5
Hernán De La Fuente,-,-,1.3,0.8,2,-,0.8,0.5
Edison Duarte,-,-,0.5,-,1.5,1,0.5,0.5
Paulo Díaz,-,1,0.1,0.4,1.1,0.1,0.2,0.6
Juan Brunetta,6,1,1.2,2.3,1.4,0.3,1.8,2.4
Jorge Carrascal,2,-,1.5,2.5,1.1,0.3,1.4,1.9
Leonardo Morales,-,2,0.6,0.8,0.5,0.3,0.8,1
Fabián Assmann,-,-,-,-,-,-,-,-
Alexis Castro,2,2,1.1,2.8,1.4,-,1.7,2.4
Facundo Medina,1,1,0.5,0.9,0.3,-,0.8,1.2
Gonzalo Montiel,-,2,1.1,0.9,0.4,0.2,0.5,1.2
Maximiliano Caire,1,-,0.5,0.8,0.7,-,0.3,1.3
Ezequiel Muñoz,1,-,0.2,0.3,0.3,0.1,0.2,0.2
Federico Martínez,-,1,1.5,-,4.5,-,1.5,2.5
Elías López,-,-,0.3,2,1,-,1,1
Lucas Martínez Quarta,-,1,0.2,0.6,0.4,-,0.4,0.5
Sebastián Villa,2,3,1.1,2.5,2,0.3,0.9,3.1
Angelo Gabrielli,2,3,1,0.9,1.2,-,0.2,0.8
Juan Sánchez Miño,1,2,1.1,1.5,0.5,-,1.5,1.5
Gastón Silva,-,1,0.7,0.6,0.8,-,0.6,0.9
Nicolás Figal,1,2,0.5,1.4,1.8,0.1,0.3,1.4
Juan Kaprof,6,4,1.1,1.4,1,0.5,1,2.2
Matías Pérez,-,-,-,-,-,-,-,-
Rubén Botta,-,-,2,3,-,-,1,3
Jerónimo Cacciabue,1,1,0.8,0.3,0.4,-,0.3,1.1
Emanuel Brítez,1,-,0.4,0.8,1.5,0.2,0.8,1.7
Santiago Silva,4,1,1.2,0.8,1.3,0.8,1.5,3.9
Julián Fernández,1,3,0.3,0.1,0.9,0.1,0.3,0.7
Gonzalo Rodríguez,1,-,0.1,0.1,1.1,-,-,0.1
Sebastián Palacios,2,-,1,2,2.3,0.7,0.8,2
Matías Zaracho,4,1,1.1,1.5,1.3,0.2,0.9,2.5
Juan Bolado,-,-,-,-,0.5,-,-,-
Braian Cufré,-,2,0.6,0.9,0.6,0.1,0.8,1.1
Sebastián Torrico,-,-,-,-,0.2,-,-,-
Gabriel Carabajal,1,1,1.6,2.4,1.8,0.1,1.2,1.9
Matías Laba,-,-,-,-,-,-,-,2
Bruno Pittón,7,1,0.4,0.4,0.9,0.2,0.3,1.5
Matías Melluso,-,-,0.7,0.8,1.1,-,0.6,0.8
