Name,Drb,Fouled,Off,Disp,UnsTch,League
Harry Kane,1.5,1.7,0.4,1.5,1.8,Premier_league
Kevin De Bruyne,1.9,1.2,-,1.3,1.8,Premier_league
Jack Grealish,2.5,4.2,0.3,1.5,2.1,Premier_league
Bruno Fernandes,0.6,1.4,0.1,1,1.5,Premier_league
Tomas Soucek,0.4,1.1,0.1,0.6,1.1,Premier_league
Mason Mount,1.2,1.2,0.1,1.1,1.6,Premier_league
Sadio Mané,2.3,2.2,0.9,1.7,2.9,Premier_league
Riyad Mahrez,1.7,1.1,0.3,1.1,1.7,Premier_league
João Cancelo,1.7,0.6,0.1,0.8,1.3,Premier_league
Gareth Bale,1.4,0.5,0.3,0.4,0.9,Premier_league
Nathaniel Phillips,0.1,0.5,-,0.2,0.5,Premier_league
Ilkay Gündogan,1,0.9,-,0.5,1.1,Premier_league
Son Heung-Min,1.1,1.5,0.4,1.4,1.6,Premier_league
Wilfred Ndidi,0.6,0.6,-,0.5,1,Premier_league
Jesse Lingard,1.1,1.5,0.4,1.4,1.8,Premier_league
Raphinha,1.9,1,0.5,1.1,2.8,Premier_league
Raheem Sterling,2.1,1.3,0.3,2.7,2,Premier_league
James Rodríguez,1.5,1.7,0.3,1.7,1.4,Premier_league
Ollie Watkins,1.1,1.3,0.8,2.3,3.1,Premier_league
Kortney Hause,-,0.4,-,-,0.1,Premier_league
Rodri,0.8,0.9,0.1,0.6,0.7,Premier_league
Michail Antonio,1.7,1.5,0.6,1.9,3,Premier_league
Dominic Calvert-Lewin,0.7,1.2,0.5,0.9,3.1,Premier_league
Jimmy Dunne,0.3,1,-,0.3,0.3,Premier_league
Aaron Wan-Bissaka,1,0.4,-,0.6,1,Premier_league
Phil Foden,1.4,1.2,0.1,0.5,1.7,Premier_league
Joseph Willock,1.6,1.1,-,1.1,1.5,Premier_league
Marcus Rashford,2.2,1.1,0.7,1.4,2.1,Premier_league
Thiago,1.4,1,-,0.8,1,Premier_league
Allan Saint-Maximin,3.8,1.8,0.2,2.1,2.2,Premier_league
Gabriel Jesus,1.7,1.6,0.6,1.3,2,Premier_league
Pedro Neto,2.1,1.4,0.1,1.3,2.5,Premier_league
Adama Traoré,4.1,2.3,0.2,1.8,3,Premier_league
Roberto Firmino,1.6,0.4,0.1,1.3,2.2,Premier_league
Jamie Vardy,0.8,0.7,1.1,0.4,1.7,Premier_league
Mat Ryan,-,-,-,-,-,Premier_league
Youri Tielemans,1.1,1.4,-,0.9,1.1,Premier_league
Lucas Digne,0.6,0.7,0.1,0.7,1.1,Premier_league
Christian Benteke,0.5,0.7,0.5,0.9,2,Premier_league
Bernardo Silva,1.6,0.7,0.1,0.9,1.3,Premier_league
Kurt Zouma,0.1,0.3,-,0.2,0.3,Premier_league
Solly March,2.1,1.2,0.1,1.1,1,Premier_league
James Ward-Prowse,0.4,0.7,-,0.4,0.9,Premier_league
Mohamed Salah,1,0.6,0.4,2.2,3.1,Premier_league
Liam Cooper,0.2,1.1,-,-,0.3,Premier_league
Kiko Casilla,-,-,-,-,-,Premier_league
Serge Aurier,0.9,0.8,0.1,0.7,1.5,Premier_league
Paul Pogba,1.7,1.5,0.2,1.9,2.1,Premier_league
Harry Maguire,0.2,0.9,-,0.2,0.3,Premier_league
John Stones,0.5,0.4,-,0.1,0.2,Premier_league
James Justin,0.8,1.7,0.1,0.6,1.3,Premier_league
Luke Shaw,1.1,0.9,0.1,0.7,0.8,Premier_league
Patrick Bamford,0.5,0.6,0.5,0.6,2.2,Premier_league
Caoimhin Kelleher,-,-,-,-,-,Premier_league
James Tarkowski,0.3,0.8,0.1,0.1,0.5,Premier_league
Antonio Rüdiger,0.2,0.6,0.1,0.1,0.5,Premier_league
Trent Alexander-Arnold,0.9,0.3,0.1,0.6,0.9,Premier_league
Wesley Fofana,0.5,1,0.1,0.4,1,Premier_league
Declan Rice,0.9,0.4,0.1,0.6,1.1,Premier_league
Kalvin Phillips,0.7,1.1,-,0.6,1.4,Premier_league
James Maddison,0.9,1.8,0.2,1.1,1.8,Premier_league
Ben Chilwell,0.6,1.5,0.3,0.7,1.3,Premier_league
Emiliano Martínez,-,0.2,-,-,-,Premier_league
André-Frank Zambo Anguissa,2.7,0.8,-,1.4,2,Premier_league
Yves Bissouma,1.5,0.9,-,0.8,0.9,Premier_league
Richarlison,1.8,2.1,0.7,1.6,2.1,Premier_league
Harvey Barnes,1.6,1.3,-,1.2,2.3,Premier_league
Alex Telles,0.3,0.4,0.1,0.6,0.6,Premier_league
Okay Yokuslu,1.2,1.8,0.1,0.6,1.4,Premier_league
Jack Harrison,1.2,0.6,0.3,1.8,2.6,Premier_league
Matheus Pereira,1.2,1.6,0.4,1.4,2.2,Premier_league
Joel Matip,-,0.4,-,0.1,0.3,Premier_league
Vladimir Coufal,0.4,1,-,0.5,1.1,Premier_league
Pierre-Emile Højbjerg,0.6,1.4,-,0.5,1,Premier_league
Luke Ayling,1.1,1.4,0.1,0.6,1.4,Premier_league
Scott Carson,-,-,-,-,-,Premier_league
Reece James,1.1,0.5,-,0.7,0.8,Premier_league
Oriol Romeu,0.7,1.1,-,0.9,1.1,Premier_league
Matthew Cash,0.4,0.8,0.1,0.5,0.7,Premier_league
Scott McTominay,0.8,1.3,-,0.5,1.3,Premier_league
Ahmed Hegazi,-,-,-,-,3,Premier_league
Ben Mee,0.1,0.6,-,0.1,0.3,Premier_league
Anthony Elanga,1.5,2,0.5,1,4,Premier_league
Fred,0.8,1,-,1,1,Premier_league
Timothy Fosu-Mensah,2,-,1,2,-,Premier_league
César Azpilicueta,0.2,0.5,0.2,0.2,0.7,Premier_league
Ademola Lookman,2.4,1.7,0.4,2.1,3.1,Premier_league
Michael Keane,0.1,0.2,-,0.1,0.2,Premier_league
Rúben Dias,0.2,0.6,-,0.1,0.3,Premier_league
Thiago Silva,0.1,0.7,-,0.1,0.3,Premier_league
Raúl Jiménez,1,1.7,0.4,1.8,3.2,Premier_league
Illan Meslier,-,0.3,-,-,0.1,Premier_league
Diego Llorente,0.4,0.6,-,0.5,0.7,Premier_league
Matt Targett,0.4,0.6,-,0.2,0.6,Premier_league
Marcos Alonso,0.7,0.9,0.2,0.7,1,Premier_league
Nélson Semedo,1.8,1,0.1,0.8,1.6,Premier_league
Diogo Jota,1.1,1.1,0.1,1.1,2.1,Premier_league
Jannik Vestergaard,0.2,0.4,-,0.2,0.4,Premier_league
Arthur Masuaku,2.4,0.7,0.1,1.3,1.2,Premier_league
Alexandre Lacazette,0.7,1.7,0.3,1,1.6,Premier_league
Andros Townsend,1.3,1.6,0.1,1.6,1.4,Premier_league
John McGinn,1.4,2.1,-,0.9,1.8,Premier_league
Wilfried Zaha,1.8,2.9,0.7,2.6,3.6,Premier_league
Andrew Robertson,0.7,0.3,0.2,0.3,1.1,Premier_league
Bukayo Saka,1.4,2,0.5,1.3,2.3,Premier_league
Jorginho,0.6,1,-,0.5,0.7,Premier_league
Jonny Evans,0.3,0.4,-,0.1,0.1,Premier_league
Romain Saïss,0.3,0.4,-,0.1,0.4,Premier_league
Stuart Dallas,0.6,1.3,-,0.9,1.4,Premier_league
Dwight McNeil,1.8,1.1,0.1,1.7,1.6,Premier_league
Nick Pope,-,0.2,-,-,0.1,Premier_league
Tanguy Ndombele,2.2,1.8,-,1,1.7,Premier_league
Yerry Mina,-,0.5,-,-,0.1,Premier_league
N'Golo Kanté,0.9,0.2,-,0.5,1.6,Premier_league
Toby Alderweireld,0.2,0.1,-,0.1,0.1,Premier_league
Dani Ceballos,1,1,-,0.6,0.9,Premier_league
Bertrand Traoré,1.4,1.1,0.2,0.7,1.9,Premier_league
Fikayo Tomori,-,-,-,-,-,Premier_league
Gaetano Berardi,-,-,-,-,-,Premier_league
Mateo Kovacic,2,1.1,-,0.9,1,Premier_league
Tom Cairney,1.6,1.8,0.1,1.1,1.5,Premier_league
Joël Veltman,0.6,1.4,-,0.3,0.6,Premier_league
Martin Dúbravka,-,0.4,-,-,0.1,Premier_league
Oleksandr Zinchenko,0.3,0.2,0.1,0.3,0.8,Premier_league
Antonee Robinson,1.8,0.3,-,0.8,1.6,Premier_league
Kelechi Iheanacho,1.3,0.5,0.4,1.4,2.3,Premier_league
João Virgínia,-,-,-,-,-,Premier_league
Terence Kongolo,-,1,-,-,-,Premier_league
Anthony Martial,1.6,1.2,0.7,1.7,2.3,Premier_league
James McArthur,0.8,0.8,-,0.6,0.9,Premier_league
Lewis Dunk,0.2,0.6,0.1,-,0.4,Premier_league
Kyle Walker-Peters,1.5,1.4,0.2,1.6,1.2,Premier_league
