Name,KeyP,AvgP,Crosses,LongB,ThrB
Fernando Miguel,-,28,-,5,-
Thaciano,-,18,-,-,-
Lucas Evangelista,1,36,-,2,-
Tiago Volpi,-,32,-,5,-
Jorginho,4,36,3,2,-
Yago Pikachu,2,8,3,-,-
Rossi,2,19,-,-,-
Juninho,-,30,-,1,-
Vanderson,-,54,2,4,-
Artur,4,43,1,3,1
Helinho,-,37,-,1,-
Cléber,-,17,-,-,-
Mateus Claus,-,25,-,3,-
Weverton,-,40,-,11,-
Bruno Henrique,3,18,-,-,-
Zé Roberto,1,18,-,1,-
Fabricio Bruno,1,69,1,3,-
Luan Cândido,-,47,-,1,-
Claudinho,4,51,3,6,-
Ramires,3,65,1,4,-
Rick,-,19,-,-,-
Rodrigo,-,65,-,2,-
Clayson,3,24,4,1,-
Danielzinho,1,37,1,2,-
Pedro Henrique,-,87,-,11,-
Ytalo,-,18,-,1,-
Giorgian de Arrascaeta,3,49,1,3,-
Igor,-,42,-,4,-
Matheus Peixoto,-,14,-,-,-
Diego Alves,-,21,-,5,-
Léo Ortiz,-,69,-,7,-
Nino,-,20,-,6,-
Jonathan Cafú,-,22,-,-,-
Miranda,-,106,-,3,-
Wescley,1,27,-,2,-
Edenílson,2,32,1,-,-
Matheus Henrique,3,63,-,5,-
Gabriel Menino,-,42,-,6,-
Pedro,1,19,-,-,-
Carlos Eduardo,1,7,1,1,-
Egídio,2,28,1,4,-
Khelven,2,50,4,-,-
Abel Hernández,1,14,-,-,-
Aderlan,2,62,-,5,-
Léo Chú,2,24,1,-,-
Reinaldo,3,36,4,-,-
Élton,1,13,-,-,-
Hulk,-,13,-,-,-
Matheus Vargas,1,23,-,2,-
Germán Conti,-,51,-,-,-
Caio Paulista,1,29,-,1,-
Uendel,4,55,4,4,-
Willian Maranhão,-,30,-,1,-
Diego,-,58,-,1,-
Capixaba,2,17,-,1,-
Léo,-,84,-,1,-
David,2,4,1,-,-
Nathan Silva,-,53,-,5,-
Ricardo,-,18,-,1,-
Éderson,1,28,-,-,-
Cleiton,-,30,-,13,-
Robson,3,15,-,-,-
Samuel Xavier,1,34,-,2,-
André,-,13,-,1,-
Filipe Luís,1,85,-,5,-
Santos,-,33,-,6,-
Marcos Felipe,-,16,-,3,-
Bruno Alves,-,90,-,3,-
Gerson,1,55,-,2,-
Gilberto,-,5,-,-,-
Marlon,-,43,-,5,-
Dudu Santos,-,35,-,2,-
