Name,KeyP,AvgP,Crosses,LongB,ThrB
Philipp Klewin,-,37,-,8,-
Robert Zulj,2.7,42.9,2,2.5,0.2
Tim Kleindienst,0.7,28.2,-,1.1,-
Serdar Dursun,0.9,17.9,0.1,1.3,0.1
Philipp Hofmann,1,23,-,0.7,-
Simon Terodde,0.8,14.8,-,0.3,0.1
Omar Marmoush,0.8,18.3,0.2,0.5,-
Kevin Behrens,1.3,30.9,0.1,0.8,-
Timo Hübers,0.2,60.7,-,5.3,-
Patrick Mainka,0.3,50.2,-,2.9,-
Carl Klaus,-,41,-,13,-
Branimir Hrgota,1.2,23.6,0.3,0.9,0.1
Paul Seguin,2.1,54.8,1.6,3.1,0.1
Marius Funk,-,29,-,5,-
Marvin Wanitzek,2,38.9,1.5,1.6,-
Rodrigo Zalazar,1.2,34.7,1.2,2.4,-
Mikkel Kirkeskov,1.7,62.2,1.8,4.8,-
Julian Green,1.2,26.5,1.1,1.4,-
Sonny Kittel,2,29.8,1.8,1.1,-
Marvin Ducksch,1.5,21.9,0.3,1.1,-
Daniel-Kofi Kyereh,1.3,30.4,0.2,0.6,0.1
Tobias Kempe,2.7,28.2,2.3,1.3,-
Danilo Soares,0.6,49.7,0.6,1.7,-
Fin Bartels,1.2,27.5,0.5,1.5,-
Tim Kister,0.2,21.8,-,1.7,-
Marco Meyerhöfer,1.8,47.8,0.8,1.7,-
Pascal Testroet,1.7,23,0.5,0.6,-
Johannes Geis,1.9,45.5,1.7,4.9,-
David Raum,1.4,40.9,1.3,3.6,-
Andreas Albers,0.8,19,0.1,0.4,-
Simon Zoller,0.8,20.8,0.2,0.4,-
Jae-Sung Lee,1.1,41.8,0.2,1.9,-
Dennis Srbeny,1.2,21.4,-,0.6,0.1
Havard Nielsen,0.7,15.2,0.1,0.3,-
Guido Burgstaller,0.7,18.2,0.2,0.4,-
Sebastian Ohlsson,0.9,35.4,0.2,2.4,-
Genki Haraguchi,1.3,34.7,0.3,1.9,-
Manuel Schäffler,0.8,15.7,-,0.3,-
Robert Tesche,0.7,44.4,0.2,2.8,0.1
Uwe Hünemeier,0.3,61.2,-,5.8,-
Armel Bella Kotchap,0.1,45,-,4.1,-
Florian Ballas,0.3,50.1,-,4.3,-
Anthony Losilla,0.7,49.8,0.1,2.9,-
Christian Kühlwetter,0.9,21.6,0.4,1.1,-
Oliver Hüsing,0.2,41.6,-,2.8,-
Sven Michel,1.3,20.5,0.3,0.6,-
Marco Thiede,0.9,36.2,0.9,2.6,-
Luca Pfeiffer,-,18,-,-,-
Cristian Gamboa,0.6,45.7,0.6,3.1,-
Tim Handwerker,0.6,39.1,0.5,3.4,-
Stephan Ambrosius,0.2,71.2,-,4.8,-
Bakery Jatta,1,17.1,0.4,0.6,-
Aaron Hunt,1.3,35.9,1.1,3,-
Benedikt Gimber,0.4,35.1,-,2.5,-
Martin Männel,-,44.1,-,10.7,-
Victor Pálsson,0.4,31.5,0.1,1.7,-
Janni Serra,0.6,17.7,-,0.7,-
Stefan Thesker,0.2,71.8,-,6.9,-
Kenan Karaman,1.2,19.6,0.2,0.4,-
Sebastian Schonlau,0.3,74.3,-,5.9,-
Jérôme Gondorf,0.7,36.8,0.5,2.1,-
Kevin Danso,0.3,46.8,-,3.8,-
Simon Lorenz,0.3,50.6,-,3.6,-
Chris Führich,1.8,20.6,0.9,0.9,-
Sebastian Ernst,1.1,28.3,-,0.8,-
Rolf Feltscher,1.3,33.2,1.7,2.1,-
Jaka Bijol,0.7,45.1,0.1,3.6,0.1
Marvin Mehlem,1.1,30.2,0.3,1,0.1
Sebastian Kerk,2,28,1.8,1.6,-
Marvin Pieringer,0.8,16.8,0.1,0.4,-
Moritz Heyer,0.3,46.6,0.1,2.6,-
Janik Bachmann,0.4,27.5,0.1,2.8,-
Jamilu Collins,0.3,45.7,0.3,2.7,-
Alexander Mühling,0.9,30.1,0.9,1.3,-
Manuel Riemann,0.1,53.4,-,19.6,-
Toni Leistner,0.1,63.3,0.1,6.3,-
Enrico Valentini,1,31.1,0.9,2.3,-
Anton Stach,0.4,35.8,0.1,2.7,-
Fabian Nürnberger,0.8,34.9,0.2,1.4,-
Hauke Wahl,0.3,64,0.1,3.3,-
Johannes Dörfler,0.6,32.1,0.3,1.9,-
Mats Møller Dæhli,1.6,33.4,0.4,1.1,-
Alexander Meyer,-,37.3,-,9.5,-
Niko Kijewski,1,37,1,2.5,-
Philip Heise,1.6,39.5,1.8,3.5,-
Matthias Zimmermann,0.8,40.3,0.9,2.4,-
Michael Ratajczak,-,24,-,5,-
Max Besuschkow,1,51,0.2,3.7,-
Marnon Busch,1,39.2,0.4,3.2,-
Jonas Meffert,0.6,46.9,0.1,2.1,-
Felix Lohkemper,1.1,14.5,0.3,0.5,-
Daniel Keita-Ruel,0.7,14.7,0.2,0.2,-
Gerrit Holtmann,1,16.5,0.7,0.3,-
Paul Jaeckel,0.2,52.7,-,3.1,-
Brian Behrendt,0.3,39.9,-,6.3,-
Marcel Schuhen,-,38.4,-,7.8,-
Nick Proschwitz,0.9,20.7,0.1,0.3,-
Martin Fraisl,0.1,28.2,-,8,-
Marcel Franke,0.2,51.3,-,5.9,-
Etienne Amenyido,1,18.4,0.1,0.6,0.1
Mathias Honsak,0.8,12.3,0.4,0.3,-
Ron Schallenberg,0.4,39.5,-,2.2,-
