Name,KeyP,AvgP,Crosses,LongB,ThrB
Fabian Bredlow,-,33,-,4,-
Robert Lewandowski,1.1,22.8,0.2,0.5,-
Erling Haaland,1,16.3,-,0.1,-
Joshua Kimmich,2.4,71,2.2,6.5,0.2
Jadon Sancho,2.6,50.2,1,0.8,0.2
André Silva,1,23.4,0.1,0.3,-
Thomas Müller,2.9,43.5,0.8,1.2,0.1
Matheus Cunha,1.8,23.1,1.2,1.7,-
Wout Weghorst,1.3,23.1,-,0.6,0.1
Maximilian Arnold,1.6,50.1,1.4,5.2,0.1
Elias Bördner,-,34,-,4,-
Filip Kostic,3,35.1,2.6,1.4,-
Christopher Nkunku,2.5,29.8,1.6,0.6,-
Mats Hummels,0.4,80,-,7.6,-
Leon Bailey,1.6,25.9,1.3,1.6,-
Raphael Guerreiro,2,70.4,0.8,2,0.3
Andrej Kramaric,1.4,31.9,0.9,1.3,0.1
Ermin Bicakcic,-,30.5,-,0.5,-
Leon Goretzka,0.8,43.5,0.1,3,-
Serge Gnabry,1.4,28.3,0.5,0.8,-
Willi Orban,0.3,72,0.1,2.4,-
Silas Wamangituka,0.9,17,0.2,0.5,-
Jonas Hofmann,2.4,36.3,2.1,2.3,-
Kingsley Coman,1.6,25.5,0.9,0.9,-
Marco Reus,1.5,33.1,0.4,1.3,0.1
Angeliño,2,42.8,2,1.7,-
Bas Dost,0.9,25.1,-,0.4,0.1
Vincenzo Grifo,2.1,32.3,1.4,2.3,0.1
Emre Can,0.6,62.3,0.3,3.8,-
Daniel Caligiuri,1.5,29.6,1,1.9,-
Alphonso Davies,0.9,56.2,0.3,1,-
Borna Sosa,2.2,34,1.9,1,-
Wataru Endo,0.8,55.1,-,2.2,0.1
Maxence Lacroix,0.1,58.9,-,4.3,-
Christopher Trimmel,1.9,33.9,2,2.4,-
Sasa Kalajdzic,0.8,20,-,0.3,-
Lars Stindl,1.5,33.4,0.4,1.4,0.2
Marcel Sabitzer,1.1,47.4,0.3,2.6,-
Martin Hinteregger,0.3,63.9,-,3.4,-
Nico Elvedi,0.1,65.3,-,1.9,-
Kevin Mbabu,0.6,36,0.7,1.6,-
Nicolás González,0.8,14.7,0.1,0.5,0.1
Max Kruse,1.7,31,1,2,0.1
Stefan Bell,0.2,36.1,-,1.9,-
Marcus Thuram,0.6,19,0.1,0.2,-
Lucas Hernández,0.6,50.6,0.7,2,-
Ridle Baku,1.4,36.7,0.6,1.4,-
Xaver Schlager,0.8,38.9,-,1.9,0.1
Niklas Süle,0.4,62.9,0.3,2.6,-
Pavao Pervan,-,32.5,-,6,-
Tobias Sippel,-,33.5,-,8.3,-
Edmond Tapsoba,0.1,90.4,-,6.7,-
Ihlas Bebou,1.2,18,0.5,0.3,-
Dani Olmo,1.3,38,0.2,1.3,0.1
John Brooks,0.2,60.3,-,4.3,-
Florian Neuhaus,0.7,52.9,-,3.6,0.1
Leroy Sané,1,22.9,0.5,0.7,-
Moussa Diaby,1.4,25.1,0.8,0.7,-
Marvin Friedrich,0.4,53,0.1,4.4,-
Josip Stanisic,-,58,-,2,-
Felix Uduokhai,0.1,50.4,0.1,3.5,-
Daichi Kamada,1.8,28,0.8,1,-
Amos Pieper,0.2,50.7,-,4.8,-
Mark Flekken,-,37.7,-,11.3,-
Konstantinos Mavropanos,0.2,46.1,0.1,3.4,-
Christopher Lenz,0.7,36.1,0.7,2.1,-
Matthias Ginter,0.3,68.9,0.1,4,-
Christoph Baumgartner,1.1,29.4,0.2,1.1,-
Florian Hübner,0.2,41.5,0.2,1.5,-
Renato Steffen,1,27.5,0.4,1.3,-
Nicolas Höfler,0.5,44.5,0.1,2.3,-
Paulo Otávio,0.6,32.4,0.8,1.3,-
Orel Mangala,0.8,41.6,-,1.3,-
Blendi Idrizi,0.3,23,-,1.3,-
Marc Oliver Kempf,0.3,56.6,0.1,3.8,-
Benjamin Pavard,0.5,59.8,0.5,2.6,-
Florian Wirtz,1.6,34.6,0.2,1.2,0.1
Ellyes Skhiri,0.5,47.3,-,2.9,-
Robert Andrich,0.7,48.8,-,2.5,-
Ondrej Duda,1.3,34.5,1.2,2.4,0.1
Dayot Upamecano,0.3,76,-,5.4,-
Ludwig Augustinsson,1.8,34.2,2.3,1.1,-
Ritsu Doan,1.4,20.2,0.9,0.8,-
Amine Harit,1.8,28.1,0.9,1,0.2
Manuel Akanji,0.1,75.6,-,4.5,-
Diadie Samassékou,0.3,44.1,0.1,2.4,0.1
Fabian Klos,0.9,23.3,0.1,0.6,-
Exequiel Palacios,0.9,45.6,0.1,1.9,-
Marcel Halstenberg,1.1,62.6,0.6,2.3,-
Obite Evan Ndicka,0.3,55.6,0.1,1.7,-
Salif Sané,0.3,49.1,0.1,2.1,-
Josip Brekalo,1.3,27.4,0.7,1.1,-
Alassane Plea,1,22.3,0.2,0.6,0.1
Ramy Bensebaini,0.4,42.9,0.2,2,-
Djibril Sow,0.6,43,-,1.6,-
Rafal Gikiewicz,-,34.4,-,7.2,-
Shkodran Mustafi,0.1,44,-,4,-
Jonas Hector,0.9,28.5,0.4,1.6,-
Florian Grillitsch,0.6,53.9,0.2,4.9,-
Giovanni Reyna,1.1,27.3,0.4,0.4,0.1
Amadou Haidara,1.1,32.9,0.3,1.1,-
Patrik Schick,0.9,14.6,-,-,-
Joakim Nilsson,0.1,43.1,-,2.6,-
Julian Baumgartlinger,0.3,37.9,0.1,2.3,-
Stefan Ortega Moreno,0.1,53.7,-,14.8,-
