Name,KeyP,AvgP,Crosses,LongB,ThrB
Emiliano Buendía,3.1,48.5,1.3,3.5,0.3
William Forrester,-,21,-,2,-
Kieffer Moore,0.5,24.7,0.1,0.4,-
Krystian Bielik,1.1,51.8,0.2,3,0.1
Joe Rodon,-,53.8,-,1.5,-
Ivan Toney,1.1,19.2,0.1,0.3,0.1
Michal Helik,0.3,31.5,-,2.2,-
Alfie Mawson,0.3,49.5,-,5.7,0.1
Connor Taylor,-,25,-,-,-
Arnaut Danjuma Groeneveld,1.5,22.1,0.9,0.7,-
Grant Hanley,0.1,68.7,-,2.7,-
Jordy de Wijs,-,48.4,-,3.3,-
Robert Dickie,0.3,57.6,0.1,3.1,-
Mads Andersen,0.3,40,-,2.4,-
Sean Morrison,0.3,32.9,-,3,-
Shaun Hutchinson,0.3,50,0.1,4.4,-
Adam Armstrong,1,18.2,0.2,0.7,-
Todd Cantwell,1.6,45.4,0.2,2.5,0.1
Ismaila Sarr,1.1,26,0.4,0.8,-
Ovie Ejaria,1.7,37.6,0.4,0.7,0.1
Ben Cabango,0.2,41.6,0.1,3,-
Steven Benda,-,39,-,3,-
Lewis Wing,1.7,30.6,1.2,2.8,0.1
André Ayew,0.8,25.3,0.1,0.5,-
Nick Powell,1.1,32.3,0.3,1.7,-
Teemu Pukki,1.3,14.9,-,0.1,-
Dominic Solanke,0.8,16.5,-,0.1,-
Harry Souttar,0.3,52.2,-,5.9,-
Aden Flint,0.2,25.1,-,1.7,-
Dael Fry,0.1,32.6,-,1.9,-
Lucas João,1,15.2,-,0.4,-
Michael Olise,1.9,38.2,1.4,2.3,0.1
Matthew Clarke,0.2,52.3,-,4.4,-
Joe Jacobson,1.8,30,2.1,3.7,-
Ethan Pinnock,0.3,65,-,3.9,-
Adam Masina,0.5,40.8,0.6,3.9,-
Jake Cooper,0.4,42.9,0.1,3.2,-
Barry Douglas,1.9,48,1.7,2.6,-
Marc Roberts,0.6,31.5,0.1,3.5,-
Kristian Pedersen,0.6,29.9,0.3,1.6,-
Kiernan Dewsbury-Hall,1.7,43.2,1.5,3.1,-
Francisco Sierralta,0.1,47.5,-,2.8,-
Ryan Bennett,0.1,43.2,-,2.9,-
Curtis Nelson,0.2,35.2,-,2.8,-
James Garner,1.1,38.7,0.4,2.9,-
Grant Hall,0.1,30,-,2.4,-
Morgan Gibbs-White,1.8,30.4,0.8,1.6,-
Matt Grimes,0.9,55.2,0.6,3.5,-
Jed Wallace,1.9,33,1.8,2.2,-
Derrick Williams,0.4,64.1,-,5.4,-
Yoann Barbet,0.3,55.8,0.3,7,-
Harry Wilson,1.7,19.6,1.5,1.2,0.1
Filip Benkovic,-,38,-,3,-
Sergi Canós,1.2,18.8,0.7,0.9,0.1
Josh Koroma,1.3,24,0.1,0.8,-
Alan Browne,0.5,39.3,0.3,2.4,-
Tomas Kalas,0.1,34.5,-,2.4,-
Tyrese Campbell,0.9,18.3,0.4,0.5,-
Xavi Quintillá,2.3,56.7,2.5,1.9,-
Marcus Tavernier,1.3,26.1,0.8,0.6,0.1
Liam Lindsay,-,28.5,-,2.5,-
Scott Malone,1.5,28.9,1.5,1.2,-
Ben Godfrey,0.7,55.3,-,3.3,-
Patrick Bauer,0.3,33.4,0.1,2,-
Etienne Capoue,0.3,43.4,-,5.5,0.2
Troy Deeney,1.1,21.7,0.1,0.9,0.1
Dimitris Giannoulis,1,44.2,0.1,1,-
Patrick McNair,1.1,40,1,4.2,-
Alex Mowatt,1.5,42.5,0.9,2.3,-
Max Aarons,1.4,46.7,0.8,2.3,-
Yakou Meite,0.4,11,0.1,0.2,-
Michael Ihiekwe,0.5,30.4,-,1.7,-
João Pedro,0.6,20.5,0.1,0.7,-
Ryan Ledson,1.5,38,1.2,3.5,0.1
Ben Gibson,0.4,78.3,0.1,3.8,-
Bright Samuel,1,20.9,0.2,0.2,-
Joe Rankin-Costello,0.6,36.3,0.6,1.9,-
Elijah Adebayo,0.6,15,0.1,0.1,-
Jordan Storey,0.2,31.3,-,2.5,-
Michael Smith,0.8,21.2,0.3,0.3,-
