Name,KeyP,AvgP,Crosses,LongB,ThrB
Sean Klaiber,1,65,1.5,2,-
Dusan Tadic,3.8,33.7,3,0.9,0.1
Sébastien Haller,1.2,28,0.1,0.4,-
Steven Berghuis,2.9,51,1.9,4.8,0.1
Oussama Tannane,3.2,43.4,2.5,3,-
Adam Maher,2.5,61.8,2,4.9,0.1
Gregoire Amiot,-,32,-,2,-
Joey Veerman,1.9,53.7,0.9,6.5,-
Donyell Malen,1.1,24.4,0.3,0.6,0.1
Teun Koopmeiners,1.1,68.8,0.5,5.1,-
Ajdin Hrustic,1,35,3,7,-
Ibrahim Sangaré,0.7,65.2,0.1,3,-
Georgios Giakoumakis,0.5,20.8,0.2,0.3,-
Ryan Gravenberch,1.2,68.4,0.5,2.4,-
Mario Götze,1.4,59.6,0.3,2.1,0.1
Calvin Stengs,1.9,38.6,0.4,2.4,0.3
Jesper Karlsson,1.5,25,1.2,0.9,-
Vaclav Cerny,1.8,27.4,0.9,1.3,0.1
Davy Klaassen,1.1,41.6,0.2,1.3,0.1
Cody Gakpo,1.3,26.8,0.4,0.5,0.1
Abdou Harroui,1.2,42.8,0.5,3.7,-
Gyrano Kerk,1.5,17.1,0.7,0.2,0.1
Vangelis Pavlidis,1.1,28.5,0.1,1.3,-
Marcos Senesi,0.4,65.9,0.1,5,-
Fredrik Midtsjø,1.1,54.2,0.3,3.3,-
Silvester van der Water,1.7,21.6,1.7,2.1,0.1
Philipp Max,2,50.9,2.2,1,-
Nicolás Tagliafico,1.1,48.7,0.7,1.2,0.1
Jacob Rasmussen,0.3,55.9,-,4.1,-
Jens Toornstra,1.4,56.4,0.4,4.4,0.1
Eran Zahavi,1.1,26.2,-,0.7,0.2
Rai Vloet,1.5,34.8,0.6,2.8,0.2
Olivier Boscagli,0.3,81.4,-,7.6,-
Zian Flemming,0.8,23.4,0.1,0.8,-
Antony,1.1,26.8,0.9,0.8,-
Denzel Dumfries,1.4,43,0.2,1.3,-
Maximiliano Romero,-,2,-,-,-
Lennart Thy,1.4,27.4,0.2,0.7,-
Henk Veerman,1,21.8,0.1,0.4,-
Gabriel Gudmundsson,0.8,24,0.9,1.3,-
Myron Boadu,1.1,18.5,-,0.4,-
Sergio Peña,2,64.4,1.3,5,0.2
Lisandro Martínez,0.4,61.6,-,3.2,-
Daley Blind,0.9,82.3,0.3,5.6,0.1
Sander van de Streek,0.8,24.9,-,1.1,-
Owen Wijndal,1.4,47.7,0.6,1.4,0.1
Noussair Mazraoui,0.6,39.4,0.4,2.2,-
Kenneth Paal,1.8,47.4,1,1.5,-
Eric Botteghin,0.4,58,-,3.9,-
Virgil Misidjan,1.2,23.3,1,0.7,-
Pawel Bochniewicz,0.1,57.8,-,3.1,-
Edson Álvarez,0.4,48.8,0.1,1.8,-
Mickael Tirpan,0.2,30.7,0.1,2.3,-
Lutsharel Geertruida,0.8,39.8,0.3,2,-
Ahmed El Messaoudi,1,25,-,1.6,-
Lassina Traoré,0.8,13.1,-,0.3,0.1
Jonathan Mulder,-,5,2,1,-
Riechedly Bazoer,1.1,58,0.4,6.7,-
Albert Gudmundsson,1.2,28,0.2,0.6,0.1
Jurriën Timber,0.4,51.5,-,1.3,0.1
Kostas Lamprou,-,40.9,-,10.2,-
George Cox,0.9,32.5,1.2,3,-
André Onana,-,33.6,-,7.2,-
Klaas Jan Huntelaar,0.8,10.6,-,-,0.2
Sean Klaiber,1.2,36.2,0.3,0.9,-
Bart Nieuwkoop,0.5,32.5,0.5,0.9,-
Jan Paul van Hecke,0.5,50.9,-,3.4,0.1
Tommy St. Jago,0.1,56.6,-,3.6,-
Devyne Rensch,0.6,26.3,0.1,0.8,-
Mike Trésor,2,28.6,1.1,0.9,-
Ko Itakura,0.3,56.9,-,4.3,-
Azor Matusiwa,0.3,41.3,-,4,-
Maarten Stekelenburg,0.1,28.2,-,5.8,-
Luis Sinisterra,1.1,25.2,-,1.2,-
Dirk Abels,1,36.9,0.5,2.9,-
Queensy Menig,1.1,19.5,0.4,0.5,0.1
Jørgen Strand Larsen,0.8,12.5,0.1,0.2,-
Maximilian Wittek,0.7,37.9,0.7,2.6,-
