Name,KeyP,AvgP,Crosses,LongB,ThrB
Guy Mbenza,-,13,-,1,-
Jéremy Doku,1.6,27,0.7,1.7,0.3
Paul Onuachu,0.7,21.2,-,1.1,-
Darren Keet,-,35,-,14,-
Ryota Morioka,2.2,56.2,1.5,5.7,0.1
Louis Verstraete,0.2,36.6,0.2,4.2,-
Krépin Diatta,1.7,33.9,0.6,1.1,-
Theo Bongonda,1.7,28.8,0.9,0.9,-
Noa Lang,1.8,40,0.1,1.4,0.1
Junya Ito,2,37.8,0.9,1.4,-
Dieumerci Mbokani,0.8,21.9,-,0.5,-
Selim Amallah,1.1,25,0.3,2,-
Raphael Holzhauser,2.8,42.3,1.9,4.2,0.1
Mandela Keita,-,13,-,-,-
Hans Vanaken,1.6,55.5,0.3,4.3,0.2
Tarik Tissoudali,1.4,22.3,0.3,0.5,0.1
Ruud Vormer,2.5,50.8,2.2,2.2,0.1
Thomas Henry,1.3,24.5,-,1.3,-
Rafael Romo,-,27.6,-,8.4,-
Xavier Mercier,3.1,48.4,1.4,4,0.1
Roman Yaremchuk,1.1,27.4,0.1,0.6,0.1
Maxime Busi,1.6,54.1,1.3,5.6,-
Bryan Heynen,1.7,58.3,0.9,3.6,0.1
Joris Kayembe,1.2,47,0.9,2.4,0.1
Joachim van Damme,0.7,52.7,-,5,-
Joakim Maehle,1.4,46,0.7,2.8,0.1
Vadis Odjidja-Ofoe,1.9,39,0.8,1.7,0.3
Strahinja Pavlovic,0.2,35.5,-,2.5,-
Alessio Castro-Montes,1.3,46,0.8,3.1,-
Hugo Siquet,2.2,39.4,2.1,2.3,-
Robin Himmelmann,1,26,-,6,-
Lior Refaelov,2.1,33.5,1.6,1.6,-
Zinho Vanheusden,0.4,52.3,-,3.9,-
Faiz Selemani,2.3,29.3,1.8,1.6,0.2
Michael Frey,1,31.9,0.1,0.6,-
Julien de Sart,1.3,45.8,0.7,4.6,-
Moussa Sissako,0.3,45.5,-,6.3,-
Albert Sambi Lokonga,0.9,63.3,0.1,4.8,0.1
Konstantinos Laifis,0.3,53.2,-,7,-
Daniel Muñoz,0.8,53.2,0.1,2.9,-
Yuma Suzuki,0.7,24.3,0.2,0.9,-
Abdoulaye Seck,0.4,58.1,0.4,5.5,-
Ognjen Vranjes,-,52.3,-,4,-
Gianni Bruno,1.3,34.5,0.6,1.9,-
Lukas Nmecha,1,21.8,0.1,0.5,-
Nuno da Costa,0.9,20.8,-,0.6,-
Junior Pius,0.5,39.8,0.3,7.5,-
Laurent Henkinet,-,29,-,6,-
Yevhenii Makarenko,0.5,49.8,0.1,2.4,-
